region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Abruzzo,2021-03-02,,estimate,-0.0272896932680243,-0.0276907533209119,0.0143413504672475,-0.0512166778424075,-0.0360762645705055,-0.0305225552390133,-0.0243436860814039,-0.0193493329772351,-0.00519816130998683
Abruzzo,2021-03-03,,estimate,-0.0273622759362287,-0.027749570871637,0.0134356057000518,-0.0501309765798467,-0.0357127617136049,-0.0304420766009764,-0.0245340656187182,-0.01981986335526,-0.00651925014852249
Abruzzo,2021-03-04,,estimate,-0.0275163214523619,-0.0277922316773026,0.0125640533720247,-0.0487804094040022,-0.0354310830844689,-0.0303185377663562,-0.0247338560889927,-0.0202048038092275,-0.0077004734832496
Abruzzo,2021-03-05,,estimate,-0.0275182098395025,-0.0278164521645881,0.0117344205947039,-0.0476482627895614,-0.0350770456461725,-0.0301415756882792,-0.0248513430595945,-0.0206685256901018,-0.00896668518818526
Abruzzo,2021-03-06,,estimate,-0.0275168200719514,-0.0278202663513537,0.0109537796125863,-0.0465486283278366,-0.0346737839599874,-0.0299635031502147,-0.0248552682804705,-0.0209428132227728,-0.0102391639607509
Abruzzo,2021-03-07,,estimate,-0.027490714517429,-0.0278020638547006,0.0102281939463312,-0.045237967197921,-0.0342241328813992,-0.0298517599363123,-0.0250316402740644,-0.0212287543077645,-0.0115079323651882
Abruzzo,2021-03-08,,estimate,-0.0273717018326133,-0.0277605967558836,0.00956235625753492,-0.043972374926321,-0.0338102622914501,-0.0297164802625403,-0.0251036596916171,-0.0214644516307509,-0.0125036311784777
Abruzzo,2021-03-09,,estimate,-0.0274256239767522,-0.0276949609990246,0.00895927321034519,-0.0429029035281777,-0.0333550453608564,-0.029479014105264,-0.0252282229530511,-0.0217285048530558,-0.0135522832800669
Abruzzo,2021-03-10,,estimate,-0.0272082415804288,-0.027604560735441,0.0084200539894932,-0.0418772584521792,-0.0328839272585197,-0.0292702832469655,-0.0252938177190943,-0.0219368230462542,-0.0142111817132267
Abruzzo,2021-03-11,,estimate,-0.02715343621241,-0.0274890656761522,0.00794383988333572,-0.0411690209059082,-0.0326164654709481,-0.0291874561680529,-0.025349081496767,-0.0221718571419305,-0.0148386802360766
Abruzzo,2021-03-12,,estimate,-0.0270716852760027,-0.0273483714286599,0.00752789568558438,-0.040280525560866,-0.0321676530292437,-0.028900120492782,-0.0252732633479485,-0.0222843280428179,-0.0154028125173135
Abruzzo,2021-03-13,,estimate,-0.0269614289208312,-0.0271825707945144,0.0071678851074049,-0.0393818243352865,-0.0317036045806565,-0.0285923157422585,-0.0251815631273257,-0.0223173776167535,-0.0158201280901763
Abruzzo,2021-03-14,,estimate,-0.0267310689303538,-0.0269919406632861,0.0068583544266728,-0.0386508165507949,-0.0314587497471318,-0.0284543808136073,-0.0250115841041083,-0.0223065868405653,-0.0161151382230169
Abruzzo,2021-03-15,,estimate,-0.0264706931674057,-0.0267769454880594,0.00659341067395562,-0.0382184213482742,-0.0309957807388922,-0.0281626077897585,-0.0248563841277372,-0.0222552184856089,-0.0163355693989473
Abruzzo,2021-03-16,,estimate,-0.0262403686637582,-0.0265382552510133,0.00636748760791416,-0.0375990063882266,-0.030526879861365,-0.0278380132051304,-0.0246661084054902,-0.0221130180549676,-0.0166131037728993
Abruzzo,2021-03-17,,estimate,-0.0259743083804173,-0.0262767736355578,0.00617599244963538,-0.0371116953671167,-0.0301036308487719,-0.0275151081889873,-0.024382522734074,-0.0220221706018841,-0.0166681662886848
Abruzzo,2021-03-18,,estimate,-0.0256894172393953,-0.0259936706403892,0.00601560419850639,-0.0366145016135127,-0.0297577105927056,-0.0271229653049104,-0.0241539138745821,-0.0219145224263018,-0.016721974341217
Abruzzo,2021-03-19,,estimate,-0.0253802435802097,-0.0256904129216042,0.0058841000697368,-0.0361468133882753,-0.0292680897666716,-0.0267543047688948,-0.0239090710575844,-0.0216700816049381,-0.0166984880107882
Abruzzo,2021-03-20,,estimate,-0.0250561832288031,-0.0253687849571161,0.00577978440284344,-0.0356720111332706,-0.0287568791764104,-0.0264125812235938,-0.0237616747121409,-0.0215082286691752,-0.0164024154602047
Abruzzo,2021-03-21,,estimate,-0.0247866011229753,-0.0250308952811464,0.00570077981452893,-0.0350638384859012,-0.0282405396169263,-0.0260788553672633,-0.0234533669894383,-0.0213127340324582,-0.0163278926292271
Abruzzo,2021-03-22,,estimate,-0.0244684482890542,-0.0246791649925882,0.0056445050138299,-0.0345392358125067,-0.0278824975208734,-0.0257138115166325,-0.0230803680815862,-0.0211109044200399,-0.0162117825831847
Abruzzo,2021-03-23,,estimate,-0.0240641361726675,-0.024316300242257,0.00560756415316896,-0.0340279615631509,-0.0274889693781714,-0.0252780774086168,-0.0228855984277065,-0.020824073544379,-0.015958375389152
Abruzzo,2021-03-24,,estimate,-0.0237149111013334,-0.0239452552492059,0.00558606325363448,-0.0335243612491447,-0.0270507316625565,-0.0249587500858188,-0.0225317866707402,-0.020575631542141,-0.0153655774277235
