region,date,confirm
Abruzzo,2020-10-22,305
Basilicata,2020-10-22,83
Calabria,2020-10-22,187
Campania,2020-10-22,1541
Emilia-Romagna,2020-10-22,889
Friuli Venezia Giulia,2020-10-22,220
Lazio,2020-10-22,1251
Liguria,2020-10-22,690
Lombardia,2020-10-22,4125
Marche,2020-10-22,321
Molise,2020-10-22,28
Piemonte,2020-10-22,1550
Puglia,2020-10-22,485
Sardegna,2020-10-22,243
Sicilia,2020-10-22,796
Toscana,2020-10-22,1145
Trentino-Alto Adige,2020-10-22,400
Trentino-Alto Adige,2020-10-22,0
Umbria,2020-10-22,407
Valle d'Aosta,2020-10-22,87
Veneto,2020-10-22,1325
Abruzzo,2020-10-23,234
Basilicata,2020-10-23,89
Calabria,2020-10-23,159
Campania,2020-10-23,2280
Emilia-Romagna,2020-10-23,888
Friuli Venezia Giulia,2020-10-23,340
Lazio,2020-10-23,1389
Liguria,2020-10-23,778
Lombardia,2020-10-23,4916
Marche,2020-10-23,453
Molise,2020-10-23,56
Piemonte,2020-10-23,2032
Puglia,2020-10-23,590
Sardegna,2020-10-23,349
Sicilia,2020-10-23,730
Toscana,2020-10-23,1290
Trentino-Alto Adige,2020-10-23,476
Trentino-Alto Adige,2020-10-23,0
Umbria,2020-10-23,447
Valle d'Aosta,2020-10-23,97
Veneto,2020-10-23,1550
Abruzzo,2020-10-24,375
Basilicata,2020-10-24,49
Calabria,2020-10-24,166
Campania,2020-10-24,1718
Emilia-Romagna,2020-10-24,1177
Friuli Venezia Giulia,2020-10-24,412
Lazio,2020-10-24,1687
Liguria,2020-10-24,1035
Lombardia,2020-10-24,4956
Marche,2020-10-24,274
Molise,2020-10-24,66
Piemonte,2020-10-24,1548
Puglia,2020-10-24,631
Sardegna,2020-10-24,329
Sicilia,2020-10-24,886
Toscana,2020-10-24,1526
Trentino-Alto Adige,2020-10-24,439
Trentino-Alto Adige,2020-10-24,0
Umbria,2020-10-24,525
Valle d'Aosta,2020-10-24,112
Veneto,2020-10-24,1729
Abruzzo,2020-10-25,368
Basilicata,2020-10-25,77
Calabria,2020-10-25,179
Campania,2020-10-25,2590
Emilia-Romagna,2020-10-25,1192
Friuli Venezia Giulia,2020-10-25,334
Lazio,2020-10-25,1541
Liguria,2020-10-25,657
Lombardia,2020-10-25,5762
Marche,2020-10-25,521
Molise,2020-10-25,26
Piemonte,2020-10-25,2287
Puglia,2020-10-25,515
Sardegna,2020-10-25,195
Sicilia,2020-10-25,695
Toscana,2020-10-25,1863
Trentino-Alto Adige,2020-10-25,443
Trentino-Alto Adige,2020-10-25,0
Umbria,2020-10-25,463
Valle d'Aosta,2020-10-25,97
Veneto,2020-10-25,1468
Abruzzo,2020-10-26,346
Basilicata,2020-10-26,8
Calabria,2020-10-26,180
Campania,2020-10-26,1981
Emilia-Romagna,2020-10-26,1143
Friuli Venezia Giulia,2020-10-26,334
Lazio,2020-10-26,1698
Liguria,2020-10-26,419
Lombardia,2020-10-26,3570
Marche,2020-10-26,238
Molise,2020-10-26,101
Piemonte,2020-10-26,1625
Puglia,2020-10-26,424
Sardegna,2020-10-26,231
Sicilia,2020-10-26,568
Toscana,2020-10-26,2171
Trentino-Alto Adige,2020-10-26,434
Trentino-Alto Adige,2020-10-26,0
Umbria,2020-10-26,263
Valle d'Aosta,2020-10-26,144
Veneto,2020-10-26,1129
Abruzzo,2020-10-27,345
Basilicata,2020-10-27,77
Calabria,2020-10-27,234
Campania,2020-10-27,2761
Emilia-Romagna,2020-10-27,1408
Friuli Venezia Giulia,2020-10-27,241
Lazio,2020-10-27,1993
Liguria,2020-10-27,1127
Lombardia,2020-10-27,5035
Marche,2020-10-27,380
Molise,2020-10-27,66
Piemonte,2020-10-27,2458
Puglia,2020-10-27,611
Sardegna,2020-10-27,174
Sicilia,2020-10-27,860
Toscana,2020-10-27,1823
Trentino-Alto Adige,2020-10-27,499
Trentino-Alto Adige,2020-10-27,0
Umbria,2020-10-27,314
Valle d'Aosta,2020-10-27,57
Veneto,2020-10-27,1526
Abruzzo,2020-10-28,434
Basilicata,2020-10-28,120
Calabria,2020-10-28,196
Campania,2020-10-28,2427
Emilia-Romagna,2020-10-28,1209
Friuli Venezia Giulia,2020-10-28,406
Lazio,2020-10-28,1963
Liguria,2020-10-28,926
Lombardia,2020-10-28,7558
Marche,2020-10-28,351
Molise,2020-10-28,19
Piemonte,2020-10-28,2827
Puglia,2020-10-28,772
Sardegna,2020-10-28,362
Sicilia,2020-10-28,708
Toscana,2020-10-28,1708
Trentino-Alto Adige,2020-10-28,381
Trentino-Alto Adige,2020-10-28,0
Umbria,2020-10-28,401
Valle d'Aosta,2020-10-28,77
Veneto,2020-10-28,2143
Abruzzo,2020-10-29,481
Basilicata,2020-10-29,86
Calabria,2020-10-29,225
Campania,2020-10-29,3103
Emilia-Romagna,2020-10-29,1544
Friuli Venezia Giulia,2020-10-29,468
Lazio,2020-10-29,1995
Liguria,2020-10-29,1018
Lombardia,2020-10-29,7339
Marche,2020-10-29,686
Molise,2020-10-29,94
Piemonte,2020-10-29,2585
Puglia,2020-10-29,716
Sardegna,2020-10-29,282
Sicilia,2020-10-29,789
Toscana,2020-10-29,1966
Trentino-Alto Adige,2020-10-29,471
Trentino-Alto Adige,2020-10-29,0
Umbria,2020-10-29,694
Valle d'Aosta,2020-10-29,178
Veneto,2020-10-29,2109
Abruzzo,2020-10-30,428
Basilicata,2020-10-30,95
Calabria,2020-10-30,238
Campania,2020-10-30,3186
