region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Sicilia,228 (160 -- 336),228,235,54,160,197,216,242,265,336,New confirmed cases by infection date,Likely decreasing,0.7
Lombardia,186 (121 -- 300),186,196,58,121,156,175,199,223,300,New confirmed cases by infection date,Likely decreasing,0.92
Campania,137 (86 -- 220),137,143,41,86,114,128,147,165,220,New confirmed cases by infection date,Likely decreasing,0.92
Lazio,121 (87 -- 177),121,126,29,87,106,115,128,141,177,New confirmed cases by infection date,Likely decreasing,0.86
Emilia-Romagna,101 (63 -- 170),101,107,34,63,83,94,109,124,170,New confirmed cases by infection date,Likely decreasing,0.67
Puglia,77 (48 -- 136),77,82,28,48,63,71,83,96,136,New confirmed cases by infection date,Likely decreasing,0.89
Toscana,75 (56 -- 111),75,78,17,56,67,72,79,87,111,New confirmed cases by infection date,Decreasing,0.98
Piemonte,65 (39 -- 106),65,68,21,39,53,60,69,79,106,New confirmed cases by infection date,Decreasing,0.97
Veneto,59 (31 -- 113),59,64,26,31,46,55,65,76,113,New confirmed cases by infection date,Likely decreasing,0.78
Calabria,55 (36 -- 84),55,56,15,36,46,51,58,64,84,New confirmed cases by infection date,Decreasing,0.96
Friuli Venezia Giulia,38 (16 -- 98),38,44,27,16,26,33,43,54,98,New confirmed cases by infection date,Likely increasing,0.27
Trentino-Alto Adige,28 (4 -- 117),28,46,149,4,14,22,34,46,117,New confirmed cases by infection date,Likely decreasing,0.77
Marche,27 (15 -- 48),27,29,10,15,21,25,29,34,48,New confirmed cases by infection date,Decreasing,0.96
Sardegna,21 (9 -- 44),21,23,12,9,15,18,24,29,44,New confirmed cases by infection date,Likely decreasing,0.63
Abruzzo,20 (13 -- 30),20,20,5,13,17,19,21,23,30,New confirmed cases by infection date,Decreasing,0.98
Basilicata,16 (8 -- 41),16,19,12,8,12,14,18,22,41,New confirmed cases by infection date,Likely decreasing,0.74
Umbria,13 (8 -- 26),13,15,7,8,11,12,14,17,26,New confirmed cases by infection date,Likely decreasing,0.88
Liguria,8 (4 -- 14),8,9,3,4,6,8,9,10,14,New confirmed cases by infection date,Decreasing,0.99
Molise,4 (1 -- 20),4,6,10,1,2,3,5,7,20,New confirmed cases by infection date,Stable,0.44
Valle d'Aosta,2 (0 -- 7),2,3,2,0,1,2,3,3,7,New confirmed cases by infection date,Likely decreasing,0.9
Friuli Venezia Giulia,1.1 (0.81 -- 1.6),1.1,1.1,0.24,0.81,0.99,1.1,1.2,1.3,1.6,Effective reproduction no.,Likely increasing,0.27
Molise,1 (0.7 -- 1.8),1,1.1,0.37,0.7,0.87,0.97,1.1,1.3,1.8,Effective reproduction no.,Stable,0.44
Sicilia,0.96 (0.83 -- 1.1),0.96,0.96,0.086,0.83,0.91,0.94,0.98,1,1.1,Effective reproduction no.,Likely decreasing,0.7
Emilia-Romagna,0.94 (0.77 -- 1.2),0.94,0.96,0.13,0.77,0.87,0.92,0.98,1,1.2,Effective reproduction no.,Likely decreasing,0.67
Sardegna,0.94 (0.65 -- 1.2),0.94,0.95,0.18,0.65,0.83,0.9,0.99,1.1,1.2,Effective reproduction no.,Likely decreasing,0.63
Lazio,0.9 (0.78 -- 1.1),0.9,0.91,0.088,0.78,0.85,0.88,0.92,0.96,1.1,Effective reproduction no.,Likely decreasing,0.86
Basilicata,0.89 (0.71 -- 1.3),0.89,0.93,0.18,0.71,0.81,0.86,0.93,1,1.3,Effective reproduction no.,Likely decreasing,0.74
Veneto,0.88 (0.67 -- 1.2),0.88,0.9,0.16,0.67,0.79,0.85,0.92,0.98,1.2,Effective reproduction no.,Likely decreasing,0.78
Puglia,0.86 (0.72 -- 1.1),0.86,0.87,0.11,0.72,0.8,0.83,0.88,0.93,1.1,Effective reproduction no.,Likely decreasing,0.89
Abruzzo,0.85 (0.76 -- 0.96),0.85,0.86,0.065,0.76,0.82,0.84,0.86,0.89,0.96,Effective reproduction no.,Decreasing,0.98
Calabria,0.85 (0.73 -- 0.99),0.85,0.85,0.08,0.73,0.81,0.84,0.87,0.9,0.99,Effective reproduction no.,Decreasing,0.96
Lombardia,0.85 (0.71 -- 1),0.85,0.86,0.1,0.71,0.79,0.83,0.87,0.92,1,Effective reproduction no.,Likely decreasing,0.92
Trentino-Alto Adige,0.85 (0.39 -- 1.5),0.85,0.88,0.41,0.39,0.68,0.79,0.89,0.98,1.5,Effective reproduction no.,Likely decreasing,0.77
Umbria,0.85 (0.74 -- 1.1),0.85,0.88,0.12,0.74,0.81,0.84,0.87,0.92,1.1,Effective reproduction no.,Likely decreasing,0.88
Campania,0.84 (0.68 -- 1),0.84,0.85,0.11,0.68,0.78,0.82,0.87,0.91,1,Effective reproduction no.,Likely decreasing,0.92
Toscana,0.82 (0.74 -- 0.96),0.82,0.83,0.07,0.74,0.79,0.81,0.84,0.87,0.96,Effective reproduction no.,Decreasing,0.98
Marche,0.79 (0.64 -- 0.99),0.79,0.8,0.11,0.64,0.73,0.77,0.82,0.86,0.99,Effective reproduction no.,Decreasing,0.96
Piemonte,0.79 (0.64 -- 0.97),0.79,0.79,0.1,0.64,0.73,0.77,0.81,0.86,0.97,Effective reproduction no.,Decreasing,0.97
Valle d'Aosta,0.77 (0.52 -- 1.1),0.77,0.79,0.19,0.52,0.67,0.73,0.81,0.87,1.1,Effective reproduction no.,Likely decreasing,0.9
Liguria,0.72 (0.55 -- 0.86),0.72,0.71,0.096,0.55,0.66,0.7,0.74,0.77,0.86,Effective reproduction no.,Decreasing,0.99
