Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Abruzzo,33 (20 -- 54),Likely decreasing,0.89 (0.74 -- 1.1),-0.031 (-0.075 -- 0.015),-22 (46 -- -9.3)
Basilicata,44 (16 -- 142),Likely increasing,1.1 (0.75 -- 1.8),0.035 (-0.071 -- 0.2),20 (3.5 -- -9.8)
Calabria,81 (38 -- 178),Likely decreasing,0.87 (0.62 -- 1.2),-0.035 (-0.11 -- 0.057),-20 (12 -- -6.3)
Campania,190 (107 -- 315),Likely decreasing,0.87 (0.65 -- 1.1),-0.037 (-0.1 -- 0.022),-19 (31 -- -6.9)
Emilia-Romagna,276 (157 -- 493),Stable,1 (0.76 -- 1.3),0.004 (-0.07 -- 0.088),170 (7.9 -- -9.9)
Friuli Venezia Giulia,54 (23 -- 147),Stable,0.95 (0.67 -- 1.4),-0.014 (-0.097 -- 0.12),-51 (6 -- -7.2)
Lazio,277 (124 -- 678),Stable,1 (0.65 -- 1.6),0.0031 (-0.1 -- 0.16),230 (4.3 -- -6.8)
Liguria,67 (18 -- 304),Stable,1 (0.57 -- 1.9),0.0072 (-0.13 -- 0.23),97 (3 -- -5.4)
Lombardia,241 (119 -- 496),Likely decreasing,0.89 (0.62 -- 1.3),-0.03 (-0.11 -- 0.07),-23 (10 -- -6.3)
Marche,41 (21 -- 87),Likely decreasing,0.87 (0.65 -- 1.2),-0.038 (-0.1 -- 0.047),-18 (15 -- -6.8)
Molise,1 (0 -- 5),Likely decreasing,0.77 (0.46 -- 1.2),-0.066 (-0.16 -- 0.047),-10 (15 -- -4.2)
Piemonte,84 (37 -- 174),Likely decreasing,0.75 (0.49 -- 1),-0.073 (-0.15 -- 0.013),-9.5 (54 -- -4.6)
Puglia,103 (51 -- 205),Likely decreasing,0.94 (0.68 -- 1.3),-0.018 (-0.092 -- 0.069),-39 (10 -- -7.5)
Sardegna,75 (24 -- 242),Likely increasing,1.3 (0.76 -- 2.2),0.075 (-0.068 -- 0.29),9.2 (2.4 -- -10)
Sicilia,460 (208 -- 1044),Likely increasing,1.1 (0.74 -- 1.5),0.021 (-0.075 -- 0.14),34 (4.9 -- -9.2)
Toscana,198 (104 -- 386),Likely decreasing,0.95 (0.68 -- 1.3),-0.014 (-0.093 -- 0.089),-48 (7.8 -- -7.5)
Trentino-Alto Adige,132 (46 -- 420),Likely increasing,1.3 (0.77 -- 2.3),0.079 (-0.064 -- 0.3),8.8 (2.3 -- -11)
Umbria,14 (4 -- 44),Likely decreasing,0.68 (0.35 -- 1.2),-0.092 (-0.2 -- 0.043),-7.6 (16 -- -3.4)
Valle d'Aosta,11 (3 -- 47),Likely increasing,1.3 (0.75 -- 2.1),0.072 (-0.071 -- 0.27),9.6 (2.6 -- -9.7)
Veneto,342 (154 -- 779),Stable,1 (0.7 -- 1.5),0.01 (-0.085 -- 0.14),68 (4.9 -- -8.2)
