region,date,type,median,lower_90,upper_90,lower_50,upper_50
Adygea Republic,2020-06-17,estimate,55.8,42,70,51,61
Adygea Republic,2020-06-18,estimate,55.4,42,68,50,61
Adygea Republic,2020-06-19,estimate,55.2,42,67,50,60
Adygea Republic,2020-06-20,estimate,54.5,43,67,49,58
Adygea Republic,2020-06-21,estimate,53.5,43,67,48,57
Adygea Republic,2020-06-22,estimate,52.3,42,65,47,56
Adygea Republic,2020-06-23,estimate,50.6,40,64,45,54
Adygea Republic,2020-06-24,estimate,48.8,37,62,43,53
Adygea Republic,2020-06-25,estimate,46.6,35,59,40,50
Adygea Republic,2020-06-26,estimate,44.3,34,57,39,49
Adygea Republic,2020-06-27,estimate,41.8,31,53,36,45
Adygea Republic,2020-06-28,estimate,39,29,49,35,43
Adygea Republic,2020-06-29,estimate,36.3,27,46,31,38
Adygea Republic,2020-06-30,estimate,33.6,25,43,30,37
Adygea Republic,2020-07-01,estimate,31.2,24,39,28,34
Adygea Republic,2020-07-02,estimate,28.9,21,37,25,31
Adygea Republic,2020-07-03,estimate,26.9,19,35,22,29
Adygea Republic,2020-07-04,estimate,25.2,18,34,21,28
Adygea Republic,2020-07-05,estimate,23.8,17,32,21,27
Adygea Republic,2020-07-06,estimate,22.7,15,31,19,25
Adygea Republic,2020-07-07,estimate,22,14,29,19,25
Adygea Republic,2020-07-08,estimate,21.6,14,30,19,25
Adygea Republic,2020-07-09,estimate,21.3,14,30,19,25
Adygea Republic,2020-07-10,estimate,21.6,14,29,18,25
Adygea Republic,2020-07-11,estimate,22.1,15,30,19,25
Adygea Republic,2020-07-12,estimate,23,15,31,19,26
Adygea Republic,2020-07-13,estimate,24.5,17,32,21,27
Adygea Republic,2020-07-14,estimate,26.2,19,35,23,30
Adygea Republic,2020-07-15,estimate,28.6,21,37,25,32
Adygea Republic,2020-07-16,estimate,31.4,24,41,28,35
Adygea Republic,2020-07-17,estimate based on partial data,34.9,27,45,31,38
Adygea Republic,2020-07-18,estimate based on partial data,38.9,29,51,34,42
Adygea Republic,2020-07-19,estimate based on partial data,43.7,33,58,37,47
