region,date,type,median,mean,sd,lower_20,upper_20,lower_50,upper_50,lower_90,upper_90
Adygea Republic,2020-07-21,estimate,33,33,3,32,34,31,35,28,39
Adygea Republic,2020-07-22,estimate,33,33,3,31,33,30,35,28,39
Adygea Republic,2020-07-23,estimate,32,33,3,32,33,30,34,27,38
Adygea Republic,2020-07-24,estimate,32,32,3,31,32,29,33,27,37
Adygea Republic,2020-07-25,estimate,31,31,3,30,31,29,33,26,36
Adygea Republic,2020-07-26,estimate,30,30,3,29,30,28,32,26,35
Adygea Republic,2020-07-27,estimate,29,29,3,27,29,27,31,25,34
Adygea Republic,2020-07-28,estimate,28,28,3,26,28,26,29,24,32
Adygea Republic,2020-07-29,estimate,27,27,3,26,27,25,28,22,31
Adygea Republic,2020-07-30,estimate,25,26,2,24,26,24,27,22,30
Adygea Republic,2020-07-31,estimate,24,24,2,23,24,23,26,20,28
Adygea Republic,2020-08-01,estimate,23,23,2,22,23,22,25,19,27
Adygea Republic,2020-08-02,estimate,22,22,2,22,23,21,24,18,26
Adygea Republic,2020-08-03,estimate,21,21,2,20,21,20,23,18,25
Adygea Republic,2020-08-04,estimate,20,20,2,19,20,19,22,17,24
Adygea Republic,2020-08-05,estimate,19,19,2,19,20,18,21,16,23
Adygea Republic,2020-08-06,estimate,19,19,2,18,19,17,20,15,22
Adygea Republic,2020-08-07,estimate,18,18,2,17,18,17,20,15,22
Adygea Republic,2020-08-08,estimate,18,18,2,17,18,16,19,14,21
Adygea Republic,2020-08-09,estimate,17,17,2,17,18,16,19,14,21
Adygea Republic,2020-08-10,estimate,17,17,2,16,17,16,19,14,20
Adygea Republic,2020-08-11,estimate,17,17,2,16,17,16,18,14,20
Adygea Republic,2020-08-12,estimate,17,17,2,17,18,15,18,14,20
Adygea Republic,2020-08-13,estimate,17,17,2,16,17,16,18,14,20
Adygea Republic,2020-08-14,estimate,17,17,2,16,17,15,18,14,20
Adygea Republic,2020-08-15,estimate,17,17,2,16,17,16,18,14,20
Adygea Republic,2020-08-16,estimate,17,17,2,17,18,16,18,14,20
Adygea Republic,2020-08-17,estimate,17,17,2,17,18,16,18,14,20
Adygea Republic,2020-08-18,estimate,18,18,2,17,17,16,19,15,21
Adygea Republic,2020-08-19,estimate,18,18,2,17,18,16,19,15,21
Adygea Republic,2020-08-20,estimate,18,18,2,17,18,16,19,15,21
Adygea Republic,2020-08-21,estimate,18,18,2,17,18,17,19,15,22
Adygea Republic,2020-08-22,estimate,19,19,2,18,19,17,20,16,22
Adygea Republic,2020-08-23,estimate,19,19,2,18,19,17,20,16,22
Adygea Republic,2020-08-24,estimate,19,19,2,18,19,18,20,16,23
Adygea Republic,2020-08-25,estimate,19,19,2,19,20,18,21,16,23
Adygea Republic,2020-08-26,estimate,20,20,2,19,20,18,21,16,23
Adygea Republic,2020-08-27,estimate,20,20,2,19,20,18,21,16,23
Adygea Republic,2020-08-28,estimate,20,20,2,19,20,18,21,17,23
Adygea Republic,2020-08-29,estimate,20,20,2,19,20,18,21,17,24
Adygea Republic,2020-08-30,estimate,20,20,2,19,20,19,21,17,24
Adygea Republic,2020-08-31,estimate,20,20,2,20,21,19,22,17,24
Adygea Republic,2020-09-01,estimate,20,20,2,20,21,19,22,17,24
Adygea Republic,2020-09-02,estimate,20,21,2,20,21,19,22,17,24
Adygea Republic,2020-09-03,estimate,21,21,2,20,21,19,22,17,24
Adygea Republic,2020-09-04,estimate,21,21,2,20,21,19,22,17,24
Adygea Republic,2020-09-05,estimate,21,21,2,20,21,19,22,17,24
Adygea Republic,2020-09-06,estimate,21,21,2,21,22,20,23,18,25
Adygea Republic,2020-09-07,estimate,21,22,2,20,22,20,23,18,25
Adygea Republic,2020-09-08,estimate,22,22,2,21,22,21,24,18,25
Adygea Republic,2020-09-09,estimate,22,22,2,22,23,21,24,18,26
Adygea Republic,2020-09-10,estimate,23,23,2,22,24,21,24,19,27
Adygea Republic,2020-09-11,estimate,23,23,2,23,24,21,25,19,27
Adygea Republic,2020-09-12,estimate,24,24,2,23,25,22,26,20,28
Adygea Republic,2020-09-13,estimate,24,24,3,23,24,23,26,20,29
Adygea Republic,2020-09-14,estimate,25,25,3,23,25,23,27,21,29
Adygea Republic,2020-09-15,estimate,26,26,3,26,27,24,27,21,30
Adygea Republic,2020-09-16,estimate,26,27,3,25,27,24,28,22,31
Adygea Republic,2020-09-17,estimate,27,27,3,26,28,25,29,23,32
Adygea Republic,2020-09-18,estimate,28,28,3,27,28,26,30,23,33
Adygea Republic,2020-09-19,estimate based on partial data,29,29,3,28,30,27,31,23,35
Adygea Republic,2020-09-20,estimate based on partial data,30,30,4,29,31,28,33,24,36
Adygea Republic,2020-09-21,estimate based on partial data,31,31,5,31,33,28,34,24,38
Adygea Republic,2020-09-22,estimate based on partial data,32,33,5,31,34,28,35,24,41
Adygea Republic,2020-09-23,estimate based on partial data,33,34,6,32,35,28,36,24,45
Adygea Republic,2020-09-24,estimate based on partial data,34,35,8,32,36,27,37,23,48
Adygea Republic,2020-09-25,estimate based on partial data,36,37,10,32,36,27,39,22,52
Adygea Republic,2020-09-26,estimate based on partial data,37,39,12,32,37,27,41,21,57
Adygea Republic,2020-09-27,estimate based on partial data,38,41,15,31,36,26,42,19,62
Adygea Republic,2020-09-28,estimate based on partial data,39,43,18,30,37,26,44,16,67
Adygea Republic,2020-09-29,estimate based on partial data,41,46,24,29,37,26,46,16,75
Adygea Republic,2020-09-30,forecast,42,49,30,29,37,25,48,15,82
Adygea Republic,2020-10-01,forecast,44,52,38,28,37,24,50,14,91
Adygea Republic,2020-10-02,forecast,45,56,50,28,38,24,52,12,99
Adygea Republic,2020-10-03,forecast,47,60,67,28,39,21,52,11,108
Adygea Republic,2020-10-04,forecast,48,66,91,27,39,20,54,8,117
Adygea Republic,2020-10-05,forecast,50,72,127,27,40,17,54,8,130
Adygea Republic,2020-10-06,forecast,52,79,179,27,41,16,56,6,144
Adygea Republic,2020-10-07,forecast,53,88,256,26,41,15,58,4,156
Adygea Republic,2020-10-08,forecast,55,99,369,26,42,15,60,3,172
Adygea Republic,2020-10-09,forecast,57,113,538,27,43,15,63,3,191
Adygea Republic,2020-10-10,forecast,58,131,788,26,44,14,65,1,208
Adygea Republic,2020-10-11,forecast,60,153,1159,26,45,12,66,2,231
Adygea Republic,2020-10-12,forecast,62,183,1710,27,46,11,68,2,254
