region,date,type,median,mean,sd,lower_20,upper_20,lower_50,upper_50,lower_90,upper_90
Adygea Republic,2020-07-25,estimate,30,31,10,25,29,19,32,14,45
Adygea Republic,2020-07-26,estimate,31,32,10,26,30,20,33,14,46
Adygea Republic,2020-07-27,estimate,30,31,10,24,28,20,33,15,46
Adygea Republic,2020-07-28,estimate,31,32,10,22,27,22,35,15,47
Adygea Republic,2020-07-29,estimate,30,31,10,24,28,20,32,15,45
Adygea Republic,2020-07-30,estimate,30,31,10,24,28,22,34,13,45
Adygea Republic,2020-07-31,estimate,30,31,10,25,29,21,33,13,44
Adygea Republic,2020-08-01,estimate,31,32,10,26,30,20,33,16,47
Adygea Republic,2020-08-02,estimate,29,30,10,23,27,20,32,13,44
Adygea Republic,2020-08-03,estimate,28,29,9,21,25,18,30,14,43
Adygea Republic,2020-08-04,estimate,27,28,9,21,25,20,31,12,41
Adygea Republic,2020-08-05,estimate,25,26,8,22,25,19,29,12,38
Adygea Republic,2020-08-06,estimate,25,26,8,22,25,18,28,12,38
Adygea Republic,2020-08-07,estimate,24,25,8,20,23,16,26,10,36
Adygea Republic,2020-08-08,estimate,24,25,8,21,24,16,26,11,37
Adygea Republic,2020-08-09,estimate,23,24,8,19,22,15,25,12,36
Adygea Republic,2020-08-10,estimate,22,23,8,19,22,13,23,10,34
Adygea Republic,2020-08-11,estimate,21,22,7,15,18,13,22,10,33
Adygea Republic,2020-08-12,estimate,19,20,7,13,16,14,22,7,29
Adygea Republic,2020-08-13,estimate,20,20,7,14,17,12,21,7,29
Adygea Republic,2020-08-14,estimate,19,19,7,13,16,13,21,8,29
Adygea Republic,2020-08-15,estimate,19,20,7,14,17,14,22,8,30
Adygea Republic,2020-08-16,estimate,19,19,7,12,15,13,21,8,29
Adygea Republic,2020-08-17,estimate,18,18,7,12,15,11,19,7,27
Adygea Republic,2020-08-18,estimate,18,18,6,12,15,11,19,7,27
Adygea Republic,2020-08-19,estimate,17,17,6,10,13,9,17,7,26
Adygea Republic,2020-08-20,estimate,17,18,6,11,14,10,18,8,27
Adygea Republic,2020-08-21,estimate,17,18,6,11,14,10,18,6,26
Adygea Republic,2020-08-22,estimate,18,19,7,12,15,12,20,7,28
Adygea Republic,2020-08-23,estimate,18,19,7,12,15,12,20,7,28
Adygea Republic,2020-08-24,estimate,17,18,6,11,14,10,18,7,27
Adygea Republic,2020-08-25,estimate,17,18,6,11,14,11,19,7,27
Adygea Republic,2020-08-26,estimate,17,17,6,15,17,10,18,6,26
Adygea Republic,2020-08-27,estimate,18,18,6,12,15,11,19,7,27
Adygea Republic,2020-08-28,estimate,18,19,7,12,15,11,19,7,28
Adygea Republic,2020-08-29,estimate,19,20,7,13,16,11,20,8,29
Adygea Republic,2020-08-30,estimate,19,20,7,13,16,13,21,9,30
Adygea Republic,2020-08-31,estimate,19,19,7,13,16,12,20,9,29
Adygea Republic,2020-09-01,estimate,19,19,7,12,15,13,21,8,29
Adygea Republic,2020-09-02,estimate,18,19,7,12,15,12,20,9,29
Adygea Republic,2020-09-03,estimate,19,20,7,13,16,13,21,9,30
Adygea Republic,2020-09-04,estimate,19,20,7,13,16,13,21,8,29
Adygea Republic,2020-09-05,estimate,20,20,7,14,17,15,23,8,30
Adygea Republic,2020-09-06,estimate,20,21,7,15,18,12,21,8,31
Adygea Republic,2020-09-07,estimate,19,20,7,13,16,14,22,8,30
Adygea Republic,2020-09-08,estimate,20,20,7,14,17,12,21,8,30
Adygea Republic,2020-09-09,estimate,19,20,7,13,16,13,21,8,29
Adygea Republic,2020-09-10,estimate,20,20,7,14,17,14,22,8,30
Adygea Republic,2020-09-11,estimate,20,21,7,14,17,12,21,8,30
Adygea Republic,2020-09-12,estimate,21,22,7,16,19,14,23,9,32
Adygea Republic,2020-09-13,estimate,21,22,8,16,19,14,23,8,32
Adygea Republic,2020-09-14,estimate,21,21,7,15,18,14,23,9,32
Adygea Republic,2020-09-15,estimate,21,22,8,16,19,14,23,10,33
Adygea Republic,2020-09-16,estimate,20,21,7,15,18,13,22,10,32
Adygea Republic,2020-09-17,estimate,22,22,8,16,19,16,25,9,33
Adygea Republic,2020-09-18,estimate,22,23,8,18,21,14,24,10,34
Adygea Republic,2020-09-19,estimate,24,24,8,20,23,16,26,10,36
Adygea Republic,2020-09-20,estimate,24,25,8,21,24,17,27,10,37
Adygea Republic,2020-09-21,estimate,24,24,8,20,23,15,25,11,36
Adygea Republic,2020-09-22,estimate,24,25,8,17,21,18,28,11,37
Adygea Republic,2020-09-23,estimate based on partial data,24,25,8,19,22,16,26,10,36
