region,date,type,median,mean,sd,lower_20,upper_20,lower_50,upper_50,lower_90,upper_90
Adygea Republic,2020-07-21,estimate,0.019,0.02,0.014,0.015,0.021,0.009,0.027,-0.001,0.044
Adygea Republic,2020-07-22,estimate,0.012,0.013,0.014,0.008,0.014,0.002,0.019,-0.01,0.034
Adygea Republic,2020-07-23,estimate,0.005,0.006,0.013,0.002,0.008,-0.003,0.013,-0.015,0.027
Adygea Republic,2020-07-24,estimate,-0.002,-0.001,0.013,-0.007,-0.001,-0.01,0.007,-0.021,0.02
Adygea Republic,2020-07-25,estimate,-0.009,-0.008,0.013,-0.014,-0.008,-0.016,0,-0.028,0.013
Adygea Republic,2020-07-26,estimate,-0.015,-0.015,0.013,-0.019,-0.014,-0.023,-0.007,-0.035,0.006
Adygea Republic,2020-07-27,estimate,-0.021,-0.022,0.013,-0.023,-0.017,-0.028,-0.012,-0.043,-0.001
Adygea Republic,2020-07-28,estimate,-0.027,-0.027,0.013,-0.028,-0.022,-0.034,-0.018,-0.049,-0.006
Adygea Republic,2020-07-29,estimate,-0.032,-0.032,0.014,-0.036,-0.03,-0.04,-0.022,-0.057,-0.011
Adygea Republic,2020-07-30,estimate,-0.036,-0.037,0.014,-0.041,-0.034,-0.044,-0.026,-0.06,-0.013
Adygea Republic,2020-07-31,estimate,-0.04,-0.04,0.014,-0.043,-0.036,-0.047,-0.029,-0.062,-0.014
Adygea Republic,2020-08-01,estimate,-0.042,-0.043,0.015,-0.044,-0.037,-0.049,-0.03,-0.066,-0.018
Adygea Republic,2020-08-02,estimate,-0.044,-0.045,0.015,-0.047,-0.04,-0.051,-0.032,-0.067,-0.019
Adygea Republic,2020-08-03,estimate,-0.044,-0.045,0.015,-0.045,-0.039,-0.051,-0.032,-0.07,-0.022
Adygea Republic,2020-08-04,estimate,-0.044,-0.045,0.014,-0.044,-0.037,-0.052,-0.034,-0.07,-0.023
Adygea Republic,2020-08-05,estimate,-0.043,-0.044,0.014,-0.044,-0.038,-0.05,-0.032,-0.066,-0.02
Adygea Republic,2020-08-06,estimate,-0.042,-0.042,0.014,-0.043,-0.037,-0.05,-0.032,-0.065,-0.02
Adygea Republic,2020-08-07,estimate,-0.039,-0.04,0.013,-0.042,-0.036,-0.049,-0.031,-0.061,-0.019
Adygea Republic,2020-08-08,estimate,-0.036,-0.037,0.013,-0.039,-0.033,-0.046,-0.029,-0.057,-0.016
Adygea Republic,2020-08-09,estimate,-0.032,-0.033,0.012,-0.036,-0.03,-0.041,-0.024,-0.053,-0.012
Adygea Republic,2020-08-10,estimate,-0.028,-0.028,0.012,-0.032,-0.026,-0.037,-0.021,-0.049,-0.008
Adygea Republic,2020-08-11,estimate,-0.024,-0.024,0.012,-0.028,-0.022,-0.032,-0.016,-0.044,-0.003
Adygea Republic,2020-08-12,estimate,-0.019,-0.019,0.013,-0.026,-0.02,-0.027,-0.011,-0.039,0.002
