region,date,type,median,mean,sd,lower_20,upper_20,lower_50,upper_50,lower_90,upper_90
Adygea Republic,2020-07-15,estimate,1.08,1.09,0.05,1.05,1.07,1.03,1.09,1.01,1.18
Adygea Republic,2020-07-16,estimate,1.08,1.09,0.06,1.04,1.06,1.03,1.09,1,1.18
Adygea Republic,2020-07-17,estimate,1.07,1.08,0.06,1.04,1.06,1.02,1.09,1,1.18
Adygea Republic,2020-07-18,estimate,1.07,1.08,0.06,1.03,1.06,1.01,1.08,0.99,1.18
Adygea Republic,2020-07-19,estimate,1.06,1.07,0.06,1.03,1.06,1.01,1.08,0.99,1.17
Adygea Republic,2020-07-20,estimate,1.05,1.06,0.06,1.03,1.06,1,1.07,0.97,1.16
Adygea Republic,2020-07-21,estimate,1.04,1.05,0.06,1.01,1.03,0.99,1.06,0.96,1.14
Adygea Republic,2020-07-22,estimate,1.03,1.04,0.05,1.01,1.03,0.99,1.05,0.95,1.12
Adygea Republic,2020-07-23,estimate,1.02,1.02,0.05,1.01,1.03,0.98,1.04,0.94,1.1
Adygea Republic,2020-07-24,estimate,1,1.01,0.05,0.99,1.01,0.97,1.03,0.93,1.09
Adygea Republic,2020-07-25,estimate,0.99,0.99,0.05,0.98,1,0.96,1.02,0.91,1.06
Adygea Republic,2020-07-26,estimate,0.98,0.98,0.04,0.97,0.99,0.95,1,0.9,1.05
Adygea Republic,2020-07-27,estimate,0.96,0.96,0.04,0.96,0.98,0.94,0.99,0.89,1.03
Adygea Republic,2020-07-28,estimate,0.95,0.95,0.04,0.95,0.97,0.93,0.98,0.87,1.01
Adygea Republic,2020-07-29,estimate,0.94,0.93,0.05,0.94,0.96,0.91,0.97,0.85,1
Adygea Republic,2020-07-30,estimate,0.92,0.92,0.05,0.93,0.95,0.9,0.96,0.84,1
Adygea Republic,2020-07-31,estimate,0.91,0.91,0.05,0.91,0.93,0.88,0.95,0.83,0.99
Adygea Republic,2020-08-01,estimate,0.9,0.9,0.05,0.9,0.93,0.88,0.95,0.81,0.98
Adygea Republic,2020-08-02,estimate,0.9,0.89,0.06,0.9,0.93,0.87,0.94,0.8,0.98
Adygea Republic,2020-08-03,estimate,0.89,0.89,0.06,0.9,0.92,0.87,0.94,0.79,0.98
Adygea Republic,2020-08-04,estimate,0.89,0.88,0.06,0.89,0.92,0.86,0.94,0.79,0.97
Adygea Republic,2020-08-05,estimate,0.89,0.88,0.06,0.89,0.92,0.86,0.93,0.78,0.97
Adygea Republic,2020-08-06,estimate,0.89,0.88,0.06,0.88,0.91,0.86,0.93,0.79,0.97
Adygea Republic,2020-08-07,estimate,0.89,0.88,0.06,0.9,0.92,0.87,0.94,0.79,0.97
Adygea Republic,2020-08-08,estimate,0.89,0.89,0.05,0.89,0.92,0.86,0.93,0.8,0.98
Adygea Republic,2020-08-09,estimate,0.9,0.9,0.05,0.89,0.91,0.87,0.94,0.82,0.98
Adygea Republic,2020-08-10,estimate,0.91,0.9,0.05,0.9,0.92,0.89,0.95,0.82,0.98
Adygea Republic,2020-08-11,estimate,0.92,0.91,0.05,0.92,0.94,0.9,0.96,0.84,0.98
Adygea Republic,2020-08-12,estimate,0.93,0.92,0.04,0.92,0.94,0.9,0.96,0.85,0.99
Adygea Republic,2020-08-13,estimate,0.94,0.94,0.04,0.93,0.95,0.91,0.97,0.86,1
Adygea Republic,2020-08-14,estimate,0.95,0.95,0.04,0.93,0.95,0.93,0.98,0.88,1.02
Adygea Republic,2020-08-15,estimate,0.96,0.96,0.04,0.94,0.95,0.93,0.99,0.89,1.03
Adygea Republic,2020-08-16,estimate,0.97,0.97,0.05,0.95,0.97,0.94,1,0.91,1.05
Adygea Republic,2020-08-17,estimate,0.98,0.99,0.05,0.96,0.97,0.95,1,0.91,1.06
Adygea Republic,2020-08-18,estimate,0.99,1,0.05,0.97,0.99,0.95,1.01,0.92,1.08
Adygea Republic,2020-08-19,estimate,1,1.01,0.05,0.97,1,0.96,1.02,0.92,1.09
Adygea Republic,2020-08-20,estimate,1.01,1.02,0.06,0.98,1,0.97,1.03,0.92,1.1
Adygea Republic,2020-08-21,estimate,1.01,1.02,0.06,0.99,1.01,0.97,1.04,0.94,1.11
Adygea Republic,2020-08-22,estimate,1.02,1.03,0.06,0.99,1.01,0.97,1.04,0.95,1.12
Adygea Republic,2020-08-23,estimate,1.02,1.03,0.06,0.99,1.01,0.98,1.05,0.95,1.12
Adygea Republic,2020-08-24,estimate,1.03,1.04,0.05,0.99,1.02,0.99,1.05,0.95,1.12
Adygea Republic,2020-08-25,estimate,1.03,1.04,0.05,1,1.03,0.99,1.06,0.96,1.13
Adygea Republic,2020-08-26,estimate,1.03,1.04,0.05,1,1.03,0.99,1.06,0.96,1.12
Adygea Republic,2020-08-27,estimate,1.03,1.04,0.05,1.01,1.04,1,1.06,0.96,1.12
Adygea Republic,2020-08-28,estimate,1.04,1.04,0.05,1.02,1.04,1,1.06,0.96,1.12
Adygea Republic,2020-08-29,estimate,1.03,1.04,0.05,1.02,1.04,1,1.06,0.97,1.12
Adygea Republic,2020-08-30,estimate,1.04,1.04,0.05,1.03,1.05,1,1.06,0.96,1.12
Adygea Republic,2020-08-31,estimate,1.03,1.04,0.05,1.02,1.04,1,1.06,0.96,1.11
Adygea Republic,2020-09-01,estimate,1.03,1.03,0.05,1.03,1.05,1,1.06,0.96,1.11
Adygea Republic,2020-09-02,estimate,1.03,1.03,0.05,1.03,1.05,1,1.06,0.96,1.11
Adygea Republic,2020-09-03,estimate,1.03,1.03,0.05,1.03,1.05,1,1.06,0.95,1.11
Adygea Republic,2020-09-04,estimate,1.03,1.03,0.05,1.03,1.06,1,1.06,0.95,1.11
Adygea Republic,2020-09-05,estimate,1.03,1.03,0.05,1.02,1.04,1.01,1.07,0.96,1.12
Adygea Republic,2020-09-06,estimate,1.03,1.03,0.05,1.03,1.05,1,1.06,0.95,1.11
Adygea Republic,2020-09-07,estimate,1.04,1.03,0.05,1.02,1.04,1,1.07,0.96,1.12
Adygea Republic,2020-09-08,estimate,1.04,1.04,0.05,1.02,1.05,1.01,1.07,0.96,1.12
Adygea Republic,2020-09-09,estimate,1.04,1.04,0.05,1.02,1.05,1,1.07,0.95,1.12
Adygea Republic,2020-09-10,estimate,1.04,1.04,0.05,1.02,1.05,1.01,1.08,0.96,1.13
Adygea Republic,2020-09-11,estimate,1.04,1.04,0.06,1.03,1.06,1,1.08,0.95,1.14
Adygea Republic,2020-09-12,estimate,1.05,1.05,0.06,1.03,1.06,1,1.08,0.94,1.15
Adygea Republic,2020-09-13,estimate based on partial data,1.05,1.05,0.07,1.03,1.06,1.01,1.1,0.94,1.17
Adygea Republic,2020-09-14,estimate based on partial data,1.05,1.05,0.08,1.04,1.08,1.01,1.1,0.93,1.18
Adygea Republic,2020-09-15,estimate based on partial data,1.06,1.06,0.08,1.03,1.07,1.01,1.11,0.92,1.19
Adygea Republic,2020-09-16,estimate based on partial data,1.06,1.06,0.09,1.03,1.07,1,1.11,0.9,1.2
Adygea Republic,2020-09-17,estimate based on partial data,1.06,1.06,0.1,1.02,1.06,1,1.12,0.89,1.21
Adygea Republic,2020-09-18,estimate based on partial data,1.06,1.06,0.11,1.01,1.06,1,1.12,0.88,1.24
Adygea Republic,2020-09-19,estimate based on partial data,1.06,1.07,0.12,1.04,1.08,0.98,1.12,0.86,1.25
Adygea Republic,2020-09-20,estimate based on partial data,1.06,1.07,0.13,1.03,1.08,0.97,1.12,0.85,1.28
Adygea Republic,2020-09-21,estimate based on partial data,1.06,1.07,0.15,1.03,1.08,0.97,1.12,0.84,1.3
Adygea Republic,2020-09-22,estimate based on partial data,1.06,1.07,0.16,0.99,1.05,0.96,1.13,0.81,1.3
Adygea Republic,2020-09-23,estimate based on partial data,1.05,1.07,0.17,1,1.06,0.94,1.12,0.79,1.31
Adygea Republic,2020-09-24,forecast,1.05,1.07,0.17,1,1.06,0.94,1.12,0.79,1.31
Adygea Republic,2020-09-25,forecast,1.05,1.07,0.17,1,1.06,0.94,1.12,0.79,1.31
Adygea Republic,2020-09-26,forecast,1.05,1.07,0.17,1,1.06,0.94,1.12,0.79,1.31
Adygea Republic,2020-09-27,forecast,1.05,1.07,0.17,1,1.06,0.94,1.12,0.79,1.31
Adygea Republic,2020-09-28,forecast,1.05,1.07,0.17,1,1.06,0.94,1.12,0.79,1.31
Adygea Republic,2020-09-29,forecast,1.05,1.07,0.17,1,1.06,0.94,1.12,0.79,1.31
Adygea Republic,2020-09-30,forecast,1.05,1.07,0.17,1,1.06,0.94,1.12,0.79,1.31
Adygea Republic,2020-10-01,forecast,1.05,1.07,0.17,1,1.06,0.94,1.12,0.79,1.31
Adygea Republic,2020-10-02,forecast,1.05,1.07,0.17,1,1.06,0.94,1.12,0.79,1.31
Adygea Republic,2020-10-03,forecast,1.05,1.07,0.17,1,1.06,0.94,1.12,0.79,1.31
Adygea Republic,2020-10-04,forecast,1.05,1.07,0.17,1,1.06,0.94,1.12,0.79,1.31
Adygea Republic,2020-10-05,forecast,1.05,1.07,0.17,1,1.06,0.94,1.12,0.79,1.31
