region,point,lower,upper,mid_lower,mid_upper,central_lower,central_upper,metric,Expected change in daily cases
Moscow,913,296,1732,530,1070,649,840,New confirmed cases by infection date,Unsure
Saint Petersburg,217,60,449,117,256,144,192,New confirmed cases by infection date,Unsure
Nizhny Novgorod Oblast,210,52,437,90,232,131,182,New confirmed cases by infection date,Unsure
Moscow Oblast,198,68,353,125,235,139,177,New confirmed cases by infection date,Unsure
Stavropol Krai,186,90,313,133,213,150,179,New confirmed cases by infection date,Unsure
Rostov Oblast,178,58,336,103,204,129,164,New confirmed cases by infection date,Unsure
Sverdlovsk Oblast,165,52,316,99,195,118,153,New confirmed cases by infection date,Unsure
Krasnoyarsk Krai,149,57,255,98,173,119,146,New confirmed cases by infection date,Unsure
Kemerovo Oblast,147,51,255,102,180,124,151,New confirmed cases by infection date,Unsure
Orenburg Oblast,144,61,253,93,160,123,148,New confirmed cases by infection date,Unsure
Irkutsk Oblast,136,62,232,93,153,113,134,New confirmed cases by infection date,Unsure
Saratov Oblast,134,64,222,101,160,113,135,New confirmed cases by infection date,Unsure
Voronezh Oblast,134,52,227,85,151,106,129,New confirmed cases by infection date,Unsure
Omsk Oblast,133,58,216,90,150,113,135,New confirmed cases by infection date,Unsure
Ulyanovsk Oblast,129,59,209,92,147,119,139,New confirmed cases by infection date,Unsure
Volgograd Oblast,124,43,223,76,143,105,129,New confirmed cases by infection date,Unsure
Primorsky Krai,117,43,229,67,132,91,114,New confirmed cases by infection date,Unsure
Arkhangelsk Oblast,107,32,199,65,123,78,99,New confirmed cases by infection date,Unsure
Altai Krai,106,19,226,47,123,68,95,New confirmed cases by infection date,Unsure
Yamalo-Nenets Autonomous Okrug,105,50,177,72,118,86,102,New confirmed cases by infection date,Unsure
Dagestan Republic,98,31,186,57,114,68,89,New confirmed cases by infection date,Unsure
Kostroma Oblast,93,27,174,53,109,72,92,New confirmed cases by infection date,Unsure
Perm Krai,88,31,153,52,97,74,92,New confirmed cases by infection date,Unsure
Kirov Oblast,85,21,178,43,96,52,71,New confirmed cases by infection date,Unsure
Krasnodar Krai,84,28,161,48,97,65,82,New confirmed cases by infection date,Unsure
Sakhalin Oblast,83,30,145,54,97,63,78,New confirmed cases by infection date,Unsure
Belgorod Oblast,79,35,133,55,91,68,81,New confirmed cases by infection date,Unsure
Khanty-Mansi Autonomous Okrug,79,35,128,55,90,67,79,New confirmed cases by infection date,Decreasing
Chelyabinsk Oblast,78,22,138,52,94,60,75,New confirmed cases by infection date,Unsure
Sakha (Yakutiya) Republic,77,29,132,52,90,68,82,New confirmed cases by infection date,Unsure
Pskov Oblast,76,21,179,38,87,51,68,New confirmed cases by infection date,Likely increasing
Republic of Crimea,75,20,150,46,92,58,75,New confirmed cases by infection date,Unsure
Samara Oblast,75,13,160,33,85,49,68,New confirmed cases by infection date,Unsure
Khabarovsk Krai,70,27,117,47,81,62,75,New confirmed cases by infection date,Likely decreasing
Kalmykia Republic,67,1,263,4,69,11,33,New confirmed cases by infection date,Unsure
Penza Oblast,65,18,124,40,80,54,69,New confirmed cases by infection date,Unsure
Orel Oblast,60,6,142,25,72,34,50,New confirmed cases by infection date,Unsure
Ivanovo Oblast,59,10,122,26,68,47,63,New confirmed cases by infection date,Unsure
Tomsk Oblast,59,26,102,39,67,44,54,New confirmed cases by infection date,Unsure
Tyumen Oblast,55,21,88,37,63,48,58,New confirmed cases by infection date,Likely decreasing
Yaroslavl Oblast,54,19,103,32,63,45,56,New confirmed cases by infection date,Unsure
Vologda Oblast,50,32,80,40,55,41,47,New confirmed cases by infection date,Unsure
Bashkortostan Republic,46,10,96,25,56,33,44,New confirmed cases by infection date,Unsure
Astrakhan Oblast,45,8,94,23,53,31,42,New confirmed cases by infection date,Unsure
Mordovia Republic,44,20,82,27,49,37,44,New confirmed cases by infection date,Unsure
Murmansk Oblast,44,15,78,28,52,32,41,New confirmed cases by infection date,Likely decreasing
Ryazan Oblast,44,12,87,24,50,34,44,New confirmed cases by infection date,Unsure
Tula Oblast,44,14,84,25,51,32,41,New confirmed cases by infection date,Unsure
Komi Republic,43,8,90,24,53,26,37,New confirmed cases by infection date,Unsure
Chuvashia Republic,42,14,78,26,49,31,39,New confirmed cases by infection date,Unsure
Karachay-Cherkess Republic,42,9,98,17,46,23,34,New confirmed cases by infection date,Likely increasing
Kaluga Oblast,41,10,75,22,47,30,39,New confirmed cases by infection date,Unsure
Kursk Oblast,41,14,71,24,46,30,38,New confirmed cases by infection date,Unsure
Buryatia Republic,39,15,76,25,46,33,40,New confirmed cases by infection date,Unsure
Novosibirsk Oblast,39,14,72,24,47,32,41,New confirmed cases by infection date,Likely decreasing
Tatarstan Republic,38,12,68,25,46,27,35,New confirmed cases by infection date,Unsure
Bryansk Oblast,37,13,72,24,46,29,37,New confirmed cases by infection date,Unsure
