Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Adygea Republic,18 (2 -- 51),Unsure,0.91 (0.4 -- 1.57),-0.02 (-0.17 -- 0.15),-27.9 (4.5 -- -4)
Altai Krai,106 (19 -- 226),Unsure,0.91 (0.45 -- 1.38),-0.02 (-0.16 -- 0.11),-29 (6.5 -- -4.3)
Altai Republic,18 (5 -- 38),Unsure,0.96 (0.67 -- 1.31),-0.01 (-0.09 -- 0.08),-70.6 (8.2 -- -7.6)
Amur Oblast,16 (4 -- 34),Unsure,0.9 (0.54 -- 1.26),-0.03 (-0.13 -- 0.07),-24 (9.3 -- -5.3)
Arkhangelsk Oblast,107 (32 -- 199),Unsure,1.04 (0.7 -- 1.42),0.01 (-0.08 -- 0.12),57.2 (5.8 -- -8.9)
Astrakhan Oblast,45 (8 -- 94),Unsure,0.96 (0.57 -- 1.37),-0.01 (-0.12 -- 0.1),-59.9 (6.7 -- -5.8)
Bashkortostan Republic,46 (10 -- 96),Unsure,0.97 (0.56 -- 1.44),-0.01 (-0.13 -- 0.12),-78.6 (5.8 -- -5.4)
Belgorod Oblast,79 (35 -- 133),Unsure,1.03 (0.79 -- 1.33),0.01 (-0.06 -- 0.09),75 (8.1 -- -11.8)
Bryansk Oblast,37 (13 -- 72),Unsure,0.97 (0.67 -- 1.33),-0.01 (-0.09 -- 0.09),-91.5 (7.8 -- -7.3)
Buryatia Republic,39 (15 -- 76),Unsure,0.97 (0.66 -- 1.29),-0.01 (-0.1 -- 0.08),-83 (9 -- -7.1)
Chechen Republic,4 (1 -- 9),Likely decreasing,0.77 (0.42 -- 1.08),-0.07 (-0.17 -- 0.02),-10.4 (29.2 -- -4)
Chelyabinsk Oblast,78 (22 -- 138),Unsure,0.88 (0.56 -- 1.21),-0.03 (-0.13 -- 0.06),-20.5 (11.9 -- -5.4)
Chukotka Autonomous Okrug,1 (0 -- 3),Unsure,0.91 (0.2 -- 1.5),-0.03 (-0.25 -- 0.14),-26.8 (5.1 -- -2.8)
Chuvashia Republic,42 (14 -- 78),Unsure,0.98 (0.65 -- 1.32),-0.01 (-0.09 -- 0.09),-124 (7.5 -- -7.6)
Dagestan Republic,98 (31 -- 186),Unsure,1.08 (0.67 -- 1.5),0.02 (-0.08 -- 0.14),32.2 (4.8 -- -8.6)
Ingushetia Republic,34 (13 -- 61),Unsure,1.03 (0.73 -- 1.3),0.01 (-0.07 -- 0.08),89.9 (8.5 -- -9.4)
Irkutsk Oblast,136 (62 -- 232),Unsure,0.94 (0.71 -- 1.19),-0.02 (-0.08 -- 0.06),-45.4 (11.9 -- -9.1)
Ivanovo Oblast,59 (10 -- 122),Unsure,1.04 (0.5 -- 1.55),0.01 (-0.13 -- 0.16),66.8 (4.3 -- -5.4)
Jewish Autonomous Okrug,4 (1 -- 8),Unsure,0.99 (0.69 -- 1.31),0 (-0.07 -- 0.1),-184.8 (6.8 -- -10)
Kabardino-Balkarian Republic,25 (8 -- 48),Unsure,1.04 (0.73 -- 1.41),0.01 (-0.07 -- 0.11),59.1 (6.2 -- -9.5)
Kaliningrad Oblast,36 (9 -- 84),Unsure,1.17 (0.72 -- 1.72),0.05 (-0.08 -- 0.19),15.3 (3.7 -- -9.1)
Kalmykia Republic,67 (1 -- 263),Unsure,0.93 (0.21 -- 1.82),-0.02 (-0.25 -- 0.21),-33.3 (3.3 -- -2.7)
Kaluga Oblast,41 (10 -- 75),Unsure,1.02 (0.65 -- 1.4),0.01 (-0.1 -- 0.11),120.7 (6.4 -- -7.1)
Kamchatka Krai,14 (3 -- 31),Unsure,0.93 (0.61 -- 1.33),-0.02 (-0.11 -- 0.09),-34.1 (7.9 -- -6.2)
Karachay-Cherkess Republic,42 (9 -- 98),Likely increasing,1.35 (0.75 -- 2.03),0.09 (-0.06 -- 0.26),7.6 (2.6 -- -11.9)
Karelia Republic,25 (9 -- 44),Unsure,0.92 (0.67 -- 1.18),-0.02 (-0.1 -- 0.05),-29.9 (14.4 -- -7.3)
Kemerovo Oblast,147 (51 -- 255),Unsure,1.01 (0.73 -- 1.34),0 (-0.08 -- 0.09),244.5 (7.9 -- -8.9)
Khabarovsk Krai,70 (27 -- 117),Likely decreasing,0.85 (0.61 -- 1.09),-0.04 (-0.11 -- 0.03),-17 (24.9 -- -6.1)
Khakassia Republic,21 (9 -- 38),Unsure,0.96 (0.73 -- 1.21),-0.01 (-0.07 -- 0.06),-64.8 (11.6 -- -9.5)
Khanty-Mansi Autonomous Okrug,79 (35 -- 128),Decreasing,0.8 (0.6 -- 0.99),-0.06 (-0.11 -- 0),-12.5 (201.4 -- -6.3)
Kirov Oblast,85 (21 -- 178),Unsure,1.04 (0.65 -- 1.57),0.01 (-0.1 -- 0.15),57.6 (4.7 -- -7)
Komi Republic,43 (8 -- 90),Unsure,0.84 (0.49 -- 1.2),-0.04 (-0.15 -- 0.05),-15.6 (13.2 -- -4.5)
Kostroma Oblast,93 (27 -- 174),Unsure,1.08 (0.75 -- 1.41),0.02 (-0.07 -- 0.11),30.9 (6.4 -- -10.1)
Krasnodar Krai,84 (28 -- 161),Unsure,0.85 (0.54 -- 1.17),-0.04 (-0.14 -- 0.04),-15.9 (15.9 -- -5)
Krasnoyarsk Krai,149 (57 -- 255),Unsure,0.96 (0.67 -- 1.26),-0.01 (-0.1 -- 0.07),-66 (9.9 -- -7.2)
Kurgan Oblast,20 (6 -- 38),Unsure,0.9 (0.65 -- 1.22),-0.03 (-0.1 -- 0.06),-23.9 (11.5 -- -6.9)
Kursk Oblast,41 (14 -- 71),Unsure,1.01 (0.72 -- 1.33),0 (-0.08 -- 0.09),287.1 (7.8 -- -8.7)
Leningrad Oblast,31 (14 -- 51),Unsure,0.93 (0.72 -- 1.18),-0.02 (-0.08 -- 0.04),-34.1 (15.8 -- -8.2)
Lipetsk Oblast,24 (4 -- 50),Unsure,0.97 (0.51 -- 1.36),-0.01 (-0.13 -- 0.11),-97.4 (6.5 -- -5.2)
Magadan Oblast,18 (2 -- 47),Unsure,0.83 (0.35 -- 1.27),-0.05 (-0.19 -- 0.08),-14 (8.3 -- -3.7)
Mari El Republic,25 (7 -- 52),Unsure,1.07 (0.71 -- 1.5),0.02 (-0.08 -- 0.13),36 (5.3 -- -8.4)
Mordovia Republic,44 (20 -- 82),Unsure,1.01 (0.73 -- 1.33),0 (-0.08 -- 0.09),270.5 (7.9 -- -9.1)
Moscow,913 (296 -- 1732),Unsure,0.97 (0.6 -- 1.36),-0.01 (-0.11 -- 0.1),-73.2 (7.1 -- -6.1)
Moscow Oblast,198 (68 -- 353),Unsure,0.95 (0.63 -- 1.27),-0.01 (-0.1 -- 0.08),-55.5 (8.8 -- -6.9)
Murmansk Oblast,44 (15 -- 78),Likely decreasing,0.75 (0.5 -- 0.99),-0.07 (-0.15 -- 0),-9.7 (-243.4 -- -4.6)
Nenets Autonomous Okrug,1 (0 -- 6),Unsure,0.78 (0.12 -- 1.56),-0.06 (-0.26 -- 0.18),-11.3 (4 -- -2.7)
Nizhny Novgorod Oblast,210 (52 -- 437),Unsure,1.08 (0.58 -- 1.63),0.02 (-0.12 -- 0.17),32 (4.1 -- -5.9)
North Ossetia - Alania Republic,14 (2 -- 49),Unsure,1.16 (0.61 -- 2.09),0.04 (-0.11 -- 0.27),15.8 (2.5 -- -6.4)
Novgorod Oblast,29 (12 -- 57),Unsure,1.06 (0.76 -- 1.39),0.02 (-0.06 -- 0.11),41.5 (6.5 -- -10.9)
Novosibirsk Oblast,39 (14 -- 72),Likely decreasing,0.76 (0.49 -- 1.02),-0.07 (-0.15 -- 0.01),-9.9 (94.8 -- -4.6)
Omsk Oblast,133 (58 -- 216),Unsure,0.96 (0.75 -- 1.21),-0.01 (-0.07 -- 0.05),-67.3 (12.8 -- -9.4)
Orel Oblast,60 (6 -- 142),Unsure,0.81 (0.36 -- 1.29),-0.06 (-0.2 -- 0.08),-12.5 (8.9 -- -3.5)
Orenburg Oblast,144 (61 -- 253),Unsure,1 (0.7 -- 1.31),0 (-0.08 -- 0.09),-768.6 (7.9 -- -8.8)
Penza Oblast,65 (18 -- 124),Unsure,0.97 (0.6 -- 1.35),-0.01 (-0.12 -- 0.09),-73.9 (7.3 -- -6)
Perm Krai,88 (31 -- 153),Unsure,0.96 (0.68 -- 1.3),-0.01 (-0.09 -- 0.08),-66.7 (8.9 -- -7.5)
Primorsky Krai,117 (43 -- 229),Unsure,0.98 (0.65 -- 1.38),-0.01 (-0.1 -- 0.1),-116.6 (7 -- -6.7)
Pskov Oblast,76 (21 -- 179),Likely increasing,1.26 (0.8 -- 1.8),0.07 (-0.05 -- 0.21),10.2 (3.3 -- -15.2)
Republic of Crimea,75 (20 -- 150),Unsure,1.09 (0.7 -- 1.43),0.02 (-0.07 -- 0.13),28.9 (5.5 -- -10)
Rostov Oblast,178 (58 -- 336),Unsure,1 (0.63 -- 1.39),0 (-0.09 -- 0.12),-1642.8 (6 -- -7.3)
Ryazan Oblast,44 (12 -- 87),Unsure,1.04 (0.68 -- 1.47),0.01 (-0.09 -- 0.13),62.3 (5.5 -- -7.8)
Saint Petersburg,217 (60 -- 449),Unsure,0.97 (0.57 -- 1.45),-0.01 (-0.13 -- 0.12),-90.1 (5.9 -- -5.4)
Sakha (Yakutiya) Republic,77 (29 -- 132),Unsure,0.97 (0.7 -- 1.24),-0.01 (-0.08 -- 0.07),-71.9 (10 -- -8.3)
Sakhalin Oblast,83 (30 -- 145),Unsure,0.97 (0.71 -- 1.24),-0.01 (-0.08 -- 0.06),-79.2 (11.1 -- -8.2)
Samara Oblast,75 (13 -- 160),Unsure,1.02 (0.59 -- 1.48),0 (-0.11 -- 0.13),156.9 (5.3 -- -6.1)
Saratov Oblast,134 (64 -- 222),Unsure,1 (0.74 -- 1.27),0 (-0.07 -- 0.07),5024.2 (9.8 -- -9.3)
Sevastopol,10 (3 -- 21),Unsure,1.08 (0.83 -- 1.39),0.02 (-0.05 -- 0.1),33.8 (6.8 -- -14.1)
Smolensk Oblast,26 (3 -- 68),Unsure,1.08 (0.5 -- 1.8),0.02 (-0.14 -- 0.21),31.9 (3.3 -- -4.8)
Stavropol Krai,186 (90 -- 313),Unsure,1.03 (0.78 -- 1.31),0.01 (-0.06 -- 0.08),75.3 (8.4 -- -10.9)
Sverdlovsk Oblast,165 (52 -- 316),Unsure,0.91 (0.58 -- 1.26),-0.03 (-0.12 -- 0.07),-26.2 (9.9 -- -5.6)
Tambov Oblast,28 (9 -- 54),Unsure,0.95 (0.67 -- 1.31),-0.01 (-0.1 -- 0.08),-52.5 (8.5 -- -7.2)
Tatarstan Republic,38 (12 -- 68),Unsure,0.98 (0.66 -- 1.35),-0.01 (-0.09 -- 0.1),-131 (7.2 -- -7.7)
Tomsk Oblast,59 (26 -- 102),Unsure,0.94 (0.7 -- 1.2),-0.02 (-0.08 -- 0.05),-44.2 (13.1 -- -8.2)
Tula Oblast,44 (14 -- 84),Unsure,0.99 (0.63 -- 1.35),0 (-0.1 -- 0.1),-202.5 (7.1 -- -6.8)
Tver Oblast,31 (9 -- 62),Unsure,0.93 (0.59 -- 1.32),-0.02 (-0.12 -- 0.08),-36.8 (8.3 -- -5.6)
Tyumen Oblast,55 (21 -- 88),Likely decreasing,0.85 (0.63 -- 1.07),-0.04 (-0.1 -- 0.03),-16.9 (27.5 -- -6.9)
Tyva Republic,22 (6 -- 47),Unsure,0.93 (0.55 -- 1.3),-0.02 (-0.12 -- 0.09),-34.7 (7.4 -- -5.8)
Udmurt Republic,33 (2 -- 82),Unsure,0.84 (0.3 -- 1.41),-0.05 (-0.21 -- 0.12),-15.1 (6 -- -3.3)
Ulyanovsk Oblast,129 (59 -- 209),Unsure,0.97 (0.72 -- 1.19),-0.01 (-0.08 -- 0.05),-83.5 (12.7 -- -9)
Vladimir Oblast,33 (12 -- 64),Unsure,1.03 (0.74 -- 1.4),0.01 (-0.07 -- 0.11),72.5 (6.5 -- -9.7)
Volgograd Oblast,124 (43 -- 223),Unsure,0.96 (0.64 -- 1.33),-0.01 (-0.11 -- 0.09),-58.8 (8.1 -- -6.4)
Vologda Oblast,50 (32 -- 80),Unsure,1.03 (0.92 -- 1.23),0.01 (-0.02 -- 0.06),75.2 (11.5 -- -29.5)
Voronezh Oblast,134 (52 -- 227),Unsure,0.99 (0.71 -- 1.3),0 (-0.08 -- 0.08),-366.2 (8.4 -- -8.9)
Yamalo-Nenets Autonomous Okrug,105 (50 -- 177),Unsure,0.96 (0.75 -- 1.2),-0.01 (-0.07 -- 0.05),-64.5 (12.8 -- -9.7)
Yaroslavl Oblast,54 (19 -- 103),Unsure,1 (0.65 -- 1.36),0 (-0.1 -- 0.09),-739.8 (7.3 -- -6.9)
Zabaykalsky Krai,22 (4 -- 46),Unsure,1 (0.59 -- 1.45),0 (-0.12 -- 0.12),1448 (5.6 -- -6)
