region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Eastern Cape,2021-10-04,,estimate,77.8,79.5,14.1,59.2,69.3,74.9,81.4,87.8,105.3
Eastern Cape,2021-10-05,,estimate,74.1,75.6,13.2,56.5,66.3,71.2,77.5,83.5,99.4
Eastern Cape,2021-10-06,,estimate,69.8,71.2,12.2,53.4,62.6,67.1,72.9,78.5,93.5
Eastern Cape,2021-10-07,,estimate,65.4,66.6,11.2,50.3,58.6,62.8,68.2,73.3,86.8
Eastern Cape,2021-10-08,,estimate,60.9,62.1,10.3,46.8,54.8,58.6,63.7,68.1,80.5
Eastern Cape,2021-10-09,,estimate,56.8,57.7,9.5,43.6,51,54.4,59.1,63.3,75
Eastern Cape,2021-10-10,,estimate,52.7,53.5,8.8,40.4,47.2,50.5,54.9,58.7,69.2
Eastern Cape,2021-10-11,,estimate,48.8,49.5,8.2,37.5,43.6,46.8,50.9,54.3,64.2
Eastern Cape,2021-10-12,,estimate,45.2,45.8,7.6,34.5,40.4,43.4,47.2,50.4,59.7
Eastern Cape,2021-10-13,,estimate,41.9,42.4,7.1,32,37.4,40.2,43.7,46.8,54.9
Eastern Cape,2021-10-14,,estimate,38.7,39.3,6.6,29.7,34.7,37.1,40.6,43.3,50.4
Eastern Cape,2021-10-15,,estimate,36,36.5,6.2,27.4,32.1,34.4,37.6,40.3,47.2
Eastern Cape,2021-10-16,,estimate,33.4,33.9,5.8,25.4,29.8,32,34.9,37.5,44
Eastern Cape,2021-10-17,,estimate,31.1,31.5,5.4,23.6,27.7,29.7,32.6,34.9,41.1
Eastern Cape,2021-10-18,,estimate,29,29.4,5.1,22,25.8,27.8,30.3,32.5,38.4
Eastern Cape,2021-10-19,,estimate,27.1,27.5,4.8,20.6,24.1,26,28.3,30.4,36
Eastern Cape,2021-10-20,,estimate,25.4,25.8,4.5,19.3,22.6,24.3,26.5,28.5,34
Eastern Cape,2021-10-21,,estimate,23.9,24.3,4.2,18.2,21.3,22.9,24.9,26.8,32.1
Eastern Cape,2021-10-22,,estimate,22.6,22.9,4,17.2,20.1,21.6,23.5,25.3,30.3
Eastern Cape,2021-10-23,,estimate,21.3,21.7,3.8,16.2,19,20.4,22.3,23.9,28.8
Eastern Cape,2021-10-24,,estimate,20.2,20.6,3.7,15.4,18.1,19.4,21.2,22.8,27.3
Eastern Cape,2021-10-25,,estimate,19.3,19.7,3.5,14.7,17.2,18.5,20.1,21.7,26
Eastern Cape,2021-10-26,,estimate,18.5,18.8,3.4,14,16.5,17.7,19.3,20.8,24.9
Eastern Cape,2021-10-27,,estimate,17.7,18.1,3.3,13.4,15.8,17,18.5,20,24
Eastern Cape,2021-10-28,,estimate,17.1,17.5,3.2,12.9,15.2,16.4,17.9,19.3,23.2
Eastern Cape,2021-10-29,,estimate,16.6,16.9,3.1,12.5,14.7,15.9,17.4,18.7,22.6
Eastern Cape,2021-10-30,,estimate,16.2,16.5,3,12.2,14.4,15.5,17,18.3,22.1
Eastern Cape,2021-10-31,,estimate,15.9,16.2,3,12,14.1,15.2,16.7,18,21.6
Eastern Cape,2021-11-01,,estimate,15.7,16,2.9,11.7,13.8,15,16.4,17.7,21.4
Eastern Cape,2021-11-02,,estimate,15.6,15.9,2.9,11.7,13.8,14.9,16.3,17.6,21.2
Eastern Cape,2021-11-03,,estimate,15.6,15.9,2.9,11.7,13.8,14.9,16.3,17.6,21.3
Eastern Cape,2021-11-04,,estimate,15.7,16,2.9,11.8,13.9,15.1,16.5,17.7,21.3
Eastern Cape,2021-11-05,,estimate,16,16.3,3,12,14.2,15.3,16.7,18,21.7
Eastern Cape,2021-11-06,,estimate,16.3,16.7,3,12.3,14.5,15.6,17.1,18.5,22.1
Eastern Cape,2021-11-07,,estimate,16.9,17.2,3.1,12.6,15,16.1,17.7,19.1,22.8
Eastern Cape,2021-11-08,,estimate,17.6,17.9,3.2,13.2,15.6,16.8,18.4,19.9,23.7
Eastern Cape,2021-11-09,,estimate,18.5,18.9,3.4,13.9,16.5,17.7,19.4,20.8,24.8
Eastern Cape,2021-11-10,,estimate,19.6,20,3.6,14.8,17.5,18.8,20.5,22.1,26.4
Eastern Cape,2021-11-11,,estimate,21,21.4,3.8,16,18.7,20.2,22,23.6,28.2
Eastern Cape,2021-11-12,,estimate,22.7,23.1,4.1,17.3,20.3,21.7,23.7,25.5,30.4
Eastern Cape,2021-11-13,,estimate,24.8,25.2,4.4,18.8,22.1,23.7,25.9,27.8,33.1
Eastern Cape,2021-11-14,,estimate,27.3,27.7,4.9,20.7,24.3,26.1,28.5,30.6,36.4
