region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Eastern Cape,2021-09-24,,estimate,147.5,169.7,108.5,37,90,124,173,225,373
Eastern Cape,2021-09-25,,estimate,152,174.7,116.3,38,90,126,179,230,395
Eastern Cape,2021-09-26,,estimate,113,134.4,89.6,31,70,95,135,175,307
Eastern Cape,2021-09-27,,estimate,50,58.7,39.1,12,30,42,60,78,134
Eastern Cape,2021-09-28,,estimate,204,244.4,166.1,56,126,171,243,321,563
Eastern Cape,2021-09-29,,estimate,197,232.6,160.5,51,123,163,233,305,524.1
Eastern Cape,2021-09-30,,estimate,169,197.3,134.1,43,101,139,199,260,455
Eastern Cape,2021-10-01,,estimate,160,186.6,126.1,39,96,132,187,246,424
Eastern Cape,2021-10-02,,estimate,137,158.8,105.8,35,83,114,159,206,359
Eastern Cape,2021-10-03,,estimate,95,111.1,73.8,25,57,80,115,146,252.1
Eastern Cape,2021-10-04,,estimate,38,44.8,29.7,10,24,32,45,59,103
Eastern Cape,2021-10-05,,estimate,144,170.4,115.2,37.9,88,122,172,222,392
Eastern Cape,2021-10-06,,estimate,129,153,104.2,33,80,108,152,201,347
Eastern Cape,2021-10-07,,estimate,108,126.6,84.5,26,65,91,128,168,291
Eastern Cape,2021-10-08,,estimate,101,116.7,77.7,26,62,84,119,155,256
Eastern Cape,2021-10-09,,estimate,85,98.5,65.1,22,52,71,100,129,223
Eastern Cape,2021-10-10,,estimate,58,67.5,44.6,14,35,48,69,89,154
Eastern Cape,2021-10-11,,estimate,23,26.8,18.6,5,13,19,27,36,62
Eastern Cape,2021-10-12,,estimate,86,100.7,67.8,22,51,71.6,102,133,229
Eastern Cape,2021-10-13,,estimate,77,89.8,59.3,19,48,64,91,118,201
Eastern Cape,2021-10-14,,estimate,64,75.2,50.2,17,39,54,76,99,170
Eastern Cape,2021-10-15,,estimate,58,66.8,43.1,14,35,48,69,89,149
Eastern Cape,2021-10-16,,estimate,48,56.2,36.6,12,30,41,57,74,128
Eastern Cape,2021-10-17,,estimate,33,38.3,26,8,20,27,39,51,88
Eastern Cape,2021-10-18,,estimate,13,15.5,11,3,7,11,16,21,37
Eastern Cape,2021-10-19,,estimate,50,58.9,40.6,12,30,42,59,77,137
Eastern Cape,2021-10-20,,estimate,44,52.8,36.2,11,27,37,53,69,123
Eastern Cape,2021-10-21,,estimate,38,43.9,28.6,9,23,32,45,58,99
Eastern Cape,2021-10-22,,estimate,34,40.4,27.2,8,21,29,41,53,93
Eastern Cape,2021-10-23,,estimate,29,34,23.7,7,17,24,34,45,80
Eastern Cape,2021-10-24,,estimate,21,23.8,16.4,5,12,17,24,32,54
Eastern Cape,2021-10-25,,estimate,8,9.3,6.9,1,4,6,9,13,22
Eastern Cape,2021-10-26,,estimate,31,36.3,24.8,7,18,25,36,49,86
Eastern Cape,2021-10-27,,estimate,28,33.2,22.9,6,17,24,34,44,75
Eastern Cape,2021-10-28,,estimate,24,28.2,19.1,6,14,20,29,38,65
Eastern Cape,2021-10-29,,estimate,23,26.9,18.3,6,14,19,27,36,61
Eastern Cape,2021-10-30,,estimate,19,22.4,15.8,4,11,16,23,29,53
Eastern Cape,2021-10-31,,estimate,14,16.1,11.4,3,8,11,16,21,39
Eastern Cape,2021-11-01,,estimate,5,6.5,4.9,1,3,4,7,9,16
Eastern Cape,2021-11-02,,estimate,22,26.3,18.7,5,13,18,26,35,60
Eastern Cape,2021-11-03,,estimate,20,24,16.6,5,12,17,24,32,56
Eastern Cape,2021-11-04,,estimate,18,20.6,13.8,4,10,15,21,27,47
Eastern Cape,2021-11-05,,estimate,17.5,20.4,14.2,4,10,14,21,27,47
Eastern Cape,2021-11-06,,estimate,15,17.7,12.4,3,9,13,18,23,41
Eastern Cape,2021-11-07,,estimate,11,12.4,9,2,6,9,13,17,29
Eastern Cape,2021-11-08,,estimate,4,5.3,4.2,0,2,3,5,7,13
Eastern Cape,2021-11-09,,estimate,19,22.2,15.8,4,11,15,22,30,54
Eastern Cape,2021-11-10,,estimate,18,21,14.4,4,11,15,21,28,49
Eastern Cape,2021-11-11,,estimate,16,19.2,13.9,3,9,13,19,25,46
Eastern Cape,2021-11-12,,estimate,16,19.4,13.5,3,10,14,20,26,46
Eastern Cape,2021-11-13,,estimate,15,18.3,12.7,3,9,13,19,24,42
Eastern Cape,2021-11-14,,estimate,12,13.8,9.8,2,7,10,14,18,32
Eastern Cape,2021-11-15,,estimate,5,6.3,4.8,1,3,4,6,9,16
Eastern Cape,2021-11-16,,estimate,23,26.8,18.5,5,14,19,27,36,61
Eastern Cape,2021-11-17,,estimate,24,28.1,19.1,5,15,20,28,37,63
Eastern Cape,2021-11-18,,estimate,23,26.7,18.3,5,14,19,27,36,61
Eastern Cape,2021-11-19,,estimate,24,29,20.3,6,15,21,29,38,67
Eastern Cape,2021-11-20,,estimate,25,28.9,20.4,6,15,21,29,38,66
Eastern Cape,2021-11-21,,estimate,20,23,16,4,11,16,23,31,54
Eastern Cape,2021-11-22,,estimate,10,11.3,8.3,2,5,8,11,15,27
Eastern Cape,2021-11-23,,estimate,44,51.1,34.1,11,27,37,52,67,116
Eastern Cape,2021-11-24,,estimate,49,57.7,39.3,12,30,41,58,76,135
Eastern Cape,2021-11-25,,estimate,50,58.5,39.2,13,31,42,59,76,137
Eastern Cape,2021-11-26,,estimate,58,68.6,47.2,15,35,48,69,90,158
Eastern Cape,2021-11-27,,estimate,61,72.5,49,16,38,52,73,96,162
Eastern Cape,2021-11-28,,estimate,53,63.5,44.9,13,32,44,63,83,150
Eastern Cape,2021-11-29,,estimate,28,33,23.1,6,17,23,34,44,78
Eastern Cape,2021-11-30,,estimate,138,160,106.5,36,84,115,161,212,364
Eastern Cape,2021-12-01,,estimate,161,190.3,129.2,44,98.8,134,190,249,441
Eastern Cape,2021-12-02,,estimate,176,207.8,141.1,46,108,145,209,275,475
Eastern Cape,2021-12-03,,estimate,210,248.1,165.5,55,132,179,244.4,325,568
Eastern Cape,2021-12-04,,estimate,239,276.2,179.3,63,147,201,282,362.2,618
Eastern Cape,2021-12-05,,estimate,212.5,249.3,167.6,55,130,179,253,327,566
Eastern Cape,2021-12-06,,estimate,111,129.4,86.6,29,66,92.6,130,171,298
Eastern Cape,2021-12-07,,estimate,543,648.6,438.4,147.9,331,455,651.4,857,1502.1
Eastern Cape,2021-12-08,,estimate,660.5,769.7,497.8,177,415.8,558,782.8,1003.2,1725.1
Eastern Cape,2021-12-09,,estimate,674,787.8,521.7,182,414,561.6,795,1032.2,1817
Eastern Cape,2021-12-10,,estimate,776,905.2,590.4,208,483.8,658.6,915.4,1202.2,2002
Eastern Cape,2021-12-11,,estimate,837,972.4,630.4,215.9,516,711,1003.4,1269.2,2159.1
Eastern Cape,2021-12-12,,estimate,714,832.2,551.4,187,440,590,852,1105,1884
Eastern Cape,2021-12-13,,estimate,332,395.7,272,86,209,281,393,517,909
Eastern Cape,2021-12-14,,estimate,1539.5,1823.2,1230.4,416.9,955,1302.6,1814,2363,4161.3
Eastern Cape,2021-12-15,,estimate,1657,1902.5,1225.5,461.9,1011.8,1389,1940.2,2495,4182
Eastern Cape,2021-12-16,,estimate,1566,1790.9,1160,415,939.8,1297,1836,2361.2,3988.2
