region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Eastern Cape,2021-10-20,,estimate,-0.033947932304595,-0.0322799380443902,0.0364550632795339,-0.0888029769891958,-0.0574871878223573,-0.0434467391113468,-0.0239883510848134,-0.00925188688488,0.0299212080630759
Eastern Cape,2021-10-21,,estimate,-0.0360635634565077,-0.0349787313294198,0.0326034440474925,-0.0856256545437048,-0.0571045922431406,-0.04470240828953,-0.0280129033940085,-0.0140693703198852,0.0196539745583375
Eastern Cape,2021-10-22,,estimate,-0.0385115451211628,-0.0374008365094044,0.0294989365268778,-0.0830471838059713,-0.0574907194383209,-0.0459761496874123,-0.0311699277243523,-0.0182016325943883,0.0118972173993001
Eastern Cape,2021-10-23,,estimate,-0.0404731775812277,-0.0394977403140689,0.027070172859118,-0.0821672037102929,-0.0577489543552054,-0.0468094302676918,-0.0338214110721782,-0.0220588971062963,0.00587585158234136
Eastern Cape,2021-10-24,,estimate,-0.0423423163073269,-0.0412168917978216,0.0252234336731595,-0.0811169903877373,-0.0575946117099036,-0.0482293306089255,-0.0357955233474772,-0.0250207572372484,0.00089593450261982
Eastern Cape,2021-10-25,,estimate,-0.0431641733163711,-0.0425028059914172,0.0238527268243099,-0.0807683522489306,-0.0579994622179548,-0.0491400923301753,-0.0373822045610215,-0.0273054719965784,-0.00296638191649958
Eastern Cape,2021-10-26,,estimate,-0.0435127530571042,-0.0432984491734998,0.0228511655451436,-0.0798771512748034,-0.0584777540998358,-0.0492805296747917,-0.0380054277026485,-0.0284693685515597,-0.00550856824423884
Eastern Cape,2021-10-27,,estimate,-0.0435340596558031,-0.0435467045140516,0.0221200447500313,-0.0787780878784228,-0.0580657389905981,-0.0492695115930126,-0.0382431311085,-0.0295668095458153,-0.00688695320588737
Eastern Cape,2021-10-28,,estimate,-0.043354644130706,-0.0431917871153914,0.0215745884561417,-0.0774035750712249,-0.0575676100016027,-0.048433981511647,-0.0380400431537174,-0.0292979237488267,-0.00830906133320091
Eastern Cape,2021-10-29,,estimate,-0.0422716530101995,-0.0421805997655333,0.0211475092099371,-0.0763805781940867,-0.0563638191197945,-0.0473684945564216,-0.0368637914158823,-0.0287768146238949,-0.00771188800907108
Eastern Cape,2021-10-30,,estimate,-0.0404516877930835,-0.0404641319427526,0.0207912979583306,-0.0740363577651646,-0.0541635247011039,-0.0455861875422411,-0.0353979151824421,-0.0272630614638029,-0.00669109589483837
Eastern Cape,2021-10-31,,estimate,-0.0382835288896405,-0.0379990399674152,0.0204788304775351,-0.0711417510880152,-0.0512113413532386,-0.0431709178641175,-0.0332625818175677,-0.0247767946389362,-0.00447758259462897
Eastern Cape,2021-11-01,,estimate,-0.0350319711808859,-0.0347494802232299,0.0202014068119349,-0.0676633568933138,-0.0476776937290733,-0.039914719559539,-0.0301321158192761,-0.0214448719986528,-0.00131262561084514
Eastern Cape,2021-11-02,,estimate,-0.0311401426387522,-0.0306891350465811,0.0199642464393714,-0.0634589340962689,-0.043277397276346,-0.0356499971472747,-0.0259910360477806,-0.0178420350204557,0.00266938029554632
Eastern Cape,2021-11-03,,estimate,-0.0261081242012432,-0.0258032474080664,0.0197808071426023,-0.0582831608466736,-0.0384458989091615,-0.0309304400066847,-0.0211712661988148,-0.0128257395062739,0.00657916345749836
Eastern Cape,2021-11-04,,estimate,-0.020480089856003,-0.0200904301178196,0.0196677290991543,-0.0518208631622053,-0.0327393260628683,-0.025084166154828,-0.0156462221093697,-0.00712545890157217,0.0125090180049421
Eastern Cape,2021-11-05,,estimate,-0.0137031986505195,-0.0135640432077293,0.0196411214455037,-0.0446047501475428,-0.0260567200062368,-0.018465640880131,-0.00931112979713122,-0.00112012314057657,0.0192696441589416
Eastern Cape,2021-11-06,,estimate,-0.00650300041383782,-0.00625297962742303,0.0197132089552587,-0.0371608734642259,-0.0192453219068778,-0.0112668170804024,-0.00183291182584749,0.0059975777785814,0.0268354378951089
Eastern Cape,2021-11-07,,estimate,0.00160892966380838,0.00179830803096528,0.0198880343879301,-0.0298547751180219,-0.0111262720571033,-0.00302513036368307,0.00627371632425403,0.0140524610622974,0.0352193051201476
Eastern Cape,2021-11-08,,estimate,0.010240632205783,0.0105307758197971,0.0201570364770951,-0.0216541580042292,-0.00264754646386026,0.00566655887040186,0.0150904739342652,0.0230213161767072,0.0440201544365194
Eastern Cape,2021-11-09,,estimate,0.0194235778133605,0.0198730289817406,0.020498009317979,-0.0129368160907515,0.00647630968780102,0.0148454949031355,0.0244380910431856,0.0326853785987317,0.0540365854787277
Eastern Cape,2021-11-10,,estimate,0.0293593935504066,0.0297450016850188,0.0208806502436857,-0.00405194805193512,0.0160882826156354,0.0244817483062405,0.0346145555789748,0.0429673822877998,0.0647319911057962
Eastern Cape,2021-11-11,,estimate,0.0400420175061047,0.0400629328546352,0.0212777838940143,0.00569034451467698,0.0259828976169781,0.0346498605530744,0.0449037884047741,0.0535185300162308,0.0754969164446195
Eastern Cape,2021-11-12,,estimate,0.050583244238609,0.0507450734346503,0.0216767441356442,0.0161821909944735,0.0368451305163224,0.0451356754283215,0.0558096363763697,0.0645757249801146,0.0863693381883176
Eastern Cape,2021-11-13,,estimate,0.0615726034239767,0.06171720828957,0.0220841238649626,0.0265469649663037,0.047307307192476,0.0560537134873036,0.0668915616444139,0.0756274447561889,0.0980860672651327
Eastern Cape,2021-11-14,,estimate,0.0723033584606329,0.0729169562774387,0.0225203482143994,0.0368589954312677,0.0580668500130845,0.067245764135167,0.0781395479517441,0.0871309972525067,0.109837643414203
Eastern Cape,2021-11-15,,estimate,0.0838454230929744,0.0842959696480137,0.0230068395298442,0.0474815194600342,0.0692824042824353,0.0784292743936738,0.0894041317162745,0.0988096764686833,0.122056536609569
Eastern Cape,2021-11-16,,estimate,0.0956943089152479,0.095819492390685,0.0235536155132051,0.0572752110293357,0.0803128925708344,0.090202676559429,0.101430426582129,0.110902681403539,0.134320420487418
Eastern Cape,2021-11-17,,estimate,0.107732331048711,0.10746309994854,0.0241532995146827,0.0662710450261899,0.0919891336454752,0.102278190696794,0.113706865102738,0.122736828278456,0.146397043537107
Eastern Cape,2021-11-18,,estimate,0.120230331344405,0.119206742468067,0.0247795996679253,0.0766190998304145,0.103415228184213,0.114308554174909,0.125974357068677,0.135232034363155,0.158491077248587
Eastern Cape,2021-11-19,,estimate,0.132560268685803,0.131026475605279,0.0253851582071417,0.0871955423772272,0.115289932962326,0.126580156899857,0.138564983042524,0.147743655270566,0.171254810246949
Eastern Cape,2021-11-20,,estimate,0.144544721132762,0.142884527826851,0.0259009229953602,0.0977755417999537,0.127404816710314,0.138318209670271,0.150727457170083,0.15993720337694,0.182821560118291
Eastern Cape,2021-11-21,,estimate,0.15664424517385,0.154718586838557,0.0262456693886998,0.108839203006287,0.138957199702254,0.150320820830403,0.162652098579298,0.172088257266036,0.194725074692825
Eastern Cape,2021-11-22,,estimate,0.168001417474968,0.166431337207748,0.0263493442280071,0.120368269326009,0.150441507359918,0.1619609779548,0.174411759597453,0.183959221480022,0.206280703799843
Eastern Cape,2021-11-23,,estimate,0.179367240110823,0.177881370712248,0.0261842491214449,0.132258521498299,0.162077907077386,0.173036241589496,0.185770300248538,0.195570959575781,0.218148414801433
Eastern Cape,2021-11-24,,estimate,0.190323600818928,0.188876685787335,0.0257942690111944,0.144542167077915,0.173048747620171,0.183713663351603,0.195848527854681,0.205863688269243,0.229542416686719
Eastern Cape,2021-11-25,,estimate,0.199435694022743,0.199172091334913,0.0253124597860886,0.157006800119544,0.183436804957708,0.193427949195056,0.206022700933518,0.21548097872726,0.240166397849056
Eastern Cape,2021-11-26,,estimate,0.208415597042641,0.208471847399727,0.02495342303396,0.168164065642102,0.19263652794871,0.202164942228248,0.214300039265186,0.224250681583966,0.24930160170719
Eastern Cape,2021-11-27,,estimate,0.21557224060087,0.216438709695105,0.024961268067772,0.177175128449623,0.199783620493244,0.209565726874564,0.221826013754681,0.232082715319736,0.258116100147648
