region,date,confirm
Eastern Cape,2021-09-25,232
Free State,2021-09-25,131
Gauteng,2021-09-25,201
Kwazulu-Natal,2021-09-25,350
Limpopo,2021-09-25,13
Mpumalanga,2021-09-25,76
North-West,2021-09-25,73
Northern Cape,2021-09-25,260
Western Cape,2021-09-25,298
Eastern Cape,2021-09-26,169
Free State,2021-09-26,95
Gauteng,2021-09-26,82
Kwazulu-Natal,2021-09-26,272
Limpopo,2021-09-26,10
Mpumalanga,2021-09-26,69
North-West,2021-09-26,81
Northern Cape,2021-09-26,74
Western Cape,2021-09-26,115
Eastern Cape,2021-09-27,49
Free State,2021-09-27,86
Gauteng,2021-09-27,107
Kwazulu-Natal,2021-09-27,126
Limpopo,2021-09-27,9
Mpumalanga,2021-09-27,24
North-West,2021-09-27,48
Northern Cape,2021-09-27,35
Western Cape,2021-09-27,93
Eastern Cape,2021-09-28,185
Free State,2021-09-28,169
Gauteng,2021-09-28,188
Kwazulu-Natal,2021-09-28,372
Limpopo,2021-09-28,24
Mpumalanga,2021-09-28,55
North-West,2021-09-28,58
Northern Cape,2021-09-28,75
Western Cape,2021-09-28,241
Eastern Cape,2021-09-29,222
Free State,2021-09-29,208
Gauteng,2021-09-29,232
Kwazulu-Natal,2021-09-29,626
Limpopo,2021-09-29,21
Mpumalanga,2021-09-29,95
North-West,2021-09-29,126
Northern Cape,2021-09-29,188
Western Cape,2021-09-29,389
Eastern Cape,2021-09-30,202
Free State,2021-09-30,193
Gauteng,2021-09-30,241
Kwazulu-Natal,2021-09-30,333
Limpopo,2021-09-30,21
Mpumalanga,2021-09-30,79
North-West,2021-09-30,79
Northern Cape,2021-09-30,166
Western Cape,2021-09-30,363
Eastern Cape,2021-10-01,193
Free State,2021-10-01,172
Gauteng,2021-10-01,191
Kwazulu-Natal,2021-10-01,340
Limpopo,2021-10-01,32
Mpumalanga,2021-10-01,74
North-West,2021-10-01,74
Northern Cape,2021-10-01,147
Western Cape,2021-10-01,412
Eastern Cape,2021-10-02,169
Free State,2021-10-02,145
Gauteng,2021-10-02,183
Kwazulu-Natal,2021-10-02,238
Limpopo,2021-10-02,29
Mpumalanga,2021-10-02,77
North-West,2021-10-02,57
Northern Cape,2021-10-02,124
Western Cape,2021-10-02,285
Eastern Cape,2021-10-03,127
Free State,2021-10-03,70
Gauteng,2021-10-03,97
Kwazulu-Natal,2021-10-03,177
Limpopo,2021-10-03,11
Mpumalanga,2021-10-03,25
North-West,2021-10-03,59
Northern Cape,2021-10-03,87
Western Cape,2021-10-03,156
Eastern Cape,2021-10-04,41
Free State,2021-10-04,41
Gauteng,2021-10-04,79
Kwazulu-Natal,2021-10-04,88
Limpopo,2021-10-04,7
Mpumalanga,2021-10-04,15
North-West,2021-10-04,33
Northern Cape,2021-10-04,29
Western Cape,2021-10-04,95
Eastern Cape,2021-10-05,65
Free State,2021-10-05,59
Gauteng,2021-10-05,122
Kwazulu-Natal,2021-10-05,193
Limpopo,2021-10-05,21
Mpumalanga,2021-10-05,53
North-West,2021-10-05,53
Northern Cape,2021-10-05,50
Western Cape,2021-10-05,152
Eastern Cape,2021-10-06,132
Free State,2021-10-06,133
Gauteng,2021-10-06,152
Kwazulu-Natal,2021-10-06,208
Limpopo,2021-10-06,13
Mpumalanga,2021-10-06,76
North-West,2021-10-06,81
Northern Cape,2021-10-06,96
Western Cape,2021-10-06,258
Eastern Cape,2021-10-07,130
Free State,2021-10-07,110
Gauteng,2021-10-07,159
Kwazulu-Natal,2021-10-07,195
Limpopo,2021-10-07,21
Mpumalanga,2021-10-07,47
North-West,2021-10-07,42
Northern Cape,2021-10-07,99
Western Cape,2021-10-07,186
Eastern Cape,2021-10-08,102
Free State,2021-10-08,115
Gauteng,2021-10-08,138
Kwazulu-Natal,2021-10-08,175
Limpopo,2021-10-08,34
Mpumalanga,2021-10-08,46
North-West,2021-10-08,45
Northern Cape,2021-10-08,63
Western Cape,2021-10-08,206
Eastern Cape,2021-10-09,96
Free State,2021-10-09,86
Gauteng,2021-10-09,152
Kwazulu-Natal,2021-10-09,167
Limpopo,2021-10-09,23
Mpumalanga,2021-10-09,29
North-West,2021-10-09,39
Northern Cape,2021-10-09,84
Western Cape,2021-10-09,141
Eastern Cape,2021-10-10,73
Free State,2021-10-10,67
Gauteng,2021-10-10,109
Kwazulu-Natal,2021-10-10,114
Limpopo,2021-10-10,6
Mpumalanga,2021-10-10,45
North-West,2021-10-10,32
Northern Cape,2021-10-10,90
Western Cape,2021-10-10,111
Eastern Cape,2021-10-11,28
Free State,2021-10-11,7
Gauteng,2021-10-11,42
Kwazulu-Natal,2021-10-11,57
Limpopo,2021-10-11,5
Mpumalanga,2021-10-11,9
North-West,2021-10-11,9
Northern Cape,2021-10-11,11
Western Cape,2021-10-11,33
Eastern Cape,2021-10-12,57
Free State,2021-10-12,71
Gauteng,2021-10-12,99
Kwazulu-Natal,2021-10-12,128
Limpopo,2021-10-12,16
Mpumalanga,2021-10-12,27
North-West,2021-10-12,51
Northern Cape,2021-10-12,42
Western Cape,2021-10-12,102
Eastern Cape,2021-10-13,93
Free State,2021-10-13,104
Gauteng,2021-10-13,178
Kwazulu-Natal,2021-10-13,145
Limpopo,2021-10-13,10
Mpumalanga,2021-10-13,52
North-West,2021-10-13,46
Northern Cape,2021-10-13,93
Western Cape,2021-10-13,220
Eastern Cape,2021-10-14,75
Free State,2021-10-14,107
Gauteng,2021-10-14,129
Kwazulu-Natal,2021-10-14,233
Limpopo,2021-10-14,13
Mpumalanga,2021-10-14,38
North-West,2021-10-14,55
Northern Cape,2021-10-14,113
Western Cape,2021-10-14,185
Eastern Cape,2021-10-15,78
Free State,2021-10-15,80
Gauteng,2021-10-15,111
Kwazulu-Natal,2021-10-15,147
Limpopo,2021-10-15,32
Mpumalanga,2021-10-15,37
North-West,2021-10-15,49
Northern Cape,2021-10-15,38
Western Cape,2021-10-15,161
Eastern Cape,2021-10-16,67
Free State,2021-10-16,65
Gauteng,2021-10-16,93
Kwazulu-Natal,2021-10-16,116
Limpopo,2021-10-16,20
Mpumalanga,2021-10-16,34
North-West,2021-10-16,42
Northern Cape,2021-10-16,53
Western Cape,2021-10-16,129
Eastern Cape,2021-10-17,30
Free State,2021-10-17,52
Gauteng,2021-10-17,87
Kwazulu-Natal,2021-10-17,67
Limpopo,2021-10-17,7
Mpumalanga,2021-10-17,11
North-West,2021-10-17,21
Northern Cape,2021-10-17,44
Western Cape,2021-10-17,94
Eastern Cape,2021-10-18,15
Free State,2021-10-18,27
Gauteng,2021-10-18,39
Kwazulu-Natal,2021-10-18,41
Limpopo,2021-10-18,2
Mpumalanga,2021-10-18,11
North-West,2021-10-18,17
Northern Cape,2021-10-18,14
Western Cape,2021-10-18,43
Eastern Cape,2021-10-19,25
Free State,2021-10-19,45
Gauteng,2021-10-19,94
Kwazulu-Natal,2021-10-19,102
Limpopo,2021-10-19,7
Mpumalanga,2021-10-19,40
North-West,2021-10-19,26
Northern Cape,2021-10-19,30
Western Cape,2021-10-19,84
Eastern Cape,2021-10-20,56
Free State,2021-10-20,68
Gauteng,2021-10-20,74
Kwazulu-Natal,2021-10-20,126
Limpopo,2021-10-20,7
Mpumalanga,2021-10-20,35
North-West,2021-10-20,53
Northern Cape,2021-10-20,51
Western Cape,2021-10-20,121
Eastern Cape,2021-10-21,35
Free State,2021-10-21,69
Gauteng,2021-10-21,74
Kwazulu-Natal,2021-10-21,100
Limpopo,2021-10-21,12
Mpumalanga,2021-10-21,32
North-West,2021-10-21,39
Northern Cape,2021-10-21,71
Western Cape,2021-10-21,89
Eastern Cape,2021-10-22,40
Free State,2021-10-22,87
Gauteng,2021-10-22,68
Kwazulu-Natal,2021-10-22,125
Limpopo,2021-10-22,7
Mpumalanga,2021-10-22,34
North-West,2021-10-22,32
Northern Cape,2021-10-22,33
Western Cape,2021-10-22,90
Eastern Cape,2021-10-23,26
Free State,2021-10-23,68
Gauteng,2021-10-23,48
Kwazulu-Natal,2021-10-23,88
Limpopo,2021-10-23,19
Mpumalanga,2021-10-23,38
North-West,2021-10-23,37
Northern Cape,2021-10-23,43
Western Cape,2021-10-23,82
Eastern Cape,2021-10-24,28
Free State,2021-10-24,14
Gauteng,2021-10-24,57
Kwazulu-Natal,2021-10-24,69
Limpopo,2021-10-24,9
Mpumalanga,2021-10-24,18
North-West,2021-10-24,18
Northern Cape,2021-10-24,31
Western Cape,2021-10-24,57
Eastern Cape,2021-10-25,7
Free State,2021-10-25,5
Gauteng,2021-10-25,44
Kwazulu-Natal,2021-10-25,38
Limpopo,2021-10-25,3
Mpumalanga,2021-10-25,6
North-West,2021-10-25,8
Northern Cape,2021-10-25,11
Western Cape,2021-10-25,24
Eastern Cape,2021-10-26,30
Free State,2021-10-26,53
Gauteng,2021-10-26,74
Kwazulu-Natal,2021-10-26,47
Limpopo,2021-10-26,8
Mpumalanga,2021-10-26,27
North-West,2021-10-26,24
Northern Cape,2021-10-26,19
Western Cape,2021-10-26,48
Eastern Cape,2021-10-27,34
Free State,2021-10-27,42
Gauteng,2021-10-27,103
Kwazulu-Natal,2021-10-27,68
Limpopo,2021-10-27,12
Mpumalanga,2021-10-27,32
North-West,2021-10-27,35
Northern Cape,2021-10-27,59
Western Cape,2021-10-27,88
Eastern Cape,2021-10-28,30
Free State,2021-10-28,56
Gauteng,2021-10-28,151
Kwazulu-Natal,2021-10-28,93
Limpopo,2021-10-28,23
Mpumalanga,2021-10-28,36
North-West,2021-10-28,27
Northern Cape,2021-10-28,38
Western Cape,2021-10-28,78
Eastern Cape,2021-10-29,31
Free State,2021-10-29,42
Gauteng,2021-10-29,161
Kwazulu-Natal,2021-10-29,59
Limpopo,2021-10-29,19
Mpumalanga,2021-10-29,35
North-West,2021-10-29,17
Northern Cape,2021-10-29,44
Western Cape,2021-10-29,64
Eastern Cape,2021-10-30,22
Free State,2021-10-30,43
Gauteng,2021-10-30,56
Kwazulu-Natal,2021-10-30,47
Limpopo,2021-10-30,8
Mpumalanga,2021-10-30,20
North-West,2021-10-30,16
Northern Cape,2021-10-30,37
Western Cape,2021-10-30,52
Eastern Cape,2021-10-31,19
Free State,2021-10-31,26
Gauteng,2021-10-31,36
Kwazulu-Natal,2021-10-31,42
Limpopo,2021-10-31,0
Mpumalanga,2021-10-31,45
North-West,2021-10-31,13
Northern Cape,2021-10-31,18
Western Cape,2021-10-31,31
Eastern Cape,2021-11-01,10
Free State,2021-11-01,16
Gauteng,2021-11-01,22
Kwazulu-Natal,2021-11-01,20
Limpopo,2021-11-01,1
Mpumalanga,2021-11-01,5
North-West,2021-11-01,7
Northern Cape,2021-11-01,6
Western Cape,2021-11-01,19
