region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Kwazulu-Natal,26108 (10654 -- 68449),26108,31083,19777,10654,18355,22906,30127,37957,68449,New confirmed cases by infection date,Increasing,0.0015
Gauteng,13135 (4831 -- 37645),13135,16179,11852,4831,8686,11266,15406,19952,37645,New confirmed cases by infection date,Stable,0.5
Western Cape,11012 (3874 -- 34403),11012,14303,14131,3874,7194,9327,12980,17024,34403,New confirmed cases by infection date,Increasing,0.019
Eastern Cape,9621 (3968 -- 24202),9621,11428,7630,3968,6674,8382,11117,13994,24202,New confirmed cases by infection date,Increasing,0.00025
Free State,6896 (2588 -- 20993),6896,8860,7192,2588,4608,5944,8031,10595,20993,New confirmed cases by infection date,Increasing,0.0018
North-West,4453 (1309 -- 17247),4453,6373,7351,1309,2721,3742,5386,7459,17247,New confirmed cases by infection date,Likely increasing,0.066
Mpumalanga,3621 (1141 -- 10754),3621,4475,3328,1141,2336,3083,4272,5592,10754,New confirmed cases by infection date,Likely increasing,0.084
Limpopo,2555 (710 -- 9316),2555,3484,4529,710,1512,2108,3107,4309,9316,New confirmed cases by infection date,Likely increasing,0.14
Northern Cape,1387 (571 -- 4850),1387,1939,2151,571,950,1190,1627,2230,4850,New confirmed cases by infection date,Increasing,5e-04
Eastern Cape,2.2 (1.6 -- 2.9),2.2,2.2,0.41,1.6,1.9,2.1,2.3,2.4,2.9,Effective reproduction no.,Increasing,0.00025
Kwazulu-Natal,2 (1.5 -- 2.7),2,2,0.38,1.5,1.8,1.9,2.1,2.3,2.7,Effective reproduction no.,Increasing,0.0015
Free State,1.9 (1.4 -- 2.7),1.9,2,0.39,1.4,1.7,1.8,2,2.2,2.7,Effective reproduction no.,Increasing,0.0018
Northern Cape,1.9 (1.4 -- 2.9),1.9,2,0.5,1.4,1.7,1.8,2,2.2,2.9,Effective reproduction no.,Increasing,5e-04
Western Cape,1.7 (1.2 -- 2.4),1.7,1.7,0.41,1.2,1.4,1.6,1.7,1.9,2.4,Effective reproduction no.,Increasing,0.019
North-West,1.5 (0.96 -- 2.4),1.5,1.6,0.49,0.96,1.3,1.4,1.6,1.8,2.4,Effective reproduction no.,Likely increasing,0.066
Limpopo,1.4 (0.81 -- 2.1),1.4,1.4,0.42,0.81,1.1,1.3,1.5,1.6,2.1,Effective reproduction no.,Likely increasing,0.14
Mpumalanga,1.4 (0.91 -- 2),1.4,1.5,0.34,0.91,1.2,1.4,1.5,1.7,2,Effective reproduction no.,Likely increasing,0.084
Gauteng,1 (0.62 -- 1.6),1,1,0.3,0.62,0.83,0.94,1.1,1.2,1.6,Effective reproduction no.,Stable,0.5
