region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Eastern Cape,2021-08-14,,estimate,21,22.9,12.1,7,14,18,24,29,45
Eastern Cape,2021-08-15,,estimate,9,10.3,5.8,3,6,8,11,14,21
Eastern Cape,2021-08-16,,estimate,19,20.8,11,6,13,16,22,27,41
Eastern Cape,2021-08-17,,estimate,49,53.7,27.7,18,34,43,55,68,104
Eastern Cape,2021-08-18,,estimate,48,53.1,26.6,18.9,34,42,55,67,103
Eastern Cape,2021-08-19,,estimate,53,57.1,28.6,20,37,46,59,72,110
Eastern Cape,2021-08-20,,estimate,38,41.7,20.9,15,27,33,44,53,81
Eastern Cape,2021-08-21,,estimate,30,32.6,16.6,11,21,26,34,41,63
Eastern Cape,2021-08-22,,estimate,13,14.4,8,4,9,11,15,19,29
Eastern Cape,2021-08-23,,estimate,26,28.4,14.7,9,18,23,30,36,56
Eastern Cape,2021-08-24,,estimate,63,69.4,35.3,24,45,56,71,87.2,135
Eastern Cape,2021-08-25,,estimate,61,66.5,33.1,24,43,54,69,85,126
Eastern Cape,2021-08-26,,estimate,63,69.4,35.4,25,45,56,71,87,137
Eastern Cape,2021-08-27,,estimate,45,48.8,24.6,17,31,39,51,62,96
Eastern Cape,2021-08-28,,estimate,34,37,19.2,12,24,30,38,47,73
Eastern Cape,2021-08-29,,estimate,15,16.1,8.8,5,10,13,17,21,32
Eastern Cape,2021-08-30,,estimate,28,30.3,15.2,10,19,25,32,38,59
Eastern Cape,2021-08-31,,estimate,67,71.8,34,26,47,59,75,91,136
Eastern Cape,2021-09-01,,estimate,62,68,33.9,24,44,55,71,86,129
Eastern Cape,2021-09-02,,estimate,63,69.1,33.8,26,45,56,71,87,132
Eastern Cape,2021-09-03,,estimate,45,48.2,24.1,17,31,39,50,61,93
Eastern Cape,2021-09-04,,estimate,33,36.3,18.5,12,23,29,38,46,71
Eastern Cape,2021-09-05,,estimate,14,15.2,8.4,4,9,12,16,20,31
Eastern Cape,2021-09-06,,estimate,25,28.1,15.2,9,17,22,29,36,57
Eastern Cape,2021-09-07,,estimate,59.5,65.6,33,23,42,53,68,83,128
Eastern Cape,2021-09-08,,estimate,56,60.9,30.7,21,39,49,63,77,119
Eastern Cape,2021-09-09,,estimate,57,61.9,31,22,40,50,65,78,117
Eastern Cape,2021-09-10,,estimate,39,42.3,21.6,15,27,34,44,53,82
Eastern Cape,2021-09-11,,estimate,28,30.9,15.6,10,20,25,32,40,60
Eastern Cape,2021-09-12,,estimate,12,12.7,7.2,3,7,10,13,17,27
Eastern Cape,2021-09-13,,estimate,21,23.5,12.5,7,15,19,25,30,46
Eastern Cape,2021-09-14,,estimate,50,54.5,26.9,20,35,44,57,69,105
Eastern Cape,2021-09-15,,estimate,47,50.5,24.5,18,32,41,53,65,95
Eastern Cape,2021-09-16,,estimate,47,50.8,24.7,18,33,42,53.4,64,98
Eastern Cape,2021-09-17,,estimate,31,33.9,17.5,11,21,27,35,43,66
Eastern Cape,2021-09-18,,estimate,23,24.6,12.6,8,15,20,25,31,48
Eastern Cape,2021-09-19,,estimate,9,10.2,6,2,6,8,11,13,21
Eastern Cape,2021-09-20,,estimate,17,18.3,9.7,5,11,15,19,24,36
Eastern Cape,2021-09-21,,estimate,39,42.3,21.1,14.9,27,34,44,54,81
Eastern Cape,2021-09-22,,estimate,36,39,20.4,13,25,31,40,49,77
Eastern Cape,2021-09-23,,estimate,36,38.8,19.9,13,24,31,40,49,76
Eastern Cape,2021-09-24,,estimate,24,25.8,13.4,8,16,21,27,33,51
Eastern Cape,2021-09-25,,estimate,17,18.6,9.9,6,12,15,19,24,37
