region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Eastern Cape,2021-08-26,,estimate,-0.0422529213776803,-0.040524980829884,0.0271857247408546,-0.0818926526314086,-0.0584519419065451,-0.048457361197993,-0.0362030743772752,-0.0249984845671481,0.00754222855931341
Eastern Cape,2021-08-27,,estimate,-0.0429649841615401,-0.0415080970320111,0.0251724706160138,-0.0801163183427991,-0.0580376552899516,-0.0487183087046579,-0.0372733991720892,-0.0267651792941966,0.00286857124433493
Eastern Cape,2021-08-28,,estimate,-0.0436967759631517,-0.042479704156645,0.0233599115061577,-0.078304661701835,-0.0578671182066869,-0.0490759413662232,-0.0382616482937741,-0.0286531633552049,-0.00146129498008147
Eastern Cape,2021-08-29,,estimate,-0.0444943781416108,-0.0434341318878001,0.0217461062944315,-0.0769585881938829,-0.0578336812661931,-0.0496427124375489,-0.0390990208140287,-0.0302118139446473,-0.00566976414931106
Eastern Cape,2021-08-30,,estimate,-0.0451839270541292,-0.0443655506717179,0.0203252184036524,-0.0759353559536334,-0.0581157787568092,-0.0499518173613068,-0.0403620258179706,-0.0316653554825525,-0.00923334653075223
Eastern Cape,2021-08-31,,estimate,-0.0459249468065636,-0.0452681438425964,0.0190864629077526,-0.0756893049531062,-0.0580546737392389,-0.0502711667500594,-0.0412213490719965,-0.0332536772842723,-0.0129351708689267
Eastern Cape,2021-09-01,,estimate,-0.0465766777262482,-0.0461362955556994,0.0180137214646377,-0.0754709838514099,-0.0580222176490445,-0.0508969136481774,-0.0421054668357661,-0.034546919161958,-0.0160897955381082
Eastern Cape,2021-09-02,,estimate,-0.0472677546367602,-0.0469647767886829,0.0170862390406839,-0.0747730936489294,-0.0580509906920617,-0.0512548667830941,-0.0431894086005357,-0.0359256292928526,-0.0187050243700123
Eastern Cape,2021-09-03,,estimate,-0.0479244205348289,-0.0477489151778489,0.0162805361480738,-0.074209056107303,-0.058184586919795,-0.0516181203548325,-0.0440094224227193,-0.0372208665490813,-0.0211215970244248
Eastern Cape,2021-09-04,,estimate,-0.0484047695338228,-0.0484847441053519,0.0155732857015656,-0.0744944308014801,-0.0583307542380285,-0.0521970879591298,-0.0448270015937053,-0.0383966280674735,-0.0235628912897982
Eastern Cape,2021-09-05,,estimate,-0.0490085625527298,-0.0491691361231167,0.0149445615165339,-0.0738793292770399,-0.058635444576072,-0.0525114587835366,-0.0457251193128227,-0.0395575049911527,-0.0252093274166253
Eastern Cape,2021-09-06,,estimate,-0.0495325857631314,-0.0497999300265464,0.0143807028714449,-0.0736991619928489,-0.0587094113819981,-0.053048157512761,-0.0462155733297748,-0.0404769390307736,-0.026795187094873
Eastern Cape,2021-09-07,,estimate,-0.0500360678181204,-0.0503760579409335,0.0138761046555923,-0.0732184110892805,-0.0588921035156044,-0.0534711629208181,-0.0467825702874456,-0.0415162202316505,-0.0282730290589481
Eastern Cape,2021-09-08,,estimate,-0.0505371866602598,-0.0508976710823381,0.0134334670052783,-0.0728518510887922,-0.0592265325865984,-0.0539277575877276,-0.0474535601532358,-0.0423271923138542,-0.0295462080405941
Eastern Cape,2021-09-09,,estimate,-0.051072001960243,-0.0513662547360676,0.0130623024153837,-0.0726444769664021,-0.0594600639667669,-0.054181205553718,-0.0479252680504041,-0.0431585756359204,-0.0306420040771305
Eastern Cape,2021-09-10,,estimate,-0.0515969626855765,-0.0517847173656981,0.0127757532257055,-0.0727653212229139,-0.0596575381649334,-0.0545153162722818,-0.0485232677351215,-0.0437958066439164,-0.0313756472169178
Eastern Cape,2021-09-11,,estimate,-0.0521387256524761,-0.052157435372532,0.0125861015593783,-0.0727853346198269,-0.0599254337860874,-0.055025908698457,-0.0490922070695562,-0.0443919798939892,-0.0319697467072553
Eastern Cape,2021-09-12,,estimate,-0.0526063565486121,-0.0524902320357789,0.0124998619615191,-0.0725785964440333,-0.0601583279008289,-0.0554473161417073,-0.0497452873436491,-0.0448269161726696,-0.0319188934535849
Eastern Cape,2021-09-13,,estimate,-0.0530770346437718,-0.0527902668684506,0.0125139045812696,-0.0728593948007377,-0.0603070403738704,-0.0556128257183971,-0.0502565580395999,-0.0453793687173219,-0.0324585693421209
Eastern Cape,2021-09-14,,estimate,-0.0534404288410841,-0.0530658146935355,0.0126141814760172,-0.0731803679755651,-0.0605437463289084,-0.0560089185550548,-0.050731944185371,-0.0456423991128436,-0.0325035338257152
Eastern Cape,2021-09-15,,estimate,-0.0537558728909442,-0.0533259287941156,0.0127778475476636,-0.0732992259307204,-0.0609708132441119,-0.0563610744242268,-0.0510311755413626,-0.0458801164311901,-0.0322762938569909
