region,date,confirm
Eastern Cape,2021-09-28,32
Free State,2021-09-28,11
Gauteng,2021-09-28,25
Kwazulu-Natal,2021-09-28,34
Limpopo,2021-09-28,0
Mpumalanga,2021-09-28,3
North-West,2021-09-28,59
Northern Cape,2021-09-28,6
Western Cape,2021-09-28,31
,2021-09-28,0
Eastern Cape,2021-09-29,21
Free State,2021-09-29,12
Gauteng,2021-09-29,15
Kwazulu-Natal,2021-09-29,14
Limpopo,2021-09-29,0
Mpumalanga,2021-09-29,0
North-West,2021-09-29,0
Northern Cape,2021-09-29,1
Western Cape,2021-09-29,45
,2021-09-29,0
Eastern Cape,2021-09-30,33
Free State,2021-09-30,12
Gauteng,2021-09-30,10
Kwazulu-Natal,2021-09-30,20
Limpopo,2021-09-30,0
Mpumalanga,2021-09-30,0
North-West,2021-09-30,0
Northern Cape,2021-09-30,0
Western Cape,2021-09-30,26
,2021-09-30,0
Eastern Cape,2021-10-01,19
Free State,2021-10-01,18
Gauteng,2021-10-01,9
Kwazulu-Natal,2021-10-01,18
Limpopo,2021-10-01,0
Mpumalanga,2021-10-01,0
North-West,2021-10-01,0
Northern Cape,2021-10-01,7
Western Cape,2021-10-01,8
,2021-10-01,0
Eastern Cape,2021-10-02,8
Free State,2021-10-02,3
Gauteng,2021-10-02,6
Kwazulu-Natal,2021-10-02,16
Limpopo,2021-10-02,0
Mpumalanga,2021-10-02,0
North-West,2021-10-02,0
Northern Cape,2021-10-02,2
Western Cape,2021-10-02,13
,2021-10-02,0
Eastern Cape,2021-10-03,1
Free State,2021-10-03,5
Gauteng,2021-10-03,1
Kwazulu-Natal,2021-10-03,2
Limpopo,2021-10-03,0
Mpumalanga,2021-10-03,6
North-West,2021-10-03,0
Northern Cape,2021-10-03,0
Western Cape,2021-10-03,12
,2021-10-03,0
Eastern Cape,2021-10-04,10
Free State,2021-10-04,15
Gauteng,2021-10-04,1
Kwazulu-Natal,2021-10-04,0
Limpopo,2021-10-04,0
Mpumalanga,2021-10-04,0
North-West,2021-10-04,0
Northern Cape,2021-10-04,2
Western Cape,2021-10-04,11
,2021-10-04,0
Eastern Cape,2021-10-05,34
Free State,2021-10-05,18
Gauteng,2021-10-05,4
Kwazulu-Natal,2021-10-05,15
Limpopo,2021-10-05,0
Mpumalanga,2021-10-05,0
North-West,2021-10-05,0
Northern Cape,2021-10-05,7
Western Cape,2021-10-05,25
,2021-10-05,0
Eastern Cape,2021-10-06,22
Free State,2021-10-06,16
Gauteng,2021-10-06,15
Kwazulu-Natal,2021-10-06,4
Limpopo,2021-10-06,0
Mpumalanga,2021-10-06,0
North-West,2021-10-06,0
Northern Cape,2021-10-06,2
Western Cape,2021-10-06,0
,2021-10-06,0
Eastern Cape,2021-10-07,16
Free State,2021-10-07,20
Gauteng,2021-10-07,5
Kwazulu-Natal,2021-10-07,8
Limpopo,2021-10-07,17
Mpumalanga,2021-10-07,0
North-West,2021-10-07,25
Northern Cape,2021-10-07,3
Western Cape,2021-10-07,29
,2021-10-07,0
Eastern Cape,2021-10-08,13
Free State,2021-10-08,12
Gauteng,2021-10-08,2
Kwazulu-Natal,2021-10-08,10
Limpopo,2021-10-08,0
Mpumalanga,2021-10-08,4
North-West,2021-10-08,0
Northern Cape,2021-10-08,9
Western Cape,2021-10-08,82
,2021-10-08,0
Eastern Cape,2021-10-09,6
Free State,2021-10-09,2
Gauteng,2021-10-09,6
Kwazulu-Natal,2021-10-09,22
Limpopo,2021-10-09,0
Mpumalanga,2021-10-09,6
North-West,2021-10-09,0
Northern Cape,2021-10-09,4
Western Cape,2021-10-09,10
,2021-10-09,0
Eastern Cape,2021-10-10,2
Free State,2021-10-10,5
Gauteng,2021-10-10,7
Kwazulu-Natal,2021-10-10,0
Limpopo,2021-10-10,0
Mpumalanga,2021-10-10,0
North-West,2021-10-10,0
Northern Cape,2021-10-10,0
Western Cape,2021-10-10,11
,2021-10-10,0
Eastern Cape,2021-10-11,11
Free State,2021-10-11,2
Gauteng,2021-10-11,4
Kwazulu-Natal,2021-10-11,2
Limpopo,2021-10-11,0
Mpumalanga,2021-10-11,0
North-West,2021-10-11,0
Northern Cape,2021-10-11,0
Western Cape,2021-10-11,10
,2021-10-11,0
Eastern Cape,2021-10-12,23
Free State,2021-10-12,5
Gauteng,2021-10-12,3
Kwazulu-Natal,2021-10-12,21
Limpopo,2021-10-12,0
Mpumalanga,2021-10-12,7
North-West,2021-10-12,0
Northern Cape,2021-10-12,9
Western Cape,2021-10-12,15
,2021-10-12,0
Eastern Cape,2021-10-13,12
Free State,2021-10-13,14
Gauteng,2021-10-13,4
Kwazulu-Natal,2021-10-13,1
Limpopo,2021-10-13,0
Mpumalanga,2021-10-13,0
North-West,2021-10-13,0
Northern Cape,2021-10-13,0
Western Cape,2021-10-13,6
,2021-10-13,0
Eastern Cape,2021-10-14,10
Free State,2021-10-14,15
Gauteng,2021-10-14,2
Kwazulu-Natal,2021-10-14,3
Limpopo,2021-10-14,0
Mpumalanga,2021-10-14,0
North-West,2021-10-14,0
Northern Cape,2021-10-14,2
Western Cape,2021-10-14,8
,2021-10-14,0
Eastern Cape,2021-10-15,14
Free State,2021-10-15,12
Gauteng,2021-10-15,5
Kwazulu-Natal,2021-10-15,5
Limpopo,2021-10-15,11
Mpumalanga,2021-10-15,2
North-West,2021-10-15,0
Northern Cape,2021-10-15,0
Western Cape,2021-10-15,7
,2021-10-15,0
Eastern Cape,2021-10-16,9
Free State,2021-10-16,9
Gauteng,2021-10-16,4
Kwazulu-Natal,2021-10-16,0
Limpopo,2021-10-16,0
Mpumalanga,2021-10-16,0
North-West,2021-10-16,0
Northern Cape,2021-10-16,3
Western Cape,2021-10-16,0
,2021-10-16,0
Eastern Cape,2021-10-17,4
Free State,2021-10-17,3
Gauteng,2021-10-17,3
Kwazulu-Natal,2021-10-17,0
Limpopo,2021-10-17,0
Mpumalanga,2021-10-17,3
North-West,2021-10-17,0
Northern Cape,2021-10-17,0
Western Cape,2021-10-17,12
,2021-10-17,0
Eastern Cape,2021-10-18,2
Free State,2021-10-18,0
Gauteng,2021-10-18,1
Kwazulu-Natal,2021-10-18,0
Limpopo,2021-10-18,0
Mpumalanga,2021-10-18,0
North-West,2021-10-18,0
Northern Cape,2021-10-18,0
Western Cape,2021-10-18,4
,2021-10-18,0
Eastern Cape,2021-10-19,3
Free State,2021-10-19,17
Gauteng,2021-10-19,5
Kwazulu-Natal,2021-10-19,21
Limpopo,2021-10-19,0
Mpumalanga,2021-10-19,0
North-West,2021-10-19,0
Northern Cape,2021-10-19,0
Western Cape,2021-10-19,9
,2021-10-19,0
Eastern Cape,2021-10-20,8
Free State,2021-10-20,17
Gauteng,2021-10-20,19
Kwazulu-Natal,2021-10-20,0
Limpopo,2021-10-20,0
Mpumalanga,2021-10-20,0
North-West,2021-10-20,24
Northern Cape,2021-10-20,4
Western Cape,2021-10-20,8
,2021-10-20,0
Eastern Cape,2021-10-21,8
Free State,2021-10-21,0
Gauteng,2021-10-21,65
Kwazulu-Natal,2021-10-21,4
Limpopo,2021-10-21,0
Mpumalanga,2021-10-21,0
North-West,2021-10-21,0
Northern Cape,2021-10-21,0
Western Cape,2021-10-21,4
,2021-10-21,0
Eastern Cape,2021-10-22,7
Free State,2021-10-22,22
Gauteng,2021-10-22,5
Kwazulu-Natal,2021-10-22,4
Limpopo,2021-10-22,10
Mpumalanga,2021-10-22,0
North-West,2021-10-22,0
Northern Cape,2021-10-22,5
Western Cape,2021-10-22,3
,2021-10-22,0
Eastern Cape,2021-10-23,3
Free State,2021-10-23,5
Gauteng,2021-10-23,4
Kwazulu-Natal,2021-10-23,3
Limpopo,2021-10-23,0
Mpumalanga,2021-10-23,0
North-West,2021-10-23,0
Northern Cape,2021-10-23,0
Western Cape,2021-10-23,8
,2021-10-23,0
Eastern Cape,2021-10-24,0
Free State,2021-10-24,1
Gauteng,2021-10-24,5
Kwazulu-Natal,2021-10-24,0
Limpopo,2021-10-24,0
Mpumalanga,2021-10-24,0
North-West,2021-10-24,0
Northern Cape,2021-10-24,2
Western Cape,2021-10-24,3
,2021-10-24,0
Eastern Cape,2021-10-25,3
Free State,2021-10-25,0
Gauteng,2021-10-25,1
Kwazulu-Natal,2021-10-25,0
Limpopo,2021-10-25,0
Mpumalanga,2021-10-25,0
North-West,2021-10-25,0
Northern Cape,2021-10-25,0
Western Cape,2021-10-25,5
,2021-10-25,0
Eastern Cape,2021-10-26,10
Free State,2021-10-26,12
