region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Mpumalanga,32943 (1553 -- 1001330),32943,286461,2024680,1553,8499,19438,55145,131174,1001330,New confirmed cases by infection date,Increasing,0.012
Eastern Cape,11 (0 -- 119),11,31,75,0,3,7,17,32,119,New confirmed cases by infection date,Likely decreasing,0.79
Free State,9 (0 -- 72),9,22,93,0,3,6,12,20,72,New confirmed cases by infection date,Stable,0.51
Limpopo,5 (0 -- 45),5,20,385,0,2,4,7,12,45,New confirmed cases by infection date,Likely increasing,0.34
Mpumalanga,3.4 (1.7 -- 6.8),3.4,3.7,1.6,1.7,2.6,3.1,3.8,4.5,6.8,Effective reproduction no.,Increasing,0.012
Limpopo,1.1 (0.62 -- 1.4),1.1,1.1,0.27,0.62,0.95,1,1.1,1.2,1.4,Effective reproduction no.,Likely increasing,0.34
Gauteng,1 (0 -- 27),1,22,351,0,0,0,1,4,27,New confirmed cases by infection date,Likely decreasing,0.69
Northern Cape,1 (0 -- 5),1,2,5,0,0,1,1,2,5,New confirmed cases by infection date,Likely decreasing,0.7
Western Cape,1 (0 -- 65),1,32,368,0,0,0,2,6,65,New confirmed cases by infection date,Likely decreasing,0.84
Free State,0.99 (0.5 -- 1.5),0.99,0.99,0.32,0.5,0.8,0.93,1.1,1.2,1.5,Effective reproduction no.,Stable,0.51
Northern Cape,0.95 (0.62 -- 1.2),0.95,0.95,0.19,0.62,0.89,0.94,0.97,1,1.2,Effective reproduction no.,Likely decreasing,0.7
Gauteng,0.79 (0.32 -- 1.9),0.79,0.93,0.62,0.32,0.57,0.7,0.88,1.1,1.9,Effective reproduction no.,Likely decreasing,0.69
Eastern Cape,0.75 (0.28 -- 1.3),0.75,0.77,0.32,0.28,0.55,0.67,0.83,0.96,1.3,Effective reproduction no.,Likely decreasing,0.79
Western Cape,0.54 (0.089 -- 1.5),0.54,0.64,0.56,0.089,0.3,0.45,0.64,0.82,1.5,Effective reproduction no.,Likely decreasing,0.84
Kwazulu-Natal,0.49 (0.11 -- 1.3),0.49,0.58,0.44,0.11,0.3,0.42,0.58,0.75,1.3,Effective reproduction no.,Likely decreasing,0.89
Kwazulu-Natal,0 (0 -- 22),0,17,310,0,0,0,1,2,22,New confirmed cases by infection date,Likely decreasing,0.89
