region,time
Hartlepool,8.2
Middlesbrough,11.9
Redcar and Cleveland,13.6
Stockton-on-Tees,8.6
Darlington,10
Halton,10.1
Warrington,15.8
Blackburn with Darwen,9.9
Blackpool,8.3
"Kingston upon Hull, City of",7.3
East Riding of Yorkshire,9.6
North East Lincolnshire,9.4
North Lincolnshire,9
York,8.5
Derby,14.2
Leicester,15.9
Nottingham,9.2
"Herefordshire, County of",8.1
Telford and Wrekin,9.1
Stoke-on-Trent,7.8
Bath and North East Somerset,11
"Bristol, City of",9.1
North Somerset,6.2
South Gloucestershire,8.7
Plymouth,8.8
Torbay,6.9
Swindon,8.6
Peterborough,7.2
Luton,7
Southend-on-Sea,8.7
Thurrock,10
Medway,8.4
Bracknell Forest,6.8
West Berkshire,7.3
Reading,8.3
Slough,14.8
Windsor and Maidenhead,8.9
Wokingham,9.2
Milton Keynes,10.4
Brighton and Hove,13.2
Portsmouth,12.4
Southampton,22
Isle of Wight,13.5
County Durham,12.4
Cheshire East,10.8
Cheshire West and Chester,14.6
Shropshire,12.7
Cornwall,14
Wiltshire,22
Bedford,8.7
Central Bedfordshire,9.5
Northumberland,10.2
"Bournemouth, Christchurch and Poole",18.7
Dorset,15.5
Buckinghamshire,12.3
Bolton,9.1
Bury,8.7
Manchester,18.6
Oldham,10.9
Rochdale,9.8
Salford,10.1
Stockport,9.6
Tameside,9.4
Trafford,11.8
Wigan,5.4
Knowsley,8.9
Liverpool,25.5
St. Helens,13.9
Sefton,16.5
Wirral,13.6
Barnsley,10
Doncaster,7.3
Rotherham,11.3
Sheffield,8.7
Newcastle upon Tyne,11.1
North Tyneside,9.1
South Tyneside,8.1
Sunderland,7.2
Birmingham,18.8
Coventry,13.9
Dudley,13
Sandwell,15.3
Solihull,14.6
Walsall,12.6
Wolverhampton,16.2
Bradford,13.1
Calderdale,10.6
Kirklees,13.9
Leeds,15.9
Wakefield,10.3
Gateshead,9.5
Barking and Dagenham,8.7
Barnet,15.6
Bexley,8.9
Brent,13.5
Bromley,18.4
Camden,14.1
Croydon,14.8
Ealing,14.9
Enfield,10.9
Greenwich,10.1
Hackney,10.3
Hammersmith and Fulham,6.9
Haringey,13.5
Harrow,11
Havering,10.8
Hillingdon,10.1
Hounslow,8.5
Islington,9.1
Kensington and Chelsea,7.4
Kingston upon Thames,8.9
Lambeth,13.5
Lewisham,10.7
Merton,10.5
Newham,10.1
Redbridge,8.8
Richmond upon Thames,8
Southwark,20.2
Sutton,9.1
Tower Hamlets,9.1
Waltham Forest,8.9
Wandsworth,9.5
Westminster,9.1
Cambridgeshire,10.9
Cumbria,17.2
Derbyshire,20.4
Devon,12.7
East Sussex,13.9
Essex,18.4
Gloucestershire,10.3
Hampshire,18.6
Hertfordshire,16.9
Kent,18.2
Lancashire,14.6
Leicestershire,15.6
Lincolnshire,15.7
Norfolk,11.9
Northamptonshire,16.6
North Yorkshire,15.9
Nottinghamshire,14.3
Oxfordshire,11.4
Somerset,10.1
Staffordshire,12.7
Suffolk,11.6
Surrey,11.9
Warwickshire,6.1
West Sussex,11.3
Worcestershire,7.7
