region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Barking and Dagenham,2020-11-29,,estimate,0.0274394808767708,0.0279674516518766,0.0263758765963006,-0.0143284302135015,0.0103925948620173,0.0211256495141852,0.0341589211277723,0.0460096501629877,0.0703373185603234
Barking and Dagenham,2020-11-30,,estimate,0.0282283953671637,0.028551757334454,0.0241574589262118,-0.0106301875791323,0.012361983991651,0.0221930167276863,0.0342761182387454,0.0448918101112623,0.0678414529144349
Barking and Dagenham,2020-12-01,,estimate,0.0288033595886087,0.0291717918528766,0.0220858006186402,-0.00659668118249765,0.0143452452834119,0.0232481767990474,0.0344820155928394,0.0442111077278229,0.0652481830118388
Barking and Dagenham,2020-12-02,,estimate,0.0294011317822574,0.0298184576352792,0.0201720347408873,-0.00244919786296087,0.016308688445387,0.0243466967016181,0.0348608123012546,0.0435191064323578,0.0627187118656575
Barking and Dagenham,2020-12-03,,estimate,0.0300859859952249,0.0304825325931464,0.0184238430977257,0.00107325952255902,0.0180299152103835,0.0253984020952385,0.0349433108882495,0.042999118764065,0.0605212945110719
Barking and Dagenham,2020-12-04,,estimate,0.0307624327179346,0.0311549725923856,0.0168458711761071,0.00441567040739325,0.0197197416885861,0.0266634186407728,0.0350798926298221,0.0424808802407406,0.0587385154849741
Barking and Dagenham,2020-12-05,,estimate,0.0313725029702135,0.0318271115672854,0.0154405600803807,0.00711877426465112,0.0215046362991491,0.0276154665998346,0.0353903642412605,0.042493945521346,0.0569048197717953
Barking and Dagenham,2020-12-06,,estimate,0.0320126518082193,0.0324907265245185,0.0142089006064569,0.00917445603016248,0.0230492910302231,0.0285493202928362,0.0356293268311326,0.0423787598971319,0.0553951509439148
Barking and Dagenham,2020-12-07,,estimate,0.032762530901028,0.0331379566218185,0.0131505322293351,0.0116263442787836,0.0243914816231037,0.0294687235040499,0.0360240501541437,0.0424400909118294,0.0545122271295835
Barking and Dagenham,2020-12-08,,estimate,0.0335005879113866,0.0337610847239073,0.0122627706977899,0.0136117718495196,0.0256797506261202,0.0307002955833555,0.0364355662360811,0.0424244939234267,0.0537574061432871
Barking and Dagenham,2020-12-09,,estimate,0.034216641376668,0.0343522050369364,0.0115386886058614,0.0154855251672747,0.0265953026012508,0.0314491039650528,0.0373155756769976,0.042244079760965,0.0531266492416469
Barking and Dagenham,2020-12-10,,estimate,0.0350119192564795,0.0349028115907692,0.0109651834760628,0.0166271494846713,0.0276769062713118,0.0322819522609462,0.0378187558843706,0.042333437484609,0.0526623373134744
Barking and Dagenham,2020-12-11,,estimate,0.0356043573814934,0.03540334860144,0.0105224875755068,0.0178344800996516,0.0286550356495631,0.0327984768201793,0.0381427728491426,0.0424493372240411,0.0522600741753414
Barking and Dagenham,2020-12-12,,estimate,0.0360076557653465,0.0358427641180781,0.0101861510097433,0.0188316428739816,0.0294510432273969,0.0334584522047388,0.0385377373161516,0.0424651612989001,0.0520554504124378
Barking and Dagenham,2020-12-13,,estimate,0.036451053251645,0.0362081039971659,0.00993121008675127,0.0197931139553485,0.029904399831462,0.0338569351282784,0.0387022736929275,0.0426951872202937,0.0523629218223711
