region,date,confirm
Hartlepool,2021-10-17,1
Middlesbrough,2021-10-17,3
Redcar and Cleveland,2021-10-17,2
Stockton-on-Tees,2021-10-17,2
Darlington,2021-10-17,4
Halton,2021-10-17,4
Warrington,2021-10-17,5
Blackburn with Darwen,2021-10-17,2
Blackpool,2021-10-17,8
"Kingston upon Hull, City of",2021-10-17,1
East Riding of Yorkshire,2021-10-17,3
North East Lincolnshire,2021-10-17,1
North Lincolnshire,2021-10-17,3
York,2021-10-17,3
Derby,2021-10-17,4
Leicester,2021-10-17,6
Rutland,2021-10-17,0
Nottingham,2021-10-17,2
"Herefordshire, County of",2021-10-17,2
Telford and Wrekin,2021-10-17,2
Stoke-on-Trent,2021-10-17,7
Bath and North East Somerset,2021-10-17,5
"Bristol, City of",2021-10-17,7
North Somerset,2021-10-17,3
South Gloucestershire,2021-10-17,6
Plymouth,2021-10-17,3
Torbay,2021-10-17,1
Swindon,2021-10-17,4
Peterborough,2021-10-17,6
Luton,2021-10-17,4
Southend-on-Sea,2021-10-17,2
Thurrock,2021-10-17,3
Medway,2021-10-17,1
Bracknell Forest,2021-10-17,1
West Berkshire,2021-10-17,1
Reading,2021-10-17,1
Slough,2021-10-17,2
Windsor and Maidenhead,2021-10-17,1
Wokingham,2021-10-17,1
Milton Keynes,2021-10-17,8
Brighton and Hove,2021-10-17,2
Portsmouth,2021-10-17,4
Southampton,2021-10-17,7
Isle of Wight,2021-10-17,0
County Durham,2021-10-17,19
Cheshire East,2021-10-17,6
Cheshire West and Chester,2021-10-17,1
Shropshire,2021-10-17,4
Cornwall,2021-10-17,11
Wiltshire,2021-10-17,11
Bedford,2021-10-17,4
Central Bedfordshire,2021-10-17,4
Northumberland,2021-10-17,5
"Bournemouth, Christchurch and Poole",2021-10-17,3
Dorset,2021-10-17,8
Buckinghamshire,2021-10-17,8
Bolton,2021-10-17,2
Bury,2021-10-17,2
Manchester,2021-10-17,9
Oldham,2021-10-17,3
Rochdale,2021-10-17,2
Salford,2021-10-17,2
Stockport,2021-10-17,10
Tameside,2021-10-17,1
Trafford,2021-10-17,5
Wigan,2021-10-17,0
Knowsley,2021-10-17,4
Liverpool,2021-10-17,10
St. Helens,2021-10-17,4
Sefton,2021-10-17,7
Wirral,2021-10-17,3
Barnsley,2021-10-17,6
Doncaster,2021-10-17,3
Rotherham,2021-10-17,6
Sheffield,2021-10-17,12
Newcastle upon Tyne,2021-10-17,6
North Tyneside,2021-10-17,4
South Tyneside,2021-10-17,2
Sunderland,2021-10-17,4
Birmingham,2021-10-17,16
Coventry,2021-10-17,5
