region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Kent,32 (14 -- 73),32,36,20,14,24,28,36,43,73,New confirmed cases by infection date,Increasing,0.04
Birmingham,27 (13 -- 46),27,28,10,13,20,24,29,34,46,New confirmed cases by infection date,Likely decreasing,0.63
Lancashire,26 (15 -- 45),26,28,10,15,21,24,28,33,45,New confirmed cases by infection date,Likely increasing,0.24
Leeds,24 (12 -- 53),24,27,15,12,18,22,27,32,53,New confirmed cases by infection date,Increasing,0.043
Essex,19 (8 -- 36),19,20,9,8,13,17,21,24,36,New confirmed cases by infection date,Likely increasing,0.25
Hertfordshire,19 (8 -- 46),19,22,15,8,13,17,21,26,46,New confirmed cases by infection date,Likely increasing,0.14
Sheffield,19 (9 -- 37),19,20,9,9,14,17,21,25,37,New confirmed cases by infection date,Likely increasing,0.16
Bradford,18 (8 -- 39),18,20,10,8,13,16,20,24,39,New confirmed cases by infection date,Likely increasing,0.21
Hampshire,18 (8 -- 34),18,19,8,8,14,16,20,24,34,New confirmed cases by infection date,Likely increasing,0.39
Liverpool,18 (8 -- 42),18,21,12,8,13,16,20,24,42,New confirmed cases by infection date,Likely increasing,0.22
Doncaster,17 (7 -- 41),17,20,15,7,12,15,19,24,41,New confirmed cases by infection date,Likely increasing,0.057
Newcastle upon Tyne,16 (7 -- 28),16,16,6,7,12,14,17,20,28,New confirmed cases by infection date,Likely increasing,0.15
Nottinghamshire,16 (8 -- 30),16,17,7,8,12,15,18,21,30,New confirmed cases by infection date,Likely increasing,0.14
Derbyshire,15 (6 -- 29),15,16,7,6,11,13,16,19,29,New confirmed cases by infection date,Likely increasing,0.13
Suffolk,15 (6 -- 35),15,17,9,6,11,13,17,21,35,New confirmed cases by infection date,Likely increasing,0.084
Kirklees,14 (7 -- 25),14,14,5,7,11,12,15,17,25,New confirmed cases by infection date,Increasing,0.038
Staffordshire,14 (6 -- 25),14,15,5,6,11,13,16,18,25,New confirmed cases by infection date,Likely increasing,0.31
Surrey,14 (7 -- 25),14,15,5,7,11,13,15,18,25,New confirmed cases by infection date,Likely increasing,0.085
Worcestershire,14 (4 -- 33),14,16,10,4,9,12,16,20,33,New confirmed cases by infection date,Likely increasing,0.12
