Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Barking and Dagenham,1 (0 -- 2),Likely decreasing,0.98 (0.83 -- 1.1),-0.0046 (-0.047 -- 0.033),-150 (21 -- -15)
Barnet,4 (1 -- 7),Likely decreasing,0.95 (0.65 -- 1.1),-0.014 (-0.1 -- 0.033),-51 (21 -- -6.8)
Barnsley,13 (3 -- 27),Likely increasing,1.1 (0.61 -- 1.2),0.017 (-0.11 -- 0.063),40 (11 -- -6.1)
Bath and North East Somerset,3 (1 -- 5),Stable,1 (0.85 -- 1.1),0.004 (-0.043 -- 0.026),170 (27 -- -16)
Bedford,6 (2 -- 13),Likely increasing,1.1 (0.78 -- 1.4),0.022 (-0.061 -- 0.093),31 (7.4 -- -11)
Bexley,2 (1 -- 5),Likely increasing,1 (0.85 -- 1.3),0.011 (-0.042 -- 0.069),63 (10 -- -17)
Birmingham,16 (10 -- 20),Likely decreasing,0.98 (0.86 -- 1),-0.006 (-0.039 -- 0.0084),-120 (83 -- -18)
Blackburn with Darwen,2 (1 -- 4),Likely increasing,1 (0.95 -- 1.2),0.007 (-0.015 -- 0.047),98 (15 -- -45)
Blackpool,3 (0 -- 7),Likely decreasing,0.87 (0.54 -- 1.1),-0.038 (-0.14 -- 0.038),-18 (18 -- -5.1)
Bolton,5 (3 -- 10),Likely increasing,1.1 (0.94 -- 1.3),0.018 (-0.017 -- 0.072),37 (9.6 -- -41)
"Bournemouth, Christchurch and Poole",9 (4 -- 16),Likely increasing,1.1 (0.86 -- 1.3),0.027 (-0.038 -- 0.075),26 (9.2 -- -18)
Bracknell Forest,1 (0 -- 3),Likely increasing,1 (0.84 -- 1.3),0.011 (-0.046 -- 0.074),61 (9.3 -- -15)
Bradford,6 (2 -- 12),Likely decreasing,0.88 (0.57 -- 1),-0.033 (-0.13 -- 0.012),-21 (59 -- -5.4)
Brent,4 (2 -- 6),Likely decreasing,0.99 (0.86 -- 1.1),-0.003 (-0.04 -- 0.02),-230 (35 -- -17)
Brighton and Hove,4 (2 -- 9),Likely increasing,1.1 (0.92 -- 1.4),0.032 (-0.021 -- 0.1),21 (6.9 -- -32)
"Bristol, City of",9 (6 -- 15),Likely increasing,1 (0.91 -- 1.2),0.0065 (-0.024 -- 0.052),110 (13 -- -28)
Bromley,2 (1 -- 4),Stable,1 (0.88 -- 1.1),-0.00091 (-0.034 -- 0.037),-760 (19 -- -20)
Buckinghamshire,6 (3 -- 11),Likely increasing,1.1 (0.86 -- 1.2),0.015 (-0.038 -- 0.055),45 (12 -- -18)
Bury,2 (1 -- 4),Stable,1 (0.82 -- 1.1),0.0035 (-0.051 -- 0.037),200 (19 -- -14)
Calderdale,2 (1 -- 3),Likely decreasing,0.98 (0.85 -- 1),-0.0055 (-0.043 -- 0.013),-130 (54 -- -16)
Cambridgeshire,5 (1 -- 10),Likely decreasing,0.86 (0.58 -- 1.1),-0.04 (-0.12 -- 0.027),-17 (26 -- -5.6)
Camden,1 (0 -- 3),Stable,0.99 (0.71 -- 1.1),-0.0017 (-0.082 -- 0.039),-410 (18 -- -8.4)
Central Bedfordshire,7 (3 -- 14),Likely increasing,1.1 (0.85 -- 1.4),0.032 (-0.041 -- 0.1),22 (6.8 -- -17)
Cheshire East,6 (3 -- 11),Stable,1 (0.74 -- 1.1),0.0049 (-0.075 -- 0.034),140 (20 -- -9.3)
Cheshire West and Chester,5 (3 -- 15),Likely increasing,1.1 (0.94 -- 1.4),0.015 (-0.016 -- 0.11),47 (6.6 -- -44)
Cornwall,4 (1 -- 10),Likely decreasing,0.84 (0.54 -- 1.2),-0.047 (-0.14 -- 0.041),-15 (17 -- -5.1)
County Durham,5 (2 -- 10),Decreasing,0.85 (0.6 -- 0.99),-0.043 (-0.12 -- -0.002),-16 (-340 -- -5.9)
Coventry,4 (2 -- 7),Stable,1 (0.83 -- 1.1),0.0019 (-0.049 -- 0.033),370 (21 -- -14)
Croydon,3 (2 -- 5),Likely decreasing,0.97 (0.9 -- 1),-0.0071 (-0.027 -- 0.0096),-98 (72 -- -26)
Cumbria,4 (2 -- 8),Likely decreasing,0.89 (0.71 -- 1),-0.03 (-0.083 -- 0.0049),-23 (140 -- -8.4)
Darlington,1 (0 -- 2),Likely decreasing,0.95 (0.73 -- 1),-0.014 (-0.076 -- 0.0082),-49 (84 -- -9.1)
Derby,2 (0 -- 4),Stable,0.99 (0.65 -- 1.1),-0.0037 (-0.1 -- 0.023),-190 (30 -- -6.7)
Derbyshire,10 (5 -- 15),Stable,1 (0.8 -- 1.1),0.00081 (-0.057 -- 0.038),860 (18 -- -12)
Devon,10 (6 -- 16),Likely increasing,1 (0.85 -- 1.2),0.0054 (-0.041 -- 0.052),130 (13 -- -17)
Doncaster,4 (2 -- 9),Likely decreasing,0.97 (0.75 -- 1.4),-0.0074 (-0.07 -- 0.092),-94 (7.6 -- -9.9)
Dorset,4 (2 -- 7),Likely increasing,1 (0.79 -- 1.1),0.0072 (-0.06 -- 0.038),97 (18 -- -11)
Dudley,4 (3 -- 7),Likely increasing,1 (0.95 -- 1.1),0.0028 (-0.014 -- 0.03),250 (23 -- -49)
Ealing,2 (2 -- 4),Likely decreasing,0.98 (0.92 -- 1.1),-0.0044 (-0.023 -- 0.023),-160 (30 -- -30)
East Riding of Yorkshire,2 (1 -- 4),Stable,0.99 (0.8 -- 1.2),-0.0025 (-0.056 -- 0.051),-280 (14 -- -12)
East Sussex,32 (15 -- 77),Likely increasing,1.3 (1 -- 1.7),0.083 (-2e-04 -- 0.18),8.4 (3.8 -- -3500)
Enfield,3 (2 -- 5),Stable,1 (0.87 -- 1.1),2.2e-05 (-0.037 -- 0.033),32000 (21 -- -19)
Essex,10 (5 -- 19),Likely decreasing,0.86 (0.64 -- 1.1),-0.038 (-0.11 -- 0.025),-18 (28 -- -6.5)
Gateshead,5 (2 -- 9),Stable,1 (0.7 -- 1.2),0.00065 (-0.085 -- 0.051),1100 (14 -- -8.1)
Gloucestershire,13 (8 -- 18),Likely increasing,1 (0.9 -- 1.1),0.009 (-0.029 -- 0.027),77 (26 -- -24)
Greenwich,2 (1 -- 6),Likely increasing,1.1 (0.86 -- 1.3),0.017 (-0.039 -- 0.083),40 (8.3 -- -18)
