region,time
Derby,1.8
Derbyshire,1.3
Leicester,24.5
Leicestershire,1.2
Lincolnshire,53.1
Northamptonshire,1.7
Nottingham,1.1
Nottinghamshire,1.2
Rutland,19.8
Bedford,23.8
Cambridgeshire,1.3
Central Bedfordshire,1.2
Essex,1.1
Hertfordshire,1.1
Luton,26.5
Norfolk,36.8
Peterborough,24.2
Southend-on-Sea,1
Suffolk,1
Thurrock,35.8
Barking and Dagenham,32.4
Barnet,56.6
Bexley,26.6
Brent,35.2
Bromley,47.8
Camden,1.2
Croydon,48.6
Ealing,36
Enfield,53.1
Greenwich,38.3
Hammersmith and Fulham,31.2
Haringey,50
Harrow,26.2
Havering,54.9
Hillingdon,30.1
Hounslow,28.2
Islington,1
Kensington and Chelsea,36.1
Kingston upon Thames,25.7
Lambeth,1.1
Lewisham,59.2
Merton,53.8
Newham,21.4
Redbridge,20.4
Richmond upon Thames,33.1
Southwark,58.5
Sutton,1.3
Tower Hamlets,55.3
Waltham Forest,33
Wandsworth,1.1
Westminster,36.7
Hackney and City of London,39.9
County Durham,1.2
Darlington,47.8
Gateshead,53.1
Hartlepool,54.7
Middlesbrough,36.7
Newcastle upon Tyne,36
North Tyneside,33.7
Northumberland,1.5
Redcar and Cleveland,1.5
South Tyneside,59.4
Stockton-on-Tees,59.7
Sunderland,1
Blackburn with Darwen,59.8
Blackpool,1
Bolton,1
Bury,1.1
Cheshire East,1.2
Cheshire West and Chester,1.5
Cumbria,1.3
Halton,34
Knowsley,35.7
Lancashire,1.6
Liverpool,1.1
Manchester,58.6
Oldham,48.7
Rochdale,1
Salford,1
Sefton,1.1
St. Helens,35.7
Stockport,1.6
Tameside,1
Trafford,29.5
Warrington,1
Wigan,55.8
Wirral,38.8
Antrim and Newtownabbey,34.1
Ards and North Down,33.3
"Armagh City, Banbridge and Craigavon",27
Belfast,47.6
Causeway Coast and Glens,35
Derry City and Strabane,32.9
Fermanagh and Omagh,24.1
Lisburn and Castlereagh,30.3
Mid and East Antrim,54.7
Mid Ulster,43.1
"Newry, Mourne and Down",20.3
Aberdeen City,17.8
Aberdeenshire,18.8
Angus,18.6
Argyll and Bute,16.1
City of Edinburgh,14.9
Clackmannanshire,10
Dumfries and Galloway,13.1
Dundee City,29.1
East Ayrshire,24.2
East Dunbartonshire,16.9
East Lothian,16.2
East Renfrewshire,21.5
Falkirk,13.6
Fife,22.6
Glasgow City,18.7
Highland,37.4
Inverclyde,15.6
Midlothian,16.6
Moray,10.8
Na h-Eileanan Siar,6.1
North Ayrshire,9.2
North Lanarkshire,14.6
Orkney Islands,5.9
Perth and Kinross,17.5
Renfrewshire,23.4
Scottish Borders,16.5
Shetland Islands,7.3
South Ayrshire,28.5
South Lanarkshire,12.3
Stirling,15.1
West Dunbartonshire,15.6
West Lothian,15.5
Bracknell Forest,1
Brighton and Hove,1.5
Buckinghamshire,1.6
East Sussex,49.7
Hampshire,1.9
Isle of Wight,46.2
Kent,1.4
Medway,37.5
Milton Keynes,42.4
Oxfordshire,1.5
Portsmouth,1.4
Reading,33
Slough,30.3
Southampton,1.4
Surrey,1.3
West Berkshire,27.1
West Sussex,1.7
Windsor and Maidenhead,49.3
Wokingham,35.9
Bath and North East Somerset,59.3
"Bristol, City of",43.9
Devon,57.3
Dorset,34
Gloucestershire,1.2
North Somerset,52.2
Plymouth,54.5
Somerset,1.3
South Gloucestershire,1.1
Swindon,45.2
Torbay,36.8
Wiltshire,1.4
"Bournemouth, Christchurch and Poole",1.5
Cornwall and Isles of Scilly,2
Blaenau Gwent,11.3
Bridgend,13.4
Caerphilly,12.4
Cardiff,13.7
Carmarthenshire,10
Ceredigion,10.6
Conwy,12.3
Denbighshire,14.1
Flintshire,20.2
Gwynedd,12.3
Isle of Anglesey,13.5
Merthyr Tydfil,13.8
Monmouthshire,15.6
Neath Port Talbot,5.5
Newport,10.3
Pembrokeshire,13.6
Powys,16.2
Rhondda Cynon Taf,13
Swansea,13.5
Torfaen,15.7
Vale of Glamorgan,13.2
Wrexham,14.6
Birmingham,1.1
Coventry,1.1
Dudley,1.5
"Herefordshire, County of",36.3
Sandwell,50.7
Shropshire,1.5
Solihull,1
Staffordshire,1.9
Stoke-on-Trent,53
Telford and Wrekin,57.9
Walsall,55.1
Warwickshire,1.4
Wolverhampton,1.1
Worcestershire,1
Barnsley,1.2
Bradford,1.4
Calderdale,22.3
Doncaster,51.9
East Riding of Yorkshire,51.2
"Kingston upon Hull, City of",49.5
Kirklees,27.3
Leeds,48.2
North East Lincolnshire,55.3
North Lincolnshire,39.9
North Yorkshire,1.2
Rotherham,36.5
Sheffield,59.5
Wakefield,40.9
York,23.4
