region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Aberdeen City,2021-05-16,,estimate,4,4.1,0.7,3,3.6,3.8,4.2,4.5,5.2
Aberdeen City,2021-05-17,,estimate,4.2,4.3,0.7,3.2,3.8,4,4.4,4.7,5.4
Aberdeen City,2021-05-18,,estimate,4.4,4.5,0.7,3.4,4,4.3,4.6,4.9,5.6
Aberdeen City,2021-05-19,,estimate,4.7,4.7,0.7,3.6,4.2,4.5,4.8,5.2,5.9
Aberdeen City,2021-05-20,,estimate,5,5,0.7,3.9,4.5,4.8,5.1,5.5,6.2
Aberdeen City,2021-05-21,,estimate,5.3,5.3,0.7,4.2,4.9,5.1,5.5,5.8,6.6
Aberdeen City,2021-05-22,,estimate,5.7,5.7,0.8,4.5,5.2,5.5,5.9,6.2,7
Aberdeen City,2021-05-23,,estimate,6.2,6.2,0.8,4.9,5.6,6,6.4,6.7,7.6
Aberdeen City,2021-05-24,,estimate,6.7,6.7,0.9,5.4,6.1,6.4,6.9,7.3,8.2
Aberdeen City,2021-05-25,,estimate,7.3,7.3,0.9,5.9,6.7,7,7.5,7.9,8.9
Aberdeen City,2021-05-26,,estimate,7.9,8,1,6.5,7.3,7.7,8.2,8.6,9.7
Aberdeen City,2021-05-27,,estimate,8.7,8.8,1.1,7.1,8.1,8.5,9,9.5,10.6
Aberdeen City,2021-05-28,,estimate,9.7,9.7,1.2,7.9,8.9,9.4,10,10.5,11.7
Aberdeen City,2021-05-29,,estimate,10.7,10.8,1.3,8.8,9.9,10.4,11,11.6,12.9
Aberdeen City,2021-05-30,,estimate,11.9,12,1.4,9.8,11,11.6,12.3,12.9,14.4
Aberdeen City,2021-05-31,,estimate,13.3,13.4,1.5,11,12.3,12.9,13.7,14.3,15.9
Aberdeen City,2021-06-01,,estimate,14.9,14.9,1.7,12.4,13.8,14.4,15.3,16,17.8
Aberdeen City,2021-06-02,,estimate,16.6,16.7,1.8,13.9,15.5,16.2,17.1,17.9,19.9
Aberdeen City,2021-06-03,,estimate,18.7,18.8,2,15.6,17.4,18.2,19.2,20.1,22.3
Aberdeen City,2021-06-04,,estimate,21,21.1,2.2,17.6,19.6,20.4,21.5,22.5,25
Aberdeen City,2021-06-05,,estimate,23.6,23.7,2.4,19.9,22.1,23,24.2,25.2,28
Aberdeen City,2021-06-06,,estimate,26.5,26.7,2.7,22.5,24.8,25.9,27.2,28.3,31.3
Aberdeen City,2021-06-07,,estimate,29.9,30,3,25.4,28,29.2,30.6,31.9,35.2
Aberdeen City,2021-06-08,,estimate,33.6,33.8,3.3,28.7,31.5,32.8,34.4,35.8,39.5
Aberdeen City,2021-06-09,,estimate,37.8,38,3.7,32.3,35.5,36.9,38.7,40.3,44.3
Aberdeen City,2021-06-10,,estimate,42.5,42.7,4.1,36.3,39.9,41.4,43.5,45.2,49.8
Aberdeen City,2021-06-11,,estimate,47.6,47.9,4.6,40.8,44.7,46.5,48.8,50.8,55.8
Aberdeen City,2021-06-12,,estimate,53.3,53.6,5.1,45.8,50.1,52.1,54.6,56.8,62.4
Aberdeen City,2021-06-13,,estimate,59.7,59.9,5.6,51.2,56,58.1,61,63.4,69.6
Aberdeen City,2021-06-14,,estimate,66.4,66.7,6.2,57.1,62.3,64.7,68,70.5,77.3
Aberdeen City,2021-06-15,,estimate,73.6,73.9,6.8,63.5,69.4,71.9,75.4,78.2,85.6
Aberdeen City,2021-06-16,,estimate,81.2,81.6,7.3,70.2,76.7,79.4,83.2,86.3,94.2
Aberdeen City,2021-06-17,,estimate,89.2,89.6,7.9,77.4,84.2,87.3,91.3,94.9,103.3
Aberdeen City,2021-06-18,,estimate,97.4,97.8,8.5,84.7,92,95.2,99.6,103.3,112.3
Aberdeen City,2021-06-19,,estimate,105.4,106,9.1,91.9,99.7,103.3,107.8,111.9,121.6
Aberdeen City,2021-06-20,,estimate,113.3,113.8,9.8,98.5,107.2,110.9,115.9,120,130.5
Aberdeen City,2021-06-21,,estimate,120.7,121.2,10.5,104.9,114.1,118.1,123.4,127.7,139.3
Aberdeen City,2021-06-22,,estimate,127.1,127.8,11.2,110.6,120,124.4,130,135,147.1
Aberdeen City,2021-06-23,,estimate,132.5,133.4,11.9,115.5,125.2,129.8,135.7,140.9,153.8
Aberdeen City,2021-06-24,,estimate,136.8,137.8,12.4,119.1,129.4,133.9,139.9,145.5,159.1
Aberdeen City,2021-06-25,,estimate,139.7,140.7,12.8,121.5,132,136.6,142.8,148.6,163.1
Aberdeen City,2021-06-26,,estimate,141.1,142.2,13,123,133.1,138.2,144.2,150.3,165
Aberdeen City,2021-06-27,,estimate,141.1,142.1,12.9,122.9,133.1,138.1,144.2,150,164.9
Aberdeen City,2021-06-28,,estimate,139.7,140.6,12.7,121.9,131.9,136.6,142.7,148.6,162.4
Aberdeen City,2021-06-29,,estimate,137,137.8,12.2,119.4,129.4,133.9,140,145.5,159.1
Aberdeen City,2021-06-30,,estimate,133.1,133.9,11.7,116.2,125.7,130.2,136.2,141.1,154.3
Aberdeen City,2021-07-01,,estimate,128.5,129.1,11.1,111.9,121.3,125.7,131.4,136,148.8
Aberdeen City,2021-07-02,,estimate,123.2,123.7,10.6,107.6,116.3,120.5,125.8,130.2,142.4
Aberdeen City,2021-07-03,,estimate,117.3,117.8,10.1,102.3,110.8,114.8,119.8,124,135.4
Aberdeen City,2021-07-04,,estimate,111.2,111.6,9.7,97,105.1,108.8,113.6,117.5,128.2
Aberdeen City,2021-07-05,,estimate,105.1,105.4,9.3,91.2,99.1,102.9,107.4,111.2,121.5
Aberdeen City,2021-07-06,,estimate,99.1,99.3,8.9,85.7,93.3,96.9,101.3,104.9,114.6
Aberdeen City,2021-07-07,,estimate,93.2,93.4,8.5,80.1,87.6,91.1,95.2,98.8,107.8
Aberdeen City,2021-07-08,,estimate,87.6,87.8,8.1,75.1,82.2,85.6,89.5,92.9,101.4
Aberdeen City,2021-07-09,,estimate,82.3,82.4,7.7,70.4,77.1,80.4,84.1,87.4,95.3
Aberdeen City,2021-07-10,,estimate,77.3,77.5,7.3,66.1,72.5,75.5,79.1,82.2,89.6
Aberdeen City,2021-07-11,,estimate,72.6,72.9,6.8,62.1,68.1,71,74.5,77.3,84.3
Aberdeen City,2021-07-12,,estimate,68.4,68.6,6.4,58.6,64.1,66.8,70.1,72.7,79.4
Aberdeen City,2021-07-13,,estimate,64.6,64.7,6,55.5,60.6,63,66,68.6,74.9
Aberdeen City,2021-07-14,,estimate,61,61.2,5.6,52.4,57.3,59.6,62.3,64.8,70.6
Aberdeen City,2021-07-15,,estimate,57.7,58,5.2,49.8,54.4,56.5,59,61.3,66.9
Aberdeen City,2021-07-16,,estimate,54.8,55.1,4.9,47.3,51.7,53.6,56,58.2,63.5
Aberdeen City,2021-07-17,,estimate,52.2,52.4,4.7,45.2,49.3,51,53.4,55.4,60.4
Aberdeen City,2021-07-18,,estimate,49.8,50.1,4.4,43.3,47,48.7,50.9,52.9,57.7
Aberdeen City,2021-07-19,,estimate,47.6,47.9,4.3,41.5,44.9,46.6,48.7,50.7,55.3
Aberdeen City,2021-07-20,,estimate,45.7,46,4.1,39.7,43.1,44.7,46.8,48.7,53.1
Aberdeen City,2021-07-21,,estimate,44,44.3,4,38.1,41.4,43,45,46.9,51.2
Aberdeen City,2021-07-22,,estimate,42.4,42.7,3.9,36.7,39.8,41.5,43.4,45.2,49.5
Aberdeen City,2021-07-23,,estimate,41,41.3,3.8,35.5,38.6,40.1,42,43.7,48
