region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Aberdeen City,2020-10-01,,estimate,-0.022,-0.019,0.031,-0.065,-0.04,-0.029,-0.014,-0.001,0.038
Aberdeen City,2020-10-02,,estimate,-0.023,-0.021,0.029,-0.064,-0.04,-0.029,-0.016,-0.004,0.032
Aberdeen City,2020-10-03,,estimate,-0.024,-0.022,0.026,-0.063,-0.041,-0.03,-0.018,-0.007,0.025
Aberdeen City,2020-10-04,,estimate,-0.025,-0.024,0.024,-0.061,-0.041,-0.031,-0.02,-0.01,0.018
Aberdeen City,2020-10-05,,estimate,-0.027,-0.026,0.022,-0.061,-0.041,-0.032,-0.022,-0.012,0.011
Aberdeen City,2020-10-06,,estimate,-0.028,-0.028,0.021,-0.06,-0.042,-0.033,-0.023,-0.015,0.007
Aberdeen City,2020-10-07,,estimate,-0.03,-0.029,0.019,-0.06,-0.042,-0.035,-0.025,-0.017,0.002
Aberdeen City,2020-10-08,,estimate,-0.031,-0.031,0.018,-0.06,-0.043,-0.036,-0.027,-0.019,-0.001
Aberdeen City,2020-10-09,,estimate,-0.032,-0.032,0.017,-0.06,-0.043,-0.036,-0.028,-0.021,-0.005
Aberdeen City,2020-10-10,,estimate,-0.033,-0.034,0.016,-0.06,-0.044,-0.037,-0.029,-0.023,-0.007
Aberdeen City,2020-10-11,,estimate,-0.034,-0.035,0.016,-0.061,-0.044,-0.038,-0.03,-0.024,-0.009
Aberdeen City,2020-10-12,,estimate,-0.034,-0.035,0.016,-0.062,-0.045,-0.038,-0.031,-0.025,-0.011
Aberdeen City,2020-10-13,,estimate,-0.034,-0.036,0.016,-0.063,-0.045,-0.038,-0.031,-0.025,-0.012
Aberdeen City,2020-10-14,,estimate,-0.035,-0.036,0.016,-0.063,-0.045,-0.038,-0.031,-0.026,-0.013
Aberdeen City,2020-10-15,,estimate,-0.034,-0.036,0.016,-0.063,-0.045,-0.038,-0.031,-0.025,-0.013
Aberdeen City,2020-10-16,,estimate,-0.034,-0.035,0.016,-0.063,-0.044,-0.037,-0.03,-0.025,-0.013
Aberdeen City,2020-10-17,,estimate,-0.033,-0.035,0.016,-0.062,-0.043,-0.036,-0.029,-0.024,-0.012
Aberdeen City,2020-10-18,,estimate,-0.032,-0.033,0.015,-0.061,-0.042,-0.035,-0.028,-0.023,-0.011
Aberdeen City,2020-10-19,,estimate,-0.03,-0.032,0.015,-0.059,-0.041,-0.034,-0.027,-0.021,-0.011
Aberdeen City,2020-10-20,,estimate,-0.029,-0.03,0.015,-0.057,-0.039,-0.032,-0.026,-0.02,-0.009
Aberdeen City,2020-10-21,,estimate,-0.027,-0.028,0.015,-0.055,-0.037,-0.03,-0.024,-0.018,-0.007
Aberdeen City,2020-10-22,,estimate,-0.025,-0.026,0.014,-0.052,-0.034,-0.028,-0.022,-0.016,-0.006
Aberdeen City,2020-10-23,,estimate,-0.022,-0.024,0.014,-0.049,-0.032,-0.026,-0.019,-0.014,-0.004
Aberdeen City,2020-10-24,,estimate,-0.02,-0.021,0.014,-0.046,-0.029,-0.023,-0.017,-0.012,-0.001
Aberdeen City,2020-10-25,,estimate,-0.017,-0.018,0.013,-0.041,-0.026,-0.02,-0.014,-0.009,0.002
Aberdeen City,2020-10-26,,estimate,-0.014,-0.015,0.013,-0.037,-0.022,-0.017,-0.011,-0.006,0.006
Aberdeen City,2020-10-27,,estimate,-0.011,-0.012,0.013,-0.033,-0.019,-0.014,-0.008,-0.003,0.009
Aberdeen City,2020-10-28,,estimate,-0.008,-0.008,0.013,-0.029,-0.016,-0.011,-0.005,0,0.013
Aberdeen City,2020-10-29,,estimate,-0.005,-0.005,0.013,-0.025,-0.013,-0.008,-0.002,0.003,0.018
Aberdeen City,2020-10-30,,estimate,-0.002,-0.001,0.013,-0.022,-0.01,-0.005,0.001,0.006,0.022
Aberdeen City,2020-10-31,,estimate,0.001,0.002,0.014,-0.019,-0.007,-0.002,0.004,0.01,0.027
Aberdeen City,2020-11-01,,estimate,0.004,0.005,0.014,-0.015,-0.004,0.001,0.007,0.013,0.031
Aberdeen City,2020-11-02,,estimate,0.007,0.009,0.015,-0.012,-0.001,0.004,0.01,0.017,0.035
Aberdeen City,2020-11-03,,estimate,0.01,0.012,0.015,-0.01,0.002,0.007,0.013,0.02,0.039
Aberdeen City,2020-11-04,,estimate,0.013,0.015,0.015,-0.007,0.005,0.01,0.016,0.023,0.043
Aberdeen City,2020-11-05,,estimate,0.016,0.018,0.016,-0.005,0.007,0.012,0.019,0.026,0.046
