region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Birmingham,86 (50 -- 146),86,90,30,50,69,79,93,106,146,New confirmed cases by infection date,Decreasing,0.95
Glasgow City,80 (38 -- 163),80,88,43,38,60,71,89,107,163,New confirmed cases by infection date,Likely decreasing,0.71
Bradford,79 (48 -- 121),79,81,22,48,66,74,84,94,121,New confirmed cases by infection date,Likely decreasing,0.92
Lancashire,76 (45 -- 129),76,80,26,45,62,71,82,94,129,New confirmed cases by infection date,Decreasing,0.95
Lincolnshire,65 (43 -- 88),65,65,13,43,56,62,68,74,88,New confirmed cases by infection date,Decreasing,0.99
Leeds,61 (34 -- 100),61,63,20,34,48,56,66,75,100,New confirmed cases by infection date,Decreasing,0.98
Essex,59 (32 -- 107),59,63,23,32,47,54,65,76,107,New confirmed cases by infection date,Likely decreasing,0.91
Kent,55 (34 -- 90),55,58,17,34,46,52,60,68,90,New confirmed cases by infection date,Likely decreasing,0.92
"Kingston upon Hull, City of",55 (32 -- 97),55,59,20,32,44,51,60,69,97,New confirmed cases by infection date,Stable,0.53
Nottinghamshire,55 (32 -- 90),55,57,18,32,45,51,60,68,90,New confirmed cases by infection date,Decreasing,0.99
Derbyshire,54 (32 -- 91),54,57,19,32,44,50,58,67,91,New confirmed cases by infection date,Likely decreasing,0.94
Wakefield,54 (34 -- 87),54,57,17,34,45,51,58,65,87,New confirmed cases by infection date,Likely decreasing,0.78
Staffordshire,52 (32 -- 86),52,55,17,32,43,48,56,63,86,New confirmed cases by infection date,Decreasing,0.97
Leicestershire,51 (30 -- 86),51,54,17,30,41,48,56,63,86,New confirmed cases by infection date,Decreasing,0.98
Hertfordshire,50 (29 -- 87),50,53,18,29,40,46,55,62,87,New confirmed cases by infection date,Likely decreasing,0.89
Barnsley,47 (29 -- 73),47,48,13,29,39,43,50,56,73,New confirmed cases by infection date,Likely decreasing,0.69
Sheffield,47 (28 -- 76),47,49,15,28,39,44,51,57,76,New confirmed cases by infection date,Likely decreasing,0.93
Rotherham,46 (32 -- 67),46,48,11,32,40,44,49,53,67,New confirmed cases by infection date,Likely decreasing,0.83
County Durham,43 (24 -- 76),43,46,17,24,34,39,47,54,76,New confirmed cases by infection date,Likely decreasing,0.87
Kirklees,39 (22 -- 67),39,41,14,22,30,36,43,49,67,New confirmed cases by infection date,Decreasing,0.96
Worcestershire,37 (18 -- 72),37,40,17,18,28,33,41,48,72,New confirmed cases by infection date,Likely decreasing,0.94
Hampshire,36 (20 -- 65),36,38,14,20,28,33,39,45,65,New confirmed cases by infection date,Decreasing,0.96
Leicester,36 (21 -- 59),36,38,12,21,29,33,39,44,59,New confirmed cases by infection date,Decreasing,0.99
Northamptonshire,33 (18 -- 61),33,35,13,18,26,31,36,42,61,New confirmed cases by infection date,Decreasing,0.98
Surrey,32 (18 -- 55),32,33,11,18,25,29,34,40,55,New confirmed cases by infection date,Likely decreasing,0.94
Falkirk,31 (11 -- 75),31,36,22,11,21,27,36,44,75,New confirmed cases by infection date,Likely decreasing,0.75
Warwickshire,31 (17 -- 56),31,33,13,17,24,28,34,39,56,New confirmed cases by infection date,Decreasing,0.96
West Lothian,31 (3 -- 66),31,31,22,3,8,26,36,43,66,New confirmed cases by infection date,Likely decreasing,0.7
North Lanarkshire,30 (12 -- 72),30,35,20,12,21,26,35,43,72,New confirmed cases by infection date,Likely decreasing,0.88
Stoke-on-Trent,30 (18 -- 49),30,31,9,18,25,28,33,36,49,New confirmed cases by infection date,Likely decreasing,0.82
Cambridgeshire,29 (13 -- 57),29,31,14,13,22,26,32,38,57,New confirmed cases by infection date,Likely decreasing,0.94
Manchester,28 (14 -- 55),28,30,13,14,21,25,31,37,55,New confirmed cases by infection date,Decreasing,0.96
Peterborough,28 (17 -- 43),28,28,8,17,23,26,30,33,43,New confirmed cases by infection date,Decreasing,0.97
