Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Aberdeen City,10 (4 -- 35),Stable,0.99 (0.7 -- 1.5),-0.0015 (-0.087 -- 0.13),-480 (5.1 -- -7.9)
Aberdeenshire,8 (3 -- 24),Likely decreasing,0.96 (0.67 -- 1.4),-0.01 (-0.095 -- 0.095),-67 (7.3 -- -7.3)
Angus,3 (1 -- 10),Likely decreasing,0.93 (0.66 -- 1.2),-0.019 (-0.098 -- 0.061),-36 (11 -- -7.1)
Antrim and Newtownabbey,3 (0 -- 17),Likely decreasing,0.81 (0.39 -- 1.8),-0.053 (-0.19 -- 0.19),-13 (3.6 -- -3.7)
Ards and North Down,3 (1 -- 11),Likely decreasing,0.83 (0.54 -- 1.4),-0.047 (-0.14 -- 0.11),-15 (6.3 -- -5.1)
Argyll and Bute,0 (0 -- 4),Stable,1.1 (0.71 -- 1.8),0.015 (-0.084 -- 0.19),47 (3.7 -- -8.2)
"Armagh City, Banbridge and Craigavon",12 (5 -- 47),Likely increasing,1.1 (0.78 -- 2),0.025 (-0.062 -- 0.25),28 (2.8 -- -11)
Barking and Dagenham,4 (1 -- 11),Likely decreasing,0.77 (0.5 -- 1.1),-0.065 (-0.15 -- 0.039),-11 (18 -- -4.7)
Barnet,17 (9 -- 30),Likely increasing,1 (0.84 -- 1.3),0.0099 (-0.044 -- 0.072),70 (9.7 -- -16)
Barnsley,22 (14 -- 34),Likely decreasing,0.87 (0.74 -- 1.1),-0.037 (-0.074 -- 0.017),-19 (41 -- -9.3)
Bath and North East Somerset,2 (1 -- 7),Stable,0.97 (0.7 -- 1.3),-0.0092 (-0.088 -- 0.086),-75 (8 -- -7.9)
Bedford,5 (2 -- 10),Likely decreasing,0.95 (0.78 -- 1.2),-0.013 (-0.062 -- 0.055),-55 (13 -- -11)
Belfast,13 (5 -- 42),Stable,0.99 (0.65 -- 1.7),-0.0036 (-0.1 -- 0.17),-190 (4.1 -- -6.7)
Bexley,1 (0 -- 4),Decreasing,0.46 (0.2 -- 0.9),-0.16 (-0.26 -- -0.028),-4.3 (-25 -- -2.6)
Birmingham,28 (16 -- 64),Likely decreasing,0.82 (0.63 -- 1.2),-0.051 (-0.11 -- 0.058),-14 (12 -- -6.4)
Blackburn with Darwen,9 (5 -- 17),Likely decreasing,0.88 (0.7 -- 1.1),-0.034 (-0.086 -- 0.025),-20 (27 -- -8)
Blackpool,1 (0 -- 3),Decreasing,0.81 (0.64 -- 0.97),-0.055 (-0.11 -- -0.007),-13 (-100 -- -6.6)
Blaenau Gwent,1 (0 -- 3),Likely decreasing,0.82 (0.55 -- 1.2),-0.05 (-0.13 -- 0.044),-14 (16 -- -5.2)
Bolton,6 (2 -- 13),Decreasing,0.64 (0.42 -- 0.94),-0.11 (-0.18 -- -0.018),-6.5 (-40 -- -3.9)
"Bournemouth, Christchurch and Poole",5 (1 -- 13),Likely decreasing,0.88 (0.58 -- 1.3),-0.035 (-0.12 -- 0.081),-20 (8.5 -- -5.6)
Bracknell Forest,4 (2 -- 9),Stable,0.99 (0.77 -- 1.2),-0.004 (-0.065 -- 0.065),-170 (11 -- -11)
Bradford,55 (39 -- 89),Likely decreasing,0.93 (0.83 -- 1.2),-0.02 (-0.049 -- 0.041),-35 (17 -- -14)
Brent,9 (5 -- 26),Likely decreasing,0.95 (0.73 -- 1.4),-0.015 (-0.078 -- 0.11),-46 (6.2 -- -8.9)
Bridgend,1 (0 -- 4),Likely decreasing,0.91 (0.71 -- 1.3),-0.026 (-0.082 -- 0.072),-26 (9.6 -- -8.4)
Brighton and Hove,4 (1 -- 21),Stable,0.97 (0.62 -- 1.8),-0.0088 (-0.11 -- 0.21),-79 (3.3 -- -6.2)
"Bristol, City of",13 (4 -- 70),Stable,1.1 (0.66 -- 2.2),0.014 (-0.098 -- 0.29),50 (2.4 -- -7.1)
Bromley,2 (0 -- 4),Decreasing,0.75 (0.54 -- 0.97),-0.072 (-0.14 -- -0.0085),-9.6 (-81 -- -5)
Buckinghamshire,18 (11 -- 30),Stable,0.98 (0.85 -- 1.2),-0.0044 (-0.042 -- 0.051),-160 (14 -- -16)
Bury,3 (1 -- 10),Likely decreasing,0.71 (0.43 -- 1.1),-0.084 (-0.17 -- 0.04),-8.3 (17 -- -4)
Caerphilly,2 (0 -- 3),Decreasing,0.79 (0.61 -- 0.94),-0.059 (-0.11 -- -0.016),-12 (-44 -- -6.1)
Calderdale,4 (2 -- 13),Likely decreasing,0.75 (0.51 -- 1.2),-0.07 (-0.15 -- 0.058),-9.8 (12 -- -4.7)
Cambridgeshire,16 (8 -- 40),Likely decreasing,0.9 (0.69 -- 1.3),-0.028 (-0.09 -- 0.088),-25 (7.9 -- -7.7)
Camden,5 (2 -- 11),Stable,0.98 (0.77 -- 1.3),-0.007 (-0.065 -- 0.077),-100 (9 -- -11)
Cardiff,22 (11 -- 49),Likely increasing,1.1 (0.88 -- 1.4),0.015 (-0.034 -- 0.093),47 (7.5 -- -21)
Carmarthenshire,2 (1 -- 3),Decreasing,0.86 (0.79 -- 0.93),-0.039 (-0.06 -- -0.02),-18 (-35 -- -12)
Causeway Coast and Glens,54 (14 -- 245),Increasing,2 (1.2 -- 3.8),0.26 (0.047 -- 0.62),2.7 (1.1 -- 15)
Central Bedfordshire,5 (2 -- 11),Decreasing,0.79 (0.59 -- 1),-0.058 (-0.12 -- 0.0014),-12 (510 -- -5.7)
Ceredigion,0 (0 -- 2),Likely decreasing,0.93 (0.77 -- 1.3),-0.02 (-0.064 -- 0.067),-35 (10 -- -11)
Cheshire East,3 (1 -- 7),Decreasing,0.7 (0.48 -- 0.96),-0.086 (-0.16 -- -0.011),-8 (-63 -- -4.5)
Cheshire West and Chester,13 (3 -- 99),Likely increasing,1.2 (0.66 -- 2.8),0.056 (-0.097 -- 0.41),12 (1.7 -- -7.2)
City of Edinburgh,17 (7 -- 32),Likely decreasing,0.91 (0.66 -- 1.1),-0.025 (-0.099 -- 0.025),-28 (28 -- -7)
Clackmannanshire,11 (4 -- 32),Stable,1 (0.77 -- 1.3),0.0052 (-0.065 -- 0.091),130 (7.7 -- -11)
Conwy,1 (0 -- 2),Decreasing,0.74 (0.52 -- 0.99),-0.074 (-0.14 -- -0.003),-9.3 (-230 -- -4.9)
