region,time
Derby,16.4
Derbyshire,14.1
Leicester,10
Leicestershire,7.5
Lincolnshire,16
Northamptonshire,12.6
Nottingham,10.1
Nottinghamshire,27.1
Rutland,9.1
Bedford,9.8
Cambridgeshire,12.1
Central Bedfordshire,9.8
Essex,30
Hertfordshire,21.5
Luton,8.9
Norfolk,19.8
Peterborough,9.1
Southend-on-Sea,10.2
Suffolk,15.1
Thurrock,9.6
Barking and Dagenham,9.9
Barnet,10.5
Bexley,9.7
Brent,9.1
Bromley,10.3
Camden,5.7
Croydon,10.6
Ealing,9.6
Enfield,9
Greenwich,12.5
Hackney and City of London,13.1
Hammersmith and Fulham,6.1
Haringey,9.7
Harrow,8.6
Havering,6.4
Hillingdon,9.3
Hounslow,10.2
Islington,8.8
Kensington and Chelsea,9.3
Kingston upon Thames,11
Lambeth,14.5
Lewisham,10.5
Merton,6.5
Newham,13.3
Redbridge,11.7
Richmond upon Thames,7.4
Southwark,9.4
Sutton,8.7
Tower Hamlets,8
Waltham Forest,7.9
Wandsworth,13.5
Westminster,8.2
County Durham,13
Darlington,8.1
Gateshead,8.8
Hartlepool,5.8
Middlesbrough,8.3
Newcastle upon Tyne,7.2
North Tyneside,8
Northumberland,8.9
Redcar and Cleveland,9.6
South Tyneside,5.8
Stockton-on-Tees,5.7
Sunderland,8.8
Blackburn with Darwen,9.2
Blackpool,7.9
Bolton,9.4
Bury,7.5
Cheshire East,10.4
Cheshire West and Chester,10
Cumbria,18.2
Halton,7
Knowsley,14.9
Lancashire,15.4
Liverpool,11.8
Manchester,10.1
Oldham,6.3
Rochdale,7.8
Salford,14.8
Sefton,15.2
St. Helens,14.6
Stockport,7.9
Tameside,6.6
Trafford,8.2
Warrington,12
Wigan,9.2
Wirral,15.1
Antrim and Newtownabbey,7.2
Ards and North Down,5.5
"Armagh City, Banbridge and Craigavon",8
Belfast,5
Causeway Coast and Glens,4.2
Derry City and Strabane,4.7
Fermanagh and Omagh,4.8
Lisburn and Castlereagh,4.4
Mid and East Antrim,8.1
Mid Ulster,9.2
"Newry, Mourne and Down",8.3
Aberdeen City,6.2
Aberdeenshire,7.2
Angus,8.1
Argyll and Bute,7.4
City of Edinburgh,8
Clackmannanshire,6.6
Dumfries and Galloway,13.2
Dundee City,8.1
East Ayrshire,6.4
East Dunbartonshire,7.2
East Lothian,5.7
East Renfrewshire,5
Falkirk,7.9
Fife,5.2
Glasgow City,7.8
Highland,2.4
Inverclyde,8.8
Midlothian,7.4
North Ayrshire,6.9
North Lanarkshire,7.2
Perth and Kinross,6.9
Renfrewshire,9.1
Scottish Borders,5.5
South Ayrshire,5.3
South Lanarkshire,6.7
Stirling,5.4
West Dunbartonshire,5.7
West Lothian,5.7
Bracknell Forest,8.2
Brighton and Hove,14.6
Buckinghamshire,10.9
East Sussex,24.8
Hampshire,19.1
Isle of Wight,15.2
Kent,19.1
Medway,6.3
Milton Keynes,11
Oxfordshire,11
Portsmouth,12.7
Reading,9.5
Slough,10.3
Southampton,11
Surrey,20.9
West Berkshire,8.4
West Sussex,17.6
Windsor and Maidenhead,7.7
Wokingham,13.1
Bath and North East Somerset,15.2
"Bournemouth, Christchurch and Poole",21.8
"Bristol, City of",12.5
Cornwall and Isles of Scilly,15.9
Devon,13.1
Dorset,13.6
Gloucestershire,9.1
North Somerset,8.3
Plymouth,10.9
Somerset,10
South Gloucestershire,9.8
Swindon,8.1
Torbay,10.2
Wiltshire,13.8
Birmingham,18.6
Coventry,12
Dudley,13
"Herefordshire, County of",9.9
Sandwell,16.4
Shropshire,10.8
Solihull,9.3
Staffordshire,11.7
Stoke-on-Trent,7.5
Telford and Wrekin,9.2
Walsall,15.4
Warwickshire,11.3
Wolverhampton,14
Worcestershire,12.3
Barnsley,8.4
Bradford,12.2
Calderdale,8.7
Doncaster,7.4
East Riding of Yorkshire,7
"Kingston upon Hull, City of",8.1
Kirklees,7.8
Leeds,13.2
North East Lincolnshire,5.4
North Lincolnshire,7.6
North Yorkshire,7.5
Rotherham,5.1
Sheffield,6.4
Wakefield,6.3
York,6
