region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Aberdeen City,2020-12-30,,estimate,2.8,2.9,0.6,2,2.5,2.7,3,3.2,3.9
Aberdeen City,2020-12-31,,estimate,2.8,2.8,0.5,2,2.4,2.6,2.9,3.1,3.8
Aberdeen City,2021-01-01,,estimate,2.7,2.7,0.5,2,2.4,2.6,2.8,3,3.7
Aberdeen City,2021-01-02,,estimate,2.6,2.7,0.5,2,2.3,2.5,2.7,3,3.6
Aberdeen City,2021-01-03,,estimate,2.6,2.6,0.5,1.9,2.3,2.4,2.7,2.9,3.4
Aberdeen City,2021-01-04,,estimate,2.5,2.5,0.5,1.9,2.2,2.4,2.6,2.8,3.4
Aberdeen City,2021-01-05,,estimate,2.4,2.4,0.5,1.8,2.1,2.3,2.5,2.7,3.3
Aberdeen City,2021-01-06,,estimate,2.3,2.4,0.5,1.7,2.1,2.2,2.4,2.6,3.2
Aberdeen City,2021-01-07,,estimate,2.2,2.3,0.5,1.7,2,2.1,2.3,2.5,3.1
Aberdeen City,2021-01-08,,estimate,2.2,2.2,0.4,1.6,1.9,2.1,2.3,2.5,3
Aberdeen City,2021-01-09,,estimate,2.1,2.1,0.4,1.6,1.9,2,2.2,2.4,2.9
Aberdeen City,2021-01-10,,estimate,2,2.1,0.4,1.5,1.8,1.9,2.1,2.3,2.9
Aberdeen City,2021-01-11,,estimate,1.9,2,0.4,1.4,1.7,1.8,2,2.2,2.8
Aberdeen City,2021-01-12,,estimate,1.8,1.9,0.4,1.4,1.6,1.8,1.9,2.1,2.7
Aberdeen City,2021-01-13,,estimate,1.8,1.8,0.4,1.3,1.6,1.7,1.9,2,2.6
Aberdeen City,2021-01-14,,estimate,1.7,1.8,0.4,1.2,1.5,1.6,1.8,2,2.5
Aberdeen City,2021-01-15,,estimate,1.6,1.7,0.4,1.2,1.4,1.5,1.7,1.9,2.4
Aberdeen City,2021-01-16,,estimate,1.5,1.6,0.4,1.1,1.4,1.5,1.6,1.8,2.3
Aberdeen City,2021-01-17,,estimate,1.5,1.5,0.3,1.1,1.3,1.4,1.6,1.7,2.2
Aberdeen City,2021-01-18,,estimate,1.4,1.5,0.3,1,1.2,1.3,1.5,1.6,2.1
Aberdeen City,2021-01-19,,estimate,1.3,1.4,0.3,1,1.2,1.3,1.4,1.6,2
Aberdeen City,2021-01-20,,estimate,1.3,1.3,0.3,0.9,1.1,1.2,1.4,1.5,1.9
Aberdeen City,2021-01-21,,estimate,1.2,1.3,0.3,0.9,1.1,1.2,1.3,1.4,1.8
Aberdeen City,2021-01-22,,estimate,1.2,1.2,0.3,0.8,1,1.1,1.2,1.3,1.7
Aberdeen City,2021-01-23,,estimate,1.1,1.1,0.3,0.8,1,1,1.2,1.3,1.6
Aberdeen City,2021-01-24,,estimate,1,1.1,0.2,0.7,0.9,1,1.1,1.2,1.5
Aberdeen City,2021-01-25,,estimate,1,1,0.2,0.7,0.9,0.9,1,1.1,1.4
Aberdeen City,2021-01-26,,estimate,0.9,1,0.2,0.7,0.8,0.9,1,1.1,1.4
Aberdeen City,2021-01-27,,estimate,0.9,0.9,0.2,0.6,0.8,0.8,0.9,1,1.3
Aberdeen City,2021-01-28,,estimate,0.8,0.9,0.2,0.6,0.7,0.8,0.9,1,1.2
Aberdeen City,2021-01-29,,estimate,0.8,0.8,0.2,0.5,0.7,0.8,0.8,0.9,1.2
Aberdeen City,2021-01-30,,estimate,0.8,0.8,0.2,0.5,0.6,0.7,0.8,0.9,1.1
Aberdeen City,2021-01-31,,estimate,0.7,0.7,0.2,0.5,0.6,0.7,0.8,0.8,1
Aberdeen City,2021-02-01,,estimate,0.7,0.7,0.2,0.4,0.6,0.6,0.7,0.8,1
Aberdeen City,2021-02-02,,estimate,0.6,0.7,0.2,0.4,0.5,0.6,0.7,0.7,0.9
Aberdeen City,2021-02-03,,estimate,0.6,0.6,0.2,0.4,0.5,0.6,0.6,0.7,0.9
Aberdeen City,2021-02-04,,estimate,0.6,0.6,0.2,0.4,0.5,0.5,0.6,0.7,0.8
Aberdeen City,2021-02-05,,estimate,0.5,0.6,0.1,0.3,0.5,0.5,0.6,0.6,0.8
Aberdeen City,2021-02-06,,estimate,0.5,0.5,0.1,0.3,0.4,0.5,0.6,0.6,0.8
Aberdeen City,2021-02-07,,estimate,0.5,0.5,0.1,0.3,0.4,0.5,0.5,0.6,0.7
Aberdeen City,2021-02-08,,estimate,0.5,0.5,0.1,0.3,0.4,0.4,0.5,0.5,0.7
Aberdeen City,2021-02-09,,estimate,0.4,0.4,0.1,0.3,0.4,0.4,0.5,0.5,0.7
Aberdeen City,2021-02-10,,estimate,0.4,0.4,0.1,0.2,0.3,0.4,0.4,0.5,0.6
Aberdeen City,2021-02-11,,estimate,0.4,0.4,0.1,0.2,0.3,0.4,0.4,0.5,0.6
Aberdeen City,2021-02-12,,estimate,0.4,0.4,0.1,0.2,0.3,0.4,0.4,0.5,0.6
Aberdeen City,2021-02-13,,estimate,0.4,0.4,0.1,0.2,0.3,0.3,0.4,0.4,0.5
Aberdeen City,2021-02-14,,estimate,0.3,0.3,0.1,0.2,0.3,0.3,0.4,0.4,0.5
Aberdeen City,2021-02-15,,estimate,0.3,0.3,0.1,0.2,0.3,0.3,0.3,0.4,0.5
Aberdeen City,2021-02-16,,estimate,0.3,0.3,0.1,0.2,0.2,0.3,0.3,0.4,0.5
Aberdeen City,2021-02-17,,estimate,0.3,0.3,0.1,0.2,0.2,0.3,0.3,0.4,0.5
Aberdeen City,2021-02-18,,estimate,0.3,0.3,0.1,0.1,0.2,0.3,0.3,0.3,0.4
Aberdeen City,2021-02-19,,estimate,0.3,0.3,0.1,0.1,0.2,0.2,0.3,0.3,0.4
Aberdeen City,2021-02-20,,estimate,0.2,0.3,0.1,0.1,0.2,0.2,0.3,0.3,0.4
Aberdeen City,2021-02-21,,estimate,0.2,0.2,0.1,0.1,0.2,0.2,0.3,0.3,0.4
Aberdeen City,2021-02-22,,estimate,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.4
Aberdeen City,2021-02-23,,estimate,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.4
Aberdeen City,2021-02-24,,estimate,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.3
Aberdeen City,2021-02-25,,estimate,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.3
Aberdeen City,2021-02-26,,estimate,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.3
Aberdeen City,2021-02-27,,estimate,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.3
Aberdeen City,2021-02-28,,estimate,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.3
Aberdeen City,2021-03-01,,estimate,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.3
Aberdeen City,2021-03-02,,estimate,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.3
Aberdeen City,2021-03-03,,estimate,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.3
Aberdeen City,2021-03-04,,estimate,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3
Aberdeen City,2021-03-05,,estimate,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3
Aberdeen City,2021-03-06,,estimate,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2
Aberdeen City,2021-03-07,,estimate,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2
Aberdeen City,2021-03-08,,estimate,0.1,0.1,0.1,0,0.1,0.1,0.1,0.2,0.2
Aberdeen City,2021-03-09,,estimate,0.1,0.1,0.1,0,0.1,0.1,0.1,0.2,0.2
Aberdeen City,2021-03-10,,estimate,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.2
Aberdeen City,2021-03-11,,estimate,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.2
Aberdeen City,2021-03-12,,estimate,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.2
Aberdeen City,2021-03-13,,estimate,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.2
Aberdeen City,2021-03-14,,estimate,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.2
Aberdeen City,2021-03-15,,estimate,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.2
Aberdeen City,2021-03-16,,estimate,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.2
Aberdeen City,2021-03-17,,estimate,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.2
Aberdeen City,2021-03-18,,estimate,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.2
Aberdeen City,2021-03-19,,estimate,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.2
Aberdeen City,2021-03-20,,estimate,0.1,0.1,0,0,0,0.1,0.1,0.1,0.2
Aberdeen City,2021-03-21,,estimate,0.1,0.1,0,0,0,0.1,0.1,0.1,0.2
Aberdeen City,2021-03-22,,estimate,0.1,0.1,0,0,0,0.1,0.1,0.1,0.2
Aberdeen City,2021-03-23,,estimate,0.1,0.1,0,0,0,0.1,0.1,0.1,0.2
Aberdeen City,2021-03-24,,estimate,0.1,0.1,0,0,0,0.1,0.1,0.1,0.2
Aberdeen City,2021-03-25,,estimate,0.1,0.1,0,0,0,0.1,0.1,0.1,0.2
Aberdeen City,2021-03-26,,estimate,0.1,0.1,0,0,0,0,0.1,0.1,0.2
Aberdeen City,2021-03-27,,estimate,0.1,0.1,0,0,0,0,0.1,0.1,0.2
Aberdeen City,2021-03-28,,estimate,0.1,0.1,0,0,0,0,0.1,0.1,0.2
Aberdeen City,2021-03-29,,estimate,0.1,0.1,0,0,0,0,0.1,0.1,0.2
Aberdeen City,2021-03-30,,estimate,0,0.1,0,0,0,0,0.1,0.1,0.2
Aberdeen City,2021-03-31,,estimate,0,0.1,0,0,0,0,0.1,0.1,0.2
Aberdeen City,2021-04-01,,estimate,0,0.1,0.1,0,0,0,0.1,0.1,0.2
Aberdeen City,2021-04-02,,estimate based on partial data,0,0.1,0.1,0,0,0,0.1,0.1,0.2
Aberdeen City,2021-04-03,,estimate based on partial data,0,0.1,0.1,0,0,0,0.1,0.1,0.2
Aberdeen City,2021-04-04,,estimate based on partial data,0,0.1,0.1,0,0,0,0.1,0.1,0.2
Aberdeen City,2021-04-05,,estimate based on partial data,0,0.1,0.1,0,0,0,0,0.1,0.2
Aberdeen City,2021-04-06,,estimate based on partial data,0,0.1,0.1,0,0,0,0,0.1,0.2
Aberdeen City,2021-04-07,,estimate based on partial data,0,0.1,0.1,0,0,0,0,0.1,0.2
Aberdeen City,2021-04-08,,estimate based on partial data,0,0.1,0.1,0,0,0,0,0.1,0.2
Aberdeen City,2021-04-09,,estimate based on partial data,0,0.1,0.1,0,0,0,0,0.1,0.2
Aberdeen City,2021-04-10,,estimate based on partial data,0,0.1,0.1,0,0,0,0,0.1,0.2
Aberdeen City,2021-04-11,,estimate based on partial data,0,0.1,0.1,0,0,0,0,0.1,0.2
Aberdeen City,2021-04-12,,estimate based on partial data,0,0.1,0.1,0,0,0,0,0.1,0.2
Aberdeen City,2021-04-13,,estimate based on partial data,0,0.1,0.2,0,0,0,0,0.1,0.2
Aberdeen City,2021-04-14,,estimate based on partial data,0,0.1,0.2,0,0,0,0,0.1,0.3
Aberdeen City,2021-04-15,,estimate based on partial data,0,0.1,0.2,0,0,0,0,0.1,0.3
Aberdeen City,2021-04-16,,estimate based on partial data,0,0.1,0.3,0,0,0,0,0.1,0.3
Aberdeen City,2021-04-17,,estimate based on partial data,0,0.1,0.4,0,0,0,0,0.1,0.3
Aberdeen City,2021-04-18,,estimate based on partial data,0,0.1,0.5,0,0,0,0,0.1,0.3
Aberdeen City,2021-04-19,,estimate based on partial data,0,0.1,0.7,0,0,0,0,0.1,0.4
Aberdeen City,2021-04-20,,estimate based on partial data,0,0.1,0.9,0,0,0,0,0.1,0.4
Aberdeen City,2021-04-21,,estimate based on partial data,0,0.2,1.4,0,0,0,0,0.1,0.4
Aberdeen City,2021-04-22,,forecast,0,0.2,2.1,0,0,0,0,0.1,0.5
Aberdeen City,2021-04-23,,forecast,0,0.3,3.3,0,0,0,0,0.1,0.5
Aberdeen City,2021-04-24,,forecast,0,0.4,5.3,0,0,0,0,0.1,0.6
Aberdeen City,2021-04-25,,forecast,0,0.6,8.8,0,0,0,0,0.1,0.6
Aberdeen City,2021-04-26,,forecast,0,0.9,15.3,0,0,0,0,0.1,0.7
Aberdeen City,2021-04-27,,forecast,0,1.5,28.6,0,0,0,0,0.1,0.8
Aberdeen City,2021-04-28,,forecast,0,2.4,57.1,0,0,0,0,0,0.8
Aberdeen City,2021-04-29,,forecast,0,4.2,120.6,0,0,0,0,0,0.9
Aberdeen City,2021-04-30,,forecast,0,7.8,263.8,0,0,0,0,0,1
Aberdeen City,2021-05-01,,forecast,0,15,589,0,0,0,0,0,1.1
Aberdeen City,2021-05-02,,forecast,0,30.1,1329.4,0,0,0,0,0,1.3
Aberdeen City,2021-05-03,,forecast,0,62.3,3017.7,0,0,0,0,0,1.5
Aberdeen City,2021-05-04,,forecast,0,132.5,6868.9,0,0,0,0,0,1.7
Aberdeen City,2021-05-05,,forecast,0,287.2,15656.8,0,0,0,0,0,1.9
