region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Aberdeen City,2021-09-21,,estimate,0,0.6,0.9,0,0,0,0,1,2
Aberdeen City,2021-09-22,,estimate,0,0.5,0.9,0,0,0,0,1,2
Aberdeen City,2021-09-23,,estimate,1,1,1.3,0,0,0,1,1,3
Aberdeen City,2021-09-24,,estimate,0,0.5,0.9,0,0,0,0,1,2
Aberdeen City,2021-09-25,,estimate,0,0.7,1.1,0,0,0,1,1,3
Aberdeen City,2021-09-26,,estimate,0,0.1,0.3,0,0,0,0,0,1
Aberdeen City,2021-09-27,,estimate,0,0.3,0.7,0,0,0,0,1,2
Aberdeen City,2021-09-28,,estimate,0,0.7,1.1,0,0,0,1,1,3
Aberdeen City,2021-09-29,,estimate,0,0.5,0.9,0,0,0,0,1,2
Aberdeen City,2021-09-30,,estimate,1,1.1,1.4,0,0,0,1,2,4
Aberdeen City,2021-10-01,,estimate,0,0.6,0.9,0,0,0,0,1,2
Aberdeen City,2021-10-02,,estimate,0,0.7,1.1,0,0,0,1,1,3
Aberdeen City,2021-10-03,,estimate,0,0.1,0.3,0,0,0,0,0,1
Aberdeen City,2021-10-04,,estimate,0,0.3,0.7,0,0,0,0,0,2
Aberdeen City,2021-10-05,,estimate,0,0.7,1,0,0,0,1,1,3
Aberdeen City,2021-10-06,,estimate,0,0.5,0.9,0,0,0,0,1,2
Aberdeen City,2021-10-07,,estimate,1,0.9,1.2,0,0,0,1,1,3
Aberdeen City,2021-10-08,,estimate,0,0.5,0.9,0,0,0,0,1,2
Aberdeen City,2021-10-09,,estimate,0,0.6,1,0,0,0,1,1,2
Aberdeen City,2021-10-10,,estimate,0,0.1,0.3,0,0,0,0,0,1
Aberdeen City,2021-10-11,,estimate,0,0.3,0.6,0,0,0,0,0,1
Aberdeen City,2021-10-12,,estimate,0,0.6,0.9,0,0,0,0,1,2
Aberdeen City,2021-10-13,,estimate,0,0.4,0.8,0,0,0,0,1,2
Aberdeen City,2021-10-14,,estimate,0,0.8,1.2,0,0,0,1,1,3
Aberdeen City,2021-10-15,,estimate,0,0.4,0.8,0,0,0,0,1,2
Aberdeen City,2021-10-16,,estimate,0,0.5,0.9,0,0,0,0,1,2
Aberdeen City,2021-10-17,,estimate,0,0,0.2,0,0,0,0,0,0
Aberdeen City,2021-10-18,,estimate,0,0.2,0.5,0,0,0,0,0,1
Aberdeen City,2021-10-19,,estimate,0,0.4,0.8,0,0,0,0,1,2
Aberdeen City,2021-10-20,,estimate,0,0.4,0.7,0,0,0,0,1,2
