region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Antrim and Newtownabbey,2021-03-17,,estimate,-0.00855490389910229,-0.00404409960341943,0.0456668594098154,-0.0702125078494391,-0.0369473294251292,-0.0189474057414723,0.00300628463286764,0.0254469384091929,0.0761996758441133
Antrim and Newtownabbey,2021-03-18,,estimate,-0.00811449248567826,-0.0039470637531286,0.0439653541880685,-0.0691161784538386,-0.0357975509388949,-0.0183785646812673,0.00381031707186039,0.0250829535674484,0.0724854922981556
Antrim and Newtownabbey,2021-03-19,,estimate,-0.00777406350942267,-0.00376504949659808,0.043865813537712,-0.0692586096063352,-0.0350889725787466,-0.0180344014113531,0.00410235618807009,0.0243333468078565,0.0732282875503043
Antrim and Newtownabbey,2021-03-20,,estimate,-0.00716825173141305,-0.00358294691883578,0.044885109015597,-0.0695875761131102,-0.0349134794669102,-0.0180890647027083,0.00475879133592828,0.0245134339598182,0.0753284357056937
Antrim and Newtownabbey,2021-03-21,,estimate,-0.00745338785844685,-0.00347841056494218,0.0465082399743683,-0.0709182895358409,-0.0353708126279561,-0.0185545172740945,0.00451415699149507,0.0247814184965664,0.0774998777629968
Antrim and Newtownabbey,2021-03-22,,estimate,-0.00827743686319585,-0.00351823244940285,0.0482933266275324,-0.0721393712459033,-0.0362971528428824,-0.0192806071567031,0.0042610962133385,0.02434700366595,0.0791844343813007
Antrim and Newtownabbey,2021-03-23,,estimate,-0.00863922922926311,-0.00375577281162004,0.0499267528354613,-0.072878798214532,-0.0370145411594883,-0.0205475631435748,0.00304180457442643,0.0240889888588351,0.0824475913963436
Antrim and Newtownabbey,2021-03-24,,estimate,-0.0101287315997404,-0.0042302055180646,0.0512231733304475,-0.073419904286388,-0.0375922530456498,-0.0211047115492144,0.00190041745584991,0.0231444843994864,0.0857662280744923
Antrim and Newtownabbey,2021-03-25,,estimate,-0.0115340538444778,-0.00496749518823035,0.0520959429418457,-0.0741246941796382,-0.0384781295518866,-0.0226429543207157,0.00117331267842186,0.0224838839367442,0.0892521607963205
Antrim and Newtownabbey,2021-03-26,,estimate,-0.0132383747193734,-0.00598236592843109,0.0525261156185562,-0.075041781276241,-0.0399613968063616,-0.0239745447685979,-0.000355784671017485,0.0216346252006671,0.0886861326186054
Antrim and Newtownabbey,2021-03-27,,estimate,-0.0145981389534299,-0.00728054249900034,0.0525435407628275,-0.0780630127984432,-0.0412609120098847,-0.0253088680765276,-0.00236272059896794,0.0202146461798133,0.0874884543612672
Antrim and Newtownabbey,2021-03-28,,estimate,-0.0163881109921401,-0.00886100653294012,0.0522165737369337,-0.07900322504565,-0.0427336007201821,-0.0262858709703965,-0.00371093565532484,0.0190981449118337,0.0850403312567328
Antrim and Newtownabbey,2021-03-29,,estimate,-0.0181065045076007,-0.0107183185981791,0.0516408240461945,-0.0812803629403601,-0.0441867417312734,-0.0280810117355317,-0.00537095849691998,0.0174025703377438,0.0811824244852468
Antrim and Newtownabbey,2021-03-30,,estimate,-0.0200510064641512,-0.0128449567502761,0.0509236545362424,-0.0833471363220254,-0.045775996653383,-0.0299076145570541,-0.00762433247126561,0.0149383800403694,0.0789852578925676
Antrim and Newtownabbey,2021-03-31,,estimate,-0.021976462496199,-0.0152333741337886,0.0501697573696406,-0.0859018539479965,-0.0476142382344542,-0.0317884220669409,-0.0097176673421453,0.0131925610957926,0.0747329465257377
Antrim and Newtownabbey,2021-04-01,,estimate,-0.0238469034857184,-0.0178774545216778,0.0494744669235733,-0.0889295286059882,-0.049781055161858,-0.034175072638743,-0.0122521103103306,0.00947152805501045,0.0723295789122908
Antrim and Newtownabbey,2021-04-02,,estimate,-0.0262172124434265,-0.0207733030720773,0.0489249551002486,-0.0921071194261466,-0.0518869775503513,-0.0363118853448037,-0.0150214515645303,0.00522235023366633,0.0666842194543694
Antrim and Newtownabbey,2021-04-03,,estimate,-0.0287220538767971,-0.0239195697881988,0.0486018260071502,-0.094835731581757,-0.0544570568988072,-0.0383197278486498,-0.0179719676042175,0.00195110337020148,0.0617935316439934
Antrim and Newtownabbey,2021-04-04,,estimate,-0.0313534632719181,-0.0273174855124103,0.0485726051452447,-0.0990752055633901,-0.0566309990530321,-0.0410955023244805,-0.0217505113508446,-0.00126968435725721,0.0578383920015239
Antrim and Newtownabbey,2021-04-05,,estimate,-0.0347578468543256,-0.030970541127349,0.048876648639764,-0.103113478188311,-0.0601802442579991,-0.044160090984633,-0.025436606197506,-0.00549879507392879,0.0542598379941374
Antrim and Newtownabbey,2021-04-06,,estimate,-0.038290385086051,-0.0348835725713091,0.0495103859350692,-0.109236882099946,-0.0636855583579283,-0.0477492874298626,-0.0284476137762764,-0.00879422571453033,0.0502633918855431
Antrim and Newtownabbey,2021-04-07,,estimate,-0.0422382850099437,-0.0390610965851466,0.0504216457614679,-0.116477963980033,-0.0676504091897927,-0.0515013689121952,-0.0320418077425199,-0.0126915728481867,0.0480710499634457
Antrim and Newtownabbey,2021-04-08,,estimate,-0.0455686394272523,-0.0435049085297968,0.0515172148312288,-0.124734734683575,-0.0718300705166716,-0.0553923693741711,-0.0350773664125424,-0.0171837846598445,0.0416519723940911
Antrim and Newtownabbey,2021-04-09,,estimate,-0.0489451494206491,-0.0482110910264831,0.0526896069813919,-0.132459504255236,-0.076748219673019,-0.0593257615395612,-0.0388222920484289,-0.0213028763410662,0.0372232072829876
Antrim and Newtownabbey,2021-04-10,,estimate,-0.0531308531471906,-0.0531669112006769,0.0538612094678585,-0.14025343189922,-0.0824419455941596,-0.0633475980896974,-0.0424230182160262,-0.0258494190491328,0.0321057402642845
Antrim and Newtownabbey,2021-04-11,,estimate,-0.0569118179560418,-0.0583486168537223,0.0550179394549265,-0.149170874051556,-0.0879320680624089,-0.0675130537786787,-0.046098366826808,-0.0295840761660382,0.0270683914773287
Antrim and Newtownabbey,2021-04-12,,estimate,-0.0609446672413089,-0.0637212501447876,0.056201746805324,-0.159951197626146,-0.0937647203678005,-0.0721103736627755,-0.0498458969214195,-0.0339079291920205,0.0216777455990692
Antrim and Newtownabbey,2021-04-13,,estimate,-0.0650177071735295,-0.0692407922851342,0.0574704392398879,-0.169324852851612,-0.100015063572214,-0.0766585865158235,-0.0541524648512212,-0.0374665410975906,0.0174827321124188
Antrim and Newtownabbey,2021-04-14,,estimate,-0.0696121325779039,-0.0748577442743491,0.0588612821739915,-0.179522088364732,-0.106214502031587,-0.0821691090621697,-0.0584757573002461,-0.0406752406239584,0.0114400660616798
Antrim and Newtownabbey,2021-04-15,,estimate,-0.0737308963073502,-0.0805206320156155,0.0603786314119292,-0.188644260119475,-0.113119694072101,-0.0870997492170152,-0.0622711181278683,-0.0439745894118571,0.00532642472999725
Antrim and Newtownabbey,2021-04-16,,estimate,-0.0782516957893103,-0.0861783426069771,0.0620020038019959,-0.19997776519284,-0.119542936507879,-0.0920896718791874,-0.0661114375360481,-0.0471371059602707,0.000381544023447982
Antrim and Newtownabbey,2021-04-17,,estimate,-0.083164992687827,-0.0917812981982912,0.063705150916132,-0.211742521233976,-0.12696070490187,-0.0974807402819381,-0.069139532462427,-0.0507524063906601,-0.00512738237515393
