region,date,confirm
Derby,2021-07-31,0
Derbyshire,2021-07-31,0
Leicester,2021-07-31,1
Leicestershire,2021-07-31,0
Lincolnshire,2021-07-31,3
Northamptonshire,2021-07-31,1
Nottingham,2021-07-31,1
Nottinghamshire,2021-07-31,0
Rutland,2021-07-31,0
Bedford,2021-07-31,0
Cambridgeshire,2021-07-31,3
Central Bedfordshire,2021-07-31,0
Essex,2021-07-31,1
Hertfordshire,2021-07-31,0
Luton,2021-07-31,0
Norfolk,2021-07-31,0
Peterborough,2021-07-31,0
Southend-on-Sea,2021-07-31,1
Suffolk,2021-07-31,1
Thurrock,2021-07-31,2
Barking and Dagenham,2021-07-31,0
Barnet,2021-07-31,0
Bexley,2021-07-31,0
Brent,2021-07-31,1
Bromley,2021-07-31,0
Camden,2021-07-31,1
Croydon,2021-07-31,1
Ealing,2021-07-31,2
Enfield,2021-07-31,0
Greenwich,2021-07-31,0
Hammersmith and Fulham,2021-07-31,1
Haringey,2021-07-31,0
Harrow,2021-07-31,0
Havering,2021-07-31,0
Hillingdon,2021-07-31,0
Hounslow,2021-07-31,1
Islington,2021-07-31,0
Kensington and Chelsea,2021-07-31,0
Kingston upon Thames,2021-07-31,0
Lambeth,2021-07-31,0
Lewisham,2021-07-31,0
Merton,2021-07-31,0
Newham,2021-07-31,0
Redbridge,2021-07-31,0
Richmond upon Thames,2021-07-31,0
Southwark,2021-07-31,0
Sutton,2021-07-31,0
Tower Hamlets,2021-07-31,0
Waltham Forest,2021-07-31,0
Wandsworth,2021-07-31,0
Westminster,2021-07-31,1
Hackney and City of London,2021-07-31,0
County Durham,2021-07-31,2
Darlington,2021-07-31,0
Gateshead,2021-07-31,0
Hartlepool,2021-07-31,0
Middlesbrough,2021-07-31,0
Newcastle upon Tyne,2021-07-31,2
North Tyneside,2021-07-31,0
Northumberland,2021-07-31,1
Redcar and Cleveland,2021-07-31,1
South Tyneside,2021-07-31,0
Stockton-on-Tees,2021-07-31,0
Sunderland,2021-07-31,4
Blackburn with Darwen,2021-07-31,0
Blackpool,2021-07-31,0
Bolton,2021-07-31,0
Bury,2021-07-31,0
Cheshire East,2021-07-31,1
Cheshire West and Chester,2021-07-31,0
Cumbria,2021-07-31,0
Halton,2021-07-31,0
Knowsley,2021-07-31,1
Lancashire,2021-07-31,4
Liverpool,2021-07-31,1
Manchester,2021-07-31,1
Oldham,2021-07-31,0
Rochdale,2021-07-31,1
Salford,2021-07-31,0
Sefton,2021-07-31,0
St. Helens,2021-07-31,0
Stockport,2021-07-31,1
Tameside,2021-07-31,0
Trafford,2021-07-31,0
Warrington,2021-07-31,0
Wigan,2021-07-31,0
Wirral,2021-07-31,0
Antrim and Newtownabbey,2021-07-31,1
Ards and North Down,2021-07-31,0
"Armagh City, Banbridge and Craigavon",2021-07-31,2
Belfast,2021-07-31,1
Causeway Coast and Glens,2021-07-31,1
Derry City and Strabane,2021-07-31,0
Fermanagh and Omagh,2021-07-31,0
Lisburn and Castlereagh,2021-07-31,0
Mid and East Antrim,2021-07-31,0
Mid Ulster,2021-07-31,0
"Newry, Mourne and Down",2021-07-31,0
Aberdeen City,2021-07-31,0
Aberdeenshire,2021-07-31,0
Angus,2021-07-31,0
Argyll and Bute,2021-07-31,0
City of Edinburgh,2021-07-31,0
Clackmannanshire,2021-07-31,0
Dumfries and Galloway,2021-07-31,0
Dundee City,2021-07-31,0
East Ayrshire,2021-07-31,0
East Dunbartonshire,2021-07-31,0
East Lothian,2021-07-31,0
East Renfrewshire,2021-07-31,0
Falkirk,2021-07-31,0
Fife,2021-07-31,0
Glasgow City,2021-07-31,0
Highland,2021-07-31,0
Inverclyde,2021-07-31,0
Midlothian,2021-07-31,0
Moray,2021-07-31,0
Na h-Eileanan Siar,2021-07-31,0
North Ayrshire,2021-07-31,0
North Lanarkshire,2021-07-31,0
Orkney Islands,2021-07-31,0
Perth and Kinross,2021-07-31,0
Renfrewshire,2021-07-31,0
Scottish Borders,2021-07-31,0
Shetland Islands,2021-07-31,0
South Ayrshire,2021-07-31,0
South Lanarkshire,2021-07-31,0
Stirling,2021-07-31,0
West Dunbartonshire,2021-07-31,0
West Lothian,2021-07-31,0
Bracknell Forest,2021-07-31,0
Brighton and Hove,2021-07-31,0
Buckinghamshire,2021-07-31,0
East Sussex,2021-07-31,1
Hampshire,2021-07-31,1
Isle of Wight,2021-07-31,0
Kent,2021-07-31,2
Medway,2021-07-31,0
Milton Keynes,2021-07-31,0
Oxfordshire,2021-07-31,1
Portsmouth,2021-07-31,0
Reading,2021-07-31,0
Slough,2021-07-31,0
Southampton,2021-07-31,0
Surrey,2021-07-31,2
West Berkshire,2021-07-31,0
West Sussex,2021-07-31,0
Windsor and Maidenhead,2021-07-31,1
Wokingham,2021-07-31,0
Bath and North East Somerset,2021-07-31,0
"Bristol, City of",2021-07-31,0
Devon,2021-07-31,0
Dorset,2021-07-31,0
Gloucestershire,2021-07-31,1
North Somerset,2021-07-31,0
Plymouth,2021-07-31,0
Somerset,2021-07-31,1
South Gloucestershire,2021-07-31,0
Swindon,2021-07-31,0
Torbay,2021-07-31,0
Wiltshire,2021-07-31,0
"Bournemouth, Christchurch and Poole",2021-07-31,0
Cornwall and Isles of Scilly,2021-07-31,1
Birmingham,2021-07-31,4
Coventry,2021-07-31,0
Dudley,2021-07-31,1
"Herefordshire, County of",2021-07-31,0
Sandwell,2021-07-31,1
Shropshire,2021-07-31,0
Solihull,2021-07-31,1
Staffordshire,2021-07-31,1
Stoke-on-Trent,2021-07-31,1
Telford and Wrekin,2021-07-31,0
Walsall,2021-07-31,1
Warwickshire,2021-07-31,0
Wolverhampton,2021-07-31,0
Worcestershire,2021-07-31,0
Barnsley,2021-07-31,1
Bradford,2021-07-31,0
Calderdale,2021-07-31,1
Doncaster,2021-07-31,1
East Riding of Yorkshire,2021-07-31,0
"Kingston upon Hull, City of",2021-07-31,2
Kirklees,2021-07-31,0
Leeds,2021-07-31,1
North East Lincolnshire,2021-07-31,3
North Lincolnshire,2021-07-31,2
North Yorkshire,2021-07-31,0
Rotherham,2021-07-31,0
Sheffield,2021-07-31,0
Wakefield,2021-07-31,0
York,2021-07-31,0
Derby,2021-08-01,0
Derbyshire,2021-08-01,1
Leicester,2021-08-01,2
Leicestershire,2021-08-01,1
Lincolnshire,2021-08-01,1
Northamptonshire,2021-08-01,1
Nottingham,2021-08-01,1
Nottinghamshire,2021-08-01,1
Rutland,2021-08-01,0
Bedford,2021-08-01,0
Cambridgeshire,2021-08-01,0
Central Bedfordshire,2021-08-01,0
Essex,2021-08-01,0
Hertfordshire,2021-08-01,1
Luton,2021-08-01,0
Norfolk,2021-08-01,0
Peterborough,2021-08-01,0
Southend-on-Sea,2021-08-01,1
Suffolk,2021-08-01,0
Thurrock,2021-08-01,0
Barking and Dagenham,2021-08-01,0
Barnet,2021-08-01,0
Bexley,2021-08-01,1
Brent,2021-08-01,0
Bromley,2021-08-01,1
Camden,2021-08-01,0
Croydon,2021-08-01,0
Ealing,2021-08-01,0
Enfield,2021-08-01,0
Greenwich,2021-08-01,0
Hammersmith and Fulham,2021-08-01,0
Haringey,2021-08-01,1
Harrow,2021-08-01,1
Havering,2021-08-01,0
Hillingdon,2021-08-01,0
Hounslow,2021-08-01,2
Islington,2021-08-01,0
Kensington and Chelsea,2021-08-01,0
Kingston upon Thames,2021-08-01,1
Lambeth,2021-08-01,1
Lewisham,2021-08-01,0
Merton,2021-08-01,0
Newham,2021-08-01,0
Redbridge,2021-08-01,0
Richmond upon Thames,2021-08-01,0
Southwark,2021-08-01,0
Sutton,2021-08-01,0
Tower Hamlets,2021-08-01,1
Waltham Forest,2021-08-01,0
Wandsworth,2021-08-01,0
Westminster,2021-08-01,0
Hackney and City of London,2021-08-01,0
County Durham,2021-08-01,0
Darlington,2021-08-01,0
Gateshead,2021-08-01,2
Hartlepool,2021-08-01,1
Middlesbrough,2021-08-01,0
Newcastle upon Tyne,2021-08-01,1
North Tyneside,2021-08-01,1
Northumberland,2021-08-01,2
Redcar and Cleveland,2021-08-01,0
South Tyneside,2021-08-01,0
Stockton-on-Tees,2021-08-01,1
Sunderland,2021-08-01,1
Blackburn with Darwen,2021-08-01,0
Blackpool,2021-08-01,0
Bolton,2021-08-01,2
Bury,2021-08-01,2
Cheshire East,2021-08-01,0
Cheshire West and Chester,2021-08-01,0
Cumbria,2021-08-01,1
Halton,2021-08-01,0
Knowsley,2021-08-01,1
Lancashire,2021-08-01,1
Liverpool,2021-08-01,0
Manchester,2021-08-01,0
Oldham,2021-08-01,0
Rochdale,2021-08-01,3
Salford,2021-08-01,0
Sefton,2021-08-01,1
St. Helens,2021-08-01,0
Stockport,2021-08-01,0
Tameside,2021-08-01,0
Trafford,2021-08-01,1
Warrington,2021-08-01,1
Wigan,2021-08-01,2
Wirral,2021-08-01,0
Antrim and Newtownabbey,2021-08-01,0
Ards and North Down,2021-08-01,0
"Armagh City, Banbridge and Craigavon",2021-08-01,3
Belfast,2021-08-01,1
Causeway Coast and Glens,2021-08-01,1
Derry City and Strabane,2021-08-01,1
Fermanagh and Omagh,2021-08-01,0
Lisburn and Castlereagh,2021-08-01,0
Mid and East Antrim,2021-08-01,1
Mid Ulster,2021-08-01,0
"Newry, Mourne and Down",2021-08-01,0
Aberdeen City,2021-08-01,1
Aberdeenshire,2021-08-01,0
Angus,2021-08-01,0
Argyll and Bute,2021-08-01,1
City of Edinburgh,2021-08-01,0
Clackmannanshire,2021-08-01,0
Dumfries and Galloway,2021-08-01,0
Dundee City,2021-08-01,0
East Ayrshire,2021-08-01,0
East Dunbartonshire,2021-08-01,0
East Lothian,2021-08-01,1
East Renfrewshire,2021-08-01,0
Falkirk,2021-08-01,0
Fife,2021-08-01,0
Glasgow City,2021-08-01,3
Highland,2021-08-01,1
Inverclyde,2021-08-01,0
Midlothian,2021-08-01,0
Moray,2021-08-01,0
Na h-Eileanan Siar,2021-08-01,0
North Ayrshire,2021-08-01,0
North Lanarkshire,2021-08-01,2
Orkney Islands,2021-08-01,0
Perth and Kinross,2021-08-01,0
Renfrewshire,2021-08-01,0
Scottish Borders,2021-08-01,0
Shetland Islands,2021-08-01,0
South Ayrshire,2021-08-01,0
South Lanarkshire,2021-08-01,3
Stirling,2021-08-01,0
West Dunbartonshire,2021-08-01,0
West Lothian,2021-08-01,0
Bracknell Forest,2021-08-01,0
Brighton and Hove,2021-08-01,0
Buckinghamshire,2021-08-01,0
East Sussex,2021-08-01,0
Hampshire,2021-08-01,0
Isle of Wight,2021-08-01,1
Kent,2021-08-01,0
Medway,2021-08-01,0
Milton Keynes,2021-08-01,0
Oxfordshire,2021-08-01,0
Portsmouth,2021-08-01,0
Reading,2021-08-01,1
Slough,2021-08-01,0
Southampton,2021-08-01,0
Surrey,2021-08-01,0
West Berkshire,2021-08-01,0
West Sussex,2021-08-01,1
Windsor and Maidenhead,2021-08-01,0
Wokingham,2021-08-01,0
Bath and North East Somerset,2021-08-01,2
"Bristol, City of",2021-08-01,0
Devon,2021-08-01,1
Dorset,2021-08-01,0
Gloucestershire,2021-08-01,0
North Somerset,2021-08-01,0
Plymouth,2021-08-01,0
Somerset,2021-08-01,2
South Gloucestershire,2021-08-01,1
Swindon,2021-08-01,0
Torbay,2021-08-01,0
Wiltshire,2021-08-01,1
"Bournemouth, Christchurch and Poole",2021-08-01,1
Cornwall and Isles of Scilly,2021-08-01,1
Birmingham,2021-08-01,6
Coventry,2021-08-01,2
Dudley,2021-08-01,0
"Herefordshire, County of",2021-08-01,0
Sandwell,2021-08-01,0
Shropshire,2021-08-01,0
Solihull,2021-08-01,1
Staffordshire,2021-08-01,0
Stoke-on-Trent,2021-08-01,1
Telford and Wrekin,2021-08-01,0
Walsall,2021-08-01,1
