region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Kent,6 (0 -- 40),6,15,85,0,3,4,8,12,40,New confirmed cases by infection date,Likely increasing,0.14
Sunderland,6 (0 -- 99),6,80,749,0,2,4,9,16,99,New confirmed cases by infection date,Likely increasing,0.29
Glasgow City,5 (0 -- 40),5,13,45,0,3,4,7,12,40,New confirmed cases by infection date,Likely increasing,0.19
Birmingham,3 (0 -- 24),3,7,20,0,1,2,4,7,24,New confirmed cases by infection date,Likely increasing,0.39
North Lanarkshire,3 (0 -- 32),3,12,80,0,1,2,4,7,32,New confirmed cases by infection date,Likely increasing,0.24
Northamptonshire,3 (0 -- 37),3,13,126,0,1,2,4,8,37,New confirmed cases by infection date,Likely increasing,0.22
Hertfordshire,2 (0 -- 25),2,9,73,0,1,1,3,5,25,New confirmed cases by infection date,Likely increasing,0.14
Leeds,2 (0 -- 33),2,8,30,0,0,1,4,7,33,New confirmed cases by infection date,Stable,0.48
Nottingham,2 (0 -- 17),2,6,40,0,0,1,2,4,17,New confirmed cases by infection date,Likely increasing,0.22
South Lanarkshire,2 (0 -- 22),2,10,109,0,1,2,3,5,22,New confirmed cases by infection date,Likely increasing,0.11
West Sussex,2 (0 -- 22),2,9,94,0,0,1,3,5,22,New confirmed cases by infection date,Likely increasing,0.26
Northamptonshire,1.3 (0.62 -- 2.1),1.3,1.3,0.48,0.62,1,1.2,1.3,1.5,2.1,Effective reproduction no.,Likely increasing,0.22
Cornwall and Isles of Scilly,1.2 (0.67 -- 1.7),1.2,1.2,0.41,0.67,1,1.1,1.2,1.3,1.7,Effective reproduction no.,Likely increasing,0.23
Derbyshire,1.2 (0.5 -- 2),1.2,1.2,0.57,0.5,0.95,1.1,1.2,1.4,2,Effective reproduction no.,Likely increasing,0.29
Dudley,1.2 (0.78 -- 2.1),1.2,1.3,0.45,0.78,1.1,1.1,1.3,1.4,2.1,Effective reproduction no.,Likely increasing,0.17
Ealing,1.2 (0.28 -- 2.4),1.2,1.2,0.73,0.28,0.94,1.1,1.2,1.4,2.4,Effective reproduction no.,Likely increasing,0.3
Glasgow City,1.2 (0.75 -- 1.6),1.2,1.2,0.29,0.75,1.1,1.1,1.2,1.3,1.6,Effective reproduction no.,Likely increasing,0.19
Hertfordshire,1.2 (0.76 -- 1.9),1.2,1.3,0.39,0.76,1.1,1.2,1.3,1.4,1.9,Effective reproduction no.,Likely increasing,0.14
Kent,1.2 (0.79 -- 1.8),1.2,1.3,0.34,0.79,1.1,1.2,1.3,1.4,1.8,Effective reproduction no.,Likely increasing,0.14
Kirklees,1.2 (0.7 -- 2.1),1.2,1.3,0.52,0.7,1.1,1.2,1.3,1.5,2.1,Effective reproduction no.,Likely increasing,0.18
North Lanarkshire,1.2 (0.59 -- 1.8),1.2,1.2,0.42,0.59,1,1.1,1.3,1.4,1.8,Effective reproduction no.,Likely increasing,0.24
Nottingham,1.2 (0.57 -- 1.7),1.2,1.2,0.39,0.57,1,1.1,1.2,1.3,1.7,Effective reproduction no.,Likely increasing,0.22
Sandwell,1.2 (0.62 -- 1.8),1.2,1.2,0.36,0.62,1,1.1,1.2,1.3,1.8,Effective reproduction no.,Likely increasing,0.23
South Lanarkshire,1.2 (0.85 -- 1.8),1.2,1.3,0.34,0.85,1.1,1.2,1.3,1.4,1.8,Effective reproduction no.,Likely increasing,0.11
Sunderland,1.2 (0.33 -- 2.7),1.2,1.3,0.88,0.33,0.93,1.2,1.3,1.5,2.7,Effective reproduction no.,Likely increasing,0.29
Surrey,1.2 (0.53 -- 2.1),1.2,1.2,0.54,0.53,0.97,1.1,1.3,1.4,2.1,Effective reproduction no.,Likely increasing,0.27
Walsall,1.2 (0.75 -- 2.2),1.2,1.3,0.53,0.75,1,1.1,1.3,1.4,2.2,Effective reproduction no.,Likely increasing,0.19
West Sussex,1.2 (0.45 -- 1.9),1.2,1.2,0.48,0.45,0.98,1.1,1.3,1.4,1.9,Effective reproduction no.,Likely increasing,0.26
Worcestershire,1.2 (0.41 -- 2.7),1.2,1.4,0.92,0.41,0.99,1.1,1.3,1.6,2.7,Effective reproduction no.,Likely increasing,0.26
Birmingham,1.1 (0.53 -- 1.6),1.1,1.1,0.36,0.53,0.87,1,1.1,1.2,1.6,Effective reproduction no.,Likely increasing,0.39
Bury,1.1 (0.82 -- 1.7),1.1,1.1,0.33,0.82,1,1,1.1,1.2,1.7,Effective reproduction no.,Likely increasing,0.26
Calderdale,1.1 (0.52 -- 1.7),1.1,1.1,0.4,0.52,0.97,1.1,1.2,1.3,1.7,Effective reproduction no.,Likely increasing,0.28
Croydon,1.1 (0.48 -- 1.7),1.1,1.1,0.4,0.48,0.93,1,1.1,1.2,1.7,Effective reproduction no.,Likely increasing,0.32
Cumbria,1.1 (0.44 -- 1.5),1.1,1,0.34,0.44,0.88,1,1.2,1.2,1.5,Effective reproduction no.,Likely increasing,0.36
Dundee City,1.1 (0.38 -- 1.6),1.1,1,0.42,0.38,0.81,0.99,1.1,1.2,1.6,Effective reproduction no.,Stable,0.41
Essex,1.1 (0.46 -- 1.5),1.1,1,0.32,0.46,0.89,1,1.1,1.2,1.5,Effective reproduction no.,Likely increasing,0.35
Gateshead,1.1 (0.3 -- 1.9),1.1,1.1,0.62,0.3,0.78,0.98,1.2,1.3,1.9,Effective reproduction no.,Stable,0.42
Hampshire,1.1 (0.17 -- 1.9),1.1,1,0.62,0.17,0.69,0.94,1.1,1.3,1.9,Effective reproduction no.,Stable,0.45
Leicestershire,1.1 (0.68 -- 1.5),1.1,1.1,0.28,0.68,0.98,1,1.1,1.2,1.5,Effective reproduction no.,Likely increasing,0.28
Lincolnshire,1.1 (0.19 -- 2),1.1,1.1,0.67,0.19,0.87,1,1.2,1.4,2,Effective reproduction no.,Likely increasing,0.34
Newcastle upon Tyne,1.1 (0.58 -- 1.7),1.1,1.1,0.51,0.58,0.96,1.1,1.2,1.3,1.7,Effective reproduction no.,Likely increasing,0.29
Nottinghamshire,1.1 (0.54 -- 1.9),1.1,1.2,0.54,0.54,0.93,1.1,1.2,1.3,1.9,Effective reproduction no.,Likely increasing,0.31
Oldham,1.1 (0.25 -- 1.8),1.1,1.1,0.57,0.25,0.81,1,1.2,1.3,1.8,Effective reproduction no.,Likely increasing,0.37
Redbridge,1.1 (0.62 -- 1.7),1.1,1.1,0.37,0.62,0.97,1,1.1,1.2,1.7,Effective reproduction no.,Likely increasing,0.32
Rochdale,1.1 (0.6 -- 1.6),1.1,1.1,0.33,0.6,0.94,1,1.1,1.2,1.6,Effective reproduction no.,Likely increasing,0.33
Salford,1.1 (0.31 -- 1.7),1.1,1,0.47,0.31,0.8,0.99,1.1,1.2,1.7,Effective reproduction no.,Stable,0.41
Sheffield,1.1 (0.099 -- 1.7),1.1,1,0.45,0.099,0.86,1,1.1,1.2,1.7,Effective reproduction no.,Likely increasing,0.38
South Tyneside,1.1 (0.35 -- 1.7),1.1,1.1,0.41,0.35,0.88,1,1.2,1.2,1.7,Effective reproduction no.,Likely increasing,0.35
Stoke-on-Trent,1.1 (0.29 -- 3.4),1.1,1.3,1.1,0.29,0.8,1,1.2,1.4,3.4,Effective reproduction no.,Stable,0.4
Suffolk,1.1 (0.11 -- 2.5),1.1,1.2,0.87,0.11,0.59,0.91,1.2,1.5,2.5,Effective reproduction no.,Stable,0.45
Tameside,1.1 (0.48 -- 1.8),1.1,1.1,0.41,0.48,0.98,1.1,1.2,1.3,1.8,Effective reproduction no.,Likely increasing,0.27
Wigan,1.1 (0.73 -- 1.4),1.1,1.1,0.25,0.73,1,1.1,1.1,1.2,1.4,Effective reproduction no.,Likely increasing,0.24
Bolton,1 (0.71 -- 1.5),1,1.1,0.26,0.71,0.96,1,1.1,1.1,1.5,Effective reproduction no.,Likely increasing,0.33
City of Edinburgh,1 (0.31 -- 1.5),1,0.97,0.41,0.31,0.75,0.93,1.1,1.2,1.5,Effective reproduction no.,Stable,0.48
Cornwall and Isles of Scilly,1 (0 -- 10),1,5,36,0,0,1,1,3,10,New confirmed cases by infection date,Likely increasing,0.23
Cumbria,1 (0 -- 9),1,3,8,0,0,1,2,3,9,New confirmed cases by infection date,Likely increasing,0.36
Derbyshire,1 (0 -- 21),1,10,107,0,0,1,2,4,21,New confirmed cases by infection date,Likely increasing,0.29
Devon,1 (0.053 -- 3.2),1,1.2,1.2,0.053,0.47,0.8,1.2,1.6,3.2,Effective reproduction no.,Stable,0.49
Dudley,1 (0 -- 21),1,7,44,0,0,0,1,3,21,New confirmed cases by infection date,Likely increasing,0.17
Dundee City,1 (0 -- 9),1,3,27,0,0,0,1,2,9,New confirmed cases by infection date,Stable,0.41
Ealing,1 (0 -- 34),1,19,223,0,0,0,2,4,34,New confirmed cases by infection date,Likely increasing,0.3
Essex,1 (0 -- 8),1,2,6,0,0,1,2,3,8,New confirmed cases by infection date,Likely increasing,0.35
Gateshead,1 (0 -- 18),1,12,192,0,0,0,2,4,18,New confirmed cases by infection date,Stable,0.42
Kirklees,1 (0 -- 27),1,11,122,0,0,1,2,4,27,New confirmed cases by infection date,Likely increasing,0.18
Lancashire,1 (0 -- 7),1,3,56,0,0,0,1,2,7,New confirmed cases by infection date,Likely decreasing,0.68
Leeds,1 (0.13 -- 1.7),1,0.99,0.54,0.13,0.62,0.9,1.1,1.3,1.7,Effective reproduction no.,Stable,0.48
Leicester,1 (0.62 -- 1.4),1,1,0.25,0.62,0.92,1,1.1,1.1,1.4,Effective reproduction no.,Likely increasing,0.39
Newcastle upon Tyne,1 (0 -- 8),1,7,118,0,0,0,1,2,8,New confirmed cases by infection date,Likely increasing,0.29
North Yorkshire,1 (0.33 -- 1.7),1,1,0.53,0.33,0.77,0.94,1.1,1.2,1.7,Effective reproduction no.,Stable,0.47
Nottinghamshire,1 (0 -- 13),1,6,40,0,0,0,1,2,13,New confirmed cases by infection date,Likely increasing,0.31
Oldham,1 (0 -- 20),1,7,42,0,0,1,2,4,20,New confirmed cases by infection date,Likely increasing,0.37
Perth and Kinross,1 (0.3 -- 1.5),1,0.97,0.44,0.3,0.75,0.93,1.1,1.1,1.5,Effective reproduction no.,Stable,0.49
Sandwell,1 (0 -- 15),1,5,41,0,0,1,2,3,15,New confirmed cases by infection date,Likely increasing,0.23
Sefton,1 (0.22 -- 1.6),1,0.99,0.54,0.22,0.71,0.92,1.1,1.2,1.6,Effective reproduction no.,Stable,0.47
South Tyneside,1 (0 -- 10),1,3,16,0,0,0,1,2,10,New confirmed cases by infection date,Likely increasing,0.35
Staffordshire,1 (0 -- 19),1,8,73,0,0,1,2,5,19,New confirmed cases by infection date,Stable,0.48
Staffordshire,1 (0.28 -- 1.7),1,1,0.52,0.28,0.7,0.91,1.1,1.2,1.7,Effective reproduction no.,Stable,0.48
Suffolk,1 (0 -- 41),1,14,85,0,0,0,2,5,41,New confirmed cases by infection date,Stable,0.45
Surrey,1 (0 -- 25),1,10,112,0,0,1,2,4,25,New confirmed cases by infection date,Likely increasing,0.27
Tameside,1 (0 -- 13),1,6,130,0,0,1,1,3,13,New confirmed cases by infection date,Likely increasing,0.27
Wigan,1 (0 -- 6),1,2,12,0,0,1,2,2,6,New confirmed cases by infection date,Likely increasing,0.24
Worcestershire,1 (0 -- 58),1,37,420,0,0,0,1,4,58,New confirmed cases by infection date,Likely increasing,0.26
Stockport,0.99 (0.19 -- 1.8),0.99,0.98,0.59,0.19,0.72,0.91,1,1.1,1.8,Effective reproduction no.,Stable,0.52
Oxfordshire,0.97 (0.17 -- 2),0.97,1,0.71,0.17,0.69,0.89,1,1.2,2,Effective reproduction no.,Stable,0.54
Barnsley,0.9 (0.18 -- 1.7),0.9,0.92,0.56,0.18,0.58,0.78,1,1.2,1.7,Effective reproduction no.,Stable,0.58
Lancashire,0.89 (0.46 -- 1.4),0.89,0.91,0.33,0.46,0.73,0.83,0.95,1.1,1.4,Effective reproduction no.,Likely decreasing,0.68
"Bristol, City of",0.88 (0.094 -- 1.7),0.88,0.89,0.66,0.094,0.5,0.74,1,1.1,1.7,Effective reproduction no.,Likely decreasing,0.6
Manchester,0.86 (0.3 -- 1.3),0.86,0.85,0.36,0.3,0.65,0.78,0.93,1,1.3,Effective reproduction no.,Likely decreasing,0.7
Trafford,0.85 (0.11 -- 1.6),0.85,0.87,0.65,0.11,0.5,0.72,0.97,1.1,1.6,Effective reproduction no.,Likely decreasing,0.63
Blackburn with Darwen,0.84 (0.24 -- 1.6),0.84,0.88,0.62,0.24,0.63,0.78,0.91,0.99,1.6,Effective reproduction no.,Likely decreasing,0.76
Liverpool,0.83 (0.16 -- 1.6),0.83,0.85,0.48,0.16,0.53,0.72,0.93,1.1,1.6,Effective reproduction no.,Likely decreasing,0.66
Bradford,0.8 (0.21 -- 1.3),0.8,0.79,0.36,0.21,0.56,0.71,0.89,1,1.3,Effective reproduction no.,Likely decreasing,0.75
County Durham,0.49 (0.019 -- 2),0.49,0.69,0.83,0.019,0.19,0.35,0.63,0.93,2,Effective reproduction no.,Likely decreasing,0.78
Wakefield,0.47 (0.022 -- 1.5),0.47,0.61,0.61,0.022,0.18,0.33,0.63,0.89,1.5,Effective reproduction no.,Likely decreasing,0.79
Barnsley,0 (0 -- 13),0,7,180,0,0,0,1,3,13,New confirmed cases by infection date,Stable,0.58
Blackburn with Darwen,0 (0 -- 1),0,1,27,0,0,0,0,0,1,New confirmed cases by infection date,Likely decreasing,0.76
Bolton,0 (0 -- 5),0,2,9,0,0,0,1,1,5,New confirmed cases by infection date,Likely increasing,0.33
Bradford,0 (0 -- 1),0,0,2,0,0,0,0,0,1,New confirmed cases by infection date,Likely decreasing,0.75
"Bristol, City of",0 (0 -- 3),0,2,49,0,0,0,0,0,3,New confirmed cases by infection date,Likely decreasing,0.6
Bury,0 (0 -- 14),0,3,17,0,0,0,0,1,14,New confirmed cases by infection date,Likely increasing,0.26
Calderdale,0 (0 -- 6),0,2,19,0,0,0,0,1,6,New confirmed cases by infection date,Likely increasing,0.28
City of Edinburgh,0 (0 -- 5),0,1,13,0,0,0,1,1,5,New confirmed cases by infection date,Stable,0.48
County Durham,0 (0 -- 10),0,5,94,0,0,0,0,0,10,New confirmed cases by infection date,Likely decreasing,0.78
Croydon,0 (0 -- 7),0,2,21,0,0,0,0,1,7,New confirmed cases by infection date,Likely increasing,0.32
Devon,0 (0 -- 56),0,27,327,0,0,0,1,4,56,New confirmed cases by infection date,Stable,0.49
Hampshire,0 (0 -- 14),0,6,64,0,0,0,1,2,14,New confirmed cases by infection date,Stable,0.45
Leicester,0 (0 -- 2),0,0,4,0,0,0,0,0,2,New confirmed cases by infection date,Likely increasing,0.39
Leicestershire,0 (0 -- 4),0,1,4,0,0,0,0,1,4,New confirmed cases by infection date,Likely increasing,0.28
Lincolnshire,0 (0 -- 17),0,4,19,0,0,0,1,2,17,New confirmed cases by infection date,Likely increasing,0.34
Liverpool,0 (0 -- 6),0,2,22,0,0,0,0,1,6,New confirmed cases by infection date,Likely decreasing,0.66
Manchester,0 (0 -- 3),0,0,3,0,0,0,0,0,3,New confirmed cases by infection date,Likely decreasing,0.7
North Yorkshire,0 (0 -- 7),0,6,123,0,0,0,0,1,7,New confirmed cases by infection date,Stable,0.47
Oxfordshire,0 (0 -- 8),0,23,627,0,0,0,0,1,8,New confirmed cases by infection date,Stable,0.54
Perth and Kinross,0 (0 -- 2),0,2,51,0,0,0,0,0,2,New confirmed cases by infection date,Stable,0.49
Redbridge,0 (0 -- 5),0,1,10,0,0,0,0,0,5,New confirmed cases by infection date,Likely increasing,0.32
Rochdale,0 (0 -- 6),0,2,5,0,0,0,1,1,6,New confirmed cases by infection date,Likely increasing,0.33
Salford,0 (0 -- 6),0,3,64,0,0,0,0,1,6,New confirmed cases by infection date,Stable,0.41
Sefton,0 (0 -- 8),0,9,189,0,0,0,1,2,8,New confirmed cases by infection date,Stable,0.47
Sheffield,0 (0 -- 7),0,2,10,0,0,0,0,1,7,New confirmed cases by infection date,Likely increasing,0.38
Stockport,0 (0 -- 2),0,1,21,0,0,0,0,0,2,New confirmed cases by infection date,Stable,0.52
Stoke-on-Trent,0 (0 -- 107),0,56,557,0,0,0,1,3,107,New confirmed cases by infection date,Stable,0.4
Trafford,0 (0 -- 3),0,1,20,0,0,0,0,0,3,New confirmed cases by infection date,Likely decreasing,0.63
Wakefield,0 (0 -- 3),0,0,9,0,0,0,0,0,3,New confirmed cases by infection date,Likely decreasing,0.79
Walsall,0 (0 -- 22),0,11,223,0,0,0,1,2,22,New confirmed cases by infection date,Likely increasing,0.19
