Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
"Armagh City, Banbridge and Craigavon",0 (0 -- 8),Stable,0.9 (0.11 -- 1.7),-0.027 (-0.3 -- 0.18),-26 (3.9 -- -2.3)
Barnet,1 (0 -- 37),Likely increasing,1.1 (0.54 -- 2.4),0.039 (-0.14 -- 0.34),18 (2 -- -5.1)
Barnsley,0 (0 -- 8),Likely decreasing,0.92 (0.39 -- 1.8),-0.024 (-0.19 -- 0.2),-29 (3.4 -- -3.7)
Bedford,0 (0 -- 2),Stable,1 (0.36 -- 1.4),0.011 (-0.2 -- 0.1),66 (6.9 -- -3.5)
Belfast,0 (0 -- 16),Likely decreasing,0.88 (0.25 -- 2),-0.035 (-0.24 -- 0.25),-20 (2.7 -- -2.9)
Birmingham,4 (0 -- 19),Likely increasing,1.1 (0.73 -- 1.4),0.021 (-0.079 -- 0.12),32 (6 -- -8.8)
Blackburn with Darwen,0 (0 -- 0),Likely decreasing,0.63 (0.082 -- 1.3),-0.11 (-0.32 -- 0.09),-6.5 (7.7 -- -2.2)
Bolton,0 (0 -- 1),Likely decreasing,0.94 (0.51 -- 1.2),-0.016 (-0.15 -- 0.046),-43 (15 -- -4.7)
"Bournemouth, Christchurch and Poole",2 (0 -- 38),Likely increasing,1.2 (0.62 -- 2.3),0.05 (-0.11 -- 0.31),14 (2.2 -- -6.1)
Bradford,1 (0 -- 5),Likely increasing,1.1 (0.83 -- 1.3),0.017 (-0.048 -- 0.086),41 (8.1 -- -14)
Brent,0 (0 -- 9),Stable,0.93 (0.15 -- 1.7),-0.019 (-0.28 -- 0.17),-36 (4 -- -2.4)
"Bristol, City of",0 (0 -- 3),Stable,0.97 (0.24 -- 1.6),-0.0085 (-0.24 -- 0.15),-81 (4.7 -- -2.8)
Buckinghamshire,1 (0 -- 36),Likely increasing,1.2 (0.84 -- 2.4),0.05 (-0.047 -- 0.33),14 (2.1 -- -15)
Bury,0 (0 -- 3),Likely increasing,1 (0.59 -- 1.3),0.01 (-0.12 -- 0.091),70 (7.6 -- -5.7)
Calderdale,0 (0 -- 4),Likely increasing,1.1 (0.6 -- 1.5),0.023 (-0.12 -- 0.13),30 (5.5 -- -5.9)
Cambridgeshire,0 (0 -- 9),Stable,1 (0.32 -- 1.9),0.01 (-0.21 -- 0.22),70 (3.1 -- -3.3)
Causeway Coast and Glens,1 (0 -- 41),Likely increasing,1.1 (0.33 -- 2.4),0.031 (-0.21 -- 0.34),22 (2 -- -3.3)
Central Bedfordshire,3 (0 -- 114),Likely increasing,1.3 (0.61 -- 2.9),0.078 (-0.11 -- 0.44),8.9 (1.6 -- -6.1)
Cheshire East,0 (0 -- 0),Likely decreasing,0.42 (0.022 -- 1.6),-0.18 (-0.36 -- 0.16),-3.9 (4.3 -- -1.9)
City of Edinburgh,0 (0 -- 4),Likely decreasing,0.93 (0.32 -- 1.7),-0.019 (-0.21 -- 0.17),-37 (4 -- -3.3)
Cornwall and Isles of Scilly,1 (0 -- 9),Likely increasing,1.1 (0.62 -- 1.6),0.022 (-0.11 -- 0.15),31 (4.6 -- -6.2)
County Durham,0 (0 -- 18),Stable,0.9 (0.26 -- 2),-0.027 (-0.24 -- 0.24),-26 (2.8 -- -2.9)
Coventry,0 (0 -- 5),Stable,1 (0.25 -- 1.7),2.2e-05 (-0.24 -- 0.19),32000 (3.7 -- -2.9)
Croydon,0 (0 -- 5),Stable,1 (0.46 -- 1.7),0.0038 (-0.16 -- 0.18),180 (3.9 -- -4.2)
Cumbria,0 (0 -- 42),Stable,0.91 (0.32 -- 3.1),-0.024 (-0.21 -- 0.5),-28 (1.4 -- -3.3)
Derbyshire,2 (0 -- 11),Likely increasing,1.1 (0.61 -- 1.5),0.018 (-0.11 -- 0.14),39 (5 -- -6)
Derry City and Strabane,0 (0 -- 6),Likely decreasing,0.89 (0.057 -- 2),-0.031 (-0.33 -- 0.26),-23 (2.7 -- -2.1)
Devon,4 (0 -- 27),Likely increasing,1.2 (0.51 -- 1.7),0.044 (-0.15 -- 0.18),16 (4 -- -4.7)
Doncaster,0 (0 -- 4),Stable,0.98 (0.25 -- 1.6),-0.0052 (-0.24 -- 0.16),-130 (4.3 -- -2.9)
Dudley,0 (0 -- 1),Likely decreasing,0.85 (0.14 -- 1.4),-0.043 (-0.29 -- 0.098),-16 (7 -- -2.4)
Dundee City,0 (0 -- 1),Likely decreasing,0.52 (0.023 -- 2),-0.14 (-0.36 -- 0.25),-4.8 (2.8 -- -1.9)
Ealing,0 (0 -- 4),Stable,1 (0.44 -- 1.5),0.0063 (-0.17 -- 0.12),110 (5.8 -- -4.1)
East Riding of Yorkshire,0 (0 -- 4),Likely decreasing,0.68 (0.091 -- 1.8),-0.093 (-0.32 -- 0.19),-7.5 (3.7 -- -2.2)
East Sussex,0 (0 -- 2),Likely decreasing,0.86 (0.15 -- 1.6),-0.039 (-0.29 -- 0.16),-18 (4.3 -- -2.4)
Essex,3 (0 -- 10),Likely increasing,1.1 (0.64 -- 1.3),0.018 (-0.11 -- 0.09),39 (7.7 -- -6.6)
Fife,0 (0 -- 2),Likely decreasing,0.71 (0.1 -- 1.6),-0.084 (-0.31 -- 0.15),-8.3 (4.5 -- -2.2)
Gateshead,0 (0 -- 44),Stable,1 (0.45 -- 2.6),0.013 (-0.17 -- 0.38),53 (1.8 -- -4.1)
