region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
East of England,2020-11-24,,estimate,110.6,110.6,5.2,101.9,107.3,109.3,111.8,114,119.3
East of England,2020-11-25,,estimate,115.4,115.4,5.3,106.7,111.9,114,116.6,118.9,124.1
East of England,2020-11-26,,estimate,120.4,120.5,5.4,111.9,117,119.1,121.8,124.1,129.3
East of England,2020-11-27,,estimate,125.9,126,5.5,117.1,122.4,124.5,127.3,129.6,134.9
East of England,2020-11-28,,estimate,131.7,131.8,5.7,122.7,128,130.2,133.1,135.5,141
East of England,2020-11-29,,estimate,137.7,137.9,5.8,128.6,134,136.2,139.2,141.8,147.5
East of England,2020-11-30,,estimate,144,144.2,6.1,134.6,140.1,142.5,145.6,148.3,154.4
East of England,2020-12-01,,estimate,150.6,150.9,6.3,140.8,146.6,149.1,152.2,155,161.4
East of England,2020-12-02,,estimate,157.6,157.8,6.5,147.4,153.4,156,159.2,162.1,168.8
East of England,2020-12-03,,estimate,164.8,165,6.7,154.2,160.4,163.1,166.5,169.4,176.4
East of England,2020-12-04,,estimate,172.2,172.5,7,161.4,167.7,170.5,173.9,176.9,184.3
East of England,2020-12-05,,estimate,179.9,180.2,7.2,168.8,175.3,178.2,181.7,184.7,192.4
East of England,2020-12-06,,estimate,187.9,188.1,7.4,176.4,183.2,186.1,189.6,192.8,200.8
East of England,2020-12-07,,estimate,196.1,196.4,7.6,184.3,191.3,194.3,197.9,201.1,209.2
East of England,2020-12-08,,estimate,204.6,204.8,7.7,192.6,199.7,202.7,206.5,209.6,218
East of England,2020-12-09,,estimate,213.4,213.6,7.9,201.1,208.4,211.6,215.2,218.7,226.7
East of England,2020-12-10,,estimate,222.4,222.7,8.1,210,217.4,220.6,224.4,227.8,236.1
East of England,2020-12-11,,estimate,231.9,232.1,8.3,218.8,226.7,229.9,234,237.3,246.1
East of England,2020-12-12,,estimate,241.6,241.9,8.6,228.1,236.2,239.6,243.8,247.3,256.5
East of England,2020-12-13,,estimate,251.9,252.1,9.1,237.4,246,249.7,254.1,257.9,267.4
East of England,2020-12-14,,estimate,262.6,262.7,9.6,247.3,256.4,260.3,264.8,269,278.6
East of England,2020-12-15,,estimate,273.7,273.9,10.2,257.2,267.2,271.3,276.3,280.8,290.5
East of England,2020-12-16,,estimate,285.4,285.5,10.9,267.7,278.4,282.9,288.2,292.9,303
East of England,2020-12-17,,estimate,297.8,297.7,11.5,278.9,290.2,295.1,300.6,305.4,316
East of England,2020-12-18,,estimate,310.6,310.5,12,290.9,302.7,307.7,313.5,318.4,329.4
East of England,2020-12-19,,estimate,324,323.8,12.4,302.8,315.9,321,326.9,332.1,343.1
East of England,2020-12-20,,estimate,337.8,337.5,12.6,316.6,329.6,334.7,340.9,346,357.1
East of England,2020-12-21,,estimate,352,351.6,12.7,330.4,343.4,348.9,355,360.2,371.3
East of England,2020-12-22,,estimate,366.2,365.9,12.7,345,357.6,363,369.4,374.4,386
East of England,2020-12-23,,estimate,380.7,380.3,12.8,359,371.8,377.3,383.6,388.8,401.1
East of England,2020-12-24,,estimate,394.7,394.5,13,372.9,386,391.4,397.9,402.9,416.4
East of England,2020-12-25,,estimate,408.4,408.3,13.5,386.2,399.2,404.8,411.6,416.8,431.1
East of England,2020-12-26,,estimate,421.1,421.4,14.2,398.6,411.7,417.7,424.3,430.5,445.9
East of England,2020-12-27,,estimate,432.9,433.5,15.2,409.4,423.1,429.3,436.4,443.1,460.1
East of England,2020-12-28,,estimate,443.4,444.2,16.2,419.3,433.1,439.5,447.3,454.1,472.4
East of England,2020-12-29,,estimate,452.2,453.2,17.1,427.2,441.2,448.1,456.4,463.8,483
East of England,2020-12-30,,estimate,459.3,460.4,17.8,433.2,448,454.9,463.7,471.1,491.3
East of England,2020-12-31,,estimate,464.2,465.5,18,437.6,452.9,459.9,468.8,476.5,496.6
East of England,2021-01-01,,estimate,467.4,468.3,18,440.7,455.9,462.8,471.8,479.6,499.4
East of England,2021-01-02,,estimate,468.1,469,17.6,441.6,456.8,463.9,472.5,480.3,499.1
East of England,2021-01-03,,estimate,466.7,467.4,17,440.7,455.5,462.5,470.8,478.2,496.5
East of England,2021-01-04,,estimate,463.1,463.7,16.4,438,452.6,459.1,467.1,474.2,491.6
East of England,2021-01-05,,estimate,457.3,458,15.7,433.2,447.4,453.4,461.6,468.3,484.6
East of England,2021-01-06,,estimate,450.1,450.7,15.2,426.7,440.4,446.3,454.1,460.7,476.2
East of England,2021-01-07,,estimate,441.5,441.7,14.8,418.1,431.8,437.3,445.2,451.6,466.6
East of England,2021-01-08,,estimate,431.4,431.6,14.5,408.2,421.7,427.4,435.1,441,455.4
East of England,2021-01-09,,estimate,420.4,420.3,14.3,397.3,410.6,416.4,424,429.7,444
East of England,2021-01-10,,estimate,408.3,408.3,14.1,385.4,398.8,404.5,412,417.4,431.4
East of England,2021-01-11,,estimate,395.7,395.6,13.8,372.5,386.5,392.2,399,404.6,418.3
East of England,2021-01-12,,estimate,382.7,382.5,13.5,359.8,373.7,379.1,386,391.3,404.8
