region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
England,2021-11-28,,estimate,584,585.1,40.5,521.9,557,574,594,612,653
England,2021-11-29,,estimate,664,664.6,41.8,598,636,653,675,693,734
England,2021-11-30,,estimate,706,706.8,44.7,636,676,694.6,717,736,784
England,2021-12-01,,estimate,728,728.7,45.5,656,697,716,740,759,804
England,2021-12-02,,estimate,708,707.9,43.9,637,678,696,719,737,780
England,2021-12-03,,estimate,632,633,39.8,568,606,622,642.4,659,699
England,2021-12-04,,estimate,639,639.3,39.1,576,613,629,649,665,705
England,2021-12-05,,estimate,703.5,704.7,42.7,635.9,676,693,714,733,776
England,2021-12-06,,estimate,770,771,46.6,694,739,759,782,803,848
England,2021-12-07,,estimate,793,793.1,46.7,718,761,780,804,825,872
England,2021-12-08,,estimate,800,799.7,47,723,768,788,811,831,876
England,2021-12-09,,estimate,757,758.4,45.3,685,728,747,769,788,834
England,2021-12-10,,estimate,668,668.3,40.4,603,641,658,678,695,734
England,2021-12-11,,estimate,667,667.4,41.3,602,639,656,678,695,736
England,2021-12-12,,estimate,732,732.4,44,662,703,721,743,762,806
England,2021-12-13,,estimate,800,799.8,46.4,724.9,767.8,787,811,831,878
England,2021-12-14,,estimate,826,827.3,47.8,750,795,815,839,858,907
England,2021-12-15,,estimate,842,843.6,49.3,764,810,830,856,876,926
England,2021-12-16,,estimate,819,819.4,48.3,741,786,807,831,851,899
England,2021-12-17,,estimate,744,744.8,44.3,673,716,733,755,774,818
England,2021-12-18,,estimate,771,772.1,46.4,698,741,759,783,802,852
England,2021-12-19,,estimate,887,889.2,51.8,807,854,875,901,922,976
England,2021-12-20,,estimate,1024,1024.9,59.3,930,984,1010,1039,1064,1123
England,2021-12-21,,estimate,1120,1121.2,62.8,1022,1079,1104,1134,1162,1228
England,2021-12-22,,estimate,1212,1214.8,65.1,1112,1171,1196,1228,1257,1327
England,2021-12-23,,estimate,1245,1246.6,67.8,1139,1199,1228,1262,1291,1361
England,2021-12-24,,estimate,1187,1189.1,65.6,1083,1145,1172,1202,1233,1302
England,2021-12-25,,estimate,1279,1281.2,69.9,1168,1234.8,1263,1297,1328,1401
England,2021-12-26,,estimate,1507,1508.2,81.7,1375,1452.8,1487,1527,1561,1647
England,2021-12-27,,estimate,1753,1755.3,92.5,1606,1695,1730,1777,1816,1911
England,2021-12-28,,estimate,1909,1908.2,102.3,1742,1836,1881.6,1934,1976,2078
