region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
United Kingdom,713 (495 -- 1032),713,731,168,495,616,674,751,822,1032,New confirmed cases by infection date,Likely increasing,0.34
England,632 (435 -- 916),632,649,150,435,544,598,667,739,916,New confirmed cases by infection date,Likely increasing,0.24
North East and Yorkshire,128 (85 -- 202),128,134,36,85,109,121,137,153,202,New confirmed cases by infection date,Likely increasing,0.38
Midlands,116 (75 -- 191),116,123,37,75,97,109,124,140,191,New confirmed cases by infection date,Likely increasing,0.28
North West,81 (54 -- 132),81,86,25,54,69,76,87,97,132,New confirmed cases by infection date,Stable,0.49
London,66 (38 -- 110),66,69,22,38,53,61,71,80,110,New confirmed cases by infection date,Stable,0.55
South West,57 (34 -- 102),57,61,21,34,46,53,62,71,102,New confirmed cases by infection date,Likely increasing,0.37
South East,56 (31 -- 112),56,62,27,31,43,50,62,73,112,New confirmed cases by infection date,Likely increasing,0.29
Scotland,55 (29 -- 105),55,59,25,29,42,50,60,71,105,New confirmed cases by infection date,Likely decreasing,0.83
Wales,40 (16 -- 99),40,46,29,16,28,35,45,56,99,New confirmed cases by infection date,Likely increasing,0.38
East of England,31 (17 -- 61),31,34,15,17,24,28,34,40,61,New confirmed cases by infection date,Likely decreasing,0.65
Northern Ireland,12 (6 -- 19),12,12,4,6,9,11,13,14,19,New confirmed cases by infection date,Decreasing,0.98
England,1.1 (0.88 -- 1.3),1.1,1.1,0.14,0.88,1,1.1,1.1,1.2,1.3,Effective reproduction no.,Likely increasing,0.24
Midlands,1.1 (0.87 -- 1.4),1.1,1.1,0.15,0.87,0.99,1,1.1,1.2,1.4,Effective reproduction no.,Likely increasing,0.28
South East,1.1 (0.84 -- 1.5),1.1,1.1,0.21,0.84,0.98,1,1.1,1.2,1.5,Effective reproduction no.,Likely increasing,0.29
United Kingdom,1.1 (0.86 -- 1.3),1.1,1.1,0.14,0.86,0.97,1,1.1,1.1,1.3,Effective reproduction no.,Likely increasing,0.34
Wales,1.1 (0.72 -- 1.7),1.1,1.1,0.3,0.72,0.92,1,1.1,1.3,1.7,Effective reproduction no.,Likely increasing,0.38
North East and Yorkshire,1 (0.86 -- 1.3),1,1,0.13,0.86,0.96,1,1.1,1.1,1.3,Effective reproduction no.,Likely increasing,0.38
North West,1 (0.84 -- 1.2),1,1,0.13,0.84,0.93,0.98,1,1.1,1.2,Effective reproduction no.,Stable,0.49
South West,1 (0.84 -- 1.3),1,1.1,0.16,0.84,0.95,1,1.1,1.1,1.3,Effective reproduction no.,Likely increasing,0.37
London,0.98 (0.76 -- 1.2),0.98,0.99,0.15,0.76,0.89,0.95,1,1.1,1.2,Effective reproduction no.,Stable,0.55
East of England,0.95 (0.73 -- 1.3),0.95,0.96,0.17,0.73,0.85,0.91,0.98,1,1.3,Effective reproduction no.,Likely decreasing,0.65
Scotland,0.83 (0.6 -- 1.2),0.83,0.85,0.18,0.6,0.73,0.79,0.87,0.94,1.2,Effective reproduction no.,Likely decreasing,0.83
Northern Ireland,0.79 (0.61 -- 0.95),0.79,0.78,0.11,0.61,0.72,0.76,0.81,0.85,0.95,Effective reproduction no.,Decreasing,0.98
