Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
East of England,284 (165 -- 449),Likely decreasing,0.85 (0.65 -- 1),-0.044 (-0.1 -- 0.012),-16 (57 -- -6.7)
England,1448 (926 -- 2358),,1.2 (0.9 -- 1.5),0.04 (-0.02 -- 0.13),17.1 (5.3 -- -33.5)
London,442 (276 -- 708),Likely decreasing,0.83 (0.64 -- 1.1),-0.049 (-0.1 -- 0.016),-14 (43 -- -6.7)
Midlands,701 (423 -- 1139),Likely decreasing,0.95 (0.73 -- 1.2),-0.013 (-0.079 -- 0.063),-54 (11 -- -8.8)
North East and Yorkshire,401 (268 -- 584),Likely decreasing,0.96 (0.78 -- 1.2),-0.01 (-0.064 -- 0.047),-69 (15 -- -11)
North West,298 (162 -- 504),Likely decreasing,0.81 (0.58 -- 1),-0.052 (-0.12 -- 0.013),-13 (55 -- -5.5)
Northern Ireland,20 (9 -- 39),Decreasing,0.58 (0.38 -- 0.8),-0.12 (-0.19 -- -0.056),-5.6 (-12 -- -3.6)
Scotland,39 (21 -- 67),Decreasing,0.58 (0.4 -- 0.76),-0.13 (-0.18 -- -0.068),-5.5 (-10 -- -3.8)
South East,293 (176 -- 454),Decreasing,0.77 (0.59 -- 0.95),-0.065 (-0.12 -- -0.015),-11 (-46 -- -5.8)
South West,206 (110 -- 353),Likely decreasing,0.83 (0.6 -- 1.1),-0.047 (-0.12 -- 0.021),-15 (33 -- -5.8)
Wales,99 (70 -- 135),Likely decreasing,0.94 (0.83 -- 1.1),-0.016 (-0.048 -- 0.016),-44 (43 -- -15)
