region,date,confirm
England,2020-01-30,2
North East and Yorkshire,2020-01-30,1
England,2020-01-31,0
North East and Yorkshire,2020-01-31,0
England,2020-02-01,0
North East and Yorkshire,2020-02-01,0
England,2020-02-02,0
North East and Yorkshire,2020-02-02,0
England,2020-02-03,0
North East and Yorkshire,2020-02-03,0
England,2020-02-04,0
North East and Yorkshire,2020-02-04,0
England,2020-02-05,1
North East and Yorkshire,2020-02-05,0
South East,2020-02-05,1
England,2020-02-06,0
North East and Yorkshire,2020-02-06,0
South East,2020-02-06,0
England,2020-02-07,0
North East and Yorkshire,2020-02-07,0
South East,2020-02-07,0
England,2020-02-08,4
North East and Yorkshire,2020-02-08,0
South East,2020-02-08,4
England,2020-02-09,1
North East and Yorkshire,2020-02-09,0
South East,2020-02-09,1
England,2020-02-10,0
North East and Yorkshire,2020-02-10,0
South East,2020-02-10,0
England,2020-02-11,1
London,2020-02-11,1
North East and Yorkshire,2020-02-11,0
South East,2020-02-11,0
England,2020-02-12,0
London,2020-02-12,0
North East and Yorkshire,2020-02-12,0
South East,2020-02-12,0
England,2020-02-13,0
London,2020-02-13,0
North East and Yorkshire,2020-02-13,0
South East,2020-02-13,0
England,2020-02-14,0
London,2020-02-14,0
North East and Yorkshire,2020-02-14,0
South East,2020-02-14,0
England,2020-02-15,0
London,2020-02-15,0
North East and Yorkshire,2020-02-15,0
South East,2020-02-15,0
England,2020-02-16,0
London,2020-02-16,0
North East and Yorkshire,2020-02-16,0
South East,2020-02-16,0
England,2020-02-17,0
London,2020-02-17,0
North East and Yorkshire,2020-02-17,0
South East,2020-02-17,0
England,2020-02-18,0
London,2020-02-18,0
North East and Yorkshire,2020-02-18,0
South East,2020-02-18,0
England,2020-02-19,0
London,2020-02-19,0
North East and Yorkshire,2020-02-19,0
South East,2020-02-19,0
England,2020-02-20,0
London,2020-02-20,0
North East and Yorkshire,2020-02-20,0
South East,2020-02-20,0
England,2020-02-21,1
London,2020-02-21,0
Midlands,2020-02-21,1
North East and Yorkshire,2020-02-21,0
South East,2020-02-21,0
England,2020-02-22,0
London,2020-02-22,0
Midlands,2020-02-22,0
North East and Yorkshire,2020-02-22,0
South East,2020-02-22,0
England,2020-02-23,1
London,2020-02-23,0
Midlands,2020-02-23,0
North East and Yorkshire,2020-02-23,0
South East,2020-02-23,1
England,2020-02-24,2
London,2020-02-24,1
Midlands,2020-02-24,0
North East and Yorkshire,2020-02-24,0
South East,2020-02-24,1
England,2020-02-25,5
London,2020-02-25,3
Midlands,2020-02-25,1
North East and Yorkshire,2020-02-25,0
South East,2020-02-25,1
East of England,2020-02-26,1
England,2020-02-26,4
London,2020-02-26,2
Midlands,2020-02-26,0
North East and Yorkshire,2020-02-26,0
South East,2020-02-26,0
South West,2020-02-26,1
East of England,2020-02-27,1
England,2020-02-27,7
London,2020-02-27,2
Midlands,2020-02-27,0
North East and Yorkshire,2020-02-27,1
South East,2020-02-27,2
South West,2020-02-27,1
Wales,2020-02-27,1
East of England,2020-02-28,2
England,2020-02-28,11
London,2020-02-28,3
Midlands,2020-02-28,1
North East and Yorkshire,2020-02-28,2
North West,2020-02-28,1
Scotland,2020-02-28,1
South East,2020-02-28,2
South West,2020-02-28,0
Wales,2020-02-28,0
East of England,2020-02-29,0
England,2020-02-29,5
London,2020-02-29,1
Midlands,2020-02-29,1
North East and Yorkshire,2020-02-29,0
North West,2020-02-29,0
Scotland,2020-02-29,0
South East,2020-02-29,2
South West,2020-02-29,0
Wales,2020-02-29,0
East of England,2020-03-01,1
England,2020-03-01,20
London,2020-03-01,4
Midlands,2020-03-01,3
North East and Yorkshire,2020-03-01,2
North West,2020-03-01,7
Scotland,2020-03-01,2
South East,2020-03-01,0
South West,2020-03-01,3
Wales,2020-03-01,0
East of England,2020-03-02,0
England,2020-03-02,38
London,2020-03-02,12
Midlands,2020-03-02,6
North East and Yorkshire,2020-03-02,4
North West,2020-03-02,6
