region,date,type,median,lower_90,upper_90,lower_50,upper_50
East Midlands,2020-06-18,estimate,186.4,140,221,173,205
East Midlands,2020-06-19,estimate,177.5,136,214,161,193
East Midlands,2020-06-20,estimate,169,125,201,153,184
East Midlands,2020-06-21,estimate,161.6,124,196,148,177
East Midlands,2020-06-22,estimate,155.4,120,187,143,171
East Midlands,2020-06-23,estimate,149.8,119,182,137,163
East Midlands,2020-06-24,estimate,145.6,117,177,133,157
East Midlands,2020-06-25,estimate,141.8,113,169,127,150
East Midlands,2020-06-26,estimate,139,112,167,127,148
East Midlands,2020-06-27,estimate,136,111,164,124,145
East Midlands,2020-06-28,estimate,134.1,110,162,121,142
East Midlands,2020-06-29,estimate,132,108,159,120,141
East Midlands,2020-06-30,estimate,130.2,106,157,117,138
East Midlands,2020-07-01,estimate,128,102,153,117,138
East Midlands,2020-07-02,estimate,125.8,101,152,114,135
East Midlands,2020-07-03,estimate,123.8,99,149,110,130
East Midlands,2020-07-04,estimate,121,98,147,109,129
East Midlands,2020-07-05,estimate,118.2,95,143,107,126
East Midlands,2020-07-06,estimate,115.6,93,140,104,123
East Midlands,2020-07-07,estimate,112.7,91,136,101,119
East Midlands,2020-07-08,estimate,109.6,89,133,100,117
East Midlands,2020-07-09,estimate,106.6,86,129,98,115
East Midlands,2020-07-10,estimate,103.2,83,126,94,110
East Midlands,2020-07-11,estimate,100.4,79,122,91,107
East Midlands,2020-07-12,estimate,97.8,78,120,89,106
East Midlands,2020-07-13,estimate,95.4,74,117,85,102
East Midlands,2020-07-14,estimate,93.8,73,117,84,101
East Midlands,2020-07-15,estimate,92.5,70,113,83,100
East Midlands,2020-07-16,estimate,91.3,71,114,82,99
East Midlands,2020-07-17,estimate,90.6,69,112,83,100
East Midlands,2020-07-18,estimate based on partial data,90.8,69,112,82,99
East Midlands,2020-07-19,estimate based on partial data,91.3,71,113,84,100
East Midlands,2020-07-20,estimate based on partial data,92.6,73,115,82,99
East Midlands,2020-07-21,estimate based on partial data,93.9,72,117,85,103
East Midlands,2020-07-22,estimate based on partial data,96.1,70,120,85,105
East Midlands,2020-07-23,estimate based on partial data,98.8,72,130,86,108
East Midlands,2020-07-24,estimate based on partial data,102.5,69,139,84,111
East Midlands,2020-07-25,estimate based on partial data,105.9,65,152,80,115
East Midlands,2020-07-26,estimate based on partial data,109.4,57,167,79,122
East Midlands,2020-07-27,estimate based on partial data,113.7,52,193,74,127
East Midlands,2020-07-28,estimate based on partial data,118.2,47,227,76,140
East Midlands,2020-07-29,estimate based on partial data,120.8,36,262,65,140
East Midlands,2020-07-30,estimate based on partial data,124.6,29,314,52,140
East Midlands,2020-07-31,forecast,129.2,5,359,46,143
East Midlands,2020-08-01,forecast,132.5,10,447,31,138
East Midlands,2020-08-02,forecast,136.1,1,545,30,146
East Midlands,2020-08-03,forecast,139,1,680,25,151
East Midlands,2020-08-04,forecast,141.6,0,861,14,148
East Midlands,2020-08-05,forecast,142,0,1108,9,148
East Midlands,2020-08-06,forecast,142.8,0,1434,5,146
East Midlands,2020-08-07,forecast,145.6,0,1790,1,147
East Midlands,2020-08-08,forecast,147.3,0,2370,0,147
East Midlands,2020-08-09,forecast,148.5,0,3032,0,149
East Midlands,2020-08-10,forecast,148.5,0,3958,0,149
East Midlands,2020-08-11,forecast,151.3,0,5117,0,152
East Midlands,2020-08-12,forecast,153.7,0,6773,0,154
East Midlands,2020-08-13,forecast,156.6,0,8157,0,157
East of England,2020-06-18,estimate,57.3,36,81,47,65
East of England,2020-06-19,estimate,53.3,35,79,43,61
East of England,2020-06-20,estimate,50.4,32,75,41,58
East of England,2020-06-21,estimate,48.5,30,73,37,52
East of England,2020-06-22,estimate,47.5,30,71,37,51
East of England,2020-06-23,estimate,47.2,30,70,38,51
East of England,2020-06-24,estimate,47.7,30,69,39,51
East of England,2020-06-25,estimate,48.9,33,70,40,52
East of England,2020-06-26,estimate,50.7,34,69,43,55
East of England,2020-06-27,estimate,53.1,38,72,45,57
East of England,2020-06-28,estimate,55.9,42,74,48,60
East of England,2020-06-29,estimate,59,44,76,51,64
East of England,2020-06-30,estimate,62.6,47,80,54,68
East of England,2020-07-01,estimate,66.3,49,84,58,72
East of England,2020-07-02,estimate,69.7,53,91,60,74
East of England,2020-07-03,estimate,72.9,55,94,66,81
East of England,2020-07-04,estimate,76,59,100,66,82
East of England,2020-07-05,estimate,78.6,59,101,69,86
East of England,2020-07-06,estimate,80.7,62,104,71,88
East of England,2020-07-07,estimate,81.8,62,105,72,89
East of England,2020-07-08,estimate,82.1,61,103,72,89
East of England,2020-07-09,estimate,81.7,62,103,73,89
East of England,2020-07-10,estimate,80.6,61,101,70,87
East of England,2020-07-11,estimate,79,60,99,71,87
East of England,2020-07-12,estimate,77.3,59,97,67,83
East of England,2020-07-13,estimate,75.1,57,95,65,81
East of England,2020-07-14,estimate,72.9,54,92,63,79
East of England,2020-07-15,estimate,70.6,52,90,61,76
East of England,2020-07-16,estimate,68.6,51,89,60,74
East of England,2020-07-17,estimate,66.9,51,87,58,72
East of England,2020-07-18,estimate based on partial data,65.1,47,82,57,71
East of England,2020-07-19,estimate based on partial data,63.9,46,81,56,70
East of England,2020-07-20,estimate based on partial data,62.6,47,83,54,69
East of England,2020-07-21,estimate based on partial data,61.4,43,82,53,69
East of England,2020-07-22,estimate based on partial data,60.7,39,81,51,69
East of England,2020-07-23,estimate based on partial data,60.1,36,84,49,69
East of England,2020-07-24,estimate based on partial data,59.4,32,87,47,69
East of England,2020-07-25,estimate based on partial data,58.1,28,92,43,69
East of England,2020-07-26,estimate based on partial data,56.8,22,98,33,63
East of England,2020-07-27,estimate based on partial data,55.5,15,105,31,65
East of England,2020-07-28,estimate based on partial data,54.7,8,112,30,67
East of England,2020-07-29,estimate based on partial data,53.2,4,124,22,63
East of England,2020-07-30,estimate based on partial data,51.7,4,142,20,64
East of England,2020-07-31,forecast,50.3,1,158,8,54
East of England,2020-08-01,forecast,49.3,1,180,6,52
