region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
East of England,2020-12-25,,estimate,7016.4,7028.6,372.5,6437.4,6774.8,6923,7107.1,7265.5,7668
East of England,2020-12-26,,estimate,6903.1,6914.1,358.5,6340.6,6675.3,6814.3,6991.6,7145.5,7535.5
East of England,2020-12-27,,estimate,6722.5,6730.5,342,6183.5,6506.7,6640.4,6802.5,6947.3,7314.9
East of England,2020-12-28,,estimate,6515.7,6520.6,326.8,6004.1,6305,6437.2,6594.5,6725.2,7061.2
East of England,2020-12-29,,estimate,6295.9,6300,313.3,5801.1,6090.2,6220.5,6367.8,6494.7,6815.5
East of England,2020-12-30,,estimate,6072.6,6075.7,300.9,5595,5876.4,5998.1,6141.4,6260.2,6577.2
East of England,2020-12-31,,estimate,5845.1,5851.1,289.2,5393.2,5657.6,5776.6,5915.1,6033,6341.6
East of England,2021-01-01,,estimate,5620.9,5628.2,277.8,5185.5,5443.8,5554.6,5689.5,5801,6093.6
East of England,2021-01-02,,estimate,5400.5,5408,266.6,4985.5,5232.3,5338.6,5463.1,5578.6,5853
East of England,2021-01-03,,estimate,5182,5191.4,255.4,4787.5,5023.7,5123.4,5246.3,5354.4,5619.2
East of England,2021-01-04,,estimate,4972.4,4979,244.3,4593.6,4815.4,4912.6,5030.9,5137.3,5390.6
East of England,2021-01-05,,estimate,4766.5,4771.3,233.4,4400.5,4614.1,4708,4820.5,4922,5161.7
East of England,2021-01-06,,estimate,4564.4,4568.6,222.7,4211.9,4419.7,4508.6,4616.7,4711,4944.6
East of England,2021-01-07,,estimate,4366.2,4371.1,212.2,4029.5,4229.3,4314.1,4416,4508.5,4732.1
East of England,2021-01-08,,estimate,4173.9,4179.1,201.9,3858.1,4044.3,4122.7,4221.5,4306.1,4525.7
East of England,2021-01-09,,estimate,3986.5,3992.5,191.9,3690.5,3866.4,3937.5,4033.3,4115.2,4322.5
East of England,2021-01-10,,estimate,3804.2,3811.6,182.2,3529.2,3690,3759.9,3848.1,3929.7,4123.6
East of England,2021-01-11,,estimate,3629.5,3636.3,172.9,3366.4,3519.3,3587,3670.5,3749.4,3935.5
East of England,2021-01-12,,estimate,3456.9,3466.6,163.9,3208.6,3357.6,3418.9,3499.8,3573.1,3748.4
East of England,2021-01-13,,estimate,3293.5,3302.6,155.5,3052.9,3200,3255.8,3333,3404.1,3565.3
East of England,2021-01-14,,estimate,3135.1,3144.2,147.4,2910.8,3046.2,3100.4,3174,3239.7,3395.3
East of England,2021-01-15,,estimate,2985.7,2991.5,139.8,2772.1,2896.9,2950.3,3020.5,3081.5,3230.8
East of England,2021-01-16,,estimate,2838.5,2844.4,132.6,2638.7,2754.8,2806.5,2871.7,2928.7,3070.3
East of England,2021-01-17,,estimate,2698.3,2702.9,125.7,2507.6,2617.9,2667.7,2729.4,2781.9,2920
East of England,2021-01-18,,estimate,2562.7,2567,119,2383.4,2484.2,2532.9,2590.9,2641.8,2769
East of England,2021-01-19,,estimate,2432.3,2436.8,112.6,2265.4,2358.8,2405.1,2461.1,2509.1,2630.9
East of England,2021-01-20,,estimate,2307.7,2312.2,106.5,2150.2,2237.9,2282.2,2335.4,2380.6,2494.2
East of England,2021-01-21,,estimate,2189.4,2193.2,100.7,2037,2122.9,2165,2214.8,2257.7,2361.4
East of England,2021-01-22,,estimate,2075.8,2079.8,95.4,1931.3,2013.5,2053.2,2101,2141.7,2237.1
East of England,2021-01-23,,estimate,1969.4,1971.9,90.5,1830.7,1910.1,1946,1991.9,2030.7,2123.2
East of England,2021-01-24,,estimate,1867.4,1869.4,86,1732.9,1811.6,1845.5,1889,1925.2,2014.1
East of England,2021-01-25,,estimate,1770.2,1772.4,81.9,1641.7,1716.8,1748.8,1790,1825.4,1913
East of England,2021-01-26,,estimate,1678.2,1680.6,78.2,1554.7,1628.7,1658.6,1697.3,1731.3,1813.7
East of England,2021-01-27,,estimate,1591.5,1593.9,74.6,1473.2,1544.5,1572.9,1610.4,1642.2,1720.1
East of England,2021-01-28,,estimate,1510.5,1512.2,71.2,1397.1,1465.9,1492.2,1528.4,1558.9,1632.2
East of England,2021-01-29,,estimate,1433.8,1435.2,67.9,1326.4,1390.5,1417.3,1450,1479.3,1548
East of England,2021-01-30,,estimate,1360.9,1362.8,64.6,1258.2,1320.7,1345.2,1377.2,1406.2,1469.3
East of England,2021-01-31,,estimate,1292.9,1294.7,61.4,1194.7,1254.2,1277.9,1308.6,1336.2,1397.5
East of England,2021-02-01,,estimate,1228.6,1230.8,58.3,1136.6,1192.2,1213.9,1243.5,1270.2,1328.6
East of England,2021-02-02,,estimate,1168.7,1170.7,55.3,1082.1,1133.5,1155,1183.3,1207.3,1263
East of England,2021-02-03,,estimate,1112.2,1114.3,52.5,1032.5,1078.7,1099.2,1126.7,1148.1,1201.9
East of England,2021-02-04,,estimate,1059.4,1061.2,49.9,985.6,1027.2,1046.4,1072.6,1093,1144.2
East of England,2021-02-05,,estimate,1008.6,1011.3,47.6,938.9,979,997.3,1021.4,1041.6,1092.3
East of England,2021-02-06,,estimate,961.5,964.2,45.6,894.2,933.7,950.6,973.5,993.2,1041.8
East of England,2021-02-07,,estimate,916.8,919.7,43.8,852,890.4,906.5,928.2,947.5,994.5
East of England,2021-02-08,,estimate,874.9,877.6,42.2,812.7,850.2,864.9,885.3,904.1,951.5
East of England,2021-02-09,,estimate,834.9,837.8,40.7,775.1,811,825.5,845.1,862.6,910.3
East of England,2021-02-10,,estimate,797.5,800,39.1,739.4,774.1,788.5,806.4,823.7,870
East of England,2021-02-11,,estimate,761.8,764.1,37.6,706.9,739.1,753.1,770.6,786.6,831.7
East of England,2021-02-12,,estimate,728,730.1,35.9,675.7,705.9,719.2,736.9,751.7,793.8
East of England,2021-02-13,,estimate,695.6,697.8,34.2,645.7,674.6,687.3,704.8,718.8,757.5
East of England,2021-02-14,,estimate,665,667.3,32.5,616.5,645.1,657.6,674,687.6,722.9
East of England,2021-02-15,,estimate,636.6,638.5,31,590.6,617.5,629.5,644.8,658.1,690.6
East of England,2021-02-16,,estimate,610.1,611.4,29.6,565.1,591.5,602.8,617.3,630.4,662.2
East of England,2021-02-17,,estimate,585,586,28.5,540.6,566.7,578.2,592.1,604.6,634
East of England,2021-02-18,,estimate,561.7,562.4,27.8,517.8,543.5,554.9,568.8,580.7,608.5
East of England,2021-02-19,,estimate,540.3,540.5,27.4,495.8,522,533.2,547.2,559,585.5
East of England,2021-02-20,,estimate,520.5,520.3,27.2,475.9,501.8,513.3,527.2,538.7,564.6
East of England,2021-02-21,,estimate,502.2,501.8,27.2,456.7,483.6,495.1,509.2,520.1,545.8
East of England,2021-02-22,,estimate,485.6,485,27.3,439.3,466.8,478.5,492.6,503.3,528.9
East of England,2021-02-23,,estimate,470.7,469.8,27.3,423.7,451.6,463.5,477.7,488.5,513.4
East of England,2021-02-24,,estimate,457.3,456.2,27.1,409.8,438.1,449.8,463.9,474.9,498.7
East of England,2021-02-25,,estimate,445.3,444,26.7,398.6,426.1,438,451.9,462.6,486.1
