region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
East of England,2020-12-11,,estimate,2583.5,2616.4,539.8,1808,2240,2449,2710,2939.2,3605.1
East of England,2020-12-12,,estimate,2502.5,2533.2,507.2,1763.9,2176.8,2374,2624.4,2858,3425
East of England,2020-12-13,,estimate,2969,3010.9,599.3,2082.9,2593,2830,3124,3378.5,4039.1
East of England,2020-12-14,,estimate,4436,4511.9,904.2,3154,3878.8,4222.6,4679.8,5078,6100
East of England,2020-12-15,,estimate,4454.5,4537.3,911.4,3168.9,3894.8,4227.6,4710.4,5107.8,6141
East of England,2020-12-16,,estimate,4599,4682,949.4,3295.8,3996,4361.6,4823.4,5266,6401.3
East of England,2020-12-17,,estimate,4475,4553.6,895.5,3242.9,3909.8,4250,4705,5121,6119.2
East of England,2020-12-18,,estimate,4160,4216.2,836.7,2959.8,3634.2,3959,4358.4,4736,5645.2
East of England,2020-12-19,,estimate,3706,3747.7,732.9,2645,3218,3523,3875,4215.2,5061.1
East of England,2020-12-20,,estimate,4177,4246.7,819.3,3030,3669,3988,4402.4,4757,5659
East of England,2020-12-21,,estimate,6116.5,6208.5,1209.1,4366,5353.8,5826.6,6416,6960.2,8378
East of England,2020-12-22,,estimate,6011.5,6110.8,1166.5,4371.8,5292.5,5737,6314.4,6839.2,8174
East of England,2020-12-23,,estimate,6156,6251.2,1228,4419,5391,5862,6454.4,6995.2,8425.3
East of England,2020-12-24,,estimate,5904,5989.8,1188.2,4216.9,5141.8,5623,6206,6712,8043.3
East of England,2020-12-25,,estimate,5409.5,5490.9,1086,3858.9,4722.5,5142,5683,6151.8,7391.2
East of England,2020-12-26,,estimate,4780.5,4856,958.3,3420,4192.5,4539.6,5021,5436.2,6553
East of England,2020-12-27,,estimate,5335.5,5379.7,1040.6,3761,4641.8,5064,5589,6057,7187.3
East of England,2020-12-28,,estimate,7544,7672.4,1481.3,5436,6633.8,7182,7932,8596.5,10283.2
East of England,2020-12-29,,estimate,7367,7462.2,1435.8,5264,6478.5,7019,7731.4,8365.2,9960
East of England,2020-12-30,,estimate,7266.5,7377.9,1423.3,5262.7,6369,6903,7618.4,8227.5,9881.4
East of England,2020-12-31,,estimate,6792,6894.1,1350,4827.8,5960,6482.2,7133,7717.8,9245.1
East of England,2021-01-01,,estimate,6081,6148.1,1199.7,4296.9,5303.8,5774.2,6409,6926.2,8227.3
East of England,2021-01-02,,estimate,5188,5240.1,1010.4,3731,4535.5,4927.6,5423,5854.8,7015.2
East of England,2021-01-03,,estimate,5564.5,5649.4,1098.3,3999.8,4873,5294,5857.4,6323.2,7557.2
East of England,2021-01-04,,estimate,7662,7751.1,1503,5443.9,6727.5,7295.6,8058,8673,10325.5
East of England,2021-01-05,,estimate,7127.5,7236.8,1389.5,5155,6255.8,6805,7484,8123.2,9651
East of England,2021-01-06,,estimate,6820.5,6928.5,1356.9,4855,6003,6507.2,7169,7785.2,9270.3
East of England,2021-01-07,,estimate,6104,6209.5,1219.8,4401.8,5372.8,5807.2,6419,6953,8299
East of England,2021-01-08,,estimate,5330,5390,1016.8,3841.8,4658.5,5075.6,5579,6031.5,7159.1
East of England,2021-01-09,,estimate,4375,4422.4,848.7,3107.9,3841,4171.2,4574.8,4957,5919.1
East of England,2021-01-10,,estimate,4575,4634,914.1,3237.8,4014,4345,4788.4,5192.5,6212
East of England,2021-01-11,,estimate,6137.5,6201.7,1190.1,4370.8,5359.8,5855,6428,6942.2,8248
East of England,2021-01-12,,estimate,5543,5625.7,1097.3,3972.9,4825.8,5289.6,5822.8,6300,7565.1
East of England,2021-01-13,,estimate,5242,5293.2,997,3740.8,4594,4992.6,5496,5917,7023.4
East of England,2021-01-14,,estimate,4589.5,4665.4,907.9,3306.8,4030.8,4371,4818,5225.2,6273.1
East of England,2021-01-15,,estimate,3883,3955.2,760.6,2829.9,3414.8,3708.6,4085.4,4430,5281.1
East of England,2021-01-16,,estimate,3198,3221.8,632.3,2269.9,2777.8,3026.6,3346,3607.2,4335.1
