region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
East of England,2021-04-01,,estimate,-0.0179003532664792,-0.0175684000331041,0.0216556000729115,-0.0532270759250112,-0.0320842102035299,-0.0233553495580123,-0.0129980271318095,-0.00402307009215074,0.0182686753908738
East of England,2021-04-02,,estimate,-0.0180669061530321,-0.0177456500935606,0.0185278425841282,-0.0483587473248547,-0.0298848234783514,-0.0224566542747745,-0.013500107444917,-0.00596329381217008,0.0132517523502886
East of England,2021-04-03,,estimate,-0.0180773983042393,-0.0178190666963222,0.0158376961095492,-0.0439150586907779,-0.0284783361988563,-0.0217418315154728,-0.013811647621583,-0.00728210175474173,0.00866316379004164
East of England,2021-04-04,,estimate,-0.0177099997106852,-0.0177766036593112,0.0135745081732851,-0.0399660411947979,-0.0267237690499899,-0.0211975693613507,-0.0141743359978412,-0.00863616442953558,0.00435510405476206
East of England,2021-04-05,,estimate,-0.017291791804916,-0.0176075931304384,0.011723185970036,-0.0370969851279803,-0.0250961310103198,-0.0201696924209292,-0.0142949522348183,-0.00975694654528061,0.00102977389012042
East of England,2021-04-06,,estimate,-0.0167704851442652,-0.0173063189505763,0.0102634825779727,-0.034694135840381,-0.0241658777490422,-0.0195725080722695,-0.0143156238562583,-0.0102697739332411,-0.00107026906837
East of England,2021-04-07,,estimate,-0.016573485477411,-0.0168752947294019,0.00916909589465332,-0.0321874903021551,-0.0229336875696537,-0.0189306059121062,-0.0141383800564052,-0.0105433246564579,-0.00249071830970126
East of England,2021-04-08,,estimate,-0.0160905738730765,-0.016327549334659,0.00840752450473729,-0.0296644856787592,-0.0218505791600753,-0.0184834407602148,-0.0139793122447889,-0.0104060765941264,-0.00299235785768103
East of England,2021-04-09,,estimate,-0.0154089255135926,-0.0156873852976691,0.00793997249056684,-0.0283147720120404,-0.0208273576454669,-0.0177750818117089,-0.0135180456465911,-0.0102825276964898,-0.00301521976473801
East of England,2021-04-10,,estimate,-0.0150958910725593,-0.014989323111772,0.00771935985136069,-0.0274192145149822,-0.0200790720485906,-0.0171111877939137,-0.0132419289479357,-0.00992300346622934,-0.00237158919675636
East of England,2021-04-11,,estimate,-0.0144751455356075,-0.0142752102364778,0.00768655291934189,-0.0263148103678516,-0.0192158077266164,-0.0163296452828678,-0.0126962084952157,-0.00972675299383519,-0.00159649781843363
East of England,2021-04-12,,estimate,-0.0139370742683594,-0.0135897258186777,0.00776898927073055,-0.0253994754615578,-0.0184615496544838,-0.0157952913349653,-0.0122046872079707,-0.00918287757231456,-0.000479652307658175
East of England,2021-04-13,,estimate,-0.013479464863614,-0.0129747558911789,0.00788644045139936,-0.0250513988958667,-0.017935361051715,-0.0151819259282857,-0.0117122261579216,-0.00875069282773904,0.000599811798745614
East of England,2021-04-14,,estimate,-0.0129620732275124,-0.0124633597860538,0.00796429574599461,-0.0243899218583005,-0.0174989261276395,-0.0146368089616482,-0.0112978643050073,-0.00815829491058581,0.00127881703557196
East of England,2021-04-15,,estimate,-0.0125089425991318,-0.0120742692847902,0.00795042816549677,-0.0240269327722274,-0.0171969104100779,-0.0142127899743511,-0.0109028573223198,-0.00771519958714141,0.00192788408213297
East of England,2021-04-16,,estimate,-0.0122025430535754,-0.0118079725995903,0.00783055733418309,-0.0235821367704826,-0.0168627470932194,-0.0139642975251237,-0.0104709315107039,-0.00731615563904955,0.0013618280488094
East of England,2021-04-17,,estimate,-0.0119673980971032,-0.0116453232502432,0.00763678977391884,-0.0233811738526405,-0.0164368067216149,-0.0137192282502509,-0.010291343101132,-0.00699646474518295,0.000971270967647405
East of England,2021-04-18,,estimate,-0.011728307272784,-0.0115492116063308,0.00744206655470275,-0.0232507287392515,-0.0160408871354113,-0.0133444559627029,-0.0100231960882173,-0.00682068646895344,0.000658043356703951
East of England,2021-04-19,,estimate,-0.0113875670138271,-0.011469195902401,0.00733257300319173,-0.023100177273658,-0.0158654937952572,-0.0129158959040212,-0.00982696583759925,-0.00680289723187016,0.000202081465739618
East of England,2021-04-20,,estimate,-0.0110466936508882,-0.0113483025031717,0.00736153611600063,-0.0233578516318655,-0.015618091266254,-0.0126130061286878,-0.00943864278790737,-0.00682032227815263,9.76374451373055e-05
East of England,2021-04-21,,estimate,-0.0107359419034917,-0.0111307318483111,0.00751313215644918,-0.0233965041643495,-0.015273088579322,-0.0123472012609933,-0.00908117644918898,-0.00643076919260245,-3.5640803836188e-05
East of England,2021-04-22,,estimate,-0.0102817823475965,-0.010769126609032,0.00770959309262995,-0.0241186821163632,-0.0147482047027179,-0.0119136619726743,-0.00872242346246048,-0.00587177475030525,0.000319908662955432
East of England,2021-04-23,,estimate,-0.00974540702620981,-0.010230356374964,0.0078554925702613,-0.0244404795186369,-0.01434495481384,-0.011382472812522,-0.00799452470811457,-0.0052440866053684,0.00106933064988844
East of England,2021-04-24,,estimate,-0.00902952275716023,-0.00949925347867301,0.00788405122418133,-0.0238085894682439,-0.0135352686042276,-0.0107713498807563,-0.00726676072432663,-0.00462201850956256,0.00213115388198088
East of England,2021-04-25,,estimate,-0.00809044013422348,-0.00858015736832165,0.00778378950768551,-0.0224126943837233,-0.0125270831936218,-0.00986837406892645,-0.00644579981149998,-0.00380867277893556,0.00296074386770766
