region,date,confirm
United Kingdom,2020-12-24,31818
United Kingdom,2020-12-25,14178
East of England,2020-12-26,5735
England,2020-12-26,36700
London,2020-12-26,11849
Midlands,2020-12-26,4454
North East and Yorkshire,2020-12-26,2635
North West,2020-12-26,2655
Northern Ireland,2020-12-26,718
Scotland,2020-12-26,1058
South East,2020-12-26,7364
South West,2020-12-26,1822
Wales,2020-12-26,1893
United Kingdom,2020-12-26,40369
East of England,2020-12-27,6548
England,2020-12-27,42440
London,2020-12-27,13121
Midlands,2020-12-27,5543
North East and Yorkshire,2020-12-27,3243
North West,2020-12-27,3516
Northern Ireland,2020-12-27,1089
Scotland,2020-12-27,1705
South East,2020-12-27,8025
South West,2020-12-27,2221
Wales,2020-12-27,2496
United Kingdom,2020-12-27,47730
East of England,2020-12-28,5951
England,2020-12-28,40037
London,2020-12-28,10666
Midlands,2020-12-28,5621
North East and Yorkshire,2020-12-28,3554
North West,2020-12-28,3594
Northern Ireland,2020-12-28,1388
Scotland,2020-12-28,1825
South East,2020-12-28,7914
South West,2020-12-28,2433
Wales,2020-12-28,2356
United Kingdom,2020-12-28,45606
East of England,2020-12-29,11122
England,2020-12-29,72510
London,2020-12-29,19860
Midlands,2020-12-29,10046
North East and Yorkshire,2020-12-29,5653
North West,2020-12-29,6628
Northern Ireland,2020-12-29,2307
Scotland,2020-12-29,3146
South East,2020-12-29,14667
South West,2020-12-29,4117
Wales,2020-12-29,3563
United Kingdom,2020-12-29,81526
East of England,2020-12-30,8745
England,2020-12-30,62893
London,2020-12-30,17303
Midlands,2020-12-30,9485
North East and Yorkshire,2020-12-30,5223
North West,2020-12-30,6419
Northern Ireland,2020-12-30,2226
Scotland,2020-12-30,2973
South East,2020-12-30,12116
South West,2020-12-30,3182
Wales,2020-12-30,2699
United Kingdom,2020-12-30,70791
East of England,2020-12-31,6472
England,2020-12-31,46681
London,2020-12-31,12385
Midlands,2020-12-31,7527
North East and Yorkshire,2020-12-31,3728
North West,2020-12-31,5211
Northern Ireland,2020-12-31,1724
Scotland,2020-12-31,2379
South East,2020-12-31,8458
South West,2020-12-31,2594
Wales,2020-12-31,2010
United Kingdom,2020-12-31,52794
East of England,2021-01-01,4021
England,2021-01-01,28220
London,2021-01-01,6735
Midlands,2021-01-01,4656
North East and Yorkshire,2021-01-01,2427
North West,2021-01-01,2863
Northern Ireland,2021-01-01,1248
Scotland,2021-01-01,1167
South East,2021-01-01,5534
South West,2021-01-01,1834
Wales,2021-01-01,1211
United Kingdom,2021-01-01,31846
East of England,2021-01-02,7287
England,2021-01-02,54157
London,2021-01-02,13621
Midlands,2021-01-02,9030
North East and Yorkshire,2021-01-02,4499
North West,2021-01-02,6897
Northern Ireland,2021-01-02,1927
Scotland,2021-01-02,2218
South East,2021-01-02,9549
South West,2021-01-02,3029
Wales,2021-01-02,2087
United Kingdom,2021-01-02,60389
East of England,2021-01-03,6502
England,2021-01-03,49510
London,2021-01-03,13108
Midlands,2021-01-03,7855
North East and Yorkshire,2021-01-03,4104
North West,2021-01-03,6540
