region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
United Kingdom,13657 (9806 -- 19469),13657,14038,2993,9806,12033,13060,14344,15711,19469,New confirmed cases by infection date,Likely increasing,0.095
Scotland,13153 (6818 -- 27268),13153,14563,6751,6818,9883,11707,14550,17511,27268,New confirmed cases by infection date,Increasing,0
England,12906 (9265 -- 18516),12906,13291,3028,9265,11224,12189,13619,14947,18516,New confirmed cases by infection date,Likely increasing,0.079
North West,3235 (2269 -- 4797),3235,3347,791,2269,2810,3064,3416,3756,4797,New confirmed cases by infection date,Likely increasing,0.24
North East and Yorkshire,3090 (2223 -- 4273),3090,3156,636,2223,2721,2942,3246,3530,4273,New confirmed cases by infection date,Increasing,0.019
Midlands,2215 (1544 -- 3309),2215,2299,560,1544,1916,2101,2346,2590,3309,New confirmed cases by infection date,Increasing,0.027
London,1536 (998 -- 2561),1536,1629,532,998,1289,1440,1647,1847,2561,New confirmed cases by infection date,Likely increasing,0.18
South East,1125 (725 -- 1746),1125,1168,320,725,947,1054,1204,1346,1746,New confirmed cases by infection date,Likely increasing,0.17
South West,760 (386 -- 1406),760,810,319,386,585,689,841,979,1406,New confirmed cases by infection date,Likely decreasing,0.65
East of England,669 (488 -- 903),669,677,130,488,589,638,697,752,903,New confirmed cases by infection date,Increasing,0.032
Wales,476 (311 -- 758),476,497,144,311,399,447,508,567,758,New confirmed cases by infection date,Increasing,0.0095
Northern Ireland,273 (159 -- 450),273,285,94,159,222,253,294,332,450,New confirmed cases by infection date,Likely increasing,0.1
Scotland,2.6 (1.9 -- 3.9),2.6,2.7,0.62,1.9,2.3,2.5,2.8,3.1,3.9,Effective reproduction no.,Increasing,0
Wales,1.3 (1.1 -- 1.7),1.3,1.4,0.17,1.1,1.3,1.3,1.4,1.4,1.7,Effective reproduction no.,Increasing,0.0095
East of England,1.2 (1 -- 1.3),1.2,1.2,0.089,1,1.1,1.1,1.2,1.2,1.3,Effective reproduction no.,Increasing,0.032
Midlands,1.2 (1 -- 1.5),1.2,1.2,0.14,1,1.2,1.2,1.3,1.3,1.5,Effective reproduction no.,Increasing,0.027
North East and Yorkshire,1.2 (1.1 -- 1.4),1.2,1.2,0.11,1.1,1.2,1.2,1.3,1.3,1.4,Effective reproduction no.,Increasing,0.019
Northern Ireland,1.2 (0.93 -- 1.5),1.2,1.2,0.19,0.93,1.1,1.2,1.3,1.3,1.5,Effective reproduction no.,Likely increasing,0.1
England,1.1 (0.98 -- 1.4),1.1,1.2,0.12,0.98,1.1,1.1,1.2,1.2,1.4,Effective reproduction no.,Likely increasing,0.079
London,1.1 (0.91 -- 1.4),1.1,1.1,0.18,0.91,1,1.1,1.2,1.2,1.4,Effective reproduction no.,Likely increasing,0.18
North West,1.1 (0.91 -- 1.3),1.1,1.1,0.12,0.91,1,1,1.1,1.2,1.3,Effective reproduction no.,Likely increasing,0.24
South East,1.1 (0.9 -- 1.4),1.1,1.1,0.15,0.9,1,1.1,1.2,1.2,1.4,Effective reproduction no.,Likely increasing,0.17
United Kingdom,1.1 (0.97 -- 1.3),1.1,1.1,0.12,0.97,1.1,1.1,1.2,1.2,1.3,Effective reproduction no.,Likely increasing,0.095
South West,0.92 (0.63 -- 1.3),0.92,0.93,0.2,0.63,0.8,0.88,0.97,1.1,1.3,Effective reproduction no.,Likely decreasing,0.65
