Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
East of England,1026 (568 -- 1808),Likely decreasing,0.81 (0.59 -- 1.1),-0.054 (-0.12 -- 0.02),-13 (35 -- -5.8)
England,11256 (6714 -- 19055),Likely decreasing,0.87 (0.66 -- 1.1),-0.037 (-0.098 -- 0.036),-19 (19 -- -7.1)
London,1368 (782 -- 2420),Likely decreasing,0.77 (0.57 -- 1),-0.064 (-0.13 -- 0.0091),-11 (76 -- -5.4)
Midlands,2937 (1779 -- 4943),Likely decreasing,0.9 (0.69 -- 1.2),-0.028 (-0.088 -- 0.043),-25 (16 -- -7.9)
North East and Yorkshire,1850 (1067 -- 3494),Likely decreasing,0.92 (0.71 -- 1.3),-0.022 (-0.083 -- 0.07),-31 (9.9 -- -8.4)
North West,1937 (1082 -- 3532),Likely decreasing,0.9 (0.66 -- 1.2),-0.027 (-0.1 -- 0.059),-26 (12 -- -7)
Northern Ireland,380 (160 -- 934),Stable,0.95 (0.56 -- 1.6),-0.014 (-0.13 -- 0.15),-49 (4.7 -- -5.4)
Scotland,849 (490 -- 1576),Stable,0.98 (0.73 -- 1.3),-0.0057 (-0.077 -- 0.085),-120 (8.1 -- -9)
South East,1296 (766 -- 2190),Likely decreasing,0.82 (0.61 -- 1.1),-0.052 (-0.11 -- 0.016),-13 (42 -- -6.1)
South West,726 (396 -- 1307),Likely decreasing,0.86 (0.63 -- 1.2),-0.04 (-0.11 -- 0.043),-18 (16 -- -6.4)
United Kingdom,12817 (7754 -- 21334),Likely decreasing,0.87 (0.67 -- 1.1),-0.035 (-0.095 -- 0.033),-20 (21 -- -7.3)
Wales,473 (264 -- 882),Stable,0.97 (0.73 -- 1.3),-0.0071 (-0.079 -- 0.085),-98 (8.2 -- -8.8)
