source,region,date,strat,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
united-kingdom,East of England,2020-10-19,,0.940814941159523,0.940568779432077,0.0891229938672585,0.79366598021927,0.879007331984552,0.916863387871181,0.963786046316987,1.00008109909621,1.08426629335942
united-kingdom,East of England,2020-10-20,,0.95813698066668,0.958414602894555,0.0780571703054641,0.830424793512854,0.905232377317248,0.938600107712201,0.979209819000581,1.01079263239046,1.08470488393692
united-kingdom,East of England,2020-10-21,,0.978146781417491,0.977963920611795,0.0680427938342059,0.866565771998114,0.931970173090306,0.960968189532677,0.9952865509663,1.02346799005907,1.08666760336193
united-kingdom,East of England,2020-10-22,,0.999864304725324,0.998843751823947,0.0591343480479375,0.901331598103915,0.960210387285023,0.983936343603095,1.01376015129188,1.03915092893888,1.09379511605763
united-kingdom,East of England,2020-10-23,,1.02139795459675,1.02054831874361,0.0514158168456072,0.934844781769384,0.986344220481724,1.00812123491447,1.03349523771245,1.05579955843344,1.10366909892462
united-kingdom,East of England,2020-10-24,,1.04258492650692,1.0424412946529,0.0450295746092726,0.968007182836121,1.01241194270275,1.03186930247994,1.05371663182595,1.07362808479592,1.11622161602209
united-kingdom,East of England,2020-10-25,,1.06379676995105,1.06376895227322,0.0401786383353692,0.9973509068361,1.03677767828464,1.05383680110236,1.07400262711003,1.09153807281028,1.12961039251418
united-kingdom,East of England,2020-10-26,,1.08294492719555,1.08368703889892,0.0370594905103792,1.02399603142358,1.05875125078659,1.07348489049072,1.09236712464501,1.10830656992269,1.14422285567018
united-kingdom,East of England,2020-10-27,,1.1001528802562,1.10130317887727,0.035712187950338,1.04475546855261,1.07709970193879,1.09144673313476,1.10894606596681,1.12438222455313,1.1614871652109
united-kingdom,East of England,2020-10-28,,1.11424758725954,1.11573429831698,0.0358844771232004,1.05891207514511,1.09171557584177,1.10539690474665,1.12334874659303,1.13830470326013,1.17814986419493
united-kingdom,East of England,2020-10-29,,1.12491533643237,1.12617533717323,0.0370571979294076,1.06924481332738,1.10062313269093,1.11594930924453,1.13373124148065,1.14937744290131,1.18923106859481
united-kingdom,East of England,2020-10-30,,1.13046180402408,1.13197221516628,0.0386130745361974,1.07235719311341,1.10513564170276,1.12056115090127,1.14037686099541,1.15625704130244,1.19823500692683
united-kingdom,East of England,2020-10-31,,1.13072026168783,1.13268968181811,0.0399952849305838,1.07095650694315,1.10510805682374,1.12080318332997,1.14151732930109,1.15767484306332,1.20262086135596
united-kingdom,East of England,2020-11-01,,1.12569732640241,1.12816408639098,0.0407853595277941,1.06558035112334,1.10036673328056,1.11628575554644,1.13567450841682,1.15398850615929,1.19943222263691
united-kingdom,East of England,2020-11-02,,1.11564745435535,1.11853250630088,0.0407306739751863,1.05583700720626,1.09010650329817,1.10584525826601,1.12622848939218,1.14351335332324,1.19038421686341
united-kingdom,East of England,2020-11-03,,1.10170919091962,1.10423283178733,0.03975869611046,1.04424976265905,1.07665296390581,1.09247069099633,1.11075741524247,1.12880345094146,1.17378938409565
united-kingdom,East of England,2020-11-04,,1.08327964495745,1.08597378492468,0.0379863218627387,1.02873536895428,1.05966733504578,1.07497646831266,1.09235593012514,1.10947657915083,1.15215874264551
united-kingdom,East of England,2020-11-05,,1.06221581476704,1.06467873218747,0.0357118992514683,1.01043311544662,1.03996493567996,1.05402439669483,1.07179709747157,1.08711903313752,1.12593423784504
united-kingdom,East of England,2020-11-06,,1.0399033983343,1.0414115736449,0.0333699672971436,0.990483362039399,1.01828431307819,1.03204038500374,1.04837597792383,1.06257771975681,1.0981950351588
united-kingdom,East of England,2020-11-07,,1.01678555188414,1.01729581937009,0.031430428069845,0.968125735621457,0.99594128688235,1.00885149155023,1.02400380876111,1.03776928042054,1.06888180300519
united-kingdom,East of England,2020-11-08,,0.993368295196852,0.993438288883831,0.0302452865628919,0.944857481595506,0.973326453550381,0.985690023076515,1.00081243439339,1.01317283602147,1.04287266681038
united-kingdom,East of England,2020-11-09,,0.97155852557227,0.970866575157364,0.0299072112225966,0.920633578558669,0.951462114783548,0.964158738927729,0.978457581877971,0.990936064231732,1.01865989474259
united-kingdom,East of England,2020-11-10,,0.951691706433558,0.95048535217916,0.0302301190395797,0.899365817618671,0.931188626246757,0.943890032640817,0.958618381117488,0.970551969176046,0.998686081689154
united-kingdom,East of England,2020-11-11,,0.934544337171468,0.933052181065717,0.0308756596760675,0.880172604913996,0.913330205642881,0.926324696098972,0.942021655622321,0.953615279617496,0.981487528033308
united-kingdom,East of England,2020-11-12,,0.920522319595691,0.919169961634221,0.0315153353575439,0.864663133436208,0.898861511428838,0.912535928033526,0.928798983087839,0.940991691925493,0.968357644946016
united-kingdom,East of England,2020-11-13,,0.910984000625781,0.909291259581399,0.0319277840316013,0.853897944041766,0.888464117408183,0.902762198707745,0.918721381486214,0.931826884828081,0.95846316123422
united-kingdom,East of England,2020-11-14,,0.904821466389448,0.903729424187248,0.0320228179003456,0.849819165892979,0.882863199620749,0.896991025169044,0.913796275768003,0.926232258685064,0.952910201149248
united-kingdom,East of England,2020-11-15,,0.90399252804408,0.902672261718063,0.0318243387857271,0.849280722416293,0.881607058049342,0.895971928764782,0.912501012095296,0.925204597268491,0.952064559576398
united-kingdom,East of England,2020-11-16,,0.90783789918024,0.906195447015846,0.0314362048238318,0.85345714498659,0.88592742149945,0.899046724145572,0.915722718915128,0.927618438775974,0.955486093169935
united-kingdom,East of England,2020-11-17,,0.915158807628259,0.914274297832678,0.0310010797235989,0.862332299224578,0.89424754943732,0.907423986954514,0.923144849145572,0.93550236757533,0.963404621909892
united-kingdom,East of England,2020-11-18,,0.927673047626219,0.926793635791029,0.0306571286692556,0.875926253146199,0.907278325943569,0.91979487231628,0.934883156997398,0.947366496525801,0.975753394090345
united-kingdom,East of England,2020-11-19,,0.944105239867939,0.943556053910662,0.0304998578842702,0.893300543505983,0.923479333392193,0.936029684805536,0.951910675842268,0.964039935786334,0.993688282207671
united-kingdom,East of England,2020-11-20,,0.964507008392098,0.964289023264799,0.0305603038122689,0.914009947155773,0.943851882850933,0.956854985348776,0.972741738573477,0.984334708770116,1.01387577145326
united-kingdom,East of England,2020-11-21,,0.988776780509688,0.988651041421432,0.0308086023063511,0.938415793171302,0.968531452618709,0.981309961270618,0.99638926112694,1.00832742023398,1.03860782496188
united-kingdom,East of England,2020-11-22,,1.01637162155904,1.01623664728472,0.0311815051539295,0.965666213439873,0.996095701380311,1.00843064634306,1.02394769116739,1.035747299596,1.06638631669332
united-kingdom,East of England,2020-11-23,,1.04643669050465,1.04657980032669,0.0316206692700164,0.99484675906959,1.02614453201585,1.03922231866398,1.05400942843516,1.06556403133125,1.09806567236506
united-kingdom,East of England,2020-11-24,,1.07886782262783,1.07915503677753,0.0321036533962405,1.02775778917413,1.05821799327833,1.07125969857136,1.08617589816852,1.09830725076383,1.13218150500087
united-kingdom,East of England,2020-11-25,,1.1130321583378,1.11337613931363,0.0326529649930589,1.06087701476335,1.09207259402269,1.10514480660054,1.1201949978436,1.13321338068525,1.16769255372676
united-kingdom,East of England,2020-11-26,,1.14720393350178,1.14859287490049,0.0333182838340937,1.09641132853398,1.12641277670455,1.13961744025595,1.15535006875462,1.16959407776102,1.20582574375374
united-kingdom,East of England,2020-11-27,,1.18261597184604,1.18408756680897,0.0341409123973595,1.13072098525454,1.16147050008002,1.17440649810921,1.19073105703352,1.2055950985149,1.24242110647902
united-kingdom,East of England,2020-11-28,,1.21720196769404,1.21907454116499,0.0351210320973023,1.16433034959548,1.19507750805234,1.20900566336765,1.22553930825091,1.24155554293289,1.27959431598542
united-kingdom,East of England,2020-11-29,,1.25062727945075,1.25270635908758,0.036207136712274,1.19565193698,1.22782123856712,1.24242365903574,1.2596698274047,1.27622890555575,1.31474041826211
united-kingdom,East of England,2020-11-30,,1.28285483259022,1.28409079071241,0.037310995875048,1.22571480862944,1.25798689899152,1.27325921644299,1.29203421841494,1.30784314367806,1.34742115082968
united-kingdom,East of England,2020-12-01,,1.31128019600964,1.31232147669054,0.0383340068787445,1.25260271219259,1.28555312751817,1.30111623555237,1.32004694665883,1.33642219991794,1.37915944545818
united-kingdom,East of England,2020-12-02,,1.33492357251596,1.33652316374348,0.0391867098145124,1.27538287325252,1.3095425933353,1.32511352180463,1.34417720744489,1.36122073190171,1.40535359508444
united-kingdom,East of England,2020-12-03,,1.35376430070946,1.35590952139027,0.0397931963280056,1.29351656087391,1.3288654759275,1.34423180465338,1.3637322839767,1.3812944985967,1.42468029870663
united-kingdom,East of England,2020-12-04,,1.36769905791912,1.36984827502542,0.040086349935035,1.30858606078555,1.34268079982282,1.35743814151339,1.37781981632634,1.39523241483621,1.4408230153515
united-kingdom,East of England,2020-12-05,,1.37597503532853,1.37792534243996,0.0400093141078544,1.31580945357626,1.35083924168805,1.3655871240102,1.38540818460331,1.40245443250741,1.44937389068172
united-kingdom,East of England,2020-12-06,,1.37794036627963,1.37999759547104,0.0395381827918546,1.31943787930108,1.35265654035375,1.36838057241076,1.38766084541894,1.40364175990466,1.44989191864337
united-kingdom,East of England,2020-12-07,,1.37406292475646,1.37622357065178,0.0387281858463125,1.31770215644903,1.35010636910756,1.36489371041488,1.38375136380598,1.4000728813198,1.44294213591993
united-kingdom,East of England,2020-12-08,,1.36505895816706,1.36706353669708,0.0377616770741834,1.3094991189495,1.3418204027361,1.35609921211109,1.37409725994221,1.39019812640397,1.43214551203297
united-kingdom,East of England,2020-12-09,,1.35149063639346,1.35324494555397,0.0369494934296636,1.29558014471335,1.32898039102133,1.34343688546284,1.36092571625776,1.37599970944902,1.41537476126781
united-kingdom,East of England,2020-12-10,,1.33481829054734,1.33569578790845,0.0366329555985282,1.27643440061843,1.31168465733187,1.32617597711026,1.34447326264421,1.35893303571382,1.39521054160079
united-kingdom,East of England,2020-12-11,,1.31640262569903,1.31545509494002,0.0369958893326443,1.2532395887103,1.29086017602315,1.30706327309314,1.32453406604788,1.33966309382168,1.37504410350767
united-kingdom,East of England,2020-12-12,,1.29523278823727,1.29357454093575,0.0379134604294402,1.22813094049008,1.2689945627828,1.2854712647875,1.30406524620304,1.31850481520279,1.35392748422199
united-kingdom,East of England,2020-12-13,,1.27280990587336,1.27102604902154,0.0389792198236482,1.20336566026334,1.24605236967084,1.26323737376836,1.28292447920184,1.29769877328952,1.33135689547883
united-kingdom,East of England,2020-12-14,,1.25083557644284,1.24862728464796,0.0396871419844687,1.17963418201806,1.2239139078331,1.24080475893106,1.26029379410904,1.27624086165644,1.30964210709254
