region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
East of England,2021-03-23,,estimate,3,3.3,2.7,0,1,2,3,5,8
East of England,2021-03-24,,estimate,2,2.3,2.1,0,1,1,2,3,6
East of England,2021-03-25,,estimate,2,2.6,2.3,0,1,2,3,4,7
East of England,2021-03-26,,estimate,1,1.8,1.8,0,0,1,2,3,5
East of England,2021-03-27,,estimate,2,2,1.9,0,1,1,2,3,5
East of England,2021-03-28,,estimate,2,2.8,2.4,0,1,2,3,4,7
East of England,2021-03-29,,estimate,1,1.6,1.7,0,0,1,2,2,5
East of England,2021-03-30,,estimate,3,3.6,2.8,0,2,2,4,5,9
East of England,2021-03-31,,estimate,2,2.5,2.2,0,1,2,3,3,7
East of England,2021-04-01,,estimate,2,2.6,2.3,0,1,2,3,4,7
East of England,2021-04-02,,estimate,1,1.8,1.8,0,0,1,2,3,5
East of England,2021-04-03,,estimate,2,1.9,1.9,0,1,1,2,3,5
East of England,2021-04-04,,estimate,2,2.7,2.4,0,1,2,3,4,7
East of England,2021-04-05,,estimate,1,1.5,1.6,0,0,1,1,2,4
East of England,2021-04-06,,estimate,3,3.2,2.7,0,1,2,3,5,8
East of England,2021-04-07,,estimate,2,2.1,2,0,1,1,2,3,6
East of England,2021-04-08,,estimate,2,2.3,2.2,0,1,1,2,3,6
East of England,2021-04-09,,estimate,1,1.5,1.6,0,0,1,2,2,4
East of England,2021-04-10,,estimate,1,1.6,1.6,0,0,1,2,2,5
East of England,2021-04-11,,estimate,2,2.2,2.1,0,1,1,2,3,6
East of England,2021-04-12,,estimate,1,1.3,1.4,0,0,1,1,2,4
East of England,2021-04-13,,estimate,2,2.6,2.3,0,1,2,3,4,7
East of England,2021-04-14,,estimate,1,1.8,1.7,0,0,1,2,3,5
East of England,2021-04-15,,estimate,1,1.8,1.8,0,1,1,2,3,5
East of England,2021-04-16,,estimate,1,1.2,1.3,0,0,1,1,2,4
East of England,2021-04-17,,estimate,1,1.3,1.4,0,0,1,1,2,4
East of England,2021-04-18,,estimate,1,1.8,1.7,0,0,1,2,3,5
East of England,2021-04-19,,estimate,1,1,1.2,0,0,0,1,1.2,3
East of England,2021-04-20,,estimate,2,2.1,1.9,0,1,1,2,3,6
East of England,2021-04-21,,estimate,1,1.4,1.4,0,0,1,1,2,4
East of England,2021-04-22,,estimate,1,1.4,1.5,0,0,1,1,2,4
East of England,2021-04-23,,estimate,1,1,1.2,0,0,0,1,2,3
East of England,2021-04-24,,estimate,1,1,1.2,0,0,0,1,2,3
East of England,2021-04-25,,estimate,1,1.4,1.5,0,0,1,1,2,4
East of England,2021-04-26,,estimate,0,0.8,1,0,0,0,1,1,3
East of England,2021-04-27,,estimate,1,1.6,1.6,0,0,1,2,2,5
East of England,2021-04-28,,estimate,1,1,1.2,0,0,0,1,2,3
East of England,2021-04-29,,estimate,1,1.1,1.3,0,0,1,1,2,4
East of England,2021-04-30,,estimate,0,0.8,1,0,0,0,1,1,3
East of England,2021-05-01,,estimate,1,0.8,1.1,0,0,0,1,1,3
East of England,2021-05-02,,estimate,1,1.1,1.3,0,0,1,1,2,4
