region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
East of England,2021-03-15,,estimate,-0.0423669011338386,-0.0428085773985567,0.0239240734576231,-0.0823474280907364,-0.0572768704341704,-0.0473114504476706,-0.0370509331863109,-0.028394636677675,-0.00618118329174174
East of England,2021-03-16,,estimate,-0.0425699858693685,-0.0429748929757966,0.0227056051361385,-0.0807377015756124,-0.0567562041120951,-0.0474099564641502,-0.0373109058883765,-0.0289843382387826,-0.00782036918785804
East of England,2021-03-17,,estimate,-0.0424512757384155,-0.0430976309616999,0.0216301372102781,-0.0792215951550276,-0.0565035901436574,-0.0474046236098357,-0.0375563446012063,-0.0294442944142158,-0.00969736913115622
East of England,2021-03-18,,estimate,-0.0424474955936904,-0.0431706978120087,0.0206904775610832,-0.0782867232977635,-0.0559976626919115,-0.0471537195693647,-0.0376572682391771,-0.0297182671322464,-0.011290218791692
East of England,2021-03-19,,estimate,-0.0424683100767947,-0.0431885936155521,0.0198787065111724,-0.0770488305644531,-0.0553794905703803,-0.0471025988479122,-0.0377725936951014,-0.0302067390187852,-0.0121298058978123
East of England,2021-03-20,,estimate,-0.0422756569486517,-0.0431469065348264,0.0191826649276059,-0.0757176415845421,-0.0548119703849863,-0.0467448843532336,-0.0379082560346359,-0.0305265307166602,-0.0140085253325567
East of England,2021-03-21,,estimate,-0.0422340444446101,-0.0430427259596727,0.0185825679707496,-0.0742260738430647,-0.054372488362561,-0.0466040923417985,-0.0379743257075953,-0.0308464942372548,-0.0150041948586095
East of England,2021-03-22,,estimate,-0.042042511772042,-0.0428748107222657,0.0180511592804654,-0.0728035400262574,-0.0537792606869555,-0.0462578863130478,-0.0377885962406456,-0.0309568627352371,-0.0160814762108708
East of England,2021-03-23,,estimate,-0.041802609463665,-0.0426434640519617,0.0175578856214354,-0.0714447047493475,-0.0528758838054322,-0.045621265993964,-0.037665382748998,-0.0311792223458505,-0.0166502091993199
East of England,2021-03-24,,estimate,-0.0415218021807639,-0.0423501981195997,0.0170751009147572,-0.0704935846155287,-0.0523513306880788,-0.0452430529338731,-0.0373898210830635,-0.0311844764578281,-0.0173071912414576
East of England,2021-03-25,,estimate,-0.0411102425640451,-0.0419973497787559,0.0165838414890576,-0.0694109353969444,-0.0513747499245982,-0.045040285354245,-0.037188401258898,-0.0311015374390008,-0.0178733827996449
East of England,2021-03-26,,estimate,-0.0407343719445704,-0.0415878086038494,0.0160776146239119,-0.0683856766700103,-0.050674761280346,-0.0444668068617309,-0.0369797387197791,-0.0307552453155425,-0.017864601280476
East of England,2021-03-27,,estimate,-0.0404591199064169,-0.0411249520253399,0.0155636719914365,-0.0672381704957436,-0.0498777554163585,-0.0439651373333807,-0.0366149065170319,-0.0305942327043905,-0.0185744780664828
