region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
England,23 (6 -- 82),23,31,32,6,14,19,28,38,82,New confirmed cases by infection date,Likely decreasing,0.93
United Kingdom,23 (6 -- 87),23,33,41,6,14,19,29,38,87,New confirmed cases by infection date,Likely decreasing,0.94
Midlands,10 (2 -- 39),10,14,16,2,6,8,12,17,39,New confirmed cases by infection date,Likely decreasing,0.88
North East and Yorkshire,4 (1 -- 10),4,5,3,1,3,3,5,6,10,New confirmed cases by infection date,Decreasing,0.98
North West,3 (0 -- 12),3,5,5,0,2,3,4,6,12,New confirmed cases by infection date,Decreasing,0.96
South East,3 (0 -- 26),3,8,20,0,1,2,5,8,26,New confirmed cases by infection date,Likely decreasing,0.86
South West,3 (0 -- 29),3,8,16,0,1,2,5,8,29,New confirmed cases by infection date,Likely decreasing,0.73
Wales,3 (1 -- 9),3,4,2,1,2,3,4,5,9,New confirmed cases by infection date,Likely decreasing,0.91
East of England,2 (0 -- 10),2,3,6,0,1,1,2,4,10,New confirmed cases by infection date,Likely decreasing,0.94
Scotland,2 (0 -- 7),2,3,2,0,1,2,3,4,7,New confirmed cases by infection date,Decreasing,0.98
London,1 (0 -- 8),1,2,15,0,0,1,2,3,8,New confirmed cases by infection date,Likely decreasing,0.94
Wales,0.82 (0.58 -- 1),0.82,0.82,0.14,0.58,0.73,0.78,0.84,0.9,1,Effective reproduction no.,Likely decreasing,0.91
South West,0.8 (0.4 -- 1.5),0.8,0.85,0.35,0.4,0.62,0.73,0.88,1,1.5,Effective reproduction no.,Likely decreasing,0.73
Midlands,0.72 (0.43 -- 1.1),0.72,0.75,0.23,0.43,0.6,0.67,0.77,0.86,1.1,Effective reproduction no.,Likely decreasing,0.88
Northern Ireland,0.7 (0.4 -- 1.1),0.7,0.72,0.24,0.4,0.58,0.65,0.75,0.83,1.1,Effective reproduction no.,Likely decreasing,0.9
North East and Yorkshire,0.68 (0.47 -- 0.89),0.68,0.68,0.13,0.47,0.6,0.65,0.71,0.76,0.89,Effective reproduction no.,Decreasing,0.98
Scotland,0.68 (0.41 -- 0.93),0.68,0.68,0.16,0.41,0.58,0.65,0.72,0.78,0.93,Effective reproduction no.,Decreasing,0.98
North West,0.65 (0.39 -- 0.96),0.65,0.66,0.19,0.39,0.54,0.61,0.69,0.76,0.96,Effective reproduction no.,Decreasing,0.96
England,0.64 (0.37 -- 1.1),0.64,0.67,0.22,0.37,0.52,0.6,0.69,0.77,1.1,Effective reproduction no.,Likely decreasing,0.93
East of England,0.63 (0.31 -- 1),0.63,0.65,0.23,0.31,0.51,0.58,0.68,0.76,1,Effective reproduction no.,Likely decreasing,0.94
South East,0.63 (0.23 -- 1.3),0.63,0.68,0.34,0.23,0.46,0.56,0.7,0.84,1.3,Effective reproduction no.,Likely decreasing,0.86
United Kingdom,0.63 (0.36 -- 1),0.63,0.65,0.22,0.36,0.51,0.58,0.67,0.75,1,Effective reproduction no.,Likely decreasing,0.94
London,0.6 (0.27 -- 1),0.6,0.62,0.25,0.27,0.46,0.55,0.66,0.75,1,Effective reproduction no.,Likely decreasing,0.94
Northern Ireland,0 (0 -- 2),0,0,1,0,0,0,0,0,2,New confirmed cases by infection date,Likely decreasing,0.9
