region,time
Alabama,8.6
Alaska,13.3
Arizona,8.1
Arkansas,12.3
California,15.2
Colorado,28.5
Connecticut,6.9
Delaware,13.3
District of Columbia,13.6
Florida,7.3
Georgia,10
Guam,7.9
Hawaii,10.6
Idaho,8.5
Illinois,14.7
Indiana,25.9
Iowa,12.9
Kansas,3.9
Kentucky,13
Louisiana,9.2
Maine,18.9
Maryland,24.6
Massachusetts,14.5
Michigan,7.3
Minnesota,27.4
Mississippi,8.6
Missouri,11
Montana,8
Nebraska,9.4
Nevada,15.5
New Hampshire,13.4
New Jersey,13.8
New Mexico,24.4
New York,23.8
North Carolina,4.6
North Dakota,10.4
Northern Mariana Islands,3.2
Ohio,13.6
Oklahoma,19
Oregon,21.3
Pennsylvania,23.1
Puerto Rico,4.8
Rhode Island,8.1
South Carolina,9.2
South Dakota,12.9
Tennessee,8.1
Texas,5.3
Utah,10.6
Vermont,11.8
Virgin Islands,4.7
Virginia,7.1
Washington,6.1
West Virginia,10.3
Wisconsin,9.1
Wyoming,6.5
