region,date,type,median,lower_90,upper_90,lower_50,upper_50
Alabama,2020-06-18,estimate,1272.3,1036,1519,1199,1386
Alabama,2020-06-19,estimate,1304.4,1029,1543,1192,1391
Alabama,2020-06-20,estimate,1336.2,1067,1601,1249,1455
Alabama,2020-06-21,estimate,1372.9,1091,1645,1268,1481
Alabama,2020-06-22,estimate,1411.7,1132,1695,1316,1538
Alabama,2020-06-23,estimate,1458.5,1159,1735,1359,1591
Alabama,2020-06-24,estimate,1511.2,1219,1796,1388,1623
Alabama,2020-06-25,estimate,1568.3,1288,1868,1449,1685
Alabama,2020-06-26,estimate,1627.4,1351,1924,1504,1743
Alabama,2020-06-27,estimate,1694.2,1417,1981,1558,1801
Alabama,2020-06-28,estimate,1774.1,1468,2043,1627,1869
Alabama,2020-06-29,estimate,1852,1562,2173,1710,1952
Alabama,2020-06-30,estimate,1932.6,1619,2263,1800,2055
Alabama,2020-07-01,estimate,2017.2,1701,2380,1874,2143
Alabama,2020-07-02,estimate,2103.7,1754,2470,1940,2225
Alabama,2020-07-03,estimate,2182.3,1821,2587,1988,2296
Alabama,2020-07-04,estimate,2261.4,1897,2724,2041,2369
Alabama,2020-07-05,estimate,2335.4,1962,2835,2105,2450
Alabama,2020-07-06,estimate,2405.6,1980,2904,2181,2548
Alabama,2020-07-07,estimate,2469.5,2037,3000,2249,2632
Alabama,2020-07-08,estimate,2520.9,2088,3099,2265,2658
Alabama,2020-07-09,estimate,2561.4,2130,3182,2311,2708
Alabama,2020-07-10,estimate,2596.6,2128,3198,2337,2741
Alabama,2020-07-11,estimate,2619.8,2123,3183,2404,2804
Alabama,2020-07-12,estimate,2633.3,2161,3211,2431,2821
Alabama,2020-07-13,estimate,2637.3,2197,3237,2397,2775
Alabama,2020-07-14,estimate,2634.9,2175,3186,2369,2754
Alabama,2020-07-15,estimate,2625.7,2199,3192,2374,2762
Alabama,2020-07-16,estimate,2610.1,2121,3112,2381,2776
Alabama,2020-07-17,estimate,2585,2080,3089,2367,2766
Alabama,2020-07-18,estimate based on partial data,2553.7,2033,3096,2294,2714
Alabama,2020-07-19,estimate based on partial data,2521.3,1946,3098,2263,2707
Alabama,2020-07-20,estimate based on partial data,2470.2,1868,3112,2257,2750
Alabama,2020-07-21,estimate based on partial data,2435.3,1757,3144,2153,2700
Alabama,2020-07-22,estimate based on partial data,2404,1704,3259,2022,2633
Alabama,2020-07-23,estimate based on partial data,2385.2,1564,3314,2034,2734
Alabama,2020-07-24,estimate based on partial data,2364.3,1371,3325,1923,2704
Alabama,2020-07-25,estimate based on partial data,2349.3,1253,3432,1872,2739
Alabama,2020-07-26,estimate based on partial data,2326.6,1110,3526,1802,2768
Alabama,2020-07-27,estimate based on partial data,2306.1,986,3664,1771,2848
Alabama,2020-07-28,estimate based on partial data,2284.9,851,3809,1644,2847
Alabama,2020-07-29,estimate based on partial data,2258.4,593,3813,1652,2964
Alabama,2020-07-30,estimate based on partial data,2243.1,497,3961,1201,2636
Alabama,2020-07-31,forecast,2232.3,474,4248,1144,2685
Alabama,2020-08-01,forecast,2236.9,328,4413,1078,2734
Alabama,2020-08-02,forecast,2228.8,249,4605,892,2661
Alabama,2020-08-03,forecast,2228,167,4809,804,2665
Alabama,2020-08-04,forecast,2216.6,94,5025,614,2575
Alabama,2020-08-05,forecast,2213.1,95,5373,514,2570
Alabama,2020-08-06,forecast,2213.1,62,5767,251,2362
Alabama,2020-08-07,forecast,2211.8,51,6088,211,2357
Alabama,2020-08-08,forecast,2214.5,11,6319,43,2224
Alabama,2020-08-09,forecast,2209.1,8,6754,33,2216
Alabama,2020-08-10,forecast,2202.1,7,7219,22,2211
Alabama,2020-08-11,forecast,2197.2,4,7601,17,2209
Alabama,2020-08-12,forecast,2197,3,8339,3,2199
Alabama,2020-08-13,forecast,2188.9,2,8733,9,2195
Alaska,2020-06-18,estimate,42.6,36,49,41,45
Alaska,2020-06-19,estimate,44.6,39,52,42,47
Alaska,2020-06-20,estimate,46.7,40,55,44,49
Alaska,2020-06-21,estimate,48.8,42,57,46,51
Alaska,2020-06-22,estimate,51.1,44,60,48,54
Alaska,2020-06-23,estimate,53.6,46,62,51,56
Alaska,2020-06-24,estimate,56.2,48,65,53,59
Alaska,2020-06-25,estimate,58.8,49,67,55,62
Alaska,2020-06-26,estimate,61.6,52,71,58,65
Alaska,2020-06-27,estimate,64.5,55,74,60,68
Alaska,2020-06-28,estimate,67.6,58,79,64,72
Alaska,2020-06-29,estimate,70.8,61,83,66,74
Alaska,2020-06-30,estimate,74.2,64,87,70,78
Alaska,2020-07-01,estimate,77.7,66,90,72,81
Alaska,2020-07-02,estimate,81.5,69,95,77,86
Alaska,2020-07-03,estimate,85.5,72,99,80,90
Alaska,2020-07-04,estimate,89.7,76,105,83,94
Alaska,2020-07-05,estimate,94,78,108,87,99
Alaska,2020-07-06,estimate,98.5,82,113,92,104
Alaska,2020-07-07,estimate,103.4,88,120,96,108
Alaska,2020-07-08,estimate,108.3,92,126,99,112
Alaska,2020-07-09,estimate,113.4,96,132,104,119
Alaska,2020-07-10,estimate,118.8,101,140,112,127
Alaska,2020-07-11,estimate,124.4,105,145,116,132
Alaska,2020-07-12,estimate,130.5,111,154,121,138
Alaska,2020-07-13,estimate,136.6,115,161,125,143
Alaska,2020-07-14,estimate,143.1,119,167,131,150
Alaska,2020-07-15,estimate,149.6,125,177,138,160
Alaska,2020-07-16,estimate,156.5,130,186,143,166
Alaska,2020-07-17,estimate,163.6,136,196,146,170
Alaska,2020-07-18,estimate based on partial data,171,138,204,152,179
Alaska,2020-07-19,estimate based on partial data,178.5,147,218,163,191
Alaska,2020-07-20,estimate based on partial data,186.7,150,229,169,200
Alaska,2020-07-21,estimate based on partial data,194.8,155,241,176,211
Alaska,2020-07-22,estimate based on partial data,203.5,160,257,182,219
Alaska,2020-07-23,estimate based on partial data,212.3,158,267,187,229
Alaska,2020-07-24,estimate based on partial data,222.1,166,287,196,243
Alaska,2020-07-25,estimate based on partial data,232.1,165,302,206,258
Alaska,2020-07-26,estimate based on partial data,242.8,175,330,214,272
Alaska,2020-07-27,estimate based on partial data,253.4,171,347,220,285
Alaska,2020-07-28,estimate based on partial data,265.2,167,363,230,302
Alaska,2020-07-29,estimate based on partial data,277.6,165,386,237,318
Alaska,2020-07-30,estimate based on partial data,290.5,171,420,253,342
Alaska,2020-07-31,forecast,303.7,163,443,260,358
Alaska,2020-08-01,forecast,317.5,155,468,268,376
Alaska,2020-08-02,forecast,331.9,145,495,277,395
Alaska,2020-08-03,forecast,347,149,534,273,403
Alaska,2020-08-04,forecast,363.1,146,580,281,422
Alaska,2020-08-05,forecast,380.5,134,621,293,447
Alaska,2020-08-06,forecast,398.5,144,683,301,469
Alaska,2020-08-07,forecast,416.2,87,681,310,494
Alaska,2020-08-08,forecast,435.3,76,728,313,513
Alaska,2020-08-09,forecast,455.4,77,788,332,552
Alaska,2020-08-10,forecast,476.3,63,837,341,578
Alaska,2020-08-11,forecast,496.8,55,899,354,611
Alaska,2020-08-12,forecast,518.6,35,958,363,640
Alaska,2020-08-13,forecast,544.9,50,1061,366,664
Arizona,2020-06-18,estimate,4735.1,3875,5581,4337,5001
Arizona,2020-06-19,estimate,4875.8,3994,5738,4474,5159
Arizona,2020-06-20,estimate,4987.5,4134,5898,4570,5267
Arizona,2020-06-21,estimate,5080.8,4248,6010,4707,5406
Arizona,2020-06-22,estimate,5154.2,4305,6085,4764,5463
Arizona,2020-06-23,estimate,5201.4,4300,6085,4910,5612
Arizona,2020-06-24,estimate,5235.9,4344,6127,4844,5551
Arizona,2020-06-25,estimate,5255.4,4312,6110,4929,5632
Arizona,2020-06-26,estimate,5253.8,4353,6163,4894,5601
Arizona,2020-06-27,estimate,5230.1,4347,6156,4871,5582
Arizona,2020-06-28,estimate,5196.4,4403,6195,4805,5519
Arizona,2020-06-29,estimate,5141.4,4273,6051,4728,5440
Arizona,2020-06-30,estimate,5076.3,4236,6021,4631,5344
Arizona,2020-07-01,estimate,4991.3,4100,5879,4636,5359
Arizona,2020-07-02,estimate,4902.3,4005,5755,4618,5328
Arizona,2020-07-03,estimate,4809.5,3929,5671,4486,5179
Arizona,2020-07-04,estimate,4695.8,3892,5611,4325,5008
Arizona,2020-07-05,estimate,4586.1,3816,5509,4310,4979
Arizona,2020-07-06,estimate,4472.3,3611,5275,4167,4829
Arizona,2020-07-07,estimate,4351.4,3598,5226,3979,4630
Arizona,2020-07-08,estimate,4233.2,3490,5064,3861,4505
Arizona,2020-07-09,estimate,4105.4,3354,4915,3755,4393
Arizona,2020-07-10,estimate,3993.5,3297,4847,3632,4270
Arizona,2020-07-11,estimate,3894.1,3146,4667,3513,4139
Arizona,2020-07-12,estimate,3795.5,3001,4521,3413,4034
Arizona,2020-07-13,estimate,3693.5,2995,4478,3375,3986
Arizona,2020-07-14,estimate,3606.9,2837,4293,3282,3879
Arizona,2020-07-15,estimate,3518.3,2817,4240,3213,3790
Arizona,2020-07-16,estimate,3442.7,2700,4110,3071,3636
Arizona,2020-07-17,estimate,3360.1,2719,4106,2943,3499
Arizona,2020-07-18,estimate based on partial data,3280.4,2636,4046,2936,3479
Arizona,2020-07-19,estimate based on partial data,3215.1,2556,3975,2870,3416
Arizona,2020-07-20,estimate based on partial data,3164.8,2458,3951,2868,3446
Arizona,2020-07-21,estimate based on partial data,3121.2,2342,3960,2844,3475
Arizona,2020-07-22,estimate based on partial data,3079.3,2213,4025,2717,3410
Arizona,2020-07-23,estimate based on partial data,3028.1,2093,4112,2518,3294
Arizona,2020-07-24,estimate based on partial data,2986.6,1948,4198,2414,3280
Arizona,2020-07-25,estimate based on partial data,2938.3,1862,4465,2283,3279
Arizona,2020-07-26,estimate based on partial data,2884.9,1742,4699,2117,3232
Arizona,2020-07-27,estimate based on partial data,2831,1381,4725,1908,3133
Arizona,2020-07-28,estimate based on partial data,2777.5,1221,4984,1794,3133
Arizona,2020-07-29,estimate based on partial data,2717.9,1123,5367,1581,2999
Arizona,2020-07-30,estimate based on partial data,2680.3,854,5563,1494,3008
Arizona,2020-07-31,forecast,2626.2,699,5906,1399,3017
Arizona,2020-08-01,forecast,2587.2,437,6258,1252,2952
Arizona,2020-08-02,forecast,2536.8,354,6706,1134,2920
Arizona,2020-08-03,forecast,2467.1,287,7179,915,2777
Arizona,2020-08-04,forecast,2421.6,186,7751,825,2752
Arizona,2020-08-05,forecast,2365,80,8302,697,2709
Arizona,2020-08-06,forecast,2309.9,44,8967,548,2600
Arizona,2020-08-07,forecast,2256.5,51,9666,383,2458
Arizona,2020-08-08,forecast,2226.3,12,10430,261,2350
Arizona,2020-08-09,forecast,2175.2,9,11569,279,2362
Arizona,2020-08-10,forecast,2117.4,7,12850,129,2206
Arizona,2020-08-11,forecast,2071.2,5,13881,36,2081
Arizona,2020-08-12,forecast,2034.6,4,15555,38,2053
Arizona,2020-08-13,forecast,1999.3,3,17375,19,2010
Arkansas,2020-06-18,estimate,823.9,708,955,757,859
Arkansas,2020-06-19,estimate,828.2,706,954,777,880
Arkansas,2020-06-20,estimate,832.1,698,950,769,871
Arkansas,2020-06-21,estimate,835.1,707,963,778,882
Arkansas,2020-06-22,estimate,837.6,704,965,771,876
Arkansas,2020-06-23,estimate,841.2,703,972,796,903
Arkansas,2020-06-24,estimate,845.6,702,978,797,905
Arkansas,2020-06-25,estimate,850.3,699,980,795,908
Arkansas,2020-06-26,estimate,855.2,699,986,808,925
Arkansas,2020-06-27,estimate,860.8,715,1004,816,935
Arkansas,2020-06-28,estimate,866.7,717,1013,826,944
Arkansas,2020-06-29,estimate,874.8,712,1007,822,942
Arkansas,2020-06-30,estimate,884.2,724,1025,822,941
Arkansas,2020-07-01,estimate,895.2,738,1041,834,954
Arkansas,2020-07-02,estimate,906.6,751,1055,839,960
Arkansas,2020-07-03,estimate,918.6,754,1062,848,971
Arkansas,2020-07-04,estimate,932.7,773,1080,873,994
Arkansas,2020-07-05,estimate,949.1,804,1112,878,1003
Arkansas,2020-07-06,estimate,962.2,794,1102,900,1025
Arkansas,2020-07-07,estimate,975.7,812,1126,923,1048
Arkansas,2020-07-08,estimate,990.4,827,1145,932,1059
Arkansas,2020-07-09,estimate,1002.7,847,1180,943,1073
Arkansas,2020-07-10,estimate,1017.2,857,1202,943,1075
Arkansas,2020-07-11,estimate,1029.3,851,1204,956,1093
Arkansas,2020-07-12,estimate,1042.8,866,1237,974,1113
Arkansas,2020-07-13,estimate,1054.1,878,1258,974,1117
Arkansas,2020-07-14,estimate,1066.7,887,1275,988,1135
Arkansas,2020-07-15,estimate,1076.9,890,1283,997,1147
Arkansas,2020-07-16,estimate,1089.3,898,1301,1004,1155
Arkansas,2020-07-17,estimate,1099,900,1311,1009,1164
Arkansas,2020-07-18,estimate based on partial data,1104.1,907,1331,1015,1174
Arkansas,2020-07-19,estimate based on partial data,1111.6,905,1343,1008,1176
Arkansas,2020-07-20,estimate based on partial data,1118.7,891,1359,1007,1185
Arkansas,2020-07-21,estimate based on partial data,1127.5,896,1394,1002,1197
Arkansas,2020-07-22,estimate based on partial data,1135.9,856,1404,991,1208
Arkansas,2020-07-23,estimate based on partial data,1143.2,837,1460,1015,1260
Arkansas,2020-07-24,estimate based on partial data,1155.4,786,1510,995,1275
Arkansas,2020-07-25,estimate based on partial data,1164.2,759,1596,969,1286
Arkansas,2020-07-26,estimate based on partial data,1171.3,687,1651,936,1296
Arkansas,2020-07-27,estimate based on partial data,1178.3,621,1729,882,1287
Arkansas,2020-07-28,estimate based on partial data,1186.8,598,1859,907,1358
Arkansas,2020-07-29,estimate based on partial data,1191.6,528,1951,845,1339
Arkansas,2020-07-30,estimate based on partial data,1196.9,465,2052,802,1353
Arkansas,2020-07-31,forecast,1198.9,407,2190,795,1401
Arkansas,2020-08-01,forecast,1198.8,384,2388,736,1397
Arkansas,2020-08-02,forecast,1204.4,346,2570,697,1408
Arkansas,2020-08-03,forecast,1210.5,222,2712,616,1386
Arkansas,2020-08-04,forecast,1218.3,203,2946,572,1405
Arkansas,2020-08-05,forecast,1222.7,180,3203,537,1436
Arkansas,2020-08-06,forecast,1231.4,54,3361,461,1420
Arkansas,2020-08-07,forecast,1240.4,55,3672,428,1440
Arkansas,2020-08-08,forecast,1251,19,3971,269,1331
Arkansas,2020-08-09,forecast,1253.4,15,4329,279,1391
Arkansas,2020-08-10,forecast,1257.2,2,4739,207,1360
Arkansas,2020-08-11,forecast,1270.9,2,5216,183,1383
Arkansas,2020-08-12,forecast,1287.5,1,5747,181,1425
Arkansas,2020-08-13,forecast,1307.7,1,6382,154,1425
California,2020-06-18,estimate,8321.1,7260,9559,7763,8676
California,2020-06-19,estimate,8644.5,7505,9852,8071,9019
California,2020-06-20,estimate,8964.7,7740,10172,8401,9376
California,2020-06-21,estimate,9284.2,8076,10637,8833,9820
California,2020-06-22,estimate,9608.1,8378,11022,9048,10062
California,2020-06-23,estimate,9919.6,8721,11429,9360,10412
California,2020-06-24,estimate,10234.7,8961,11706,9554,10635
California,2020-06-25,estimate,10542,9166,11991,9952,11051
California,2020-06-26,estimate,10827.1,9436,12310,10212,11338
California,2020-06-27,estimate,11103.8,9705,12639,10482,11658
California,2020-06-28,estimate,11362,9951,12953,10721,11938
California,2020-06-29,estimate,11633.5,10161,13211,11064,12347
California,2020-06-30,estimate,11880.5,10260,13400,11218,12543
California,2020-07-01,estimate,12104.8,10517,13710,11305,12650
California,2020-07-02,estimate,12307.2,10702,13988,11670,13013
California,2020-07-03,estimate,12482.9,11006,14354,11735,13070
California,2020-07-04,estimate,12640.1,10950,14391,11789,13158
California,2020-07-05,estimate,12792.6,11141,14599,12068,13443
California,2020-07-06,estimate,12925.2,11223,14722,12057,13453
California,2020-07-07,estimate,13022.9,11237,14736,12118,13532
California,2020-07-08,estimate,13100.4,11260,14766,12143,13564
California,2020-07-09,estimate,13139.2,11380,14953,12278,13680
California,2020-07-10,estimate,13167.4,11385,15003,12534,13958
California,2020-07-11,estimate,13204.2,11364,15038,12478,13892
California,2020-07-12,estimate,13200.5,11336,15043,12440,13881
California,2020-07-13,estimate,13194.5,11288,15051,12438,13899
California,2020-07-14,estimate,13143.3,11290,15072,12229,13734
California,2020-07-15,estimate,13092.7,11294,15041,12381,13909
California,2020-07-16,estimate,13030.2,11164,15033,12324,13858
California,2020-07-17,estimate,12969.2,11011,15054,12112,13681
California,2020-07-18,estimate based on partial data,12866.7,10936,15091,11926,13547
California,2020-07-19,estimate based on partial data,12752.2,10739,15118,11911,13639
California,2020-07-20,estimate based on partial data,12640.8,10386,14965,11827,13684
California,2020-07-21,estimate based on partial data,12511.4,9917,15045,11340,13384
California,2020-07-22,estimate based on partial data,12412,9287,15019,11219,13482
California,2020-07-23,estimate based on partial data,12243.2,9108,15472,10694,13225
California,2020-07-24,estimate based on partial data,12114.6,8402,15565,10550,13370
California,2020-07-25,estimate based on partial data,11980.3,8007,16083,10226,13386
California,2020-07-26,estimate based on partial data,11867.8,7426,16559,9687,13203
California,2020-07-27,estimate based on partial data,11756.5,7064,17247,9336,13344
California,2020-07-28,estimate based on partial data,11621.5,6428,17696,8531,13038
California,2020-07-29,estimate based on partial data,11478.3,5693,18168,8210,13198
California,2020-07-30,estimate based on partial data,11314.7,5018,18829,7887,13343
California,2020-07-31,forecast,11164.8,4167,19318,7698,13640
California,2020-08-01,forecast,11043.8,3327,19904,7305,13700
California,2020-08-02,forecast,10903.8,3052,20808,6666,13443
California,2020-08-03,forecast,10779.8,2375,21362,5969,13185
California,2020-08-04,forecast,10667.5,992,21415,5464,13004
California,2020-08-05,forecast,10546.1,876,22419,5372,13392
California,2020-08-06,forecast,10458,566,23452,4491,12847
California,2020-08-07,forecast,10387.9,428,24575,3050,11716
California,2020-08-08,forecast,10318.3,191,25369,2717,11580
California,2020-08-09,forecast,10251.8,82,26662,2306,11411
California,2020-08-10,forecast,10116.6,58,27879,1651,10941
California,2020-08-11,forecast,10087.9,42,29351,1373,10751
California,2020-08-12,forecast,9916.1,77,31109,1324,10870
California,2020-08-13,forecast,9833.8,23,33101,680,10205
Colorado,2020-06-18,estimate,349.7,296,410,319,364
Colorado,2020-06-19,estimate,359.9,309,429,333,379
Colorado,2020-06-20,estimate,370.5,311,434,344,391
Colorado,2020-06-21,estimate,380.6,325,451,356,404
Colorado,2020-06-22,estimate,392.2,331,460,364,415
Colorado,2020-06-23,estimate,404.9,344,476,373,426
Colorado,2020-06-24,estimate,417.5,357,494,385,437
Colorado,2020-06-25,estimate,430,362,500,395,449
Colorado,2020-06-26,estimate,443.3,380,521,412,468
Colorado,2020-06-27,estimate,458,390,537,425,483
Colorado,2020-06-28,estimate,473.6,401,550,439,499
Colorado,2020-06-29,estimate,489.1,412,565,463,524
Colorado,2020-06-30,estimate,506.3,429,587,472,535
Colorado,2020-07-01,estimate,522.9,444,606,489,553
Colorado,2020-07-02,estimate,540.4,457,624,512,578
Colorado,2020-07-03,estimate,559.7,474,650,520,586
Colorado,2020-07-04,estimate,579.3,485,670,537,606
Colorado,2020-07-05,estimate,598.6,498,690,546,618
Colorado,2020-07-06,estimate,617.5,529,727,574,648
Colorado,2020-07-07,estimate,637.2,538,742,592,670
Colorado,2020-07-08,estimate,657.1,553,767,599,682
Colorado,2020-07-09,estimate,675.3,570,790,619,706
Colorado,2020-07-10,estimate,695.3,587,812,642,733
Colorado,2020-07-11,estimate,712,593,832,641,737
Colorado,2020-07-12,estimate,729.4,603,853,670,769
Colorado,2020-07-13,estimate,747.1,614,876,687,789
Colorado,2020-07-14,estimate,764.3,639,906,703,809
Colorado,2020-07-15,estimate,779.2,652,934,718,828
Colorado,2020-07-16,estimate,794.5,659,956,735,852
Colorado,2020-07-17,estimate,808.5,660,969,730,853
Colorado,2020-07-18,estimate based on partial data,824.1,657,991,750,882
Colorado,2020-07-19,estimate based on partial data,838.6,666,1024,761,903
Colorado,2020-07-20,estimate based on partial data,848.8,651,1049,767,926
Colorado,2020-07-21,estimate based on partial data,860.8,647,1094,766,945
Colorado,2020-07-22,estimate based on partial data,873.5,641,1141,767,966
Colorado,2020-07-23,estimate based on partial data,886.4,615,1175,760,985
Colorado,2020-07-24,estimate based on partial data,899.1,591,1220,751,1007
Colorado,2020-07-25,estimate based on partial data,910.9,536,1242,777,1060
Colorado,2020-07-26,estimate based on partial data,927.3,518,1306,766,1081
Colorado,2020-07-27,estimate based on partial data,944.1,500,1376,752,1100
Colorado,2020-07-28,estimate based on partial data,961.3,466,1435,746,1133
Colorado,2020-07-29,estimate based on partial data,980.1,417,1494,723,1153
Colorado,2020-07-30,estimate based on partial data,1001.9,352,1544,708,1179
Colorado,2020-07-31,forecast,1022.5,316,1605,710,1222
Colorado,2020-08-01,forecast,1051.7,275,1674,774,1343
Colorado,2020-08-02,forecast,1069.5,239,1752,779,1403
Colorado,2020-08-03,forecast,1090.1,208,1841,762,1442
Colorado,2020-08-04,forecast,1113.3,223,1989,735,1474
Colorado,2020-08-05,forecast,1137.7,156,2064,580,1377
Colorado,2020-08-06,forecast,1169.7,86,2124,550,1402
Colorado,2020-08-07,forecast,1194.8,92,2252,543,1454
Colorado,2020-08-08,forecast,1223.6,76,2392,492,1464
Colorado,2020-08-09,forecast,1247,7,2476,476,1509
Colorado,2020-08-10,forecast,1275.6,4,2629,456,1551
Colorado,2020-08-11,forecast,1301.8,3,2797,444,1618
Colorado,2020-08-12,forecast,1324.1,2,2991,277,1520
Colorado,2020-08-13,forecast,1352.5,1,3174,204,1509
Connecticut,2020-06-18,estimate,146.6,83,216,116,166
Connecticut,2020-06-19,estimate,144.7,80,214,117,169
Connecticut,2020-06-20,estimate,143.4,76,211,115,168
Connecticut,2020-06-21,estimate,142.2,73,207,114,168
Connecticut,2020-06-22,estimate,140.6,69,203,103,156
Connecticut,2020-06-23,estimate,139.2,69,204,102,155
Connecticut,2020-06-24,estimate,138.1,70,206,107,160
Connecticut,2020-06-25,estimate,136.9,67,205,105,159
Connecticut,2020-06-26,estimate,134.8,65,206,109,163
Connecticut,2020-06-27,estimate,133.2,59,200,107,163
Connecticut,2020-06-28,estimate,133.1,66,209,101,157
