state,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Alabama,2021-08-22,,estimate,4874.4,4984.8,894,3718.6,4338.3,4657.6,5096,5525.7,6574.4
Alabama,2021-08-23,,estimate,4833.1,4937.9,866.4,3709.8,4312.2,4622.2,5057,5467.6,6499.4
Alabama,2021-08-24,,estimate,4756,4852.6,825.6,3690.7,4252.6,4552.2,4976.8,5351.5,6347
Alabama,2021-08-25,,estimate,4653.8,4752.6,784.1,3647.1,4187.9,4474.2,4878.4,5230.8,6174
Alabama,2021-08-26,,estimate,4561.8,4646.7,745.8,3597.1,4101.9,4381,4768,5085.4,6002.4
Alabama,2021-08-27,,estimate,4464,4538.3,711.8,3523.7,4020.9,4284.2,4644.5,4963.8,5834
Alabama,2021-08-28,,estimate,4356.2,4429,682.2,3460.9,3934.7,4188.9,4533.6,4825.3,5679.8
Alabama,2021-08-29,,estimate,4253.3,4319.5,656.4,3394.7,3842.7,4091.9,4416.2,4697.9,5512.9
Alabama,2021-08-30,,estimate,4143.4,4210.1,633.9,3320.9,3747.3,3989.9,4303.1,4581.2,5358.4
Alabama,2021-08-31,,estimate,4033.3,4100.8,614,3242.2,3654.7,3886.8,4187.1,4464.7,5201.3
Alabama,2021-09-01,,estimate,3921.9,3991.8,595.9,3163.1,3556.8,3781,4075.8,4333.4,5054.7
Alabama,2021-09-02,,estimate,3810.8,3882.9,578.9,3078.1,3462.4,3679,3956.4,4210.9,4931.6
Alabama,2021-09-03,,estimate,3696.9,3774.3,562.6,2996.9,3371.5,3573.6,3838.6,4094.5,4808
Alabama,2021-09-04,,estimate,3586.5,3665.9,546.3,2918.1,3275.6,3471.6,3728.6,3973.7,4670.7
Alabama,2021-09-05,,estimate,3482.3,3557.8,529.7,2834.4,3181.9,3369.2,3612.9,3858.1,4537.2
Alabama,2021-09-06,,estimate,3377,3450.1,512.6,2753.3,3082.6,3263.7,3502.2,3744.8,4396
Alabama,2021-09-07,,estimate,3274.1,3342.9,494.8,2669.2,2988.1,3158.2,3392.2,3627.4,4262.3
Alabama,2021-09-08,,estimate,3172.6,3236.4,476.2,2586.6,2896,3060.5,3287.1,3505.2,4112.7
Alabama,2021-09-09,,estimate,3072.3,3130.9,457.1,2501.6,2804.4,2962.3,3179.3,3386.1,3963.8
Alabama,2021-09-10,,estimate,2970.5,3026.4,437.5,2423.7,2716.4,2868.2,3075.6,3269.5,3821.7
Alabama,2021-09-11,,estimate,2871.1,2923.2,417.7,2348.1,2628.6,2771,2975.1,3157.1,3672.5
