state,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Alabama,2021-10-16,,estimate,485.5,941.3,1252.6,12,144.8,318,717,1256,3335.1
Alabama,2021-10-17,,estimate,477,921.6,1223,11,142,320,695.4,1196,3416.9
Alabama,2021-10-18,,estimate,307,608.1,825.4,6,93,197,459,804.2,2195.2
Alabama,2021-10-19,,estimate,648.5,1323.4,1996.4,12,185,421.6,942.4,1689.2,4922.2
Alabama,2021-10-20,,estimate,848,1648.3,2266.8,21,255,565.6,1270.8,2150.5,5800.1
Alabama,2021-10-21,,estimate,704.5,1424.6,2089.1,19.9,203,456,1028,1838,5209.1
Alabama,2021-10-22,,estimate,659.5,1270.7,1774.5,13,195,429,956.4,1673,4477
Alabama,2021-10-23,,estimate,706,1386.7,1941.3,18,206,468,1035,1835.8,4957.2
Alabama,2021-10-24,,estimate,593,1188.2,1666.2,16,164.8,383.6,876.8,1542,4302.2
Alabama,2021-10-25,,estimate,327.5,637.7,885.2,8,98,210,484.4,827.5,2252
Alabama,2021-10-26,,estimate,657,1283.6,1812.8,16,197.8,436,966.4,1654.5,4727.2
Alabama,2021-10-27,,estimate,762,1478.4,2037.4,20,241,526.6,1097.4,1915.2,5256.1
Alabama,2021-10-28,,estimate,608,1170.9,1589.5,15.9,178,400,878.4,1527.2,4326.5
Alabama,2021-10-29,,estimate,545,1083.2,1528.9,11,158.8,358,793.4,1387.5,3943.8
Alabama,2021-10-30,,estimate,608,1163.5,1643.1,12,165.8,382,887.4,1486.2,4121.4
Alabama,2021-10-31,,estimate,479,927,1283.2,11,138,313.6,687.4,1172,3380.6
Alabama,2021-11-01,,estimate,254.5,501.7,741.6,6,75,168,366,655.2,1785
Alabama,2021-11-02,,estimate,521,1001.9,1380.7,12,147.8,336.6,739,1293,3714.6
Alabama,2021-11-03,,estimate,575,1142.5,1590.1,16.9,184,393.6,827,1444.5,4256.2
Alabama,2021-11-04,,estimate,465,894.1,1229.9,11,137,303,679.4,1148.2,3205.1
Alabama,2021-11-05,,estimate,399,762.1,1018.5,9,116,264,570,994,2726.3
Alabama,2021-11-06,,estimate,460.5,889.8,1211.1,10,133,305.6,665,1160.5,3190.1
Alabama,2021-11-07,,estimate,385,737,1018,8.9,113.8,256,557,969,2595.2
Alabama,2021-11-08,,estimate,194,377.7,523.2,4,57,125,280,501,1357
Alabama,2021-11-09,,estimate,351,700.7,966.8,9,106.8,235.6,520,886,2579.2
Alabama,2021-11-10,,estimate,438,829.4,1120.3,9,124,292.6,620.2,1100,3060.2
Alabama,2021-11-11,,estimate,364,695.2,970.3,7,103.8,241,524.4,895.2,2588.1
Alabama,2021-11-12,,estimate,319,595.3,785.3,7,92,199,466.4,785.2,2125.2
Alabama,2021-11-13,,estimate,338,643.3,881.3,8,101,217,481.4,833.5,2331.1
Alabama,2021-11-14,,estimate,272,539.1,819.5,6,79,179,400,680,1969.1
Alabama,2021-11-15,,estimate,155.5,290.4,398.1,4,47,100,224,377,1003.1
Alabama,2021-11-16,,estimate,281,564.3,789.6,7,85,186,419.4,740.2,1988
Alabama,2021-11-17,,estimate,341.5,656.3,877.2,8,106,226,493.4,867,2393
Alabama,2021-11-18,,estimate,287,553,756.7,7,87,193,414,698,2056.1
Alabama,2021-11-19,,estimate,252,492.9,676.1,5,74,165,366.4,644.2,1810.2
