region,date,confirm
Alabama,2021-09-12,1794
Alaska,2021-09-12,0
Arizona,2021-09-12,2765
Arkansas,2021-09-12,1116
California,2021-09-12,7392
Colorado,2021-09-12,1137
Connecticut,2021-09-12,0
Delaware,2021-09-12,530
District of Columbia,2021-09-12,0
Florida,2021-09-12,0
Georgia,2021-09-12,0
Guam,2021-09-12,152
Hawaii,2021-09-12,713
Idaho,2021-09-12,1276
Illinois,2021-09-12,0
Indiana,2021-09-12,0
Iowa,2021-09-12,0
Kansas,2021-09-12,0
Kentucky,2021-09-12,0
Louisiana,2021-09-12,0
Maine,2021-09-12,0
Maryland,2021-09-12,1151
Massachusetts,2021-09-12,0
Michigan,2021-09-12,0
Minnesota,2021-09-12,0
Mississippi,2021-09-12,0
Missouri,2021-09-12,1556
Montana,2021-09-12,0
Nebraska,2021-09-12,0
Nevada,2021-09-12,0
New Hampshire,2021-09-12,0
New Jersey,2021-09-12,1847
New Mexico,2021-09-12,0
New York,2021-09-12,3735
North Carolina,2021-09-12,0
North Dakota,2021-09-12,208
Northern Mariana Islands,2021-09-12,0
Ohio,2021-09-12,4463
Oklahoma,2021-09-12,0
Oregon,2021-09-12,0
Pennsylvania,2021-09-12,4125
Puerto Rico,2021-09-12,462
Rhode Island,2021-09-12,0
South Carolina,2021-09-12,0
South Dakota,2021-09-12,0
Tennessee,2021-09-12,0
Texas,2021-09-12,2499
Utah,2021-09-12,0
Vermont,2021-09-12,180
Virgin Islands,2021-09-12,0
Virginia,2021-09-12,0
Washington,2021-09-12,213
West Virginia,2021-09-12,2244
Wisconsin,2021-09-12,0
Wyoming,2021-09-12,0
Alabama,2021-09-13,2692
Alaska,2021-09-13,1456
Arizona,2021-09-13,2278
Arkansas,2021-09-13,646
California,2021-09-13,16056
Colorado,2021-09-13,4326
Connecticut,2021-09-13,1348
Delaware,2021-09-13,444
District of Columbia,2021-09-13,805
Florida,2021-09-13,23930
Georgia,2021-09-13,15746
Guam,2021-09-13,174
Hawaii,2021-09-13,454
Idaho,2021-09-13,1453
Illinois,2021-09-13,9138
Indiana,2021-09-13,10170
Iowa,2021-09-13,0
Kansas,2021-09-13,2784
Kentucky,2021-09-13,9329
Louisiana,2021-09-13,4132
Maine,2021-09-13,0
Maryland,2021-09-13,1103
Massachusetts,2021-09-13,5085
Michigan,2021-09-13,6822
Minnesota,2021-09-13,2680
Mississippi,2021-09-13,3763
Missouri,2021-09-13,1919
Montana,2021-09-13,1220
Nebraska,2021-09-13,1629
Nevada,2021-09-13,2950
New Hampshire,2021-09-13,1215
New Jersey,2021-09-13,1545
New Mexico,2021-09-13,1777
New York,2021-09-13,5408
North Carolina,2021-09-13,23742
North Dakota,2021-09-13,177
Northern Mariana Islands,2021-09-13,2
Ohio,2021-09-13,5568
Oklahoma,2021-09-13,7380
Oregon,2021-09-13,4679
Pennsylvania,2021-09-13,3150
Puerto Rico,2021-09-13,298
Rhode Island,2021-09-13,962
South Carolina,2021-09-13,18276
South Dakota,2021-09-13,528
Tennessee,2021-09-13,29005
Texas,2021-09-13,17493
Utah,2021-09-13,4214
Vermont,2021-09-13,150
Virgin Islands,2021-09-13,107
Virginia,2021-09-13,9252
Washington,2021-09-13,9108
West Virginia,2021-09-13,1417
Wisconsin,2021-09-13,3891
Wyoming,2021-09-13,1182
Alabama,2021-09-14,3944
Alaska,2021-09-14,689
Arizona,2021-09-14,2609
Arkansas,2021-09-14,1544
California,2021-09-14,8746
Colorado,2021-09-14,2517
Connecticut,2021-09-14,1050
Delaware,2021-09-14,249
District of Columbia,2021-09-14,375
Florida,2021-09-14,11300
Georgia,2021-09-14,7095
Guam,2021-09-14,219
Hawaii,2021-09-14,421
Idaho,2021-09-14,1634
Illinois,2021-09-14,4467
Indiana,2021-09-14,3512
Iowa,2021-09-14,4026
Kansas,2021-09-14,131
Kentucky,2021-09-14,4650
Louisiana,2021-09-14,2718
Maine,2021-09-14,667
Maryland,2021-09-14,1095
Massachusetts,2021-09-14,1643
Michigan,2021-09-14,216
Minnesota,2021-09-14,4598
Mississippi,2021-09-14,2070
Missouri,2021-09-14,2284
Montana,2021-09-14,1245
Nebraska,2021-09-14,1062
Nevada,2021-09-14,1361
New Hampshire,2021-09-14,421
New Jersey,2021-09-14,2038
New Mexico,2021-09-14,736
New York,2021-09-14,4113
North Carolina,2021-09-14,4997
North Dakota,2021-09-14,368
Northern Mariana Islands,2021-09-14,4
Ohio,2021-09-14,7325
Oklahoma,2021-09-14,1029
Oregon,2021-09-14,2028
Pennsylvania,2021-09-14,3732
Puerto Rico,2021-09-14,47
Rhode Island,2021-09-14,434
South Carolina,2021-09-14,4269
