region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Florida,1357 (763 -- 2228),1357,1417,460,763,1100,1257,1476,1680,2228,New confirmed cases by infection date,Likely decreasing,0.83
Texas,1045 (629 -- 1624),1045,1074,315,629,895,987,1099,1211,1624,New confirmed cases by infection date,Likely decreasing,0.86
Missouri,773 (403 -- 2273),773,1004,799,403,577,695,894,1154,2273,New confirmed cases by infection date,Likely increasing,0.32
California,704 (525 -- 1035),704,731,188,525,615,667,741,804,1035,New confirmed cases by infection date,Likely decreasing,0.9
Louisiana,397 (237 -- 555),397,395,97,237,331,374,417,451,555,New confirmed cases by infection date,Likely decreasing,0.83
Colorado,378 (216 -- 723),378,412,170,216,304,346,415,482,723,New confirmed cases by infection date,Likely decreasing,0.76
Utah,375 (269 -- 505),375,380,73,269,332,359,392,425,505,New confirmed cases by infection date,Likely increasing,0.13
Arkansas,352 (166 -- 788),352,401,212,166,263,316,394,480,788,New confirmed cases by infection date,Likely increasing,0.17
Nevada,333 (177 -- 610),333,358,141,177,262,304,366,428,610,New confirmed cases by infection date,Stable,0.45
Arizona,325 (171 -- 626),325,354,171,171,254,296,355,416,626,New confirmed cases by infection date,Likely decreasing,0.71
Georgia,320 (185 -- 512),320,331,104,185,260,296,343,385,512,New confirmed cases by infection date,Stable,0.58
New Jersey,246 (123 -- 488),246,268,118,123,187,223,272,322,488,New confirmed cases by infection date,Stable,0.5
Washington,246 (60 -- 592),246,277,176,60,151,207,289,367,592,New confirmed cases by infection date,Decreasing,0.97
North Carolina,245 (115 -- 501),245,271,131,115,183,219,274,326,501,New confirmed cases by infection date,Likely decreasing,0.94
New York,244 (156 -- 417),244,260,85,156,203,228,262,297,417,New confirmed cases by infection date,Likely decreasing,0.88
Alabama,228 (86 -- 546),228,267,291,86,157,199,261,325,546,New confirmed cases by infection date,Likely decreasing,0.77
Ohio,226 (133 -- 411),226,243,93,133,179,206,246,285,411,New confirmed cases by infection date,Likely decreasing,0.62
Oregon,224 (143 -- 363),224,235,70,143,187,210,241,270,363,New confirmed cases by infection date,Stable,0.52
Indiana,222 (126 -- 329),222,224,60,126,184,207,236,262,329,New confirmed cases by infection date,Decreasing,0.98
Tennessee,219 (79 -- 454),219,238,141,79,160,197,241,285,454,New confirmed cases by infection date,Likely decreasing,0.89
Oklahoma,174 (109 -- 367),174,197,85,109,139,159,192,230,367,New confirmed cases by infection date,Stable,0.42
Pennsylvania,137 (65 -- 251),137,146,57,65,109,126,149,175,251,New confirmed cases by infection date,Likely decreasing,0.94
Kansas,135 (62 -- 252),135,144,65,62,103,123,149,173,252,New confirmed cases by infection date,Likely decreasing,0.84
Mississippi,125 (64 -- 284),125,144,78,64,96,114,139,167,284,New confirmed cases by infection date,Likely decreasing,0.67
Kentucky,116 (71 -- 172),116,118,30,71,98,109,124,137,172,New confirmed cases by infection date,Decreasing,0.98
Idaho,111 (45 -- 166),111,109,37,45,86,102,119,132,166,New confirmed cases by infection date,Likely decreasing,0.93
Virginia,94 (61 -- 157),94,100,31,61,79,88,101,114,157,New confirmed cases by infection date,Likely decreasing,0.84
New Mexico,81 (50 -- 142),81,87,31,50,67,76,88,101,142,New confirmed cases by infection date,Likely decreasing,0.78
Montana,80 (59 -- 118),80,83,18,59,71,76,85,92,118,New confirmed cases by infection date,Likely decreasing,0.7
Wyoming,79 (45 -- 106),79,77,18,45,64,73,84,91,106,New confirmed cases by infection date,Likely decreasing,0.7
Illinois,74 (43 -- 124),74,77,24,43,60,68,79,90,124,New confirmed cases by infection date,Decreasing,1
Iowa,64 (38 -- 115),64,68,24,38,51,58,69,80,115,New confirmed cases by infection date,Likely decreasing,0.65
Wisconsin,64 (34 -- 113),64,67,23,34,50,58,69,79,113,New confirmed cases by infection date,Decreasing,0.99
Michigan,59 (15 -- 222),59,87,161,15,36,49,73,100,222,New confirmed cases by infection date,Likely decreasing,0.92
South Carolina,52 (30 -- 82),52,54,16,30,42,48,56,62,82,New confirmed cases by infection date,Decreasing,0.99
Minnesota,50 (30 -- 89),50,54,19,30,41,46,54,63,89,New confirmed cases by infection date,Decreasing,0.96
