region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Angiang,2021-08-14,,estimate,71.9,72.7,10.6,57.1,65.2,69.4,74.4,79.3,91
Angiang,2021-08-15,,estimate,71.3,72.2,10.2,57.1,65,68.9,74,78.6,90.6
Angiang,2021-08-16,,estimate,70.6,71.3,9.8,56.5,64.4,68.2,73,77.3,89.1
Angiang,2021-08-17,,estimate,69.6,70.3,9.5,56,63.6,67.2,71.9,76,87.5
Angiang,2021-08-18,,estimate,68.5,69.2,9.2,55.4,62.9,66.3,70.8,74.8,85.6
Angiang,2021-08-19,,estimate,67.5,68.2,9,54.7,62,65.5,69.8,73.5,83.9
Angiang,2021-08-20,,estimate,66.6,67.3,8.8,54,61.2,64.5,68.9,72.5,82.7
Angiang,2021-08-21,,estimate,65.9,66.5,8.7,53.4,60.5,63.7,68,71.7,81.8
Angiang,2021-08-22,,estimate,65.2,65.8,8.6,52.8,59.8,63,67.3,71.1,80.6
Angiang,2021-08-23,,estimate,64.7,65.2,8.7,52.1,59.2,62.5,66.8,70.5,80.3
Angiang,2021-08-24,,estimate,64.3,64.9,8.7,51.7,58.7,62.2,66.4,70.1,80.2
Angiang,2021-08-25,,estimate,64.1,64.7,8.8,51.3,58.4,62,66.2,70.1,80.2
Angiang,2021-08-26,,estimate,64.1,64.7,9,51,58.4,62,66.3,70.4,80.5
Angiang,2021-08-27,,estimate,64.4,65,9.1,51,58.6,62.2,66.6,70.6,81
Angiang,2021-08-28,,estimate,64.8,65.5,9.3,51.2,59.2,62.6,67.1,71.1,81.8
Angiang,2021-08-29,,estimate,65.6,66.3,9.5,51.4,59.7,63.3,67.9,71.9,83.4
Angiang,2021-08-30,,estimate,66.6,67.3,9.8,52.1,60.6,64.3,69,73.1,84.7
Angiang,2021-08-31,,estimate,67.9,68.6,10,53.2,61.7,65.6,70.4,74.6,86.2
Angiang,2021-09-01,,estimate,69.5,70.3,10.2,54.6,63.3,67.2,71.9,76.3,88.1
Angiang,2021-09-02,,estimate,71.5,72.2,10.4,56.3,65,69.2,73.9,78.5,90.5
Angiang,2021-09-03,,estimate,73.8,74.5,10.7,58.3,67.2,71.4,76.3,81,93.3
Angiang,2021-09-04,,estimate,76.4,77.1,10.9,60.4,69.7,73.8,78.9,83.8,96.7
Angiang,2021-09-05,,estimate,79.4,80,11.1,62.8,72.5,76.6,82,86.8,100.2
Angiang,2021-09-06,,estimate,82.5,83.3,11.4,65.9,75.6,79.7,85.3,90.2,103.7
Angiang,2021-09-07,,estimate,86.3,87,11.7,69.1,79.1,83.2,89,94,107.8
Angiang,2021-09-08,,estimate,89.9,90.9,12,72.7,82.8,87.1,93,98.1,112.1
Angiang,2021-09-09,,estimate,94,95.1,12.3,76.6,86.8,91.3,97.2,102.6,117.2
Angiang,2021-09-10,,estimate,98.4,99.6,12.7,80.8,90.8,95.7,101.7,107.3,122
Angiang,2021-09-11,,estimate,103.2,104.3,13.1,84.7,95.2,100.2,106.5,112.1,127.5
Angiang,2021-09-12,,estimate,108.2,109.2,13.7,88.7,99.8,104.8,111.5,117.4,132.9
Angiang,2021-09-13,,estimate,113,114.1,14.3,92.7,104,109.8,116.4,122.7,139
Angiang,2021-09-14,,estimate,117.9,119.1,15.1,96.6,108.5,114.5,121.8,128.2,145
Angiang,2021-09-15,,estimate,122.7,124,15.9,100.4,113.1,119.1,126.7,133.4,151.8
Angiang,2021-09-16,,estimate,127.6,128.9,16.7,104,117.3,123.6,131.7,138.9,158.2
Angiang,2021-09-17,,estimate,132,133.5,17.5,107.3,121.4,127.9,136.3,144.1,164.3
Angiang,2021-09-18,,estimate,136.2,137.9,18.3,110.9,125.1,132.4,140.7,149.1,170.4
Angiang,2021-09-19,,estimate,140.1,142,19.1,113.8,128.6,136.2,144.9,153.5,176
Angiang,2021-09-20,,estimate,144.2,145.7,19.7,116.6,132.1,139.2,148.7,157.3,181.1
Angiang,2021-09-21,,estimate,147.3,149,20.2,119.3,134.9,142.2,152,160.9,185.7
Angiang,2021-09-22,,estimate,150.1,151.9,20.5,121.7,137.6,145.1,154.9,164,189.2
Angiang,2021-09-23,,estimate,152.7,154.4,20.7,124.2,139.9,147.7,157.7,166.3,192
Angiang,2021-09-24,,estimate,154.9,156.5,20.7,126.1,141.6,149.5,159.9,168.3,194.4
Angiang,2021-09-25,,estimate,156.4,158.2,20.6,128.1,143.6,151.2,161.6,170.1,196.1
Angiang,2021-09-26,,estimate,157.6,159.5,20.5,129.6,145.2,152.6,162.8,171.5,196.9
Angiang,2021-09-27,,estimate,158.7,160.5,20.3,130.6,146.2,154,164,172.6,197.4
Angiang,2021-09-28,,estimate,159.5,161.2,20.1,131.5,147.1,154.8,164.7,173.4,197.8
Angiang,2021-09-29,,estimate,160.1,161.8,19.9,132.4,147.7,155.4,165,174.2,197
Angiang,2021-09-30,,estimate,160.5,162.2,19.9,132.6,147.9,156.1,165.3,174.6,196.7
Angiang,2021-10-01,,estimate,160.9,162.5,20,132.7,148.5,156.5,165.9,174.9,196.5
Angiang,2021-10-02,,estimate,161.3,162.9,20.2,132.7,148.8,156.5,166.5,175.3,197.2
Angiang,2021-10-03,,estimate,161.7,163.3,20.5,133.2,149.2,156.9,167.4,176.1,198.5
Angiang,2021-10-04,,estimate,162.5,163.9,21,132.8,149.3,157.4,167.8,177,200.2
Angiang,2021-10-05,,estimate,163.6,164.8,21.6,133,149.7,158.1,168.8,178.1,201.8
Angiang,2021-10-06,,estimate,164.6,166.1,22.2,132.7,150.7,159.2,170.3,179.6,204.1
Angiang,2021-10-07,,estimate,166.1,167.7,23,132.9,151.8,160.5,171.8,182.2,207.2
Angiang,2021-10-08,,estimate,168.1,169.9,23.8,133.7,153.3,162.3,174,184.4,211.2
Angiang,2021-10-09,,estimate,170.9,172.7,24.6,135.2,155.5,165.1,176.9,187.9,215.7
Angiang,2021-10-10,,estimate,174.3,176.1,25.5,137,158.2,168.1,180.6,191.7,220.8
Angiang,2021-10-11,,estimate,178.3,180.2,26.3,140.1,161.8,171.9,185,196.3,226.8
Angiang,2021-10-12,,estimate,183,185.1,27.1,144.2,166.3,176.6,190.2,201.9,233
Angiang,2021-10-13,,estimate,188.7,190.9,28,149,171.4,182.2,195.9,208.1,241.3
Angiang,2021-10-14,,estimate,195.5,197.6,28.8,154.2,177.7,188.8,202.8,215.1,249.7
Angiang,2021-10-15,,estimate,203.3,205.3,29.7,160.6,184.8,196.1,210.7,223,258.4
Angiang,2021-10-16,,estimate,212.3,214.1,30.5,168.1,192.8,204.8,219.7,232.2,268
Angiang,2021-10-17,,estimate,222.2,223.9,31.5,176.7,201.7,214.6,230.1,242.5,279.6
Angiang,2021-10-18,,estimate,233.1,234.9,32.5,186.1,212.2,225.1,241.5,254.1,292.5
Angiang,2021-10-19,,estimate,245.2,247,33.6,197.1,223.7,237,253.7,267.5,305.9
Angiang,2021-10-20,,estimate,258.5,260.4,34.8,208.2,236.4,250.2,267.1,281.8,321.7
Angiang,2021-10-21,,estimate,273,274.9,36.2,220.4,249.8,264.2,281.8,297.6,338.2
Angiang,2021-10-22,,estimate,288.5,290.5,37.7,233.3,264,279.3,297.1,313.5,356.5
Angiang,2021-10-23,,estimate,304.8,307.2,39.4,247.1,279.8,295,314.6,330.9,376
Angiang,2021-10-24,,estimate,321.8,324.9,41.3,262,296.7,312.4,332.6,349.8,395.9
Angiang,2021-10-25,,estimate,339.8,343.4,43.3,278.2,313.7,330.1,350.9,369.6,419.5
Angiang,2021-10-26,,estimate,358.7,362.6,45.6,294.5,331.7,348.1,369.7,390,442.5
Angiang,2021-10-27,,estimate,377.9,382,48,310.3,349.1,366.6,390.2,411,468.1
Angiang,2021-10-28,,estimate,396.8,401.6,50.6,326.8,366.7,385.1,410.1,432.2,491.4
Angiang,2021-10-29,,estimate,416.3,420.8,53.3,342.5,383.7,403.4,429.8,452.5,515.8
Angiang,2021-10-30,,estimate,434.5,439.2,56.1,356.3,399.6,420.5,448.9,472.9,539.3
Angiang,2021-10-31,,estimate,451.5,456.5,58.9,370.2,415.3,436.5,467,492.3,560.8
Angiang,2021-11-01,,estimate,467,472.1,61.5,381.7,428.7,450.8,483,509.6,580.7
Angiang,2021-11-02,,estimate,479.8,485.6,64,391.8,440.4,463.5,496.8,525.2,597
Angiang,2021-11-03,,estimate,490.3,496.7,66,399.3,450.1,474.2,507.9,537.4,613
Angiang,2021-11-04,,estimate,498.5,504.8,67.6,405,456.9,481.4,515.6,546.9,627.3
Angiang,2021-11-05,,estimate,503.3,509.9,68.5,407.1,461.3,486.7,520.6,553.2,632.6
Angiang,2021-11-06,,estimate,505.2,511.7,68.9,409.7,463.4,488.1,522.3,554.8,635.8
Angiang,2021-11-07,,estimate,503.4,510.2,68.8,409.5,461.5,487.5,521.5,552.5,632
Angiang,2021-11-08,,estimate,498.7,505.6,68.1,405.4,457.6,482.8,516.7,546.8,626.1
Angiang,2021-11-09,,estimate,492.2,497.9,67,398.3,450.5,475.7,509.4,537.7,616.4
Angiang,2021-11-10,,estimate,482.6,487.5,65.5,390.6,441.7,465.4,498.9,526,604.4
Angiang,2021-11-11,,estimate,469.3,474.6,63.7,379.3,430.1,453.9,485.8,512.1,589.3
Angiang,2021-11-12,,estimate,454.3,459.8,61.6,367.3,417.5,440.1,470.3,495.5,569.9
Angiang,2021-11-13,,estimate,437.2,443.2,59.3,354.4,403.1,423.7,452.6,477.1,548.8
Angiang,2021-11-14,,estimate,420.2,425.4,56.8,340.7,386.9,408.1,433.8,458.3,525.9
Angiang,2021-11-15,,estimate,401.7,406.6,54.2,325.9,369.9,390.1,413.5,438.5,503.1
Angiang,2021-11-16,,estimate,382.3,387.3,51.6,310.9,352.7,371.5,394.5,417.6,480.7
Angiang,2021-11-17,,estimate,363.2,367.7,49,295.3,334,352.1,375,396.8,457.1
Angiang,2021-11-18,,estimate,344,348.1,46.7,279.9,315.8,333.1,355.2,376,432.2
