region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Angiang,2021-08-10,,estimate,35,38.8,22.6,10.9,22,29,41,51,81
Angiang,2021-08-11,,estimate,39,43.6,25.8,12,25,33,45,56,94
Angiang,2021-08-12,,estimate,49,54.6,31.4,16,32,42,56,71,116
Angiang,2021-08-13,,estimate,55,62.4,37.6,18,36,47,64,80,136
Angiang,2021-08-14,,estimate,54,61.2,36.5,17,35,45.6,63,79,130
Angiang,2021-08-15,,estimate,59,67.9,40.4,19,39,51,69,88,143
Angiang,2021-08-16,,estimate,64,70.6,40.8,18,41,54,73,92,146
Angiang,2021-08-17,,estimate,53.5,60.6,35.5,17.9,35,46,62,79,126
Angiang,2021-08-18,,estimate,52,58.8,34,17,34,45,61,75,122
Angiang,2021-08-19,,estimate,59,66.1,37.8,19,38,50,68,85,138
Angiang,2021-08-20,,estimate,64,71.7,41.7,21,42,55,73,93,151
Angiang,2021-08-21,,estimate,60,67.9,40.3,19,39,51,69,88,145
Angiang,2021-08-22,,estimate,63,70.2,39.6,21,41.8,54,73,91,144
Angiang,2021-08-23,,estimate,64,71.7,41.5,20,41,55,74,93,149
Angiang,2021-08-24,,estimate,54,60.9,34.5,17,36,47,62,78.2,129
Angiang,2021-08-25,,estimate,53,59.2,34.1,16,34,45,61,77,124
Angiang,2021-08-26,,estimate,59,67.6,39.4,18,40,52,69,87,140
Angiang,2021-08-27,,estimate,61,69.6,39.9,20,41,53,71,89,146
Angiang,2021-08-28,,estimate,58,65.4,37.8,19,38,50,67,85,139
Angiang,2021-08-29,,estimate,62,70.6,41.3,20,41,53.6,73,91.2,148
Angiang,2021-08-30,,estimate,64,72.3,41.5,22,43,56,74,93,151
Angiang,2021-08-31,,estimate,54,60.6,34.6,17,35,47,62,79,126
Angiang,2021-09-01,,estimate,53,59.7,34.8,16,34,45,62,78,126
Angiang,2021-09-02,,estimate,59,66.9,39.2,19,38,51,68,86,143
Angiang,2021-09-03,,estimate,64,72.7,42.3,20,42,55,74,94,155
Angiang,2021-09-04,,estimate,60,68.7,39.5,20,41,52,70,89,143
Angiang,2021-09-05,,estimate,65,73.9,42.5,22,43,56,75,96.2,156
Angiang,2021-09-06,,estimate,67,76.8,44.5,22,44,58,79,99,162
Angiang,2021-09-07,,estimate,59,67.1,39.5,19,39,51,69,86.2,139
Angiang,2021-09-08,,estimate,59,66.1,38.1,18,38,51,69,86,137
Angiang,2021-09-09,,estimate,68,75.7,44,21,44,59,77,97,161
Angiang,2021-09-10,,estimate,73,82.1,46.7,23,48,63,84,106,171
Angiang,2021-09-11,,estimate,71,79.9,45.8,22,47,61,82,104,165
Angiang,2021-09-12,,estimate,79,88.2,48.9,27,53,69,91,113.2,181
Angiang,2021-09-13,,estimate,85,95.4,54.6,28,55,73,98,123,200
Angiang,2021-09-14,,estimate,73,82.3,48,23,48,62,84,106,172
Angiang,2021-09-15,,estimate,74,84.3,49.4,24,50,65,86,108,180
Angiang,2021-09-16,,estimate,86,96,54.8,29,57,74,99,123,198
Angiang,2021-09-17,,estimate,96,106.5,60.2,32,63,82,110,136,220
Angiang,2021-09-18,,estimate,92,103.8,59.8,30,60,78,106,134.2,215
Angiang,2021-09-19,,estimate,104,116.9,67,34,69,90.6,121,150.2,246
Angiang,2021-09-20,,estimate,112,126,73.4,36.9,73,96,128,162,265
Angiang,2021-09-21,,estimate,99,108.9,60.6,31.9,64,85,114,141,222
Angiang,2021-09-22,,estimate,98,108.7,61.3,31,64,84,112,139,226
Angiang,2021-09-23,,estimate,114,127.7,72.9,37,75,98,132,164.2,265
Angiang,2021-09-24,,estimate,124,138.6,78.3,41,82,108,143,179,289
Angiang,2021-09-25,,estimate,121,135.4,76.5,39,80,104,141,175,280
Angiang,2021-09-26,,estimate,134,149.1,84.9,43,88,115,153,192,310
Angiang,2021-09-27,,estimate,140,156.1,88.3,44,92,121,161,201,320
Angiang,2021-09-28,,estimate,120,134.5,76.7,38.9,79,103,139,175,276
Angiang,2021-09-29,,estimate,118,134.3,77.8,39,78,103,137,173,281
Angiang,2021-09-30,,estimate,135,150.8,85.2,45,90,117,153.4,194,311
Angiang,2021-10-01,,estimate,146,163.2,93.9,46.9,96,124,169,208,341
Angiang,2021-10-02,,estimate,140,157.5,90.1,45,94,121,161,201,328
Angiang,2021-10-03,,estimate,147,165.3,92.4,51,99,127,170,213,343
Angiang,2021-10-04,,estimate,153,171.7,97.2,52,101.8,132,175,222,352
Angiang,2021-10-05,,estimate,130,146.4,82.6,44,87,113,151,188,302
Angiang,2021-10-06,,estimate,126,142.5,80.3,42.9,84,109,147,184,291
Angiang,2021-10-07,,estimate,142,159.8,92.3,46,92,122,165,207.2,334
Angiang,2021-10-08,,estimate,151,170.6,99.2,51,101,130,173,218,362
Angiang,2021-10-09,,estimate,144,160.7,90.1,47,95,124,167,208,325
Angiang,2021-10-10,,estimate,158,175,97.9,50,105,135,181,225,355
Angiang,2021-10-11,,estimate,162,181.2,101.4,52,109.8,141,187,233,373
Angiang,2021-10-12,,estimate,136,153.6,87.2,44,91,119,157,198,320
Angiang,2021-10-13,,estimate,134,152.2,89,46,91,115,154,195,325
Angiang,2021-10-14,,estimate,148,169.1,99,50,98,127,172,216.2,361
Angiang,2021-10-15,,estimate,167,185.5,102.4,56,111,143,192,241,379
Angiang,2021-10-16,,estimate,157,176.8,102.1,51.9,103,135,182,229.2,369
Angiang,2021-10-17,,estimate,169,189.2,108.3,56,110,146,195,241,402
Angiang,2021-10-18,,estimate,181,204.3,120.2,59,120.8,157,209,261,427
Angiang,2021-10-19,,estimate,157,177.6,104,51,104,134,182,228,376
Angiang,2021-10-20,,estimate,157,176.9,102.3,51,104,134,180,228,374
Angiang,2021-10-21,,estimate,180,202.9,120.6,57,115,155,209,263,426
Angiang,2021-10-22,,estimate,199,225.9,131.7,64,130,173,231,291,476.1
Angiang,2021-10-23,,estimate,197,221.1,123.9,67,131,169,228,285.2,456
Angiang,2021-10-24,,estimate,218,247.6,143.3,72,145,188,253,320,521
Angiang,2021-10-25,,estimate,233.5,265.8,155.5,77,156,202,273,338,564
Angiang,2021-10-26,,estimate,205,232.1,130.8,71,139,176,235.4,298.2,490.1
Angiang,2021-10-27,,estimate,211,238.6,138.1,67,141,183,244.4,306,505
Angiang,2021-10-28,,estimate,253,283.6,159,85,171,219,291,363,586.1
Angiang,2021-10-29,,estimate,283,316.2,176.9,101,187,245,325,409,656
Angiang,2021-10-30,,estimate,283,319.7,187.2,94,187,243,325,409,670
Angiang,2021-10-31,,estimate,316.5,353.9,196.4,106,215,272,360,454,736
Angiang,2021-11-01,,estimate,346.5,381.4,209.9,114,233,298,393,485,772
Angiang,2021-11-02,,estimate,305,341.7,191.8,102,202,262,351,438,712
Angiang,2021-11-03,,estimate,309,344.4,195.4,101,204,266,354,440,715
Angiang,2021-11-04,,estimate,364.5,408.5,231.1,121,242,316,421,524,839
Angiang,2021-11-05,,estimate,399,445.3,253.2,127,258,342,460,579,935
Angiang,2021-11-06,,estimate,393,441.2,248.4,137.9,260.8,341,453.4,566,905.1
Angiang,2021-11-07,,estimate,431,483.2,276.5,142,284,374,496,615.2,999.2
Angiang,2021-11-08,,estimate,462,513.3,300,152,299,397,524,652,1058
Angiang,2021-11-09,,estimate,396,444.3,253.8,129,262,341,457,571,943
Angiang,2021-11-10,,estimate,392,437.7,246.4,129,262,337,448,560,904
Angiang,2021-11-11,,estimate,432,483.7,276.6,148,286,374,494,616,1012
Angiang,2021-11-12,,estimate,455,516.6,298.3,156,304.8,390.6,529,665,1075
Angiang,2021-11-13,,estimate,430,482.9,273.9,138,284,372,497,631,996.1
Angiang,2021-11-14,,estimate,461,523.3,298.1,154,307,397,533.4,680,1068
Angiang,2021-11-15,,estimate,468.5,523.6,292.6,161,312,406,539,666,1078.2
Angiang,2021-11-16,,estimate,381,432.5,251.8,123,254,328,443,552,913
Angiang,2021-11-17,,estimate,370,412.5,227,124,249,321,423,531,842
Angiang,2021-11-18,,estimate,398,441.6,251.7,126.9,259,339.6,463,573,897.2
Angiang,2021-11-19,,estimate,399,445.7,248,132,267,348,456,577,919
Angiang,2021-11-20,,estimate,372.5,416.4,238.2,120.9,245,322,431,535.2,849.1
Angiang,2021-11-21,,estimate,377,420,236.8,124,254.8,327.6,436,539,848
Angiang,2021-11-22,,estimate,361,404.6,227.9,120,239,309,418,519,845
Angiang,2021-11-23,,estimate based on partial data,287,321.9,182.2,93,188.8,247,332,418,667
Angiang,2021-11-24,,estimate based on partial data,267,303.6,176.7,90,177,231,310,394,633
Angiang,2021-11-25,,estimate based on partial data,283,321.7,188.5,93,188,244,326,411,698
Angiang,2021-11-26,,estimate based on partial data,282,319.1,187.2,94,188,243,328,406,685
Angiang,2021-11-27,,estimate based on partial data,247,283.5,172.3,78,164,213,285.4,366.2,606
Angiang,2021-11-28,,estimate based on partial data,244,281.7,177.2,78,160.8,209,283,363,613
Angiang,2021-11-29,,estimate based on partial data,234,269.6,168.7,77,153.8,201,272,340,570
Angiang,2021-11-30,,estimate based on partial data,184,218.6,148.6,57,117,155,215,277,498
Angiang,2021-12-01,,forecast,160,194.3,133.7,50,104,138,188,247,445
Angiang,2021-12-02,,forecast,170,203.9,142.9,49,107,143,199,259.2,469
Angiang,2021-12-03,,forecast,167,205,155.5,47,104,141,196,259,486
Angiang,2021-12-04,,forecast,144,182,148.3,40,88,120,171.4,230,455
Angiang,2021-12-05,,forecast,144,186.8,162.2,37,86,119,172,231,486
Angiang,2021-12-06,,forecast,135,177.9,158,35.9,79,110,162,226,464
