region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Angiang,2021-08-12,,estimate,-0.00135140373649226,-0.000242329870633817,0.0322766991400645,-0.051435843698597,-0.0217543111830416,-0.00898993711368199,0.00623829174796496,0.0192308701270489,0.0543908170797763
Angiang,2021-08-13,,estimate,-0.00201010733351972,-0.00132220178526009,0.0294452877680851,-0.0485014602582124,-0.0207515295374251,-0.00907271731347847,0.00477017873268572,0.0170898276184759,0.0489745177009446
Angiang,2021-08-14,,estimate,-0.00290905384119128,-0.00236893917262829,0.0268967598700154,-0.0461755020300903,-0.0201659128584841,-0.00922056174656442,0.00355628985484558,0.0147179917859156,0.0431672923185128
Angiang,2021-08-15,,estimate,-0.00387645003157576,-0.00336454246949224,0.0246261116134724,-0.0440592008371676,-0.0198188771848338,-0.00967011223043762,0.00229759668348739,0.0129021193306966,0.0380645243377797
Angiang,2021-08-16,,estimate,-0.0047004221499059,-0.00428572203309598,0.0226321200897222,-0.0409454080869256,-0.0191544552689623,-0.0100883148656489,0.00130844327546756,0.0105382423620882,0.0328944633504246
Angiang,2021-08-17,,estimate,-0.00519240987777883,-0.00510423774109234,0.0209198920021522,-0.0390762868093632,-0.0188466673722241,-0.0102686728209282,9.08404303294011e-05,0.00888634282040876,0.0292994909966683
Angiang,2021-08-18,,estimate,-0.00574611396442559,-0.00578782430531253,0.0194973930125057,-0.0372605677148201,-0.0186178032274358,-0.0105080321209647,-0.000833214601827133,0.00716323066847842,0.0258340815810869
Angiang,2021-08-19,,estimate,-0.00627426929142369,-0.00630152701253859,0.0183672579554901,-0.0367557963047212,-0.0183865639871078,-0.0107195162698829,-0.00181228404646966,0.00619076645578897,0.0234042048853827
Angiang,2021-08-20,,estimate,-0.00653416241748714,-0.00660923711259867,0.0175185670136956,-0.0355714822429109,-0.018227537225467,-0.0106492739236256,-0.00212892583556738,0.00513061411080032,0.0219253868791686
Angiang,2021-08-21,,estimate,-0.00628476419028407,-0.0066752759264236,0.0169230144201239,-0.0352056785755204,-0.0178728000436811,-0.010669925035026,-0.00214233423576355,0.00456817964009705,0.020986986876088
Angiang,2021-08-22,,estimate,-0.00593622566664181,-0.00646596178147894,0.0165365626973192,-0.0345091107785021,-0.0175872656328823,-0.0102925928089987,-0.0018009114726758,0.00450784271093476,0.0203157196032581
