region,date,confirm
Angiang,2021-08-10,53
Bacgiang,2021-08-10,0
Backan,2021-08-10,0
Baclieu,2021-08-10,4
Bacninh,2021-08-10,0
Bariavungtau,2021-08-10,109
Bentre,2021-08-10,107
Binhdinh,2021-08-10,0
Binhduong,2021-08-10,1325
Binhphuoc,2021-08-10,0
Binhthuan,2021-08-10,63
Camau,2021-08-10,2
Cantho,2021-08-10,106
Caobang,2021-08-10,0
Daklak,2021-08-10,55
Daknong,2021-08-10,17
Danang,2021-08-10,74
Dienbien,2021-08-10,0
Dongnai,2021-08-10,732
Dongthap,2021-08-10,101
Gialai,2021-08-10,43
Hagiang,2021-08-10,0
Haiduong,2021-08-10,8
Haiphong,2021-08-10,0
Hanam,2021-08-10,0
Hanoi,2021-08-10,61
Hatinh,2021-08-10,15
Haugiang,2021-08-10,19
Hoabinh,2021-08-10,0
Hochiminh,2021-08-10,3957
Hungyen,2021-08-10,0
Khanhhoa,2021-08-10,0
Kiengiang,2021-08-10,29
Kontum,2021-08-10,0
Laichau,2021-08-10,0
Lamdong,2021-08-10,18
Langson,2021-08-10,0
Laocai,2021-08-10,12
Longan,2021-08-10,890
Namdinh,2021-08-10,1
Nghean,2021-08-10,128
Ninhbinh,2021-08-10,0
Ninhthuan,2021-08-10,61
Phutho,2021-08-10,0
Phuyen,2021-08-10,37
Quangbinh,2021-08-10,1
Quangnam,2021-08-10,8
Quangngai,2021-08-10,11
Quangninh,2021-08-10,0
Quangtri,2021-08-10,0
Soctrang,2021-08-10,64
Sonla,2021-08-10,2
Tayninh,2021-08-10,106
Thaibinh,2021-08-10,4
Thainguyen,2021-08-10,0
Thanhhoa,2021-08-10,0
Thuathienhue,2021-08-10,5
Tiengiang,2021-08-10,100
Travinh,2021-08-10,8
Tuyenquang,2021-08-10,0
Vinhlong,2021-08-10,52
Vinhphuc,2021-08-10,0
Yenbai,2021-08-10,0
Angiang,2021-08-11,42
Bacgiang,2021-08-11,0
Backan,2021-08-11,0
Baclieu,2021-08-11,2
Bacninh,2021-08-11,0
Bariavungtau,2021-08-11,181
Bentre,2021-08-11,0
Binhdinh,2021-08-11,10
Binhduong,2021-08-11,1897
Binhphuoc,2021-08-11,19
Binhthuan,2021-08-11,68
Camau,2021-08-11,1
Cantho,2021-08-11,103
Caobang,2021-08-11,0
Daklak,2021-08-11,0
Daknong,2021-08-11,0
