region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Tayninh,2596 (952 -- 7624),2596,3256,2697,952,1784,2250,3001,3872,7624,New confirmed cases by infection date,Likely increasing,0.078
Hochiminh,2426 (1221 -- 5006),2426,2696,1328,1221,1854,2198,2699,3227,5006,New confirmed cases by infection date,Likely increasing,0.2
Cantho,1597 (329 -- 5758),1597,2125,1993,329,953,1335,1911,2627,5758,New confirmed cases by infection date,Likely increasing,0.22
Bariavungtau,1190 (296 -- 4068),1190,1555,1416,296,703,979,1413,1922,4068,New confirmed cases by infection date,Likely increasing,0.22
Camau,1014 (80 -- 13379),1014,4359,19153,80,366,707,1487,2852,13379,New confirmed cases by infection date,Stable,0.49
Bentre,733 (192 -- 2617),733,1022,1223,192,454,616,893,1223,2617,New confirmed cases by infection date,Likely increasing,0.13
Soctrang,674 (96 -- 6179),674,1738,4355,96,305,504,917,1561,6179,New confirmed cases by infection date,Stable,0.4
Binhduong,610 (77 -- 4002),610,1185,1960,77,270,439,824,1330,4002,New confirmed cases by infection date,Likely decreasing,0.86
Baclieu,598 (156 -- 2631),598,902,1150,156,342,489,741,1020,2631,New confirmed cases by infection date,Likely increasing,0.39
Haugiang,485 (100 -- 2561),485,837,1323,100,263,390,621,908,2561,New confirmed cases by infection date,Likely increasing,0.22
Hoabinh,465 (64 -- 3727),465,1108,3105,64,214,344,634,1054,3727,New confirmed cases by infection date,Increasing,0.043
Binhphuoc,438 (89 -- 2355),438,764,1149,89,231,335,562,860,2355,New confirmed cases by infection date,Stable,0.42
Vinhlong,435 (90 -- 1897),435,652,787,90,236,347,553,786,1897,New confirmed cases by infection date,Stable,0.57
Binhthuan,373 (88 -- 1573),373,555,675,88,204,293,465,666,1573,New confirmed cases by infection date,Likely decreasing,0.64
Dongthap,361 (61 -- 2284),361,716,1775,61,174,276,469,737,2284,New confirmed cases by infection date,Likely decreasing,0.66
Vinhphuc,303 (70 -- 1196),303,435,502,70,179,250,372,514,1196,New confirmed cases by infection date,Likely increasing,0.067
Lamdong,291 (63 -- 1472),291,487,747,63,159,230,367,544,1472,New confirmed cases by infection date,Likely increasing,0.15
Binhdinh,270 (105 -- 624),270,308,195,105,188,236,306,379,624,New confirmed cases by infection date,Likely increasing,0.13
Travinh,240 (21 -- 2395),240,715,2334,21,91,170,341,606,2395,New confirmed cases by infection date,Stable,0.56
Dongnai,224 (105 -- 463),224,248,122,105,165,199,250,304,463,New confirmed cases by infection date,Likely decreasing,0.94
Khanhhoa,195 (52 -- 546),195,237,190,52,117,160,231,305,546,New confirmed cases by infection date,Stable,0.55
Haiphong,192 (28 -- 3211),192,899,4726,28,84,140,275,508,3211,New confirmed cases by infection date,Increasing,0.049
Hanoi,187 (57 -- 633),187,249,243,57,117,159,224,302,633,New confirmed cases by infection date,Likely decreasing,0.7
Hagiang,173 (26 -- 825),173,317,1146,26,84,135,217,322,825,New confirmed cases by infection date,Stable,0.46
Bacninh,161 (34 -- 798),161,270,491,34,86,127,200,297,798,New confirmed cases by infection date,Stable,0.47
Thuathienhue,156 (29 -- 733),156,248,338,29,81,123,197,287,733,New confirmed cases by infection date,Stable,0.4
Thainguyen,150 (24 -- 2857),150,736,2645,24,65,105,224,449,2857,New confirmed cases by infection date,Increasing,0.041
Angiang,125 (42 -- 360),125,154,109,42,82,106,146,192,360,New confirmed cases by infection date,Likely decreasing,0.94
Daklak,116 (22 -- 411),116,155,158,22,59,89,142,200,411,New confirmed cases by infection date,Stable,0.57
Kiengiang,99 (2 -- 6148),99,4524,56414,2,24,60,174,471,6148,New confirmed cases by infection date,Likely decreasing,0.87
Daknong,97 (19 -- 461),97,155,207,19,52,76,125,184,461,New confirmed cases by infection date,Stable,0.41
Tiengiang,87 (27 -- 256),87,108,88,27,54,73,102,137,256,New confirmed cases by infection date,Likely decreasing,0.93
Nghean,79 (10 -- 548),79,167,403,10,35,59,106,173,548,New confirmed cases by infection date,Likely decreasing,0.61
Quangnam,74 (8 -- 636),74,197,678,8,30,53,105,185,636,New confirmed cases by infection date,Stable,0.59
Thanhhoa,72 (13 -- 422),72,128,197,13,37,56,94,141,422,New confirmed cases by infection date,Stable,0.48
Gialai,62 (12 -- 389),62,126,302,12,32,49,80,124,389,New confirmed cases by infection date,Stable,0.48
Quangbinh,61 (8 -- 475),61,140,344,8,27,44,83,136,475,New confirmed cases by infection date,Likely increasing,0.37
Quangtri,49 (15 -- 252),49,88,196,15,29,39,60,91,252,New confirmed cases by infection date,Likely increasing,0.16
Danang,47 (12 -- 180),47,65,68,12,28,38,57,79,180,New confirmed cases by infection date,Likely decreasing,0.62
Longan,46 (20 -- 95),46,50,24,20,33,41,51,62,95,New confirmed cases by infection date,Likely decreasing,0.92
Yenbai,46 (7 -- 427),46,122,318,7,21,34,60,104,427,New confirmed cases by infection date,Increasing,0.022
Namdinh,40 (8 -- 189),40,64,83,8,22,31,51,75,189,New confirmed cases by infection date,Likely decreasing,0.65
Hungyen,36 (6 -- 347),36,114,544,6,17,27,50,88,347,New confirmed cases by infection date,Likely increasing,0.37
Phuyen,29 (8 -- 75),29,34,21,8,19,25,33,43,75,New confirmed cases by infection date,Stable,0.49
Haiduong,28 (3 -- 219),28,70,376,3,11,21,39,65,219,New confirmed cases by infection date,Stable,0.57
Ninhthuan,26 (3 -- 216),26,61,135,3,10,18,35,61,216,New confirmed cases by infection date,Likely decreasing,0.66
Quangninh,26 (3 -- 182),26,56,134,3,11,19,35,58,182,New confirmed cases by infection date,Likely decreasing,0.68
Langson,25 (3 -- 202),25,63,195,3,11,18,33,56,202,New confirmed cases by infection date,Likely increasing,0.34
Caobang,18 (0 -- 119),18,36,80,0,6,12,24,38,119,New confirmed cases by infection date,Likely increasing,0.35
Phutho,18 (1 -- 211),18,61,271,1,8,13,26,46,211,New confirmed cases by infection date,Likely decreasing,0.64
Tuyenquang,12 (0 -- 242),12,58,179,0,3,7,20,45,242,New confirmed cases by infection date,Likely decreasing,0.75
Hatinh,11 (1 -- 140),11,38,115,1,4,8,16,30,140,New confirmed cases by infection date,Likely decreasing,0.67
Ninhbinh,5 (0 -- 50),5,20,348,0,2,3,7,12,50,New confirmed cases by infection date,Likely decreasing,0.6
Quangngai,4 (0 -- 172),4,80,1267,0,1,2,7,19,172,New confirmed cases by infection date,Decreasing,0.98
Dienbien,3 (0 -- 24),3,6,14,0,1,2,4,7,24,New confirmed cases by infection date,Likely decreasing,0.89
Laocai,3 (0 -- 48),3,12,45,0,1,2,5,9,48,New confirmed cases by infection date,Stable,0.45
Hoabinh,2.1 (1 -- 3.6),2.1,2.2,0.8,1,1.6,1.9,2.2,2.6,3.6,Effective reproduction no.,Increasing,0.043
Yenbai,2 (1.2 -- 3.8),2,2.2,0.91,1.2,1.6,1.8,2.2,2.5,3.8,Effective reproduction no.,Increasing,0.022
Thainguyen,1.9 (1 -- 4.8),1.9,2.2,1.3,1,1.4,1.7,2.1,2.7,4.8,Effective reproduction no.,Increasing,0.041
Haiphong,1.8 (1 -- 4.2),1.8,2.1,1.1,1,1.4,1.6,2,2.4,4.2,Effective reproduction no.,Increasing,0.049
Vinhphuc,1.5 (0.93 -- 2.1),1.5,1.5,0.34,0.93,1.3,1.4,1.6,1.7,2.1,Effective reproduction no.,Likely increasing,0.067
Bentre,1.3 (0.84 -- 1.8),1.3,1.3,0.31,0.84,1.1,1.2,1.4,1.5,1.8,Effective reproduction no.,Likely increasing,0.13
Cantho,1.3 (0.59 -- 2.1),1.3,1.3,0.45,0.59,1.1,1.2,1.4,1.6,2.1,Effective reproduction no.,Likely increasing,0.22
Haugiang,1.3 (0.69 -- 2),1.3,1.3,0.42,0.69,1,1.2,1.3,1.5,2,Effective reproduction no.,Likely increasing,0.22
Lamdong,1.3 (0.8 -- 2),1.3,1.4,0.39,0.8,1.1,1.2,1.4,1.6,2,Effective reproduction no.,Likely increasing,0.15
